fraction	Nx_length
0.001	202110868
0.002	202110868
0.003	202110868
0.004	202110868
0.005	202110868
0.006	202110868
0.007	202110868
0.008	202110868
0.009	202110868
0.01	202110868
0.011	202110868
0.012	202110868
0.013	202110868
0.014	202110868
0.015	202110868
0.016	202110868
0.017	202110868
0.018	202110868
0.019	202110868
0.02	202110868
0.021	202110868
0.022	202110868
0.023	202110868
0.024	202110868
0.025	202110868
0.026	202110868
0.027	202110868
0.028	202110868
0.029	202110868
0.03	202110868
0.031	202110868
0.032	202110868
0.033	202110868
0.034	202110868
0.035	202110868
0.036	202110868
0.037	202110868
0.038	202110868
0.039	202110868
0.04	202110868
0.041	202110868
0.042	202110868
0.043	202110868
0.044	202110868
0.045	202110868
0.046	202110868
0.047	202110868
0.048	202110868
0.049	202110868
0.05	202110868
0.051	202110868
0.052	202110868
0.053	202110868
0.054	202110868
0.055	168172110
0.056	168172110
0.057	168172110
0.058	168172110
0.059	168172110
0.06	168172110
0.061	168172110
0.062	168172110
0.063	168172110
0.064	168172110
0.065	168172110
0.066	168172110
0.067	168172110
0.068	168172110
0.069	168172110
0.07	168172110
0.071	168172110
0.072	168172110
0.073	168172110
0.074	168172110
0.075	168172110
0.076	168172110
0.077	168172110
0.078	168172110
0.079	168172110
0.08	168172110
0.081	168172110
0.082	168172110
0.083	168172110
0.084	168172110
0.085	168172110
0.086	168172110
0.087	168172110
0.088	168172110
0.089	168172110
0.09	168172110
0.091	168172110
0.092	168172110
0.093	168172110
0.094	168172110
0.095	168172110
0.096	168172110
0.097	168172110
0.098	168172110
0.099	168172110
0.1	168172110
0.101	159792552
0.102	159792552
0.103	159792552
0.104	159792552
0.105	159792552
0.106	159792552
0.107	159792552
0.108	159792552
0.109	159792552
0.11	159792552
0.111	159792552
0.112	159792552
0.113	159792552
0.114	159792552
0.115	159792552
0.116	159792552
0.117	159792552
0.118	159792552
0.119	159792552
0.12	159792552
0.121	159792552
0.122	159792552
0.123	159792552
0.124	159792552
0.125	159792552
0.126	159792552
0.127	159792552
0.128	159792552
0.129	159792552
0.13	159792552
0.131	159792552
0.132	159792552
0.133	159792552
0.134	159792552
0.135	159792552
0.136	159792552
0.137	159792552
0.138	159792552
0.139	159792552
0.14	159792552
0.141	159792552
0.142	159792552
0.143	159792552
0.144	159792552
0.145	152903374
0.146	152903374
0.147	152903374
0.148	152903374
0.149	152903374
0.15	152903374
0.151	152903374
0.152	152903374
0.153	152903374
0.154	152903374
0.155	152903374
0.156	152903374
0.157	152903374
0.158	152903374
0.159	152903374
0.16	152903374
0.161	152903374
0.162	152903374
0.163	152903374
0.164	152903374
0.165	152903374
0.166	152903374
0.167	152903374
0.168	152903374
0.169	152903374
0.17	152903374
0.171	152903374
0.172	152903374
0.173	152903374
0.174	152903374
0.175	152903374
0.176	152903374
0.177	152903374
0.178	152903374
0.179	152903374
0.18	152903374
0.181	152903374
0.182	152903374
0.183	152903374
0.184	152903374
0.185	152903374
0.186	148774877
0.187	148774877
0.188	148774877
0.189	148774877
0.19	148774877
0.191	148774877
0.192	148774877
0.193	148774877
0.194	148774877
0.195	148774877
0.196	148774877
0.197	148774877
0.198	148774877
0.199	148774877
0.2	148774877
0.201	148774877
0.202	148774877
0.203	148774877
0.204	148774877
0.205	148774877
0.206	148774877
0.207	148774877
0.208	148774877
0.209	148774877
0.21	148774877
0.211	148774877
0.212	148774877
0.213	148774877
0.214	148774877
0.215	148774877
0.216	148774877
0.217	148774877
0.218	148774877
0.219	148774877
0.22	148774877
0.221	148774877
0.222	148774877
0.223	148774877
0.224	148774877
0.225	148774877
0.226	148774877
0.227	147988225
0.228	147988225
0.229	147988225
0.23	147988225
0.231	147988225
0.232	147988225
0.233	147988225
0.234	147988225
0.235	147988225
0.236	147988225
0.237	147988225
0.238	147988225
0.239	147988225
0.24	147988225
0.241	147988225
0.242	147988225
0.243	147988225
0.244	147988225
0.245	147988225
0.246	147988225
0.247	147988225
0.248	147988225
0.249	147988225
0.25	147988225
0.251	147988225
0.252	147988225
0.253	147988225
0.254	147988225
0.255	147988225
0.256	147988225
0.257	147988225
0.258	147988225
0.259	147988225
0.26	147988225
0.261	147988225
0.262	147988225
0.263	147988225
0.264	147988225
0.265	147988225
0.266	147988225
0.267	141841074
0.268	141841074
0.269	141841074
0.27	141841074
0.271	141841074
0.272	141841074
0.273	141841074
0.274	141841074
0.275	141841074
0.276	141841074
0.277	141841074
0.278	141841074
0.279	141841074
0.28	141841074
0.281	141841074
0.282	141841074
0.283	141841074
0.284	141841074
0.285	141841074
0.286	141841074
0.287	141841074
0.288	141841074
0.289	141841074
0.29	141841074
0.291	141841074
0.292	141841074
0.293	141841074
0.294	141841074
0.295	141841074
0.296	141841074
0.297	141841074
0.298	141841074
0.299	141841074
0.3	141841074
0.301	141841074
0.302	141841074
0.303	141841074
0.304	141841074
0.305	140552254
0.306	140552254
0.307	140552254
0.308	140552254
0.309	140552254
0.31	140552254
0.311	140552254
0.312	140552254
0.313	140552254
