fraction	Nx_length
0.001	135531613
0.002	135531613
0.003	135531613
0.004	135531613
0.005	135531613
0.006	135531613
0.007	135531613
0.008	135531613
0.009	135531613
0.01	135531613
0.011	135531613
0.012	135531613
0.013	135531613
0.014	135531613
0.015	135531613
0.016	135531613
0.017	135531613
0.018	135531613
0.019	135531613
0.02	135531613
0.021	135531613
0.022	135531613
0.023	135531613
0.024	135531613
0.025	135531613
0.026	135531613
0.027	135531613
0.028	135531613
0.029	135531613
0.03	135531613
0.031	135531613
0.032	135531613
0.033	135531613
0.034	135531613
0.035	135531613
0.036	135531613
0.037	135531613
0.038	135531613
0.039	135531613
0.04	135531613
0.041	135531613
0.042	135531613
0.043	135531613
0.044	135531613
0.045	135531613
0.046	135531613
0.047	135531613
0.048	135531613
0.049	135531613
0.05	135531613
0.051	135531613
0.052	135531613
0.053	135531613
0.054	135531613
0.055	135531613
0.056	135531613
0.057	135531613
0.058	135531613
0.059	135531613
0.06	135531613
0.061	135531613
0.062	135531613
0.063	135531613
0.064	135531613
0.065	135531613
0.066	135531613
0.067	135531613
0.068	135531613
0.069	135531613
0.07	135531613
0.071	135531613
0.072	135531613
0.073	135531613
0.074	135531613
0.075	135531613
0.076	135531613
0.077	135531613
0.078	135531613
0.079	135531613
0.08	135531613
0.081	135531613
0.082	135531613
0.083	135531613
0.084	135531613
0.085	135531613
0.086	135531613
0.087	135531613
0.088	135531613
0.089	135531613
0.09	135531613
0.091	135531613
0.092	135531613
0.093	135531613
0.094	135531613
0.095	123939009
0.096	123939009
0.097	123939009
0.098	123939009
0.099	123939009
0.1	123939009
0.101	123939009
0.102	123939009
0.103	123939009
0.104	123939009
0.105	123939009
0.106	123939009
0.107	123939009
0.108	123939009
0.109	123939009
0.11	123939009
0.111	123939009
0.112	123939009
0.113	123939009
0.114	123939009
0.115	123939009
0.116	123939009
0.117	123939009
0.118	123939009
0.119	123939009
0.12	123939009
0.121	123939009
0.122	123939009
0.123	123939009
0.124	123939009
0.125	123939009
0.126	123939009
0.127	123939009
0.128	123939009
0.129	123939009
0.13	123939009
0.131	123939009
0.132	123939009
0.133	123939009
0.134	123939009
0.135	123939009
0.136	123939009
0.137	123939009
0.138	123939009
0.139	123939009
0.14	123939009
0.141	123939009
