fraction	Nx_length
0.001	12631870
0.002	12631870
0.003	12631870
0.004	12631870
0.005	12631870
0.006	12631870
0.007	12631870
0.008	12631870
0.009	11342008
0.01	11342008
0.011	11342008
0.012	11342008
0.013	11342008
0.014	11342008
0.015	11342008
0.016	9624966
0.017	9624966
0.018	9624966
0.019	9624966
0.02	9624966
0.021	9624966
0.022	9260338
0.023	9260338
0.024	9260338
0.025	9260338
0.026	9260338
0.027	9260338
0.028	9101532
0.029	9101532
0.03	9101532
0.031	9101532
0.032	9101532
0.033	9101532
0.034	8490888
0.035	8490888
0.036	8490888
0.037	8490888
0.038	8490888
0.039	8136833
0.04	8136833
0.041	8136833
0.042	8136833
0.043	8136833
0.044	7662635
0.045	7662635
0.046	7662635
0.047	7662635
0.048	7662635
0.049	7602671
0.05	7602671
0.051	7602671
0.052	7602671
0.053	7602671
0.054	7594005
0.055	7594005
0.056	7594005
0.057	7594005
0.058	7594005
0.059	7401506
0.06	7401506
0.061	7401506
0.062	7401506
0.063	7313702
0.064	7313702
0.065	7313702
0.066	7313702
0.067	7313702
0.068	7205915
0.069	7205915
0.07	7205915
0.071	7205915
0.072	7205915
0.073	7112673
0.074	7112673
0.075	7112673
0.076	7112673
0.077	7081467
0.078	7081467
0.079	7081467
0.08	7081467
0.081	7081467
0.082	7059908
0.083	7059908
0.084	7059908
0.085	7059908
0.086	6985204
0.087	6985204
0.088	6985204
0.089	6985204
0.09	6667484
0.091	6667484
0.092	6667484
0.093	6667484
0.094	6667484
0.095	6626701
0.096	6626701
0.097	6626701
0.098	6626701
0.099	6617535
0.1	6617535
0.101	6617535
0.102	6617535
0.103	6449654
0.104	6449654
0.105	6449654
0.106	6449654
0.107	6350122
0.108	6350122
0.109	6350122
0.11	6350122
0.111	6238778
0.112	6238778
0.113	6238778
0.114	6238778
0.115	6230504
0.116	6230504
0.117	6230504
0.118	6230504
0.119	6213090
0.12	6213090
0.121	6213090
0.122	6213090
0.123	6203000
0.124	6203000
0.125	6203000
0.126	6203000
0.127	6188066
0.128	6188066
0.129	6188066
0.13	6188066
0.131	6095749
0.132	6095749
0.133	6095749
0.134	6095749
0.135	5992728
0.136	5992728
0.137	5992728
0.138	5992728
0.139	5976117
0.14	5976117
0.141	5976117
0.142	5944059
0.143	5944059
0.144	5944059
0.145	5944059
0.146	5932153
0.147	5932153
0.148	5932153
0.149	5932153
0.15	5758161
0.151	5758161
0.152	5758161
0.153	5758161
0.154	5728704
0.155	5728704
0.156	5728704
0.157	5695683
0.158	5695683
0.159	5695683
0.16	5695683
0.161	5643324
0.162	5643324
0.163	5643324
0.164	5643324
0.165	5618637
0.166	5618637
0.167	5618637
0.168	5523105
0.169	5523105
0.17	5523105
0.171	5523105
0.172	5482046
0.173	5482046
0.174	5482046
0.175	5452852
0.176	5452852
0.177	5452852
0.178	5452852
0.179	5449923
0.18	5449923
0.181	5449923
0.182	5307650
0.183	5307650
0.184	5307650
0.185	5176954
0.186	5176954
0.187	5176954
0.188	5176954
0.189	5132575
0.19	5132575
0.191	5132575
0.192	5054885
0.193	5054885
0.194	5054885
0.195	5008178
0.196	5008178
0.197	5008178
0.198	4999354
0.199	4999354
0.2	4999354
0.201	4999354
0.202	4951334
0.203	4951334
0.204	4951334
0.205	4951260
0.206	4951260
0.207	4951260
0.208	4940457
0.209	4940457
0.21	4940457
0.211	4886987
0.212	4886987
0.213	4886987
0.214	4886702
0.215	4886702
0.216	4886702
0.217	4823866
0.218	4823866
0.219	4823866
0.22	4818033
0.221	4818033
0.222	4818033
0.223	4816049
0.224	4816049
0.225	4816049
0.226	4789850
0.227	4789850
0.228	4789850
0.229	4775016
0.23	4775016
0.231	4775016
0.232	4719064
0.233	4719064
0.234	4719064
0.235	4716575
0.236	4716575
0.237	4716575
0.238	4709341
0.239	4709341
0.24	4709341
0.241	4686098
0.242	4686098
0.243	4686098
0.244	4662915
0.245	4662915
0.246	4662915
0.247	4629231
0.248	4629231
0.249	4629231
0.25	4609039
0.251	4609039
0.252	4609039
0.253	4576187
0.254	4576187
0.255	4576187
0.256	4558517
0.257	4558517
0.258	4558517
0.259	4524295
0.26	4524295
0.261	4524295
0.262	4463406
0.263	4463406
0.264	4463406
0.265	4455631
0.266	4455631
0.267	4455631
0.268	4424801
0.269	4424801
0.27	4413430
0.271	4413430
0.272	4413430
0.273	4411183
0.274	4411183
0.275	4411183
0.276	4381226
0.277	4381226
0.278	4381226
0.279	4369731
0.28	4369731
0.281	4369731
0.282	4353502
0.283	4353502
0.284	4350623
0.285	4350623
0.286	4350623
0.287	4344198
0.288	4344198
0.289	4344198
0.29	4333785
0.291	4333785
0.292	4333785
0.293	4301601
0.294	4301601
0.295	4281128
0.296	4281128
0.297	4281128
0.298	4278210
0.299	4278210
0.3	4278210
0.301	4228485
0.302	4228485
0.303	4216000
0.304	4216000
0.305	4216000
0.306	4136428
0.307	4136428
0.308	4136428
0.309	4092234
0.31	4092234
0.311	4074414
0.312	4074414
0.313	4074414
0.314	4019879
0.315	4019879
0.316	4016863
0.317	4016863
0.318	4016863
0.319	3997470
0.32	3997470
0.321	3997470
0.322	3987039
0.323	3987039
0.324	3978625
0.325	3978625
0.326	3978625
0.327	3976738
0.328	3976738
0.329	3968573
0.33	3968573
0.331	3968573
0.332	3950899
0.333	3950899
0.334	3923000
0.335	3923000
0.336	3923000
0.337	3908735
0.338	3908735
0.339	3891000
0.34	3891000
0.341	3891000
0.342	3879658
0.343	3879658
0.344	3879000
0.345	3879000
0.346	3879000
0.347	3873798
0.348	3873798
0.349	3848000
0.35	3848000
0.351	3839669
0.352	3839669
0.353	3839669
0.354	3837964
0.355	3837964
0.356	3821231
0.357	3821231
0.358	3821231
0.359	3811000
0.36	3811000
0.361	3797178
0.362	3797178
0.363	3797178
0.364	3740461
0.365	3740461
0.366	3725240
0.367	3725240
0.368	3722717
0.369	3722717
0.37	3722717
0.371	3710000
0.372	3710000
0.373	3703780
0.374	3703780
0.375	3698295
0.376	3698295
0.377	3698295
0.378	3682249
0.379	3682249
0.38	3639422
0.381	3639422
0.382	3594546
0.383	3594546
0.384	3594546
0.385	3588665
0.386	3588665
0.387	3579160
0.388	3579160
0.389	3572735
0.39	3572735
0.391	3572735
0.392	3571630
0.393	3571630
0.394	3563742
0.395	3563742
0.396	3510616
0.397	3510616
0.398	3482661
0.399	3482661
0.4	3482661
0.401	3482131
0.402	3482131
0.403	3478012
0.404	3478012
0.405	3468541
0.406	3468541
0.407	3462209
0.408	3462209
0.409	3459597
0.41	3459597
0.411	3459597
0.412	3458846
0.413	3458846
0.414	3443000
0.415	3443000
0.416	3410141
0.417	3410141
0.418	3402710
0.419	3402710
0.42	3397215
0.421	3397215
0.422	3392607
0.423	3392607
0.424	3392607
0.425	3382356
0.426	3382356
0.427	3381420
0.428	3381420
0.429	3361291
0.43	3361291
0.431	3335381
0.432	3335381
0.433	3333145
0.434	3333145
0.435	3324983
0.436	3324983
0.437	3294801
0.438	3294801
0.439	3263116
0.44	3263116
0.441	3263116
0.442	3243622
0.443	3243622
0.444	3224104
0.445	3224104
0.446	3218096
0.447	3218096
0.448	3187685
0.449	3187685
0.45	3177199
0.451	3177199
0.452	3176499
0.453	3176499
0.454	3168219
0.455	3168219
0.456	3155153
0.457	3155153
0.458	3149548
0.459	3149548
0.46	3117388
0.461	3117388
0.462	3112716
0.463	3112716
0.464	3103657
0.465	3103657
0.466	3093280
0.467	3093280
0.468	3077878
0.469	3077878
0.47	3073979
0.471	3073979
0.472	3065753
0.473	3065753
0.474	3063074
0.475	3024011
0.476	3024011
0.477	3021298
0.478	3021298
0.479	3011065
0.48	3011065
0.481	3007877
0.482	3007877
0.483	3001370
0.484	3001370
0.485	2983243
0.486	2983243
0.487	2965880
0.488	2965880
0.489	2964000
0.49	2964000
0.491	2962522
0.492	2962522
0.493	2950020
0.494	2940203
0.495	2940203
0.496	2904430
0.497	2904430
0.498	2891893
0.499	2891893
0.5	2883979
0.501	2883979
0.502	2879857
0.503	2879857
0.504	2868941
0.505	2868941
0.506	2854061
0.507	2854003
0.508	2854003
0.509	2851648
0.51	2851648
0.511	2834704
0.512	2834704
0.513	2828397
0.514	2828397
0.515	2800136
0.516	2787897
0.517	2787897
0.518	2721245
0.519	2721245
0.52	2720666
0.521	2720666
0.522	2720275
0.523	2705618
0.524	2705618
0.525	2704867
0.526	2704867
0.527	2688161
0.528	2676420
0.529	2676420
0.53	2674396
0.531	2674396
0.532	2656463
0.533	2656463
0.534	2605330
0.535	2604011
0.536	2604011
0.537	2597864
0.538	2588000
0.539	2588000
0.54	2581256
0.541	2581256
0.542	2579337
0.543	2572667
0.544	2572667
0.545	2565037
0.546	2565037
0.547	2554578
0.548	2531642
0.549	2531642
0.55	2505793
0.551	2500268
0.552	2500268
0.553	2497769
0.554	2497769
0.555	2495109
0.556	2492386
0.557	2492386
0.558	2485279
0.559	2478225
0.56	2478225
0.561	2473544
0.562	2473544
0.563	2466535
0.564	2447023
0.565	2447023
0.566	2443602
0.567	2440362
0.568	2440362
0.569	2435503
0.57	2429936
0.571	2429936
0.572	2414073
0.573	2412029
0.574	2412029
