fraction	Nx_length
0.001	14960895
0.002	14960895
0.003	14960895
0.004	14960895
0.005	14960895
0.006	14960895
0.007	14960895
0.008	14960895
0.009	14960895
0.01	13776371
0.011	13776371
0.012	13776371
0.013	13776371
0.014	13776371
0.015	13776371
0.016	13776371
0.017	13776371
0.018	13776371
0.019	13776371
0.02	12547305
0.021	12547305
0.022	12547305
0.023	12547305
0.024	12547305
0.025	12547305
0.026	12547305
0.027	12547305
0.028	9981305
0.029	9981305
0.03	9981305
0.031	9981305
0.032	9981305
0.033	9981305
0.034	9943491
0.035	9943491
0.036	9943491
0.037	9943491
0.038	9943491
0.039	9943491
0.04	9943491
0.041	9712706
0.042	9712706
0.043	9712706
0.044	9712706
0.045	9712706
0.046	9712706
0.047	9633584
0.048	9633584
0.049	9633584
0.05	9633584
0.051	9633584
0.052	9633584
0.053	9633584
0.054	8466531
0.055	8466531
0.056	8466531
0.057	8466531
0.058	8466531
0.059	8013890
0.06	8013890
0.061	8013890
0.062	8013890
0.063	8013890
0.064	8013890
0.065	7983771
0.066	7983771
0.067	7983771
0.068	7983771
0.069	7983771
0.07	7843263
0.071	7843263
0.072	7843263
0.073	7843263
0.074	7843263
0.075	7783202
0.076	7783202
0.077	7783202
0.078	7783202
0.079	7783202
0.08	7600242
0.081	7600242
0.082	7600242
0.083	7600242
0.084	7600242
0.085	7583225
0.086	7583225
0.087	7583225
0.088	7583225
0.089	7583225
0.09	7364754
0.091	7364754
0.092	7364754
0.093	7364754
0.094	7364754
0.095	7263049
0.096	7263049
0.097	7263049
0.098	7263049
0.099	7263049
0.1	7260255
0.101	7260255
0.102	7260255
0.103	7260255
0.104	7260255
0.105	7255999
0.106	7255999
0.107	7255999
0.108	7255999
0.109	7255999
0.11	7215421
0.111	7215421
0.112	7215421
0.113	7215421
0.114	6966855
0.115	6966855
0.116	6966855
0.117	6966855
0.118	6966855
0.119	6919912
0.12	6919912
0.121	6919912
0.122	6919912
0.123	6919912
0.124	6825942
0.125	6825942
0.126	6825942
0.127	6825942
0.128	6600698
0.129	6600698
0.13	6600698
0.131	6600698
0.132	6600698
0.133	6562498
0.134	6562498
0.135	6562498
0.136	6562498
0.137	6543046
0.138	6543046
0.139	6543046
0.14	6543046
0.141	6458270
0.142	6458270
0.143	6458270
0.144	6458270
0.145	6458270
0.146	6420900
0.147	6420900
0.148	6420900
0.149	6420900
0.15	6412444
0.151	6412444
0.152	6412444
0.153	6412444
0.154	6335524
0.155	6335524
0.156	6335524
0.157	6335524
0.158	6205398
0.159	6205398
0.16	6205398
0.161	6205398
0.162	6164989
0.163	6164989
0.164	6164989
0.165	6164989
0.166	6144498
0.167	6144498
0.168	6144498
0.169	6144498
0.17	6031486
0.171	6031486
0.172	6031486
0.173	6031486
0.174	6020695
0.175	6020695
0.176	6020695
0.177	6020695
0.178	6004505
0.179	6004505
0.18	6004505
0.181	6004505
0.182	5978154
0.183	5978154
0.184	5978154
0.185	5978154
0.186	5953500
0.187	5953500
0.188	5953500
0.189	5953500
0.19	5942769
0.191	5942769
0.192	5942769
0.193	5942769
0.194	5906683
0.195	5906683
0.196	5906683
0.197	5906683
0.198	5900734
0.199	5900734
0.2	5900734
0.201	5900734
0.202	5841992
0.203	5841992
0.204	5841992
0.205	5841992
0.206	5811339
0.207	5811339
0.208	5811339
0.209	5811339
0.21	5742369
0.211	5742369
0.212	5742369
0.213	5742369
0.214	5588633
0.215	5588633
0.216	5588633
0.217	5557666
0.218	5557666
0.219	5557666
0.22	5557666
0.221	5415230
0.222	5415230
0.223	5415230
0.224	5415230
0.225	5376323
0.226	5376323
0.227	5376323
0.228	5359202
0.229	5359202
0.23	5359202
0.231	5359202
0.232	5296478
0.233	5296478
0.234	5296478
0.235	5213835
0.236	5213835
0.237	5213835
0.238	5213835
0.239	5210252
0.24	5210252
0.241	5210252
0.242	5129116
0.243	5129116
0.244	5129116
0.245	5101627
0.246	5101627
0.247	5101627
0.248	5101627
0.249	5097570
0.25	5097570
0.251	5097570
0.252	5095659
0.253	5095659
0.254	5095659
0.255	5095659
0.256	5052877
0.257	5052877
0.258	5052877
0.259	5012105
0.26	5012105
0.261	5012105
0.262	4985306
0.263	4985306
0.264	4985306
0.265	4985306
0.266	4949314
0.267	4949314
0.268	4949314
0.269	4947631
0.27	4947631
0.271	4947631
0.272	4941361
0.273	4941361
0.274	4941361
0.275	4928191
0.276	4928191
0.277	4928191
0.278	4928191
0.279	4892633
0.28	4892633
0.281	4892633
0.282	4879199
0.283	4879199
0.284	4879199
0.285	4876587
0.286	4876587
0.287	4876587
0.288	4796477
0.289	4796477
0.29	4796477
0.291	4796477
0.292	4687575
0.293	4687575
0.294	4687575
0.295	4680869
0.296	4680869
0.297	4680869
0.298	4602167
0.299	4602167
0.3	4602167
0.301	4542725
0.302	4542725
0.303	4542725
0.304	4531418
0.305	4531418
0.306	4531418
0.307	4530253
0.308	4530253
0.309	4530253
0.31	4499672
0.311	4499672
0.312	4499672
0.313	4482234
0.314	4482234
0.315	4482234
0.316	4474649
0.317	4474649
0.318	4474649
0.319	4462686
0.32	4462686
0.321	4462686
0.322	4419714
0.323	4419714
0.324	4419714
0.325	4409733
0.326	4409733
0.327	4399347
0.328	4399347
0.329	4399347
0.33	4382734
0.331	4382734
0.332	4382734
0.333	4375989
0.334	4375989
0.335	4375989
0.336	4328085
0.337	4328085
0.338	4328085
0.339	4289196
0.34	4289196
0.341	4289196
0.342	4286180
0.343	4286180
0.344	4286180
0.345	4223633
0.346	4223633
0.347	4223633
0.348	4218066
0.349	4218066
0.35	4158232
0.351	4158232
0.352	4158232
0.353	4114507
0.354	4114507
0.355	4114507
0.356	4103647
0.357	4103647
0.358	4103647
0.359	4102938
0.36	4102938
0.361	4089990
0.362	4089990
0.363	4089990
0.364	4059641
0.365	4059641
0.366	4059641
0.367	3993008
0.368	3993008
0.369	3979226
0.37	3979226
0.371	3979226
0.372	3970945
0.373	3970945
0.374	3970945
0.375	3956962
0.376	3956962
0.377	3920901
0.378	3920901
0.379	3920901
0.38	3905684
0.381	3905684
0.382	3874410
0.383	3874410
0.384	3874410
0.385	3858129
0.386	3858129
0.387	3830391
0.388	3830391
0.389	3830391
0.39	3817099
0.391	3817099
0.392	3817099
0.393	3709399
0.394	3709399
0.395	3678023
0.396	3678023
0.397	3655132
0.398	3655132
0.399	3655132
0.4	3653963
0.401	3653963
0.402	3628508
0.403	3628508
0.404	3628508
0.405	3619243
0.406	3619243
0.407	3614889
0.408	3614889
0.409	3609737
0.41	3609737
0.411	3609737
0.412	3606599
0.413	3606599
0.414	3605528
0.415	3605528
0.416	3605528
0.417	3593390
0.418	3593390
0.419	3584973
0.42	3584973
0.421	3564501
0.422	3564501
0.423	3564501
0.424	3560128
0.425	3560128
0.426	3507712
0.427	3507712
0.428	3490310
0.429	3490310
0.43	3490310
0.431	3490079
0.432	3490079
0.433	3464368
0.434	3464368
0.435	3364866
0.436	3364866
0.437	3364866
0.438	3345261
0.439	3345261
0.44	3315370
0.441	3315370
0.442	3274707
0.443	3274707
0.444	3269941
0.445	3269941
0.446	3269405
0.447	3269405
0.448	3258483
0.449	3258483
0.45	3258483
0.451	3258118
0.452	3258118
0.453	3258082
0.454	3258082
0.455	3249170
0.456	3249170
0.457	3245717
0.458	3245717
0.459	3216311
0.46	3216311
0.461	3208858
0.462	3208858
0.463	3204325
0.464	3204325
0.465	3204325
0.466	3179223
0.467	3179223
0.468	3165401
0.469	3165401
0.47	3156755
0.471	3156755
0.472	3149896
0.473	3149896
0.474	3142498
0.475	3142498
0.476	3140173
0.477	3140173
0.478	3124123
0.479	3124123
0.48	3110818
0.481	3110818
0.482	3104280
0.483	3104280
0.484	3074908
0.485	3074908
0.486	3066779
0.487	3066779
0.488	3059433
0.489	3059433
0.49	3055054
0.491	3055054
0.492	3052251
0.493	3052251
0.494	3032169
0.495	3032169
0.496	3016789
0.497	3016789
0.498	2999056
0.499	2999056
0.5	2992141
0.501	2992141
0.502	2976497
0.503	2976497
0.504	2975296
0.505	2975296
0.506	2957751
0.507	2957751
0.508	2945757
0.509	2945757
0.51	2934293
0.511	2934293
0.512	2920617
0.513	2920617
0.514	2912604
0.515	2912604
0.516	2910627
0.517	2910627
0.518	2908251
0.519	2908251
0.52	2883504
0.521	2883504
0.522	2851190
0.523	2851190
0.524	2844618
0.525	2844618
0.526	2833226
0.527	2805498
0.528	2805498
0.529	2803486
0.53	2803486
0.531	2791091
0.532	2791091
0.533	2744252
0.534	2744252
0.535	2727257
0.536	2727257
0.537	2699991
0.538	2689466
0.539	2689466
0.54	2677784
0.541	2677784
0.542	2667115
0.543	2667115
0.544	2661780
0.545	2661780
0.546	2638908
0.547	2631344
0.548	2631344
0.549	2631017
0.55	2631017
0.551	2627059
0.552	2618123
0.553	2618123
0.554	2596798
0.555	2596798
0.556	2588781
0.557	2588781
0.558	2587541
0.559	2582556
0.56	2582556
0.561	2576582
0.562	2576582
0.563	2563079
0.564	2556208
0.565	2556208
0.566	2521784
0.567	2521784
0.568	2508788
0.569	2503137
0.57	2503137
0.571	2471553
0.572	2471553
0.573	2427469
0.574	2426313
0.575	2426313
0.576	2413435
0.577	2413435
0.578	2388976
0.579	2381846
0.58	2381846
0.581	2363241
0.582	2356544
0.583	2356544
0.584	2344122
0.585	2328732
0.586	2328732
0.587	2324172
0.588	2324172
0.589	2317858
0.59	2317841
0.591	2317841
0.592	2316839
0.593	2309492
0.594	2309492
0.595	2307681
0.596	2307342
0.597	2307342
0.598	2307020
0.599	2299583
0.6	2299583
0.601	2297749
0.602	2296640
0.603	2296640
0.604	2282022
0.605	2275911
0.606	2275911
0.607	2269958
0.608	2268053
0.609	2268053
0.61	2249036
0.611	2239556
0.612	2239556
0.613	2238932
0.614	2230295
0.615	2230295
0.616	2204543
0.617	2193143
0.618	2193143
0.619	2187808
0.62	2181809
0.621	2181809
0.622	2180616
0.623	2180067
0.624	2177303
0.625	2177303
0.626	2173602
0.627	2165137
0.628	2165137
0.629	2164029
0.63	2158769
0.631	2158769
0.632	2158687
0.633	2153035
0.634	2153000
0.635	2153000
0.636	2151341
0.637	2144897
0.638	2144897
0.639	2143412
0.64	2137565
0.641	2137565
0.642	2133000
0.643	2126604
0.644	2126470
0.645	2126470
0.646	2111965
0.647	2106804
0.648	2106804
0.649	2106638
0.65	2103794
0.651	2101114
0.652	2101114
0.653	2100095
0.654	2080279
0.655	2080279
0.656	2037492
0.657	2033490
0.658	2024739
0.659	2024739
0.66	2013485
0.661	2009907
0.662	1998774
0.663	1998774
0.664	1996388
0.665	1983634
0.666	1983391
0.667	1981669
0.668	1981669
0.669	1975518
0.67	1945621
0.671	1941208
0.672	1941208
0.673	1932942
0.674	1913957
0.675	1909511
0.676	1909511
0.677	1902424
0.678	1902398
0.679	1897448
0.68	1895971
0.681	1895971
0.682	1891000
0.683	1888055
0.684	1876557
0.685	1875568
0.686	1875568
0.687	1868054
0.688	1867859
0.689	1867562
0.69	1858634
0.691	1856252
0.692	1856252
0.693	1854656
0.694	1852380
0.695	1847098
0.696	1843085
0.697	1843085
0.698	1832945
0.699	1828866
0.7	1828696
0.701	1826393
0.702	1824109
0.703	1824109
0.704	1821227
0.705	1819997
0.706	1818537
0.707	1813585
0.708	1809357
0.709	1809357
0.71	1799189
0.711	1798536
0.712	1795849
0.713	1792503
0.714	1777536
0.715	1777536
0.716	1762050
0.717	1752162
0.718	1747678
0.719	1746692
0.72	1745328
0.721	1735008
0.722	1735008
0.723	1730819
0.724	1724566
0.725	1722619
0.726	1721139
0.727	1720393
0.728	1708386
0.729	1705433
0.73	1698470
0.731	1698470
0.732	1692719
0.733	1687029
0.734	1683186
0.735	1671922
0.736	1667730
0.737	1660960
0.738	1656640
0.739	1642302
0.74	1640552
0.741	1640552
0.742	1635120
0.743	1630386
0.744	1615000
0.745	1607590
0.746	1597143
0.747	1583357
0.748	1579268
0.749	1572806
0.75	1571799
0.751	1569359
0.752	1568488
0.753	1552958
0.754	1542806
0.755	1534067
0.756	1532920
0.757	1531962
0.758	1531224
0.759	1525754
0.76	1520099
0.761	1517548
0.762	1513004
0.763	1500137
0.764	1499316
0.765	1498230
0.766	1497918
0.767	1488288
0.768	1474949
0.769	1473973
0.77	1468187
0.771	1465893
0.772	1457382
0.773	1448770
0.774	1448663
0.775	1434173
0.776	1431279
0.777	1429885
0.778	1428964
0.779	1418400
0.78	1413100
0.781	1407757
0.782	1407276
0.783	1405972
0.784	1401323
0.785	1395206
0.786	1390824
0.787	1388883
0.788	1388702
0.789	1383002
0.79	1381946
0.791	1379526
0.792	1374662
0.793	1372369
0.794	1365484
0.795	1359208
0.796	1352296
0.797	1351627
0.798	1350048
0.799	1345425
0.8	1341715
0.801	1334410
0.802	1332353
0.803	1329551
0.804	1325119
0.805	1320083
0.806	1317512
0.807	1296830
0.808	1295911
0.809	1284817
0.81	1281694
0.811	1279401
0.812	1275090
0.813	1274363
0.814	1273283
0.815	1254438
0.816	1253777
0.817	1249155
0.818	1248258
0.819	1242439
0.82	1236101
0.821	1233123
0.822	1232246
0.823	1226189
0.824	1225238
0.825	1223348
0.826	1221086
0.827	1212077
0.828	1203698
0.829	1202061
0.83	1198061
0.831	1196088
0.832	1192216
0.833	1185008
0.834	1180734
0.835	1175525
0.836	1171186
0.837	1169000
0.838	1166548
0.839	1165208
0.84	1162589
0.841	1159202
0.842	1157533
0.843	1157260
0.844	1144728
0.845	1143353
0.846	1136629
0.847	1133700
0.848	1127677
0.849	1125998
0.85	1121281
0.851	1120876
0.852	1116933
0.853	1116449
0.854	1098473
0.855	1087917
0.856	1080125
0.857	1070899
0.858	1068069
0.859	1067729
0.86	1063313
0.861	1062313
0.862	1061102
0.863	1060264
0.864	1051754
0.865	1046786
0.866	1044784
0.867	1044234
0.868	1040841
0.869	1032408
0.87	1028711
0.871	1010650
0.872	1010508
0.873	1000288
0.874	996164
0.875	985906
0.876	982375
0.877	978426
0.878	973637
0.879	971224
0.88	964688
0.881	961389
0.882	951419
0.883	950235
0.884	941848
0.885	938748
0.886	938207
0.887	932336
0.888	930767
0.889	925282
0.89	910886
0.891	909810
0.892	908500
0.893	900668
0.894	894110
0.895	892641
0.896	890740
0.897	884448
0.898	879300
0.899	868459
0.9	854492
0.901	852965
0.902	849713
0.903	843479
0.904	837400
0.905	833522
0.906	827247
0.907	824567
0.908	815180
0.909	810354
0.91	797666
0.911	795299
0.912	786905
0.913	781918
0.914	774748
0.915	772779
0.916	765949
0.917	763201
0.918	759183
0.919	754461
0.92	746258
0.921	737916
0.922	724364
0.923	716836
0.924	708891
0.925	701285
0.926	700994
0.927	695664
0.928	671948
0.929	663436
0.93	658633
0.931	627949
0.932	623911
0.933	622947
0.934	611178
0.935	601137
0.936	587452
0.937	584011
0.938	577133
0.939	573631
0.94	567006
0.941	560576
0.942	556928
0.943	542012
0.944	537745
0.945	535678
0.946	531807
0.947	520814
0.948	517652
0.949	515061
0.95	509758
0.951	503962
0.952	500597
0.953	486165
0.954	479106
0.955	472005
0.956	465101
0.957	462938
0.958	456990
0.959	447329
0.96	442553
0.961	432605
0.962	426423
0.963	418657
0.964	416544
0.965	409595
0.966	405651
0.967	393635
0.968	390373
0.969	382000
0.97	368222
0.971	364656
0.972	349322
0.973	343241
0.974	338415
0.975	331143
0.976	319845
0.977	311909
0.978	307068
0.979	301213
0.98	282666
0.981	265478
0.982	258238
0.983	251971
0.984	241728
0.985	230185
0.986	221457
0.987	217024
0.988	204858
0.989	191244
0.99	172104
0.991	164077
0.992	153077
0.993	144500
0.994	129073
0.995	113814
0.996	97251
0.997	83445
0.998	69150
0.999	40365
1.0	1000
