fraction	Nx_length
0.001	352374243
0.002	352374243
0.003	352374243
0.004	352374243
0.005	352374243
0.006	352374243
0.007	352374243
0.008	352374243
0.009	352374243
0.01	352374243
0.011	352374243
0.012	352374243
0.013	352374243
0.014	352374243
0.015	352374243
0.016	352374243
0.017	352374243
0.018	352374243
0.019	352374243
0.02	352374243
0.021	352374243
0.022	352374243
0.023	352374243
0.024	352374243
0.025	352374243
0.026	352374243
0.027	352374243
0.028	352374243
0.029	352374243
0.03	352374243
0.031	352374243
0.032	352374243
0.033	352374243
0.034	352374243
0.035	352374243
0.036	352374243
0.037	352374243
0.038	352374243
0.039	352374243
0.04	352374243
0.041	352374243
0.042	352374243
0.043	352374243
0.044	352374243
0.045	352374243
0.046	352374243
0.047	352374243
0.048	352374243
0.049	352374243
0.05	352374243
0.051	352374243
0.052	352374243
0.053	352374243
0.054	352374243
0.055	352374243
0.056	352374243
0.057	352374243
0.058	352374243
0.059	352374243
0.06	352374243
0.061	352374243
0.062	352374243
0.063	352374243
0.064	352374243
0.065	352374243
0.066	352374243
0.067	352374243
0.068	352374243
0.069	352374243
0.07	352374243
0.071	352374243
0.072	352374243
0.073	352374243
0.074	352374243
0.075	352374243
0.076	352374243
0.077	352374243
0.078	352374243
0.079	352374243
0.08	352374243
0.081	352374243
0.082	352374243
0.083	352374243
0.084	352374243
0.085	352374243
0.086	352374243
0.087	352374243
0.088	352374243
0.089	352374243
0.09	352374243
0.091	352374243
0.092	352374243
0.093	352374243
0.094	352374243
0.095	352374243
0.096	352374243
0.097	352374243
0.098	352374243
0.099	352374243
0.1	352374243
0.101	352374243
0.102	352374243
0.103	352374243
0.104	352374243
0.105	352374243
0.106	352374243
0.107	352374243
0.108	352374243
0.109	352374243
0.11	352374243
0.111	352374243
0.112	352374243
0.113	352374243
0.114	352374243
0.115	352374243
0.116	352374243
0.117	352374243
0.118	352374243
0.119	352374243
0.12	352374243
0.121	352374243
0.122	352374243
0.123	352374243
0.124	352374243
0.125	352374243
0.126	352374243
0.127	352374243
0.128	352374243
0.129	352374243
0.13	352374243
0.131	352374243
0.132	352374243
0.133	352374243
0.134	352374243
0.135	352374243
0.136	352374243
0.137	352374243
0.138	352374243
0.139	352374243
0.14	352374243
0.141	352374243
0.142	352374243
0.143	352374243
0.144	352374243
0.145	352374243
0.146	352374243
0.147	352374243
0.148	352374243
0.149	352374243
0.15	352374243
0.151	352374243
0.152	352374243
0.153	352374243
0.154	352374243
0.155	352374243
0.156	352374243
0.157	352374243
0.158	352374243
0.159	352374243
0.16	271619586
0.161	271619586
0.162	271619586
0.163	271619586
0.164	271619586
0.165	271619586
0.166	271619586
0.167	271619586
0.168	271619586
0.169	271619586
0.17	271619586
0.171	271619586
0.172	271619586
0.173	271619586
0.174	271619586
0.175	271619586
0.176	271619586
0.177	271619586
0.178	271619586
0.179	271619586
0.18	271619586
0.181	271619586
0.182	271619586
0.183	271619586
0.184	271619586
0.185	271619586
0.186	271619586
0.187	271619586
0.188	271619586
0.189	271619586
0.19	271619586
0.191	271619586
0.192	271619586
0.193	271619586
0.194	271619586
0.195	271619586
0.196	271619586
0.197	271619586
0.198	271619586
0.199	271619586
0.2	271619586
0.201	271619586
0.202	271619586
0.203	271619586
0.204	271619586
0.205	271619586
0.206	271619586
0.207	271619586
0.208	271619586
0.209	271619586
0.21	271619586
0.211	271619586
0.212	271619586
0.213	271619586
0.214	271619586
0.215	271619586
0.216	271619586
0.217	271619586
0.218	271619586
0.219	271619586
0.22	271619586
0.221	271619586
0.222	271619586
0.223	271619586
0.224	271619586
0.225	271619586
0.226	271619586
0.227	271619586
0.228	271619586
0.229	271619586
0.23	271619586
0.231	271619586
0.232	271619586
0.233	271619586
0.234	271619586
0.235	271619586
0.236	271619586
0.237	271619586
0.238	271619586
0.239	271619586
0.24	271619586
0.241	271619586
0.242	271619586
0.243	271619586
0.244	271619586
0.245	271619586
0.246	271619586
0.247	271619586
0.248	271619586
0.249	271619586
0.25	271619586
0.251	271619586
0.252	271619586
0.253	271619586
0.254	271619586
0.255	271619586
0.256	271619586
0.257	271619586
0.258	271619586
0.259	271619586
0.26	271619586
0.261	271619586
0.262	271619586
0.263	271619586
0.264	271619586
0.265	271619586
0.266	271619586
0.267	271619586
0.268	271619586
0.269	271619586
0.27	271619586
0.271	271619586
0.272	271619586
0.273	271619586
0.274	271619586
0.275	271619586
0.276	271619586
0.277	271619586
0.278	271619586
0.279	271619586
0.28	271619586
0.281	271619586
0.282	271619586
0.283	271619586
0.284	211194573
0.285	211194573
0.286	211194573
0.287	211194573
0.288	211194573
0.289	211194573
0.29	211194573
0.291	211194573
0.292	211194573
0.293	211194573
0.294	211194573
0.295	211194573
0.296	211194573
0.297	211194573
0.298	211194573
0.299	211194573
0.3	211194573
0.301	211194573
0.302	211194573
0.303	211194573
0.304	211194573
0.305	211194573
0.306	211194573
0.307	211194573
0.308	211194573
0.309	211194573
0.31	211194573
0.311	211194573
0.312	211194573
0.313	211194573
0.314	211194573
0.315	211194573
0.316	211194573
0.317	211194573
0.318	211194573
0.319	211194573
0.32	211194573
0.321	211194573
0.322	211194573
0.323	211194573
0.324	211194573
0.325	211194573
0.326	211194573
0.327	211194573
0.328	211194573
0.329	211194573
0.33	211194573
0.331	211194573
0.332	211194573
0.333	211194573
0.334	211194573
0.335	211194573
0.336	211194573
0.337	211194573
0.338	211194573
0.339	211194573
0.34	211194573
0.341	211194573
0.342	211194573
0.343	211194573
0.344	211194573
0.345	211194573
0.346	211194573
0.347	211194573
0.348	211194573
0.349	211194573
0.35	211194573
0.351	211194573
0.352	211194573
0.353	211194573
0.354	211194573
0.355	211194573
0.356	211194573
0.357	211194573
0.358	211194573
0.359	211194573
0.36	211194573
0.361	211194573
0.362	211194573
0.363	211194573
0.364	211194573
0.365	211194573
0.366	211194573
0.367	211194573
0.368	211194573
0.369	211194573
0.37	211194573
0.371	211194573
0.372	211194573
0.373	211194573
0.374	211194573
0.375	211194573
0.376	211194573
0.377	211194573
0.378	211194573
0.379	141914877
0.38	141914877
0.381	141914877
0.382	141914877
0.383	141914877
0.384	141914877
0.385	141914877
0.386	141914877
0.387	141914877
0.388	141914877
0.389	141914877
0.39	141914877
0.391	141914877
0.392	141914877
0.393	141914877
0.394	141914877
0.395	141914877
0.396	141914877
0.397	141914877
0.398	141914877
0.399	141914877
0.4	141914877
0.401	141914877
0.402	141914877
0.403	141914877
0.404	141914877
0.405	141914877
0.406	141914877
0.407	141914877
0.408	141914877
0.409	141914877
0.41	141914877
0.411	141914877
0.412	141914877
0.413	141914877
0.414	141914877
0.415	141914877
0.416	141914877
0.417	141914877
0.418	141914877
0.419	141914877
0.42	141914877
0.421	141914877
0.422	141914877
0.423	141914877
0.424	141914877
0.425	141914877
0.426	141914877
0.427	141914877
0.428	141914877
0.429	141914877
0.43	141914877
0.431	141914877
0.432	141914877
0.433	141914877
0.434	141914877
0.435	141914877
0.436	141914877
0.437	141914877
0.438	141914877
0.439	141914877
0.44	141914877
0.441	141914877
0.442	141914877
0.443	141914877
0.444	136811586
0.445	136811586
0.446	136811586
0.447	136811586
0.448	136811586
0.449	136811586
0.45	136811586
0.451	136811586
0.452	136811586
0.453	136811586
0.454	136811586
0.455	136811586
0.456	136811586
0.457	136811586
0.458	136811586
0.459	136811586
0.46	136811586
0.461	136811586
0.462	136811586
0.463	136811586
0.464	136811586
0.465	136811586
0.466	136811586
0.467	136811586
0.468	136811586
0.469	136811586
0.47	136811586
0.471	136811586
0.472	136811586
0.473	136811586
0.474	136811586
0.475	136811586
0.476	136811586
0.477	136811586
0.478	136811586
0.479	136811586
0.48	136811586
0.481	136811586
0.482	136811586
0.483	136811586
0.484	136811586
0.485	136811586
0.486	136811586
0.487	136811586
0.488	136811586
0.489	136811586
0.49	136811586
0.491	136811586
0.492	136811586
0.493	136811586
0.494	136811586
0.495	136811586
0.496	136811586
0.497	136811586
0.498	136811586
0.499	136811586
0.5	136811586
0.501	136811586
0.502	136811586
0.503	136811586
0.504	136811586
0.505	136811586
0.506	135697311
0.507	135697311
0.508	135697311
0.509	135697311
0.51	135697311
0.511	135697311
0.512	135697311
0.513	135697311
0.514	135697311
0.515	135697311
0.516	135697311
0.517	135697311
0.518	135697311
0.519	135697311
0.52	135697311
0.521	135697311
0.522	135697311
0.523	135697311
0.524	135697311
0.525	135697311
0.526	135697311
0.527	135697311
0.528	135697311
0.529	135697311
0.53	135697311
0.531	135697311
0.532	135697311
0.533	135697311
0.534	135697311
0.535	135697311
0.536	135697311
0.537	135697311
0.538	135697311
0.539	135697311
0.54	135697311
0.541	135697311
0.542	135697311
0.543	135697311
0.544	135697311
0.545	135697311
0.546	135697311
0.547	135697311
0.548	135697311
0.549	135697311
0.55	135697311
0.551	135697311
0.552	135697311
0.553	135697311
0.554	135697311
0.555	135697311
0.556	135697311
0.557	135697311
0.558	135697311
0.559	135697311
0.56	135697311
0.561	135697311
0.562	135697311
0.563	135697311
0.564	135697311
0.565	135697311
0.566	135697311
0.567	126688670
0.568	126688670
0.569	126688670
0.57	126688670
0.571	126688670
0.572	126688670
