fraction	Nx_length
0.001	12216800
0.002	12216800
0.003	12216800
0.004	12216800
0.005	12216800
0.006	12216800
0.007	12216800
0.008	12216800
0.009	12216800
0.01	12138741
0.011	12138741
0.012	12138741
0.013	12138741
0.014	12138741
0.015	12138741
0.016	12138741
0.017	12138741
0.018	12138741
0.019	11456046
0.02	11456046
0.021	11456046
0.022	11456046
0.023	11456046
0.024	11456046
0.025	11456046
0.026	11456046
0.027	11425410
0.028	11425410
0.029	11425410
0.03	11425410
0.031	11425410
0.032	11425410
0.033	11425410
0.034	11425410
0.035	11425410
0.036	10602066
0.037	10602066
0.038	10602066
0.039	10602066
0.04	10602066
0.041	10602066
0.042	10602066
0.043	9276112
0.044	9276112
0.045	9276112
0.046	9276112
0.047	9276112
0.048	9276112
0.049	9276112
0.05	8915557
0.051	8915557
0.052	8915557
0.053	8915557
0.054	8915557
0.055	8915557
0.056	8915557
0.057	8853370
0.058	8853370
0.059	8853370
0.06	8853370
0.061	8853370
0.062	8853370
0.063	8853370
0.064	8754703
0.065	8754703
0.066	8754703
0.067	8754703
0.068	8754703
0.069	8754703
0.07	8611711
0.071	8611711
0.072	8611711
0.073	8611711
0.074	8611711
0.075	8611711
0.076	8593688
0.077	8593688
0.078	8593688
0.079	8593688
0.08	8593688
0.081	8593688
0.082	8593688
0.083	8343798
0.084	8343798
0.085	8343798
0.086	8343798
0.087	8343798
0.088	8343798
0.089	8140759
0.09	8140759
0.091	8140759
0.092	8140759
0.093	8140759
0.094	8140759
0.095	7997482
0.096	7997482
0.097	7997482
0.098	7997482
0.099	7997482
0.1	7997482
0.101	7937239
0.102	7937239
0.103	7937239
0.104	7937239
0.105	7937239
0.106	7937239
0.107	7922366
0.108	7922366
0.109	7922366
0.11	7922366
0.111	7922366
0.112	7922366
0.113	7754482
0.114	7754482
0.115	7754482
0.116	7754482
0.117	7754482
0.118	7754482
0.119	7577653
0.12	7577653
0.121	7577653
0.122	7577653
0.123	7577653
0.124	7413304
0.125	7413304
0.126	7413304
0.127	7413304
0.128	7413304
0.129	7413304
0.13	7393881
0.131	7393881
0.132	7393881
0.133	7393881
0.134	7393881
0.135	7282453
0.136	7282453
0.137	7282453
0.138	7282453
0.139	7282453
0.14	7282453
0.141	7279777
0.142	7279777
0.143	7279777
0.144	7279777
0.145	7279777
0.146	7276386
0.147	7276386
0.148	7276386
0.149	7276386
0.15	7276386
0.151	7181721
0.152	7181721
0.153	7181721
0.154	7181721
0.155	7181721
0.156	7181721
0.157	7073923
0.158	7073923
0.159	7073923
0.16	7073923
0.161	7073923
0.162	7022926
0.163	7022926
0.164	7022926
0.165	7022926
0.166	7022926
0.167	6942556
0.168	6942556
0.169	6942556
0.17	6942556
0.171	6942556
0.172	6917474
0.173	6917474
0.174	6917474
0.175	6917474
0.176	6917474
0.177	6917474
0.178	6894651
0.179	6894651
0.18	6894651
0.181	6894651
0.182	6894651
0.183	6673923
0.184	6673923
0.185	6673923
0.186	6673923
0.187	6673923
0.188	6597313
0.189	6597313
0.19	6597313
0.191	6597313
0.192	6597313
0.193	6491713
0.194	6491713
0.195	6491713
0.196	6491713
0.197	6376975
0.198	6376975
0.199	6376975
0.2	6376975
0.201	6376975
0.202	6370590
0.203	6370590
0.204	6370590
0.205	6370590
0.206	6370590
0.207	6348011
0.208	6348011
0.209	6348011
0.21	6348011
0.211	6348011
0.212	6282490
0.213	6282490
0.214	6282490
0.215	6282490
0.216	6238936
0.217	6238936
0.218	6238936
0.219	6238936
0.22	6238936
0.221	6217872
0.222	6217872
0.223	6217872
0.224	6217872
0.225	6217872
0.226	6214008
0.227	6214008
0.228	6214008
0.229	6214008
0.23	6188518
0.231	6188518
0.232	6188518
0.233	6188518
0.234	6188518
0.235	6148741
0.236	6148741
0.237	6148741
0.238	6148741
0.239	6085709
0.24	6085709
0.241	6085709
0.242	6085709
0.243	6085709
0.244	6033869
0.245	6033869
0.246	6033869
0.247	6033869
0.248	5966001
0.249	5966001
0.25	5966001
0.251	5966001
0.252	5966001
0.253	5951393
0.254	5951393
0.255	5951393
0.256	5951393
0.257	5951010
0.258	5951010
0.259	5951010
0.26	5951010
0.261	5951010
0.262	5897393
0.263	5897393
0.264	5897393
0.265	5897393
0.266	5745703
0.267	5745703
0.268	5745703
0.269	5745703
0.27	5694229
0.271	5694229
0.272	5694229
0.273	5694229
0.274	5678130
0.275	5678130
0.276	5678130
0.277	5678130
0.278	5678130
0.279	5642750
0.28	5642750
0.281	5642750
0.282	5642750
0.283	5563871
0.284	5563871
0.285	5563871
0.286	5563871
0.287	5545161
0.288	5545161
0.289	5545161
0.29	5545161
0.291	5490341
0.292	5490341
0.293	5490341
0.294	5490341
0.295	5469341
0.296	5469341
0.297	5469341
0.298	5469341
0.299	5359075
0.3	5359075
0.301	5359075
0.302	5359075
0.303	5285657
0.304	5285657
0.305	5285657
0.306	5285657
0.307	5202703
0.308	5202703
0.309	5202703
0.31	5202703
0.311	5192942
0.312	5192942
0.313	5192942
0.314	5192942
0.315	5190338
0.316	5190338
0.317	5190338
0.318	5190338
0.319	5168975
0.32	5168975
0.321	5168975
0.322	5168975
0.323	5158198
0.324	5158198
0.325	5158198
0.326	5155645
0.327	5155645
0.328	5155645
0.329	5155645
0.33	5129715
0.331	5129715
0.332	5129715
0.333	5129715
0.334	5094641
0.335	5094641
0.336	5094641
0.337	5094641
0.338	4934513
0.339	4934513
0.34	4934513
0.341	4934513
0.342	4888961
0.343	4888961
0.344	4888961
0.345	4856735
0.346	4856735
0.347	4856735
0.348	4856735
0.349	4840659
0.35	4840659
0.351	4840659
0.352	4660073
0.353	4660073
0.354	4660073
0.355	4660073
0.356	4596568
0.357	4596568
0.358	4596568
0.359	4567748
0.36	4567748
0.361	4567748
0.362	4567748
0.363	4522858
0.364	4522858
0.365	4522858
0.366	4478225
0.367	4478225
0.368	4478225
0.369	4475778
0.37	4475778
0.371	4475778
0.372	4475778
0.373	4464310
0.374	4464310
0.375	4464310
0.376	4455870
0.377	4455870
0.378	4455870
0.379	4264970
0.38	4264970
0.381	4264970
0.382	4216895
0.383	4216895
0.384	4216895
0.385	4216895
0.386	4165616
0.387	4165616
0.388	4165616
0.389	4155362
0.39	4155362
0.391	4155362
0.392	4133994
0.393	4133994
0.394	4133994
0.395	4105525
0.396	4105525
0.397	4105525
0.398	4064280
0.399	4064280
