fraction	Nx_length
0.001	354291630
0.002	354291630
0.003	354291630
0.004	354291630
0.005	354291630
0.006	354291630
0.007	354291630
0.008	354291630
0.009	354291630
0.01	354291630
0.011	354291630
0.012	354291630
0.013	354291630
0.014	354291630
0.015	354291630
0.016	354291630
0.017	354291630
0.018	354291630
0.019	354291630
0.02	354291630
0.021	354291630
0.022	354291630
0.023	354291630
0.024	354291630
0.025	354291630
0.026	354291630
0.027	354291630
0.028	354291630
0.029	354291630
0.03	354291630
0.031	354291630
0.032	354291630
0.033	354291630
0.034	354291630
0.035	354291630
0.036	354291630
0.037	354291630
0.038	354291630
0.039	354291630
0.04	354291630
0.041	354291630
0.042	354291630
0.043	354291630
0.044	354291630
0.045	354291630
0.046	354291630
0.047	354291630
0.048	354291630
0.049	354291630
0.05	354291630
0.051	354291630
0.052	354291630
0.053	354291630
0.054	354291630
0.055	354291630
0.056	354291630
0.057	354291630
0.058	354291630
0.059	354291630
0.06	354291630
0.061	354291630
0.062	354291630
0.063	354291630
0.064	354291630
0.065	354291630
0.066	354291630
0.067	354291630
0.068	354291630
0.069	354291630
0.07	354291630
0.071	354291630
0.072	354291630
0.073	354291630
0.074	354291630
0.075	354291630
0.076	354291630
0.077	354291630
0.078	354291630
0.079	354291630
0.08	354291630
0.081	354291630
0.082	354291630
0.083	354291630
0.084	354291630
0.085	354291630
0.086	354291630
0.087	354291630
0.088	354291630
0.089	354291630
0.09	354291630
0.091	354291630
0.092	354291630
0.093	354291630
0.094	354291630
0.095	354291630
0.096	354291630
0.097	354291630
0.098	354291630
0.099	354291630
0.1	354291630
0.101	354291630
0.102	354291630
0.103	354291630
0.104	354291630
0.105	354291630
0.106	354291630
0.107	354291630
0.108	354291630
0.109	354291630
0.11	354291630
0.111	354291630
0.112	354291630
0.113	354291630
0.114	354291630
0.115	354291630
0.116	354291630
0.117	354291630
0.118	354291630
0.119	354291630
0.12	354291630
0.121	354291630
0.122	354291630
0.123	354291630
0.124	354291630
0.125	354291630
0.126	354291630
0.127	354291630
0.128	354291630
0.129	354291630
0.13	354291630
0.131	354291630
0.132	354291630
0.133	354291630
0.134	354291630
0.135	354291630
0.136	354291630
0.137	354291630
0.138	354291630
0.139	354291630
0.14	354291630
0.141	354291630
0.142	354291630
0.143	354291630
0.144	354291630
0.145	354291630
0.146	354291630
0.147	354291630
0.148	354291630
0.149	354291630
0.15	354291630
0.151	354291630
0.152	354291630
0.153	354291630
0.154	354291630
0.155	354291630
0.156	354291630
0.157	354291630
0.158	354291630
0.159	354291630
0.16	185925144
0.161	185925144
0.162	185925144
0.163	185925144
0.164	185925144
0.165	185925144
0.166	185925144
0.167	185925144
0.168	185925144
0.169	185925144
0.17	185925144
0.171	185925144
0.172	185925144
0.173	185925144
0.174	185925144
0.175	185925144
0.176	185925144
0.177	185925144
0.178	185925144
0.179	185925144
0.18	185925144
0.181	185925144
0.182	185925144
0.183	185925144
0.184	185925144
0.185	185925144
0.186	185925144
0.187	185925144
0.188	185925144
0.189	185925144
0.19	185925144
0.191	185925144
0.192	185925144
0.193	185925144
0.194	185925144
0.195	185925144
0.196	185925144
0.197	185925144
0.198	185925144
0.199	185925144
0.2	185925144
0.201	185925144
0.202	185925144
0.203	185925144
0.204	185925144
0.205	185925144
0.206	185925144
0.207	185925144
0.208	185925144
0.209	185925144
0.21	185925144
0.211	185925144
0.212	185925144
0.213	185925144
0.214	185925144
0.215	185925144
0.216	185925144
0.217	185925144
0.218	185925144
0.219	185925144
0.22	185925144
0.221	185925144
0.222	185925144
0.223	185925144
0.224	185925144
0.225	185925144
0.226	185925144
0.227	185925144
0.228	185925144
0.229	185925144
0.23	185925144
0.231	185925144
0.232	185925144
0.233	185925144
0.234	185925144
0.235	185925144
0.236	185925144
0.237	185925144
0.238	185925144
0.239	185925144
0.24	185925144
0.241	185925144
0.242	185925144
0.243	185925144
0.244	151376485
0.245	151376485
0.246	151376485
0.247	151376485
0.248	151376485
0.249	151376485
0.25	151376485
0.251	151376485
0.252	151376485
0.253	151376485
0.254	151376485
0.255	151376485
0.256	151376485
0.257	151376485
0.258	151376485
0.259	151376485
0.26	151376485
0.261	151376485
0.262	151376485
0.263	151376485
0.264	151376485
0.265	151376485
0.266	151376485
0.267	151376485
0.268	151376485
0.269	151376485
0.27	151376485
0.271	151376485
0.272	151376485
0.273	151376485
0.274	151376485
0.275	151376485
0.276	151376485
0.277	151376485
0.278	151376485
0.279	151376485
0.28	151376485
0.281	151376485
0.282	151376485
0.283	151376485
0.284	151376485
0.285	151376485
0.286	151376485
0.287	151376485
0.288	151376485
0.289	151376485
0.29	151376485
0.291	151376485
0.292	151376485
0.293	151376485
0.294	151376485
0.295	151376485
0.296	151376485
0.297	151376485
0.298	151376485
0.299	151376485
0.3	151376485
0.301	151376485
0.302	151376485
0.303	151376485
0.304	151376485
0.305	151376485
0.306	151376485
0.307	151376485
0.308	151376485
0.309	151376485
0.31	151376485
0.311	151376485
0.312	142028635
0.313	142028635
0.314	142028635
0.315	142028635
0.316	142028635
0.317	142028635
0.318	142028635
0.319	142028635
0.32	142028635
0.321	142028635
0.322	142028635
0.323	142028635
0.324	142028635
0.325	142028635
0.326	142028635
0.327	142028635
0.328	142028635
0.329	142028635
0.33	142028635
0.331	142028635
0.332	142028635
0.333	142028635
0.334	142028635
0.335	142028635
0.336	142028635
0.337	142028635
0.338	142028635
0.339	142028635
0.34	142028635
0.341	142028635
0.342	142028635
0.343	142028635
0.344	142028635
0.345	142028635
0.346	142028635
0.347	142028635
0.348	142028635
0.349	142028635
0.35	142028635
0.351	142028635
0.352	142028635
0.353	142028635
0.354	142028635
0.355	142028635
0.356	142028635
0.357	142028635
0.358	142028635
0.359	142028635
0.36	142028635
0.361	142028635
0.362	142028635
0.363	142028635
0.364	142028635
0.365	142028635
0.366	142028635
0.367	142028635
0.368	142028635
0.369	142028635
0.37	142028635
0.371	142028635
0.372	142028635
0.373	142028635
0.374	142028635
0.375	142028635
0.376	142028635
0.377	136791146
0.378	136791146
0.379	136791146
0.38	136791146
0.381	136791146
0.382	136791146
0.383	136791146
0.384	136791146
0.385	136791146
0.386	136791146
0.387	136791146
0.388	136791146
0.389	136791146
0.39	136791146
0.391	136791146
0.392	136791146
0.393	136791146
0.394	136791146
0.395	136791146
0.396	136791146
0.397	136791146
0.398	136791146
0.399	136791146
0.4	136791146
0.401	136791146
0.402	136791146
0.403	136791146
0.404	136791146
0.405	136791146
0.406	136791146
0.407	136791146
0.408	136791146
0.409	136791146
0.41	136791146
0.411	136791146
0.412	136791146
0.413	136791146
0.414	136791146
0.415	136791146
0.416	136791146
0.417	136791146
0.418	136791146
0.419	136791146
0.42	136791146
0.421	136791146
0.422	136791146
0.423	136791146
0.424	136791146
0.425	136791146
0.426	136791146
0.427	136791146
0.428	136791146
0.429	136791146
0.43	136791146
0.431	136791146
0.432	136791146
0.433	136791146
0.434	136791146
0.435	136791146
0.436	136791146
0.437	136791146
0.438	128513557
0.439	128513557
0.44	128513557
0.441	128513557
0.442	128513557
0.443	128513557
