fraction	Nx_length
0.001	534487
0.002	509648
0.003	474424
0.004	450624
0.005	425470
0.006	414798
0.007	406278
0.008	400629
0.009	387293
0.01	377872
0.011	370554
0.012	362914
0.013	354975
0.014	349009
0.015	347199
0.016	344379
0.017	338493
0.018	336516
0.019	334096
0.02	332503
0.021	328397
0.022	324460
0.023	321739
0.024	317468
0.025	315368
0.026	312514
0.027	310578
0.028	307880
0.029	304209
0.03	301523
0.031	300253
0.032	298706
0.033	297042
0.034	295750
0.035	294029
0.036	291573
0.037	289513
0.038	287887
0.039	285904
0.04	284595
0.041	282971
0.042	281740
0.043	280098
0.044	278908
0.045	278319
0.046	276129
0.047	273631
0.048	272440
0.049	271287
0.05	270615
0.051	269385
0.052	267305
0.053	266077
0.054	265296
0.055	263677
0.056	262588
0.057	261580
0.058	260688
0.059	258873
0.06	256681
0.061	255485
0.062	252919
0.063	251228
0.064	250268
0.065	248815
0.066	247335
0.067	246508
0.068	245400
0.069	243886
0.07	243570
0.071	241922
0.072	240069
0.073	238888
0.074	237801
0.075	236153
0.076	235185
0.077	234234
0.078	233969
0.079	232947
0.08	232367
0.081	231996
0.082	231150
0.083	229751
0.084	228977
0.085	228117
0.086	226617
0.087	225423
0.088	224659
0.089	223386
0.09	222909
0.091	222215
0.092	221458
0.093	220746
0.094	219055
0.095	218008
0.096	217145
0.097	216190
0.098	215788
0.099	215438
0.1	214809
0.101	214177
0.102	213733
0.103	213233
0.104	212638
0.105	211854
0.106	211474
0.107	211005
0.108	210164
0.109	209407
0.11	208249
0.111	207014
0.112	206436
0.113	206041
0.114	205197
0.115	204647
0.116	203668
0.117	203019
0.118	202520
0.119	201714
0.12	200908
0.121	199747
0.122	198908
0.123	198199
0.124	197399
0.125	196727
0.126	196166
0.127	195636
0.128	194871
0.129	193588
0.13	193003
0.131	192644
0.132	192012
0.133	191187
0.134	190472
0.135	189907
0.136	189327
0.137	188686
0.138	188228
0.139	187529
0.14	187349
0.141	186698
0.142	186140
0.143	185678
0.144	185269
0.145	184390
0.146	183687
0.147	183183
0.148	182395
0.149	181947
0.15	181306
0.151	180692
0.152	180188
0.153	179860
0.154	179316
0.155	178733
0.156	178115
0.157	177732
0.158	176958
0.159	176536
0.16	176193
0.161	175690
0.162	174947
0.163	174274
0.164	173678
0.165	173227
0.166	173088
0.167	172431
0.168	172038
0.169	171857
0.17	171358
0.171	170998
0.172	170499
0.173	170190
0.174	169716
0.175	169200
0.176	168739
0.177	168445
0.178	167986
0.179	167765
0.18	167281
0.181	166512
0.182	165985
0.183	165479
0.184	165146
0.185	164642
0.186	164223
0.187	163837
0.188	163592
0.189	162983
0.19	162402
0.191	161921
0.192	161399
0.193	160974
0.194	160361
0.195	159973
0.196	159356
0.197	159094
0.198	158576
0.199	158291
0.2	157996
0.201	157512
0.202	156962
0.203	156675
0.204	156154
0.205	155710
0.206	155308
0.207	154994
0.208	154671
0.209	154259
0.21	153967
0.211	153562
0.212	153336
0.213	153057
0.214	152776
0.215	152204
0.216	151927
0.217	151251
0.218	151003
0.219	150787
0.22	150147
0.221	149979
0.222	149656
0.223	149158
0.224	148875
0.225	148623
0.226	148220
0.227	147856
0.228	147517
0.229	147251
0.23	146847
0.231	146449
0.232	146086
0.233	145633
0.234	145298
0.235	144975
0.236	144516
0.237	143984
0.238	143711
0.239	143374
0.24	143008
0.241	142772
0.242	142594
0.243	142260
0.244	141857
0.245	141447
0.246	141150
0.247	140876
0.248	140442
0.249	140194
0.25	139958
0.251	139525
0.252	138982
0.253	138780
0.254	138411
0.255	138003
0.256	137764
0.257	137518
0.258	137162
0.259	136885
0.26	136636
0.261	136383
0.262	136126
0.263	135844
0.264	135400
0.265	134913
0.266	134665
0.267	134076
0.268	133674
0.269	133402
0.27	133061
0.271	132849
0.272	132580
0.273	132321
0.274	132109
0.275	131768
0.276	131312
0.277	131004
0.278	130800
0.279	130556
0.28	130266
0.281	129700
0.282	129369
0.283	128947
0.284	128517
0.285	128021
0.286	127718
0.287	127377
0.288	127089
0.289	126824
0.29	126660
0.291	126446
0.292	126204
0.293	125940
0.294	125640
0.295	125389
0.296	125106
0.297	124906
0.298	124758
0.299	124459
0.3	124248
0.301	123969
0.302	123744
0.303	123393
0.304	123003
0.305	122730
0.306	122557
0.307	122318
0.308	122003
0.309	121825
0.31	121654
0.311	121414
0.312	121214
0.313	121013
0.314	120841
0.315	120523
0.316	120281
0.317	120051
0.318	119752
0.319	119513
0.32	119173
0.321	118973
0.322	118751
0.323	118551
0.324	118211
0.325	117939
0.326	117654
0.327	117400
0.328	117194
0.329	117014
0.33	116767
0.331	116583
0.332	116328
0.333	116120
0.334	115866
0.335	115562
0.336	115411
0.337	115221
0.338	114775
0.339	114540
0.34	114203
0.341	113996
0.342	113666
0.343	113484
0.344	113243
0.345	112894
0.346	112689
0.347	112427
0.348	111973
0.349	111805
0.35	111623
0.351	111324
0.352	111156
0.353	110872
0.354	110697
0.355	110370
0.356	110123
0.357	109783
0.358	109539
0.359	109198
0.36	108937
0.361	108638
0.362	108386
0.363	108142
0.364	107845
0.365	107616
0.366	107382
0.367	107140
0.368	107015
0.369	106777
0.37	106538
0.371	106360
0.372	106054
0.373	105773
0.374	105525
0.375	105240
0.376	105063
0.377	104743
0.378	104528
0.379	104369
0.38	103971
0.381	103742
0.382	103524
0.383	103291
0.384	103018
0.385	102772
0.386	102590
0.387	102314
0.388	102159
0.389	101923
0.39	101706
0.391	101525
0.392	101258
0.393	101001
0.394	100799
0.395	100570
0.396	100318
0.397	100073
0.398	99827
0.399	99587
0.4	99338
0.401	99114
0.402	98789
0.403	98562
0.404	98411
0.405	98240
0.406	97992
0.407	97745
0.408	97631
0.409	97427
0.41	97219
0.411	96937
0.412	96773
0.413	96523
0.414	96283
0.415	96110
0.416	95917
0.417	95589
0.418	95441
0.419	95290
0.42	95119
0.421	94952
0.422	94776
0.423	94570
0.424	94400
0.425	94191
0.426	93977
0.427	93807
0.428	93625
0.429	93423
0.43	93280
0.431	93064
0.432	92857
0.433	92653
0.434	92427
0.435	92250
0.436	91983
0.437	91813
0.438	91562
0.439	91372
0.44	91214
0.441	90967
0.442	90711
0.443	90479
0.444	90366
0.445	90159
0.446	90037
0.447	89753
0.448	89516
0.449	89366
0.45	89206
0.451	89030
0.452	88830
0.453	88621
0.454	88386
0.455	88174
0.456	88033
0.457	87815
0.458	87651
0.459	87484
0.46	87285
0.461	87085
0.462	86865
0.463	86662
0.464	86496
0.465	86322
0.466	86175
0.467	85936
0.468	85727
0.469	85556
0.47	85374
0.471	85151
0.472	84956
0.473	84703
0.474	84519
0.475	84308
0.476	84127
0.477	83939
0.478	83783
0.479	83573
0.48	83378
0.481	83192
0.482	83019
0.483	82785
0.484	82551
0.485	82426
0.486	82269
0.487	82043
0.488	81920
0.489	81712
0.49	81599
0.491	81431
0.492	81251
0.493	81144
0.494	81000
0.495	80813
0.496	80672
0.497	80513
0.498	80311
0.499	80040
0.5	79867
0.501	79665
0.502	79442
0.503	79309
0.504	79183
0.505	78967
0.506	78775
0.507	78625
0.508	78388
0.509	78222
0.51	78082
0.511	77870
0.512	77701
0.513	77590
0.514	77408
0.515	77120
0.516	76971
0.517	76774
0.518	76598
0.519	76459
0.52	76270
0.521	76086
0.522	75954
0.523	75837
0.524	75638
0.525	75482
0.526	75292
0.527	75097
0.528	74900
0.529	74779
0.53	74591
0.531	74381
0.532	74209
0.533	74072
0.534	73956
0.535	73774
0.536	73623
0.537	73479
0.538	73332
0.539	73207
0.54	73071
0.541	72945
0.542	72796
0.543	72590
0.544	72398
0.545	72208
0.546	72050
0.547	71881
0.548	71722
0.549	71498
0.55	71343
0.551	71154
0.552	70988
0.553	70841
0.554	70568
0.555	70355
0.556	70197
0.557	70031
0.558	69900
0.559	69785
0.56	69648
0.561	69469
0.562	69319
0.563	69203
0.564	68985
0.565	68862
0.566	68630
0.567	68420
0.568	68234
0.569	68083
0.57	67831
0.571	67666
0.572	67504
0.573	67363
0.574	67190
0.575	67055
0.576	66911
0.577	66741
0.578	66598
0.579	66394
0.58	66227
0.581	66053
0.582	65910
0.583	65764
0.584	65611
0.585	65360
0.586	65226
0.587	65104
0.588	64942
0.589	64827
0.59	64696
0.591	64502
0.592	64343
0.593	64160
0.594	64008
0.595	63799
0.596	63643
0.597	63511
0.598	63364
0.599	63207
0.6	63036
0.601	62850
0.602	62718
0.603	62597
0.604	62395
0.605	62282
0.606	62108
0.607	61958
0.608	61814
0.609	61673
0.61	61473
0.611	61341
0.612	61195
0.613	60970
0.614	60794
0.615	60652
0.616	60514
0.617	60376
0.618	60232
0.619	60091
0.62	59958
0.621	59825
0.622	59672
0.623	59493
0.624	59397
0.625	59252
0.626	59065
0.627	58907
0.628	58775
0.629	58609
0.63	58471
0.631	58341
0.632	58181
0.633	58014
0.634	57874
0.635	57684
0.636	57540
0.637	57367
0.638	57177
0.639	57028
0.64	56948
0.641	56755
0.642	56571
0.643	56455
0.644	56255
0.645	56100
0.646	55989
0.647	55827
0.648	55676
0.649	55554
0.65	55329
0.651	55166
0.652	54964
0.653	54735
0.654	54569
0.655	54397
0.656	54254
0.657	54095
0.658	53941
0.659	53808
0.66	53665
0.661	53550
0.662	53447
0.663	53276
0.664	53141
0.665	53003
0.666	52858
0.667	52718
0.668	52595
0.669	52458
0.67	52281
0.671	52101
0.672	51925
0.673	51773
0.674	51638
0.675	51482
0.676	51297
0.677	51144
0.678	50980
0.679	50844
0.68	50712
0.681	50586
0.682	50462
0.683	50290
0.684	50174
0.685	49982
0.686	49827
0.687	49670
0.688	49565
0.689	49419
0.69	49313
0.691	49178
0.692	48988
0.693	48802
0.694	48649
0.695	48495
0.696	48399
0.697	48225
0.698	48077
0.699	47926
0.7	47751
0.701	47588
0.702	47438
0.703	47301
0.704	47156
0.705	47023
0.706	46927
0.707	46795
0.708	46650
0.709	46521
0.71	46432
0.711	46305
0.712	46154
0.713	46037
0.714	45891
0.715	45738
0.716	45561
0.717	45433
0.718	45290
0.719	45142
0.72	44944
0.721	44812
0.722	44646
0.723	44493
0.724	44341
0.725	44222
0.726	44053
0.727	43934
0.728	43747
0.729	43606
0.73	43439
0.731	43313
0.732	43165
0.733	43022
0.734	42846
0.735	42699
0.736	42546
0.737	42357
0.738	42210
0.739	42076
0.74	41935
0.741	41788
0.742	41653
0.743	41537
0.744	41382
0.745	41221
0.746	41065
0.747	40907
0.748	40748
0.749	40576
0.75	40407
0.751	40262
0.752	40100
0.753	39954
0.754	39841
0.755	39699
0.756	39547
0.757	39397
0.758	39256
0.759	39106
0.76	38943
0.761	38810
0.762	38643
0.763	38482
0.764	38353
0.765	38202
0.766	38037
0.767	37844
0.768	37730
0.769	37625
0.77	37495
0.771	37335
0.772	37184
0.773	37013
0.774	36863
0.775	36714
0.776	36537
0.777	36394
0.778	36223
0.779	36098
0.78	35931
0.781	35774
0.782	35579
0.783	35434
0.784	35301
0.785	35151
0.786	35015
0.787	34874
0.788	34769
0.789	34636
0.79	34462
0.791	34330
0.792	34193
0.793	34027
0.794	33894
0.795	33726
0.796	33595
0.797	33485
0.798	33340
0.799	33184
0.8	33064
0.801	32935
0.802	32795
0.803	32659
0.804	32503
0.805	32330
0.806	32133
0.807	31996
0.808	31828
0.809	31677
0.81	31546
0.811	31431
0.812	31309
0.813	31155
0.814	30993
0.815	30851
0.816	30738
0.817	30572
0.818	30462
0.819	30307
0.82	30133
0.821	29987
0.822	29841
0.823	29717
0.824	29596
0.825	29435
0.826	29283
0.827	29151
0.828	29017
0.829	28862
0.83	28685
0.831	28530
0.832	28389
0.833	28269
0.834	28133
0.835	27975
0.836	27847
0.837	27666
0.838	27529
0.839	27410
0.84	27302
0.841	27174
0.842	27030
0.843	26880
0.844	26761
0.845	26612
0.846	26474
0.847	26301
0.848	26181
0.849	25996
0.85	25878
0.851	25677
0.852	25512
0.853	25376
0.854	25236
0.855	25065
0.856	24895
0.857	24767
0.858	24603
0.859	24451
0.86	24297
0.861	24145
0.862	24005
0.863	23851
0.864	23722
0.865	23606
0.866	23476
0.867	23298
0.868	23172
0.869	23027
0.87	22874
0.871	22675
0.872	22529
0.873	22399
0.874	22256
0.875	22117
0.876	21959
0.877	21837
0.878	21701
0.879	21558
0.88	21376
0.881	21232
0.882	21078
0.883	20917
0.884	20769
0.885	20627
0.886	20456
0.887	20322
0.888	20173
0.889	20013
0.89	19858
0.891	19687
0.892	19546
0.893	19344
0.894	19183
0.895	19046
0.896	18892
0.897	18747
0.898	18578
0.899	18427
0.9	18303
0.901	18136
0.902	18016
0.903	17882
0.904	17725
0.905	17575
0.906	17427
0.907	17296
0.908	17135
0.909	16970
0.91	16825
0.911	16663
0.912	16515
0.913	16378
0.914	16213
0.915	16067
0.916	15909
0.917	15774
0.918	15594
0.919	15431
0.92	15287
0.921	15115
0.922	14956
0.923	14825
0.924	14668
0.925	14522
0.926	14371
0.927	14238
0.928	14061
0.929	13930
0.93	13783
0.931	13622
0.932	13476
0.933	13330
0.934	13168
0.935	13025
0.936	12877
0.937	12737
0.938	12600
0.939	12459
0.94	12308
0.941	12164
0.942	12025
0.943	11883
0.944	11738
0.945	11581
0.946	11435
0.947	11271
0.948	11134
0.949	10970
0.95	10799
0.951	10641
0.952	10487
0.953	10326
0.954	10192
0.955	10028
0.956	9892
0.957	9756
0.958	9620
0.959	9460
0.96	9330
0.961	9177
0.962	9025
0.963	8887
0.964	8726
0.965	8572
0.966	8422
0.967	8292
0.968	8164
0.969	8027
0.97	7909
0.971	7778
0.972	7650
0.973	7520
0.974	7409
0.975	7289
0.976	7149
0.977	7031
0.978	6920
0.979	6785
0.98	6669
0.981	6537
0.982	6405
0.983	6264
0.984	6131
0.985	5983
0.986	5845
0.987	5699
0.988	5539
0.989	5396
0.99	5246
0.991	5081
0.992	4820
0.993	4478
0.994	4157
0.995	3871
0.996	3652
0.997	3478
0.998	3325
0.999	3159
1.0	3000
