fraction	Nx_length
0.001	263920458
0.002	263920458
0.003	263920458
0.004	263920458
0.005	263920458
0.006	263920458
0.007	263920458
0.008	263920458
0.009	263920458
0.01	263920458
0.011	263920458
0.012	263920458
0.013	263920458
0.014	263920458
0.015	263920458
0.016	263920458
0.017	263920458
0.018	263920458
0.019	263920458
0.02	263920458
0.021	263920458
0.022	263920458
0.023	263920458
0.024	263920458
0.025	263920458
0.026	263920458
0.027	263920458
0.028	263920458
0.029	263920458
0.03	263920458
0.031	263920458
0.032	263920458
0.033	263920458
0.034	263920458
0.035	263920458
0.036	263920458
0.037	263920458
0.038	263920458
0.039	263920458
0.04	263920458
0.041	263920458
0.042	263920458
0.043	263920458
0.044	263920458
0.045	263920458
0.046	263920458
0.047	263920458
0.048	263920458
0.049	263920458
0.05	263920458
0.051	263920458
0.052	263920458
0.053	263920458
0.054	263920458
0.055	263920458
0.056	263920458
0.057	263920458
0.058	263920458
0.059	263920458
0.06	263920458
0.061	263920458
0.062	263920458
0.063	263920458
0.064	263920458
0.065	263920458
0.066	263920458
0.067	263920458
0.068	263920458
0.069	263920458
0.07	263920458
0.071	263920458
0.072	263920458
0.073	263920458
0.074	263920458
0.075	263920458
0.076	263920458
0.077	263920458
0.078	263920458
0.079	263920458
0.08	263920458
0.081	263920458
0.082	263920458
0.083	263920458
0.084	263920458
0.085	263920458
0.086	263920458
0.087	263920458
0.088	263920458
0.089	263920458
0.09	263920458
0.091	263920458
0.092	263920458
0.093	263920458
0.094	263920458
0.095	263920458
0.096	263920458
0.097	263920458
0.098	263920458
0.099	263920458
0.1	263920458
0.101	263920458
0.102	263920458
0.103	263920458
0.104	263920458
0.105	263920458
0.106	263920458
0.107	263920458
0.108	263920458
0.109	263920458
0.11	263920458
0.111	263920458
0.112	263920458
0.113	263920458
0.114	263920458
0.115	263920458
0.116	263920458
0.117	263920458
0.118	263920458
0.119	263920458
0.12	263920458
0.121	263920458
0.122	263920458
0.123	263920458
0.124	263920458
0.125	263920458
0.126	263920458
0.127	263920458
0.128	263920458
0.129	263920458
0.13	263920458
0.131	263920458
0.132	263920458
0.133	263920458
0.134	263920458
0.135	263920458
0.136	263920458
0.137	263920458
0.138	263920458
0.139	263920458
0.14	263920458
0.141	263920458
0.142	263920458
0.143	263920458
0.144	263920458
0.145	263920458
0.146	263920458
0.147	204416410
0.148	204416410
0.149	204416410
0.15	204416410
0.151	204416410
0.152	204416410
0.153	204416410
0.154	204416410
0.155	204416410
0.156	204416410
0.157	204416410
0.158	204416410
0.159	204416410
0.16	204416410
0.161	204416410
0.162	204416410
0.163	204416410
0.164	204416410
0.165	204416410
0.166	204416410
0.167	204416410
0.168	204416410
0.169	204416410
0.17	204416410
0.171	204416410
0.172	204416410
0.173	204416410
0.174	204416410
0.175	204416410
0.176	204416410
0.177	204416410
0.178	204416410
0.179	204416410
0.18	204416410
0.181	204416410
0.182	204416410
0.183	204416410
0.184	204416410
0.185	204416410
0.186	204416410
0.187	204416410
0.188	204416410
0.189	204416410
0.19	204416410
0.191	204416410
0.192	204416410
0.193	204416410
0.194	204416410
0.195	204416410
0.196	204416410
0.197	204416410
0.198	204416410
0.199	204416410
0.2	204416410
0.201	204416410
0.202	204416410
0.203	204416410
0.204	204416410
0.205	204416410
0.206	204416410
0.207	204416410
0.208	204416410
0.209	204416410
0.21	204416410
0.211	204416410
0.212	204416410
0.213	204416410
0.214	204416410
0.215	204416410
0.216	204416410
0.217	204416410
0.218	204416410
0.219	204416410
0.22	204416410
0.221	204416410
0.222	204416410
0.223	204416410
0.224	204416410
0.225	204416410
0.226	204416410
0.227	204416410
0.228	204416410
0.229	204416410
0.23	204416410
0.231	204416410
0.232	204416410
0.233	204416410
0.234	204416410
0.235	204416410
0.236	204416410
0.237	204416410
0.238	204416410
0.239	204416410
0.24	204416410
0.241	204416410
0.242	204416410
0.243	204416410
0.244	204416410
0.245	204416410
0.246	204416410
0.247	204416410
0.248	204416410
0.249	204416410
0.25	204416410
0.251	204416410
0.252	204416410
0.253	204416410
0.254	204416410
0.255	204416410
0.256	204416410
0.257	204416410
0.258	204416410
0.259	204416410
0.26	204416410
0.261	199619895
0.262	199619895
0.263	199619895
0.264	199619895
0.265	199619895
0.266	199619895
0.267	199619895
0.268	199619895
0.269	199619895
0.27	199619895
0.271	199619895
0.272	199619895
0.273	199619895
0.274	199619895
0.275	199619895
0.276	199619895
0.277	199619895
0.278	199619895
0.279	199619895
0.28	199619895
0.281	199619895
0.282	199619895
0.283	199619895
0.284	199619895
0.285	199619895
0.286	199619895
0.287	199619895
0.288	199619895
0.289	199619895
0.29	199619895
0.291	199619895
0.292	199619895
0.293	199619895
0.294	199619895
0.295	199619895
0.296	199619895
0.297	199619895
0.298	199619895
0.299	199619895
0.3	199619895
0.301	199619895
0.302	199619895
0.303	199619895
0.304	199619895
0.305	199619895
0.306	199619895
0.307	199619895
0.308	199619895
0.309	199619895
0.31	199619895
0.311	199619895
0.312	199619895
0.313	199619895
0.314	199619895
0.315	199619895
0.316	199619895
0.317	199619895
0.318	199619895
0.319	199619895
0.32	199619895
0.321	199619895
0.322	199619895
0.323	199619895
0.324	199619895
0.325	199619895
0.326	199619895
0.327	199619895
0.328	199619895
0.329	199619895
0.33	199619895
0.331	199619895
0.332	199619895
0.333	199619895
0.334	199619895
0.335	199619895
0.336	199619895
0.337	199619895
0.338	199619895
0.339	199619895
0.34	199619895
0.341	199619895
0.342	199619895
0.343	199619895
0.344	199619895
0.345	199619895
0.346	199619895
0.347	199619895
0.348	199619895
0.349	199619895
0.35	199619895
0.351	199619895
0.352	199619895
0.353	199619895
0.354	199619895
0.355	199619895
0.356	199619895
0.357	199619895
0.358	199619895
0.359	199619895
0.36	199619895
0.361	199619895
0.362	199619895
0.363	199619895
0.364	199619895
0.365	199619895
0.366	199619895
0.367	199619895
0.368	199619895
0.369	199619895
0.37	199619895
0.371	199619895
0.372	156502444
0.373	156502444
0.374	156502444
0.375	156502444
0.376	156502444
0.377	156502444
0.378	156502444
0.379	156502444
0.38	156502444
0.381	156502444
0.382	156502444
0.383	156502444
0.384	156502444
0.385	156502444
0.386	156502444
0.387	156502444
0.388	156502444
0.389	156502444
0.39	156502444
0.391	156502444
0.392	156502444
0.393	156502444
0.394	156502444
0.395	156502444
0.396	156502444
0.397	156502444
0.398	156502444
0.399	156502444
0.4	156502444
0.401	156502444
0.402	156502444
0.403	156502444
0.404	156502444
0.405	156502444
0.406	156502444
0.407	156502444
0.408	156502444
0.409	156502444
0.41	156502444
0.411	156502444
0.412	156502444
0.413	156502444
0.414	156502444
0.415	156502444
0.416	156502444
0.417	156502444
0.418	156502444
0.419	156502444
0.42	156502444
0.421	156502444
0.422	156502444
0.423	156502444
0.424	156502444
0.425	156502444
0.426	156502444
0.427	156502444
0.428	156502444
0.429	156502444
0.43	156502444
0.431	156502444
0.432	156502444
0.433	156502444
0.434	156502444
0.435	156502444
0.436	156502444
0.437	156502444
0.438	156502444
0.439	156502444
0.44	156502444
0.441	156502444
0.442	156502444
0.443	156502444
0.444	156502444
0.445	156502444
0.446	156502444
0.447	156502444
0.448	156502444
0.449	156502444
0.45	156502444
0.451	156502444
0.452	156502444
0.453	156502444
0.454	156502444
0.455	156502444
0.456	156502444
0.457	156502444
0.458	156502444
0.459	150641573
0.46	150641573
0.461	150641573
0.462	150641573
0.463	150641573
0.464	150641573
0.465	150641573
0.466	150641573
0.467	150641573
0.468	150641573
0.469	150641573
0.47	150641573
0.471	150641573
0.472	150641573
0.473	150641573
0.474	150641573
0.475	150641573
0.476	150641573
0.477	150641573
0.478	150641573
0.479	150641573
0.48	150641573
0.481	150641573
0.482	150641573
0.483	150641573
0.484	150641573
0.485	150641573
0.486	150641573
0.487	150641573
0.488	150641573
0.489	150641573
0.49	150641573
0.491	150641573
0.492	150641573
0.493	150641573
0.494	150641573
0.495	150641573
0.496	150641573
0.497	150641573
0.498	150641573
0.499	150641573
0.5	150641573
0.501	150641573
0.502	150641573
0.503	150641573
0.504	150641573
0.505	150641573
0.506	150641573
0.507	150641573
0.508	150641573
0.509	150641573
0.51	150641573
0.511	150641573
0.512	150641573
0.513	150641573
0.514	150641573
0.515	150641573
0.516	150641573
0.517	150641573
0.518	150641573
0.519	150641573
0.52	150641573
0.521	150641573
0.522	150641573
0.523	150641573
0.524	150641573
0.525	150641573
0.526	150641573
0.527	150641573
0.528	150641573
0.529	150641573
0.53	150641573
0.531	150641573
0.532	150641573
0.533	150641573
0.534	150641573
0.535	150641573
0.536	150641573
0.537	150641573
0.538	150641573
0.539	150641573
0.54	150641573
0.541	150641573
0.542	80741955
0.543	80741955
0.544	80741955
0.545	80741955
0.546	80741955
0.547	80741955
0.548	80741955
0.549	80741955
0.55	80741955
0.551	80741955
0.552	80741955
0.553	80741955
0.554	80741955
0.555	80741955
0.556	80741955
0.557	80741955
0.558	80741955
0.559	80741955
0.56	80741955
0.561	80741955
0.562	80741955
0.563	80741955
0.564	80741955
0.565	80741955
0.566	80741955
0.567	80741955
0.568	80741955
0.569	80741955
0.57	80741955
0.571	80741955
0.572	80741955
0.573	80741955
0.574	80741955
0.575	80741955
0.576	80741955
0.577	80741955
0.578	80741955
0.579	80741955
0.58	80741955
0.581	80741955
0.582	80741955
0.583	80741955
0.584	80741955
0.585	80741955
0.586	80741955
0.587	14352415
0.588	14352415
0.589	14352415
0.59	14352415
0.591	14352415
0.592	14352415
0.593	14352415
0.594	14352415
0.595	10611382
0.596	10611382
0.597	10611382
0.598	10611382
0.599	10611382
0.6	10611382
0.601	9478905
0.602	9478905
0.603	9478905
0.604	9478905
0.605	9478905
0.606	9478905
0.607	9143828
0.608	9143828
0.609	9143828
0.61	9143828
0.611	9143828
0.612	7025928
0.613	7025928
0.614	7025928
0.615	6250754
0.616	6250754
0.617	6250754
0.618	6250754
0.619	6050496
0.62	6050496
0.621	6050496
0.622	5503877
0.623	5503877
0.624	5503877
0.625	4717188
0.626	4717188
0.627	4717188
0.628	4710625
0.629	4710625
0.63	4710625
0.631	4663706
0.632	4663706
0.633	4541181
0.634	4541181
0.635	4541181
0.636	4473256
0.637	4473256
0.638	4366191
0.639	4366191
0.64	4366191
0.641	4328524
0.642	4328524
0.643	4286836
0.644	4286836
0.645	4257874
0.646	4257874
0.647	4257874
0.648	4223750
0.649	4223750
0.65	4130046
0.651	4130046
0.652	3593707
0.653	3593707
0.654	3514351
0.655	3514351
0.656	3271537
0.657	3271537
0.658	3201565
0.659	3201565
0.66	2904641
0.661	2904641
0.662	2845231
0.663	2784699
0.664	2784699
0.665	2633852
0.666	2624946
0.667	2624946
0.668	2623366
0.669	2613550
0.67	2613550
0.671	2593416
0.672	2581298
0.673	2581199
0.674	2581199
0.675	2533651
0.676	2527710
0.677	2527710
0.678	2495235
0.679	2494067
0.68	2420266
0.681	2420266
0.682	2408697
0.683	2396296
0.684	2394881
0.685	2394881
0.686	2389188
0.687	2387735
0.688	2362803
0.689	2362803
0.69	2342579
0.691	2340319
0.692	2337058
0.693	2337058
0.694	2326707
0.695	2305511
0.696	2281054
0.697	2281054
0.698	2233734
0.699	2230853
0.7	2230573
0.701	2226068
0.702	2214862
0.703	2214862
0.704	2197471
0.705	2173903
0.706	2171597
0.707	2114502
0.708	2114502
0.709	2112074
0.71	2106005
0.711	2098820
0.712	2090378
0.713	2052375
0.714	2052272
0.715	2044940
0.716	2044940
0.717	2034134
0.718	2031949
0.719	2030185
0.72	2022075
0.721	2017131
