fraction	Nx_length
0.001	75088
0.002	68612
0.003	63226
0.004	59755
0.005	57759
0.006	55540
0.007	54235
0.008	53151
0.009	51589
0.01	50685
0.011	49683
0.012	48892
0.013	48199
0.014	47294
0.015	46582
0.016	45729
0.017	45169
0.018	44572
0.019	44104
0.02	43699
0.021	43226
0.022	42660
0.023	42004
0.024	41582
0.025	41216
0.026	40772
0.027	40318
0.028	40102
0.029	39743
0.03	39377
0.031	39051
0.032	38868
0.033	38536
0.034	38201
0.035	37866
0.036	37603
0.037	37307
0.038	36971
0.039	36748
0.04	36442
0.041	36175
0.042	35991
0.043	35809
0.044	35554
0.045	35335
0.046	35122
0.047	34956
0.048	34809
0.049	34620
0.05	34461
0.051	34296
0.052	34104
0.053	33885
0.054	33704
0.055	33511
0.056	33335
0.057	33143
0.058	33017
0.059	32839
0.06	32650
0.061	32513
0.062	32345
0.063	32190
0.064	32035
0.065	31882
0.066	31758
0.067	31610
0.068	31477
0.069	31321
0.07	31175
0.071	31050
0.072	30937
0.073	30807
0.074	30708
0.075	30580
0.076	30423
0.077	30282
0.078	30162
0.079	30047
0.08	29897
0.081	29733
0.082	29609
0.083	29491
0.084	29328
0.085	29213
0.086	29012
0.087	28923
0.088	28808
0.089	28689
0.09	28587
0.091	28475
0.092	28348
0.093	28228
0.094	28101
0.095	28006
0.096	27922
0.097	27811
0.098	27709
0.099	27615
0.1	27513
0.101	27407
0.102	27308
0.103	27229
0.104	27144
0.105	27038
0.106	26944
0.107	26855
0.108	26768
0.109	26664
0.11	26558
0.111	26471
0.112	26360
0.113	26280
0.114	26196
0.115	26123
0.116	26023
0.117	25943
0.118	25838
0.119	25726
0.12	25660
0.121	25571
0.122	25488
0.123	25410
0.124	25338
0.125	25248
0.126	25162
0.127	25102
0.128	25048
0.129	24979
0.13	24896
0.131	24810
0.132	24731
0.133	24662
0.134	24580
0.135	24507
0.136	24430
0.137	24340
0.138	24264
0.139	24174
0.14	24087
0.141	24007
0.142	23926
0.143	23859
0.144	23781
0.145	23712
0.146	23649
0.147	23561
0.148	23491
0.149	23426
0.15	23369
0.151	23302
0.152	23230
0.153	23172
0.154	23090
0.155	23005
0.156	22928
0.157	22879
0.158	22830
0.159	22758
0.16	22698
0.161	22637
0.162	22574
0.163	22509
0.164	22456
0.165	22385
0.166	22310
0.167	22243
0.168	22178
0.169	22133
0.17	22088
0.171	22021
0.172	21966
0.173	21899
0.174	21827
0.175	21763
0.176	21706
0.177	21646
0.178	21586
0.179	21529
0.18	21476
0.181	21428
0.182	21374
0.183	21323
0.184	21272
0.185	21213
0.186	21162
0.187	21108
0.188	21056
0.189	20990
0.19	20925
0.191	20866
0.192	20816
0.193	20758
0.194	20710
0.195	20661
0.196	20599
0.197	20536
0.198	20489
0.199	20441
0.2	20395
0.201	20339
0.202	20299
0.203	20244
0.204	20184
0.205	20130
0.206	20085
0.207	20039
0.208	19983
0.209	19933
0.21	19891
0.211	19842
0.212	19786
0.213	19737
0.214	19693
0.215	19650
0.216	19602
0.217	19554
0.218	19505
0.219	19458
0.22	19400
0.221	19354
0.222	19312
0.223	19263
0.224	19221
0.225	19178
0.226	19128
0.227	19086
0.228	19035
0.229	18993
0.23	18953
0.231	18902
0.232	18848
0.233	18803
0.234	18763
0.235	18716
0.236	18674
0.237	18636
0.238	18591
0.239	18544
0.24	18492
0.241	18447
0.242	18405
0.243	18369
0.244	18334
0.245	18297
0.246	18253
0.247	18207
0.248	18172
0.249	18136
0.25	18096
0.251	18051
0.252	18011
0.253	17972
0.254	17934
0.255	17881
0.256	17845
0.257	17804
0.258	17767
0.259	17721
0.26	17673
0.261	17633
0.262	17584
0.263	17549
0.264	17512
0.265	17474
0.266	17435
0.267	17397
0.268	17369
0.269	17329
0.27	17290
0.271	17248
0.272	17214
0.273	17174
0.274	17141
0.275	17107
0.276	17068
0.277	17031
0.278	16994
0.279	16951
0.28	16920
0.281	16883
0.282	16844
0.283	16811
0.284	16775
0.285	16730
0.286	16697
0.287	16666
0.288	16632
0.289	16596
0.29	16559
0.291	16521
0.292	16486
0.293	16448
0.294	16408
0.295	16374
0.296	16330
0.297	16296
0.298	16260
0.299	16226
0.3	16192
0.301	16161
0.302	16123
0.303	16087
0.304	16048
0.305	16012
0.306	15980
0.307	15951
0.308	15922
0.309	15885
0.31	15853
0.311	15822
0.312	15783
0.313	15754
0.314	15724
0.315	15695
0.316	15660
0.317	15629
0.318	15600
0.319	15562
0.32	15521
0.321	15482
0.322	15452
0.323	15424
0.324	15391
0.325	15364
0.326	15325
0.327	15295
0.328	15264
0.329	15229
0.33	15200
0.331	15170
0.332	15138
0.333	15110
0.334	15078
0.335	15047
0.336	15013
0.337	14979
0.338	14953
0.339	14921
0.34	14883
0.341	14847
0.342	14813
0.343	14783
0.344	14755
0.345	14727
0.346	14693
0.347	14665
0.348	14638
0.349	14610
0.35	14579
0.351	14548
0.352	14513
0.353	14483
0.354	14456
0.355	14421
0.356	14390
0.357	14362
0.358	14336
0.359	14304
0.36	14275
0.361	14247
0.362	14215
0.363	14184
0.364	14149
0.365	14119
0.366	14090
0.367	14062
0.368	14031
0.369	14000
0.37	13971
0.371	13935
0.372	13909
0.373	13875
0.374	13846
0.375	13819
0.376	13790
0.377	13767
0.378	13743
0.379	13719
0.38	13686
0.381	13655
0.382	13624
0.383	13598
0.384	13566
0.385	13539
0.386	13511
0.387	13482
0.388	13456
0.389	13429
0.39	13400
0.391	13372
0.392	13347
0.393	13320
0.394	13293
0.395	13268
0.396	13241
0.397	13214
0.398	13186
0.399	13162
0.4	13134
0.401	13106
0.402	13079
0.403	13053
0.404	13024
0.405	13000
0.406	12972
0.407	12948
0.408	12920
0.409	12899
0.41	12877
0.411	12853
0.412	12827
0.413	12798
0.414	12774
0.415	12747
0.416	12723
0.417	12697
0.418	12669
0.419	12640
0.42	12611
0.421	12583
0.422	12557
0.423	12534
0.424	12502
0.425	12476
0.426	12455
0.427	12431
0.428	12406
0.429	12383
0.43	12357
0.431	12331
0.432	12302
0.433	12279
0.434	12252
0.435	12230
0.436	12204
0.437	12177
0.438	12156
0.439	12133
0.44	12107
0.441	12079
0.442	12053
0.443	12029
0.444	12000
0.445	11978
0.446	11952
0.447	11930
0.448	11910
0.449	11884
0.45	11860
0.451	11835
0.452	11810
0.453	11782
0.454	11761
0.455	11737
0.456	11715
0.457	11687
0.458	11663
0.459	11640
0.46	11613
0.461	11589
0.462	11561
0.463	11533
0.464	11511
0.465	11487
0.466	11463
0.467	11440
0.468	11416
0.469	11391
0.47	11366
0.471	11343
0.472	11316
0.473	11291
0.474	11265
0.475	11242
0.476	11217
0.477	11193
0.478	11171
0.479	11151
0.48	11125
0.481	11102
0.482	11079
0.483	11055
0.484	11031
0.485	11008
0.486	10984
0.487	10963
0.488	10941
0.489	10919
0.49	10897
0.491	10875
0.492	10852
0.493	10829
0.494	10802
0.495	10779
0.496	10757
0.497	10732
0.498	10706
0.499	10681
0.5	10658
0.501	10633
0.502	10610
0.503	10587
0.504	10562
0.505	10539
0.506	10519
0.507	10498
0.508	10473
0.509	10450
0.51	10429
0.511	10405
0.512	10382
0.513	10358
0.514	10334
0.515	10315
0.516	10295
0.517	10272
0.518	10247
0.519	10223
0.52	10203
0.521	10178
0.522	10158
0.523	10136
0.524	10115
0.525	10093
0.526	10070
0.527	10049
0.528	10028
0.529	10004
0.53	9983
0.531	9961
0.532	9937
0.533	9918
0.534	9894
0.535	9873
0.536	9853
0.537	9830
0.538	9806
0.539	9783
0.54	9761
0.541	9741
0.542	9719
0.543	9697
0.544	9676
0.545	9658
0.546	9637
0.547	9615
0.548	9591
0.549	9568
0.55	9548
0.551	9527
0.552	9507
0.553	9483
0.554	9463
0.555	9439
0.556	9418
0.557	9397
0.558	9376
0.559	9357
0.56	9336
0.561	9317
0.562	9295
0.563	9275
0.564	9255
0.565	9234
0.566	9210
0.567	9189
0.568	9167
0.569	9145
0.57	9124
0.571	9104
0.572	9083
0.573	9061
0.574	9039
0.575	9017
0.576	8995
0.577	8975
0.578	8954
0.579	8934
0.58	8911
0.581	8890
0.582	8868
0.583	8849
0.584	8826
0.585	8808
0.586	8787
0.587	8767
0.588	8745
0.589	8723
0.59	8701
0.591	8682
0.592	8662
0.593	8642
0.594	8621
0.595	8600
0.596	8578
0.597	8557
0.598	8534
0.599	8509
0.6	8488
0.601	8470
0.602	8450
0.603	8431
0.604	8410
0.605	8389
0.606	8370
0.607	8352
0.608	8335
0.609	8318
0.61	8298
0.611	8277
0.612	8255
0.613	8236
0.614	8213
0.615	8195
0.616	8175
0.617	8156
0.618	8137
0.619	8118
0.62	8100
0.621	8080
0.622	8061
0.623	8045
0.624	8026
0.625	8009
0.626	7990
0.627	7972
0.628	7953
0.629	7931
0.63	7910
0.631	7892
0.632	7872
0.633	7849
0.634	7828
0.635	7810
0.636	7791
0.637	7770
0.638	7754
0.639	7736
0.64	7715
0.641	7694
0.642	7675
0.643	7654
0.644	7635
0.645	7615
0.646	7594
0.647	7574
0.648	7554
0.649	7536
0.65	7517
0.651	7498
0.652	7481
0.653	7463
0.654	7445
0.655	7425
0.656	7406
0.657	7385
0.658	7366
0.659	7346
0.66	7326
0.661	7308
0.662	7289
0.663	7270
0.664	7253
0.665	7235
0.666	7218
0.667	7198
0.668	7180
0.669	7160
0.67	7140
0.671	7121
0.672	7099
0.673	7080
0.674	7060
0.675	7041
0.676	7022
0.677	7003
0.678	6985
0.679	6966
0.68	6946
0.681	6925
0.682	6907
0.683	6888
0.684	6869
0.685	6850
0.686	6832
0.687	6812
0.688	6793
0.689	6776
0.69	6756
0.691	6736
0.692	6718
0.693	6699
0.694	6678
0.695	6660
0.696	6638
0.697	6621
0.698	6603
0.699	6584
0.7	6565
0.701	6547
0.702	6529
0.703	6511
0.704	6490
0.705	6468
0.706	6451
0.707	6433
0.708	6414
0.709	6397
0.71	6378
0.711	6359
0.712	6341
0.713	6321
0.714	6302
0.715	6284
0.716	6265
0.717	6246
0.718	6226
0.719	6208
0.72	6188
0.721	6171
0.722	6150
0.723	6130
0.724	6114
0.725	6095
0.726	6076
0.727	6058
0.728	6038
0.729	6020
0.73	6002
0.731	5983
0.732	5963
0.733	5944
0.734	5926
0.735	5910
0.736	5889
0.737	5869
0.738	5852
0.739	5836
0.74	5819
0.741	5800
0.742	5782
0.743	5764
0.744	5747
0.745	5731
0.746	5713
0.747	5694
0.748	5676
0.749	5658
0.75	5640
0.751	5623
0.752	5605
0.753	5585
0.754	5566
0.755	5547
0.756	5530
0.757	5512
0.758	5494
0.759	5474
0.76	5456
0.761	5438
0.762	5418
0.763	5399
0.764	5380
0.765	5362
0.766	5343
0.767	5324
0.768	5306
0.769	5289
0.77	5270
0.771	5250
0.772	5231
0.773	5213
0.774	5195
0.775	5175
0.776	5159
0.777	5139
0.778	5117
0.779	5098
0.78	5078
0.781	5060
0.782	5042
0.783	5024
0.784	5006
0.785	4987
0.786	4968
0.787	4949
0.788	4931
0.789	4911
0.79	4891
0.791	4873
0.792	4854
0.793	4833
0.794	4816
0.795	4799
0.796	4779
0.797	4759
0.798	4740
0.799	4723
0.8	4704
0.801	4685
0.802	4666
0.803	4648
0.804	4629
0.805	4610
0.806	4591
0.807	4572
0.808	4553
0.809	4536
0.81	4518
0.811	4498
0.812	4478
0.813	4459
0.814	4440
0.815	4421
0.816	4403
0.817	4385
0.818	4367
0.819	4349
0.82	4331
0.821	4313
0.822	4293
0.823	4275
0.824	4255
0.825	4233
0.826	4214
0.827	4192
0.828	4169
0.829	4152
0.83	4132
0.831	4113
0.832	4092
0.833	4073
0.834	4055
0.835	4035
0.836	4017
0.837	3997
0.838	3977
0.839	3960
0.84	3940
0.841	3922
0.842	3904
0.843	3883
0.844	3864
0.845	3843
0.846	3824
0.847	3804
0.848	3786
0.849	3766
0.85	3744
0.851	3725
0.852	3704
0.853	3686
0.854	3666
0.855	3646
0.856	3627
0.857	3607
0.858	3587
0.859	3569
0.86	3548
0.861	3529
0.862	3507
0.863	3489
0.864	3468
0.865	3449
0.866	3428
0.867	3408
0.868	3388
0.869	3369
0.87	3349
0.871	3330
0.872	3309
0.873	3289
0.874	3268
0.875	3248
0.876	3229
0.877	3207
0.878	3188
0.879	3167
0.88	3147
0.881	3125
0.882	3104
0.883	3084
0.884	3062
0.885	3041
0.886	3020
0.887	2999
0.888	2979
0.889	2958
0.89	2937
0.891	2917
0.892	2897
0.893	2876
0.894	2856
0.895	2837
0.896	2816
0.897	2795
0.898	2774
0.899	2753
0.9	2731
0.901	2709
0.902	2689
0.903	2667
0.904	2646
0.905	2626
0.906	2604
0.907	2583
0.908	2563
0.909	2542
0.91	2519
0.911	2497
0.912	2475
0.913	2454
0.914	2431
0.915	2409
0.916	2385
0.917	2362
0.918	2338
0.919	2315
0.92	2292
0.921	2269
0.922	2245
0.923	2222
0.924	2199
0.925	2176
0.926	2152
0.927	2129
0.928	2105
0.929	2083
0.93	2059
0.931	2037
0.932	2015
0.933	1992
0.934	1968
0.935	1946
0.936	1923
0.937	1901
0.938	1877
0.939	1854
0.94	1830
