fraction	Nx_length
0.001	1452584
0.002	1258590
0.003	1236292
0.004	1174220
0.005	1110781
0.006	1110532
0.007	1103470
0.008	1068227
0.009	1065342
0.01	992664
0.011	988469
0.012	955190
0.013	948923
0.014	943687
0.015	938679
0.016	934676
0.017	932394
0.018	922510
0.019	920708
0.02	907611
0.021	889917
0.022	886211
0.023	883251
0.024	881770
0.025	878080
0.026	853600
0.027	850233
0.028	844811
0.029	837107
0.03	823750
0.031	821812
0.032	817743
0.033	804778
0.034	801610
0.035	798922
0.036	788882
0.037	782647
0.038	773605
0.039	759925
0.04	750171
0.041	747560
0.042	747416
0.043	733013
0.044	731461
0.045	728606
0.046	723411
0.047	718587
0.048	717873
0.049	709034
0.05	706952
0.051	705695
0.052	701401
0.053	696166
0.054	692302
0.055	690895
0.056	688074
0.057	685388
0.058	678955
0.059	676258
0.06	674373
0.061	672319
0.062	668994
0.063	665364
0.064	661646
0.065	658187
0.066	652689
0.067	650751
0.068	649022
0.069	645348
0.07	644677
0.071	643128
0.072	642383
0.073	639303
0.074	632352
0.075	626224
0.076	624066
0.077	622996
0.078	620542
0.079	618862
0.08	617903
0.081	615734
0.082	614111
0.083	610127
0.084	608715
0.085	608000
0.086	606535
0.087	605826
0.088	604122
0.089	600284
0.09	600188
0.091	599616
0.092	598238
0.093	588296
0.094	585926
0.095	584453
0.096	581391
0.097	580721
0.098	579157
0.099	578240
0.1	575988
0.101	572165
0.102	568821
0.103	568497
0.104	566373
0.105	566197
0.106	563275
0.107	560913
0.108	559423
0.109	558045
0.11	557415
0.111	555868
0.112	554052
0.113	551680
0.114	549055
0.115	548461
0.116	547318
0.117	547231
0.118	542201
0.119	540157
0.12	539465
0.121	538029
0.122	536934
0.123	535848
0.124	535497
0.125	533215
0.126	531860
0.127	530547
0.128	528555
0.129	527126
0.13	525837
0.131	524473
0.132	523551
0.133	521973
0.134	519814
0.135	518545
0.136	516107
0.137	514361
0.138	513326
0.139	510994
0.14	510255
0.141	509164
0.142	507364
0.143	506513
0.144	505069
0.145	504807
0.146	503789
0.147	501028
0.148	498811
0.149	497346
0.15	496995
0.151	496199
0.152	495772
0.153	493929
0.154	493517
0.155	492080
0.156	489969
0.157	487979
0.158	486685
0.159	485393
0.16	484797
0.161	482010
0.162	479804
0.163	478990
0.164	478186
0.165	477430
0.166	476375
0.167	474574
0.168	472949
0.169	470340
0.17	468786
0.171	467661
0.172	466128
0.173	465036
0.174	462428
0.175	461743
0.176	460017
0.177	459305
0.178	458592
0.179	457806
0.18	456847
0.181	455442
0.182	454259
0.183	453044
0.184	451999
0.185	450863
0.186	449066
0.187	448165
0.188	447041
0.189	443800
0.19	442090
0.191	441462
0.192	440037
0.193	438944
0.194	438526
0.195	438088
0.196	437770
0.197	437098
0.198	435861
0.199	434516
0.2	433360
0.201	432482
0.202	431695
0.203	430806
0.204	429749
0.205	428894
0.206	427906
0.207	426240
0.208	425873
0.209	423568
0.21	422475
0.211	421631
0.212	421109
0.213	420544
0.214	419700
0.215	418748
0.216	417132
0.217	415290
0.218	413678
0.219	413094
0.22	412839
0.221	411724
0.222	408826
0.223	408142
0.224	406848
0.225	405995
0.226	404056
0.227	403493
0.228	402488
0.229	401084
0.23	400455
0.231	398982
0.232	397794
0.233	397369
0.234	396031
0.235	395209
0.236	394863
0.237	394436
0.238	393396
0.239	393239
0.24	392258
0.241	391426
0.242	390153
0.243	389741
0.244	388229
0.245	387014
0.246	384810
0.247	383755
0.248	383324
0.249	382383
0.25	381086
0.251	379651
0.252	378753
0.253	378179
0.254	377610
0.255	376770
0.256	375489
0.257	375230
0.258	374353
0.259	374124
0.26	373453
0.261	372702
0.262	371706
0.263	370797
0.264	370508
0.265	369431
0.266	368492
0.267	367103
0.268	365894
0.269	365173
0.27	364675
0.271	362906
0.272	361985
0.273	361318
0.274	360320
0.275	359296
0.276	358531
0.277	358204
0.278	357708
0.279	356398
0.28	355636
0.281	354184
0.282	353131
0.283	352294
0.284	351890
0.285	351400
0.286	350828
0.287	350273
0.288	349078
0.289	347193
0.29	346481
0.291	346143
0.292	344899
0.293	343778
0.294	343145
0.295	341814
0.296	341193
0.297	340617
0.298	339368
0.299	338587
0.3	338024
0.301	336985
0.302	336103
0.303	335407
0.304	334559
0.305	333357
0.306	332470
0.307	331902
0.308	331492
0.309	330904
0.31	330233
0.311	329185
0.312	328948
0.313	328180
0.314	327465
0.315	326941
0.316	325265
0.317	324595
0.318	323620
0.319	322793
0.32	322329
0.321	321585
0.322	320224
0.323	319588
0.324	318462
0.325	318156
0.326	317703
0.327	316813
0.328	316154
0.329	315465
0.33	314395
0.331	313222
0.332	312778
0.333	311994
0.334	311481
0.335	310098
0.336	309328
0.337	309119
0.338	308928
0.339	308357
0.34	307865
0.341	307207
0.342	306477
0.343	306032
0.344	305300
0.345	304873
0.346	304201
0.347	303080
0.348	302629
0.349	301903
0.35	301711
0.351	301268
0.352	300940
0.353	300746
0.354	300051
0.355	299383
0.356	297734
0.357	297323
0.358	296901
0.359	296282
0.36	295386
0.361	294646
0.362	294288
0.363	293568
0.364	293224
0.365	292530
0.366	291999
0.367	291427
0.368	290945
0.369	290218
0.37	289021
0.371	288513
0.372	287758
0.373	287285
0.374	286731
0.375	285960
0.376	285741
0.377	285148
0.378	284221
0.379	283889
0.38	283326
0.381	282771
0.382	282270
0.383	281836
0.384	281015
0.385	280119
0.386	279542
0.387	278479
0.388	277724
0.389	277251
0.39	276338
0.391	275612
0.392	274593
0.393	273999
0.394	273381
0.395	272847
0.396	272378
0.397	271770
0.398	270912
0.399	269954
0.4	269271
0.401	268389
0.402	268051
0.403	267177
0.404	266409
0.405	265457
0.406	264760
0.407	263687
0.408	263137
0.409	262346
0.41	261962
0.411	261608
0.412	261147
0.413	260395
0.414	259626
0.415	259312
0.416	258696
0.417	257856
0.418	257353
0.419	256973
0.42	256429
0.421	256013
0.422	255816
0.423	255213
0.424	254385
0.425	253944
0.426	253489
0.427	252726
0.428	251905
0.429	251276
0.43	250782
0.431	250370
0.432	249628
0.433	248745
0.434	248174
0.435	247739
0.436	246956
0.437	246127
0.438	245495
0.439	244762
0.44	244197
0.441	243844
0.442	243470
0.443	243311
0.444	243014
0.445	242604
0.446	241516
0.447	241390
0.448	240492
0.449	240150
0.45	239394
0.451	239227
0.452	238764
0.453	238272
0.454	237639
0.455	237149
0.456	236458
0.457	235801
0.458	235542
0.459	234910
0.46	234333
0.461	233452
0.462	233142
0.463	232823
0.464	232212
0.465	231763
0.466	231560
0.467	230757
0.468	230174
0.469	229401
0.47	228739
0.471	228341
0.472	227977
0.473	227288
0.474	226977
0.475	225944
0.476	225261
0.477	224783
0.478	224297
0.479	223686
0.48	223110
0.481	222209
0.482	221919
0.483	221483
0.484	221103
0.485	220590
0.486	220158
0.487	219756
0.488	219503
0.489	219215
0.49	218379
0.491	217905
0.492	217598
0.493	217182
0.494	216385
0.495	216037
0.496	215665
0.497	215211
0.498	214906
0.499	214462
0.5	213970
0.501	213502
0.502	213043
0.503	212516
0.504	211730
0.505	211400
0.506	211138
0.507	210798
0.508	210625
0.509	210156
0.51	209486
0.511	209082
0.512	208811
0.513	208126
0.514	207254
0.515	207004
0.516	206614
0.517	206125
0.518	205754
0.519	205340
0.52	205079
0.521	204908
0.522	204538
0.523	204369
0.524	203808
0.525	203455
0.526	202710
0.527	202265
0.528	201913
0.529	201608
0.53	201013
0.531	200600
0.532	200300
0.533	199865
0.534	199665
0.535	199562
0.536	199075
0.537	198825
0.538	198435
0.539	198033
0.54	197891
0.541	197203
0.542	196720
0.543	196278
0.544	196023
0.545	195526
0.546	195245
0.547	194679
0.548	194272
0.549	193889
0.55	193356
0.551	193022
0.552	192711
0.553	192243
0.554	191728
0.555	191393
0.556	190940
0.557	190509
0.558	189914
0.559	189374
0.56	188722
0.561	188234
0.562	187975
0.563	187697
0.564	187404
0.565	187127
0.566	186719
0.567	186477
0.568	186239
0.569	185944
0.57	185669
0.571	185300
0.572	184970
0.573	184043
0.574	183667
0.575	183348
0.576	183120
0.577	182779
0.578	182268
0.579	181770
0.58	181565
0.581	181161
0.582	180777
0.583	180362
0.584	179951
0.585	179317
0.586	179015
0.587	178293
0.588	178071
0.589	177458
0.59	176707
0.591	176333
0.592	175793
0.593	175133
0.594	174443
0.595	173946
0.596	173622
0.597	173380
0.598	172754
0.599	171848
0.6	171671
0.601	171134
0.602	170608
0.603	169993
0.604	169515
0.605	169164
0.606	168622
0.607	168351
0.608	167765
0.609	167391
0.61	167020
0.611	166759
0.612	166273
0.613	165928
0.614	165564
0.615	165030
0.616	164616
0.617	164463
0.618	163967
0.619	163560
0.62	163184
0.621	162757
0.622	162253
0.623	161953
0.624	161790
0.625	161373
0.626	161078
0.627	160769
0.628	160410
0.629	159934
0.63	159577
0.631	159064
0.632	158648
0.633	158408
0.634	158021
0.635	157477
0.636	157056
0.637	156460
0.638	155986
0.639	155767
0.64	155546
0.641	155057
0.642	154637
0.643	154102
0.644	153514
0.645	153050
0.646	152660
0.647	152267
0.648	151762
0.649	151465
0.65	150892
0.651	150469
0.652	150115
0.653	149814
0.654	149560
0.655	149178
0.656	148565
0.657	147835
0.658	147456
0.659	147089
0.66	146839
0.661	146336
0.662	145865
0.663	145580
0.664	145327
0.665	144821
0.666	144128
0.667	143672
0.668	143213
0.669	142830
0.67	142487
0.671	142233
0.672	141850
0.673	141543
0.674	140979
0.675	140406
0.676	140063
0.677	139743
0.678	139350
0.679	139010
0.68	138650
0.681	138410
0.682	137743
0.683	137240
0.684	136610
0.685	136245
0.686	135620
0.687	135278
0.688	134934
0.689	134778
0.69	134269
0.691	133759
0.692	133478
0.693	132737
0.694	132374
0.695	131945
0.696	131807
0.697	131411
0.698	131178
0.699	130738
0.7	130346
0.701	130014
0.702	129694
0.703	129425
0.704	129117
0.705	128696
0.706	128364
0.707	127933
0.708	127597
0.709	127216
0.71	126994
0.711	126809
0.712	126188
0.713	125819
0.714	125447
0.715	125067
0.716	124659
0.717	124369
0.718	124137
0.719	123932
0.72	123714
0.721	123297
0.722	122801
0.723	122600
0.724	122307
0.725	121688
0.726	121204
0.727	120861
0.728	120549
0.729	120046
0.73	119755
0.731	119313
0.732	119000
0.733	118675
0.734	118134
0.735	117903
0.736	117427
0.737	116970
0.738	116725
0.739	116358
0.74	116051
0.741	115616
0.742	115250
0.743	114842
0.744	114391
0.745	114022
0.746	113497
0.747	112997
0.748	112569
0.749	112266
0.75	111883
0.751	111472
0.752	110863
0.753	110400
0.754	110019
0.755	109588
0.756	108959
0.757	108614
0.758	108311
0.759	108040
0.76	107669
0.761	107243
0.762	106985
0.763	106610
0.764	106163
0.765	105781
0.766	105479
0.767	105137
0.768	104846
0.769	104315
0.77	104023
0.771	103622
0.772	103211
0.773	102746
0.774	102435
0.775	102167
0.776	101909
0.777	101462
0.778	101212
0.779	100588
0.78	100205
0.781	99793
0.782	99415
0.783	99026
0.784	98610
0.785	98020
0.786	97708
0.787	97512
0.788	97166
0.789	96884
0.79	96601
0.791	96241
0.792	95877
0.793	95580
0.794	95164
0.795	94706
0.796	94455
0.797	94223
0.798	93782
0.799	93484
0.8	93172
0.801	92961
0.802	92572
0.803	92261
0.804	91782
0.805	91392
0.806	90849
0.807	90448
0.808	90104
0.809	89690
0.81	89177
0.811	88683
0.812	88261
0.813	87829
0.814	87482
0.815	87193
0.816	86754
0.817	86243
0.818	85826
0.819	85495
0.82	85079
0.821	84710
0.822	84279
0.823	83918
0.824	83571
0.825	83086
0.826	82538
0.827	82213
0.828	81878
0.829	81551
0.83	81226
0.831	80747
0.832	80411
0.833	80115
0.834	79648
0.835	79230
0.836	78736
0.837	78515
0.838	78108
0.839	77589
0.84	77122
0.841	76747
0.842	76242
0.843	75856
0.844	75483
0.845	75193
0.846	74903
0.847	74468
0.848	74107
0.849	73697
0.85	73330
0.851	72777
0.852	72200
0.853	71855
0.854	71490
0.855	71219
0.856	70709
0.857	70323
0.858	69738
0.859	69342
0.86	68813
0.861	68372
0.862	68055
0.863	67690
0.864	67175
0.865	66794
0.866	66394
0.867	66094
0.868	65715
0.869	65360
0.87	64984
0.871	64467
0.872	63945
0.873	63531
0.874	63092
0.875	62781
0.876	62360
0.877	61909
0.878	61486
0.879	61166
0.88	60564
0.881	60264
0.882	59946
0.883	59555
0.884	59215
0.885	58851
0.886	58469
0.887	58147
0.888	57641
0.889	57048
0.89	56665
0.891	56259
0.892	55874
0.893	55445
0.894	55091
0.895	54656
0.896	54188
0.897	53771
0.898	53278
0.899	52866
0.9	52434
0.901	52010
0.902	51534
0.903	51178
0.904	50759
0.905	50294
0.906	49882
0.907	49455
0.908	49079
0.909	48644
0.91	48179
0.911	47595
0.912	47029
0.913	46619
0.914	46237
0.915	45732
0.916	45352
0.917	44921
0.918	44531
0.919	44198
0.92	43621
0.921	43152
0.922	42531
0.923	42066
0.924	41703
0.925	41273
0.926	40704
0.927	40331
0.928	39794
0.929	39518
0.93	38977
0.931	38430
0.932	37988
0.933	37532
0.934	37022
0.935	36613
0.936	36239
0.937	35765
0.938	35418
0.939	34873
0.94	34416
0.941	33878
0.942	33318
0.943	32785
0.944	32290
0.945	31681
0.946	31152
0.947	30538
0.948	30023
0.949	29617
0.95	29007
0.951	28420
0.952	27868
0.953	27400
0.954	26718
0.955	26148
0.956	25540
0.957	24981
0.958	24334
0.959	23715
0.96	23188
0.961	22615
0.962	21957
0.963	21320
0.964	20694
0.965	20033
0.966	19370
0.967	18755
0.968	18161
0.969	17463
0.97	16777
0.971	16205
0.972	15539
0.973	14935
0.974	14306
0.975	13686
0.976	12993
0.977	12383
0.978	11613
0.979	10971
0.98	10333
0.981	9582
0.982	8921
0.983	8326
0.984	7550
0.985	6811
0.986	6091
0.987	5384
0.988	4650
0.989	3923
0.99	3279
0.991	2694
0.992	2118
0.993	1614
0.994	1256
0.995	931
0.996	633
0.997	402
0.998	285
0.999	229
1.0	200
