fraction	Nx_length
0.001	2844733
0.002	1977385
0.003	1977385
0.004	1844764
0.005	1735629
0.006	1651018
0.007	1647426
0.008	1643614
0.009	1605058
0.01	1531694
0.011	1518462
0.012	1505040
0.013	1493706
0.014	1467282
0.015	1460241
0.016	1422092
0.017	1411774
0.018	1388710
0.019	1337131
0.02	1327735
0.021	1257010
0.022	1232449
0.023	1216546
0.024	1203394
0.025	1169842
0.026	1169215
0.027	1162511
0.028	1141454
0.029	1138802
0.03	1115982
0.031	1114063
0.032	1110106
0.033	1109462
0.034	1103725
0.035	1101997
0.036	1098556
0.037	1086360
0.038	1082601
0.039	1078812
0.04	1071620
0.041	1053640
0.042	1051616
0.043	1051372
0.044	1030691
0.045	1001502
0.046	1001425
0.047	998315
0.048	992716
0.049	992525
0.05	985205
0.051	982761
0.052	963550
0.053	960389
0.054	959398
0.055	956699
0.056	949316
0.057	943646
0.058	939015
0.059	933990
0.06	927960
0.061	914418
0.062	903409
0.063	902394
0.064	897119
0.065	893556
0.066	891898
0.067	890055
0.068	887734
0.069	883887
0.07	882255
0.071	874539
0.072	873828
0.073	866045
0.074	863725
0.075	860657
0.076	859282
0.077	851156
0.078	846980
0.079	845293
0.08	842545
0.081	841285
0.082	835496
0.083	831614
0.084	831399
0.085	829463
0.086	827601
0.087	824609
0.088	821520
0.089	820163
0.09	818651
0.091	816588
0.092	809893
0.093	806577
0.094	801324
0.095	800304
0.096	799568
0.097	790760
0.098	786292
0.099	783293
0.1	781095
0.101	778597
0.102	777214
0.103	774086
0.104	767018
0.105	765726
0.106	764915
0.107	761750
0.108	756418
0.109	749918
0.11	749442
0.111	747444
0.112	746960
0.113	746244
0.114	743561
0.115	738230
0.116	731740
0.117	727289
0.118	724726
0.119	717944
0.12	716459
0.121	710592
0.122	709140
0.123	706388
0.124	701503
0.125	697820
0.126	697559
0.127	695350
0.128	693723
0.129	692096
0.13	688898
0.131	687019
0.132	685430
0.133	684667
0.134	683758
0.135	682414
0.136	678792
0.137	676770
0.138	672478
0.139	670944
0.14	670027
0.141	667900
0.142	662992
0.143	661106
0.144	658934
0.145	657663
0.146	653618
0.147	652379
0.148	651259
0.149	650473
0.15	649299
0.151	648210
0.152	640505
0.153	640098
0.154	639226
0.155	638161
0.156	634424
0.157	633779
0.158	630858
0.159	629536
0.16	628156
0.161	627633
0.162	626056
0.163	623065
0.164	621145
0.165	619842
0.166	619561
0.167	618527
0.168	616925
0.169	612501
0.17	611666
0.171	609166
0.172	607471
0.173	604588
0.174	602111
0.175	599910
0.176	599229
0.177	596482
0.178	593341
0.179	589169
0.18	588330
0.181	587327
0.182	586004
0.183	585436
0.184	584019
0.185	582526
0.186	580817
0.187	579884
0.188	579402
0.189	576180
0.19	573312
0.191	571928
0.192	570350
0.193	568954
0.194	565285
0.195	561891
0.196	560911
0.197	559427
0.198	558240
0.199	556748
0.2	555641
0.201	554123
0.202	551348
0.203	550612
0.204	550320
0.205	547225
0.206	546087
0.207	545236
0.208	544783
0.209	542204
0.21	541348
0.211	540479
0.212	539909
0.213	536548
0.214	532595
0.215	530502
0.216	527475
0.217	524027
0.218	522354
0.219	521482
0.22	520744
0.221	520007
0.222	518135
0.223	516973
0.224	515439
0.225	514780
0.226	513592
0.227	507985
0.228	506121
0.229	502564
0.23	499641
0.231	498073
0.232	495232
0.233	491045
0.234	490464
0.235	490301
0.236	489708
0.237	487960
0.238	486720
0.239	485682
