fraction	Nx_length
0.001	40406
0.002	33228
0.003	30921
0.004	28743
0.005	27416
0.006	25945
0.007	25280
0.008	24376
0.009	23706
0.01	23003
0.011	22444
0.012	21997
0.013	21564
0.014	21076
0.015	20676
0.016	20362
0.017	20086
0.018	19745
0.019	19469
0.02	19240
0.021	18975
0.022	18740
0.023	18533
0.024	18340
0.025	18145
0.026	17961
0.027	17758
0.028	17574
0.029	17403
0.03	17232
0.031	17094
0.032	16908
0.033	16755
0.034	16574
0.035	16416
0.036	16274
0.037	16145
0.038	16047
0.039	15924
0.04	15814
0.041	15676
0.042	15535
0.043	15410
0.044	15305
0.045	15206
0.046	15092
0.047	15013
0.048	14905
0.049	14815
0.05	14692
0.051	14591
0.052	14507
0.053	14395
0.054	14282
0.055	14201
0.056	14115
0.057	14030
0.058	13939
0.059	13851
0.06	13753
0.061	13681
0.062	13597
0.063	13514
0.064	13437
0.065	13364
0.066	13287
0.067	13219
0.068	13148
0.069	13089
0.07	13026
0.071	12960
0.072	12898
0.073	12838
0.074	12766
0.075	12699
0.076	12629
0.077	12563
0.078	12483
0.079	12426
0.08	12385
0.081	12330
0.082	12263
0.083	12195
0.084	12140
0.085	12090
0.086	12028
0.087	11977
0.088	11925
0.089	11869
0.09	11806
0.091	11748
0.092	11706
0.093	11652
0.094	11610
0.095	11563
0.096	11518
0.097	11468
0.098	11416
0.099	11371
0.1	11315
0.101	11263
0.102	11223
0.103	11177
0.104	11137
0.105	11098
0.106	11053
0.107	11007
0.108	10970
0.109	10928
0.11	10884
0.111	10848
0.112	10796
0.113	10761
0.114	10721
0.115	10680
0.116	10637
0.117	10596
0.118	10560
0.119	10522
0.12	10487
0.121	10444
0.122	10403
0.123	10366
0.124	10326
0.125	10290
0.126	10251
0.127	10213
0.128	10177
0.129	10144
0.13	10104
0.131	10069
0.132	10037
0.133	9993
0.134	9958
0.135	9921
0.136	9885
0.137	9853
0.138	9819
0.139	9787
0.14	9750
0.141	9720
0.142	9681
0.143	9652
0.144	9618
0.145	9587
0.146	9550
0.147	9511
0.148	9480
0.149	9449
0.15	9420
0.151	9389
0.152	9355
0.153	9324
0.154	9288
0.155	9261
0.156	9229
0.157	9200
0.158	9169
0.159	9140
0.16	9108
0.161	9075
0.162	9043
0.163	9016
0.164	8986
0.165	8957
0.166	8932
0.167	8907
0.168	8880
0.169	8854
0.17	8830
0.171	8805
0.172	8779
0.173	8755
0.174	8723
0.175	8699
0.176	8674
0.177	8647
0.178	8620
0.179	8594
0.18	8567
0.181	8542
0.182	8514
0.183	8490
0.184	8467
0.185	8440
0.186	8417
0.187	8388
0.188	8366
0.189	8344
0.19	8318
0.191	8295
0.192	8269
0.193	8248
0.194	8229
0.195	8207
0.196	8182
0.197	8161
0.198	8137
0.199	8117
0.2	8095
0.201	8073
0.202	8051
0.203	8027
0.204	8003
0.205	7981
0.206	7958
0.207	7934
0.208	7911
0.209	7889
0.21	7868
0.211	7847
0.212	7826
0.213	7805
0.214	7784
0.215	7763
0.216	7744
0.217	7724
0.218	7702
0.219	7681
0.22	7656
0.221	7634
0.222	7611
0.223	7589
0.224	7570
0.225	7548
0.226	7526
0.227	7504
0.228	7481
0.229	7463
0.23	7441
0.231	7420
0.232	7399
0.233	7379
0.234	7356
0.235	7337
0.236	7318
0.237	7300
0.238	7282
0.239	7263
0.24	7242
0.241	7222
0.242	7204
0.243	7182
0.244	7163
0.245	7146
0.246	7124
0.247	7105
0.248	7089
0.249	7069
0.25	7051
0.251	7031
0.252	7011
0.253	6992
0.254	6974
0.255	6954
0.256	6937
0.257	6920
0.258	6903
0.259	6886
0.26	6871
0.261	6855
0.262	6837
0.263	6818
0.264	6800
0.265	6786
0.266	6766
0.267	6750
0.268	6734
0.269	6716
0.27	6698
0.271	6681
0.272	6664
0.273	6646
0.274	6630
0.275	6615
0.276	6599
0.277	6579
0.278	6564
0.279	6549
0.28	6532
0.281	6514
0.282	6498
0.283	6482
0.284	6466
0.285	6448
0.286	6431
0.287	6413
0.288	6396
0.289	6380
0.29	6366
0.291	6352
0.292	6334
0.293	6318
0.294	6304
0.295	6289
0.296	6272
0.297	6257
0.298	6242
0.299	6225
0.3	6210
0.301	6193
0.302	6180
0.303	6164
0.304	6150
0.305	6136
0.306	6123
0.307	6105
0.308	6088
0.309	6073
0.31	6059
0.311	6043
0.312	6030
0.313	6017
0.314	6002
0.315	5987
0.316	5972
0.317	5955
0.318	5941
0.319	5923
0.32	5909
0.321	5897
0.322	5883
0.323	5869
0.324	5853
0.325	5840
0.326	5826
0.327	5811
0.328	5797
0.329	5784
0.33	5771
0.331	5757
0.332	5741
0.333	5727
0.334	5714
0.335	5701
0.336	5687
0.337	5672
0.338	5659
0.339	5647
0.34	5634
0.341	5621
0.342	5608
0.343	5595
0.344	5582
0.345	5566
0.346	5553
0.347	5540
0.348	5527
0.349	5513
0.35	5498
0.351	5484
0.352	5471
0.353	5458
0.354	5444
0.355	5432
0.356	5418
0.357	5406
0.358	5391
0.359	5377
0.36	5366
0.361	5353
0.362	5340
0.363	5327
0.364	5314
0.365	5302
0.366	5290
0.367	5277
0.368	5263
0.369	5249
0.37	5237
0.371	5226
0.372	5214
0.373	5201
0.374	5190
0.375	5177
0.376	5165
0.377	5152
0.378	5138
0.379	5127
0.38	5115
0.381	5104
0.382	5091
0.383	5078
0.384	5066
0.385	5054
0.386	5042
0.387	5032
0.388	5019
0.389	5009
0.39	4996
0.391	4984
0.392	4972
0.393	4960
0.394	4948
0.395	4936
0.396	4924
0.397	4913
0.398	4900
0.399	4889
0.4	4878
0.401	4867
0.402	4857
0.403	4845
0.404	4833
0.405	4821
0.406	4810
0.407	4797
0.408	4786
0.409	4775
