fraction	Nx_length
0.001	71748
0.002	56207
0.003	48332
0.004	43248
0.005	40602
0.006	37978
0.007	36668
0.008	35322
0.009	34203
0.01	33316
0.011	32572
0.012	31741
0.013	31017
0.014	30428
0.015	29737
0.016	29050
0.017	28615
0.018	28253
0.019	27647
0.02	27249
0.021	26900
0.022	26574
0.023	26128
0.024	25847
0.025	25577
0.026	25254
0.027	24915
0.028	24677
0.029	24400
0.03	24140
0.031	23919
0.032	23684
0.033	23415
0.034	23182
0.035	23002
0.036	22860
0.037	22660
0.038	22471
0.039	22290
0.04	22118
0.041	21964
0.042	21791
0.043	21651
0.044	21471
0.045	21280
0.046	21143
0.047	21000
0.048	20822
0.049	20678
0.05	20519
0.051	20389
0.052	20294
0.053	20173
0.054	20064
0.055	19930
0.056	19800
0.057	19697
0.058	19567
0.059	19426
0.06	19322
0.061	19211
0.062	19107
0.063	18993
0.064	18876
0.065	18755
0.066	18641
0.067	18547
0.068	18442
0.069	18350
0.07	18247
0.071	18156
0.072	18071
0.073	17981
0.074	17897
0.075	17792
0.076	17687
0.077	17592
0.078	17488
0.079	17387
0.08	17293
0.081	17210
0.082	17140
0.083	17050
0.084	16972
0.085	16888
0.086	16811
0.087	16749
0.088	16668
0.089	16583
0.09	16520
0.091	16436
0.092	16364
0.093	16298
0.094	16224
0.095	16155
0.096	16098
0.097	16039
0.098	15977
0.099	15904
0.1	15845
0.101	15769
0.102	15695
0.103	15637
0.104	15574
0.105	15497
0.106	15440
0.107	15380
0.108	15333
0.109	15255
0.11	15200
0.111	15142
0.112	15074
0.113	15022
0.114	14973
0.115	14924
0.116	14865
0.117	14823
0.118	14766
0.119	14704
0.12	14663
0.121	14604
0.122	14550
0.123	14499
0.124	14446
0.125	14389
0.126	14339
0.127	14289
0.128	14235
0.129	14181
0.13	14128
0.131	14069
0.132	14019
0.133	13964
0.134	13919
0.135	13859
0.136	13806
0.137	13755
0.138	13703
0.139	13662
0.14	13617
0.141	13568
0.142	13522
0.143	13472
0.144	13437
0.145	13393
0.146	13352
0.147	13307
0.148	13268
0.149	13228
0.15	13184
0.151	13146
0.152	13111
0.153	13060
0.154	13017
0.155	12969
0.156	12932
0.157	12896
0.158	12851
0.159	12811
0.16	12763
0.161	12723
0.162	12683
0.163	12637
0.164	12595
0.165	12559
0.166	12512
0.167	12466
0.168	12430
0.169	12397
0.17	12366
0.171	12328
0.172	12290
0.173	12245
0.174	12217
0.175	12179
0.176	12145
0.177	12108
0.178	12072
0.179	12027
0.18	11984
0.181	11945
0.182	11911
0.183	11876
0.184	11836
0.185	11803
0.186	11764
0.187	11731
0.188	11701
0.189	11664
0.19	11632
0.191	11598
0.192	11567
0.193	11533
0.194	11499
0.195	11471
0.196	11431
0.197	11396
0.198	11358
0.199	11328
0.2	11290
0.201	11255
0.202	11224
0.203	11195
0.204	11165
0.205	11135
0.206	11108
0.207	11079
0.208	11050
0.209	11022
0.21	10993
0.211	10958
0.212	10929
0.213	10897
0.214	10868
0.215	10838
0.216	10805
0.217	10776
0.218	10745
0.219	10716
0.22	10688
0.221	10659
0.222	10629
0.223	10599
0.224	10572
0.225	10546
