fraction	Nx_length
0.001	105404
0.002	90566
0.003	84977
0.004	80809
0.005	76151
0.006	71631
0.007	68815
0.008	67004
0.009	65076
0.01	62458
0.011	60553
0.012	59075
0.013	58097
0.014	57217
0.015	56250
0.016	55221
0.017	54233
0.018	53590
0.019	52856
0.02	52138
0.021	51374
0.022	50658
0.023	50219
0.024	49861
0.025	49264
0.026	48729
0.027	48065
0.028	47614
0.029	47169
0.03	46686
0.031	46332
0.032	45896
0.033	45394
0.034	45004
0.035	44578
0.036	44236
0.037	43837
0.038	43493
0.039	43143
0.04	42899
0.041	42556
0.042	42240
0.043	41880
0.044	41594
0.045	41328
0.046	40943
0.047	40720
0.048	40519
0.049	40258
0.05	39979
0.051	39694
0.052	39451
0.053	39197
0.054	38956
0.055	38728
0.056	38499
0.057	38291
0.058	38126
0.059	37894
0.06	37681
0.061	37519
0.062	37295
0.063	37124
0.064	36949
0.065	36736
0.066	36548
0.067	36333
0.068	36137
0.069	35989
0.07	35793
0.071	35635
0.072	35447
0.073	35216
0.074	35010
0.075	34817
0.076	34630
0.077	34480
0.078	34307
0.079	34122
0.08	33946
0.081	33782
0.082	33635
0.083	33483
0.084	33320
0.085	33179
0.086	33064
0.087	32935
0.088	32810
0.089	32658
0.09	32531
0.091	32398
0.092	32265
0.093	32136
0.094	32013
0.095	31872
0.096	31699
0.097	31553
0.098	31442
0.099	31317
0.1	31202
0.101	31064
0.102	30951
0.103	30844
0.104	30702
0.105	30576
0.106	30475
0.107	30336
0.108	30249
0.109	30098
0.11	29982
0.111	29899
0.112	29776
0.113	29649
0.114	29525
0.115	29446
0.116	29352
0.117	29246
0.118	29129
0.119	29003
0.12	28859
0.121	28764
0.122	28637
0.123	28523
0.124	28403
0.125	28284
0.126	28181
0.127	28082
0.128	27997
0.129	27892
0.13	27787
0.131	27698
0.132	27575
0.133	27463
0.134	27388
0.135	27286
0.136	27186
0.137	27082
0.138	27000
0.139	26905
0.14	26815
0.141	26721
0.142	26599
0.143	26521
0.144	26427
0.145	26323
0.146	26253
0.147	26171
0.148	26088
0.149	26009
0.15	25932
0.151	25849
0.152	25766
0.153	25691
0.154	25601
0.155	25521
0.156	25439
0.157	25322
0.158	25236
0.159	25148
0.16	25042
0.161	24949
0.162	24866
0.163	24800
0.164	24718
0.165	24643
0.166	24570
0.167	24467
0.168	24408
0.169	24314
0.17	24241
0.171	24154
0.172	24080
0.173	24019
0.174	23934
0.175	23869
0.176	23797
0.177	23722
0.178	23638
0.179	23581
0.18	23504
0.181	23438
0.182	23369
0.183	23298
0.184	23231
0.185	23174
0.186	23117
0.187	23050
0.188	22973
0.189	22894
0.19	22819
0.191	22762
0.192	22698
0.193	22641
0.194	22588
0.195	22518
0.196	22453
0.197	22385
0.198	22326
0.199	22270
0.2	22208
0.201	22147
0.202	22081
0.203	22028
0.204	21965
0.205	21907
0.206	21850
0.207	21787
0.208	21723
0.209	21666
0.21	21609
0.211	21558
0.212	21501
0.213	21444
0.214	21383
0.215	21325
0.216	21241
0.217	21194
0.218	21128
0.219	21066
0.22	21023
0.221	20971
0.222	20923
0.223	20856
0.224	20807
0.225	20748
0.226	20699
0.227	20640
0.228	20581
0.229	20528
0.23	20481
0.231	20418
0.232	20351
0.233	20304
0.234	20262
0.235	20210
0.236	20153
0.237	20099
0.238	20043
0.239	19995
0.24	19941
0.241	19888
0.242	19821
0.243	19749
0.244	19703
0.245	19649
0.246	19602
0.247	19552
0.248	19502
0.249	19449
0.25	19394
0.251	19339
0.252	19294
0.253	19245
0.254	19196
0.255	19152
0.256	19107
0.257	19060
0.258	19010
0.259	18959
0.26	18913
0.261	18863
0.262	18820
0.263	18773
0.264	18729
0.265	18676
0.266	18633
0.267	18582
0.268	18542
0.269	18506
0.27	18462
0.271	18421
0.272	18378
0.273	18338
0.274	18297
0.275	18254
0.276	18209
0.277	18163
0.278	18115
0.279	18073
0.28	18025
0.281	17984
0.282	17945
0.283	17888
0.284	17848
0.285	17799
0.286	17745
0.287	17693
0.288	17652
0.289	17603
0.29	17557
0.291	17514
0.292	17468
0.293	17414
0.294	17371
0.295	17329
0.296	17281
0.297	17232
0.298	17194
0.299	17158
0.3	17126
0.301	17092
0.302	17048
0.303	17001
0.304	16968
0.305	16921
0.306	16881
0.307	16844
0.308	16805
0.309	16765
0.31	16730
0.311	16681
0.312	16644
0.313	16612
0.314	16573
0.315	16536
0.316	16493
0.317	16456
0.318	16419
0.319	16381
0.32	16344
0.321	16308
0.322	16272
0.323	16228
0.324	16191
0.325	16160
0.326	16112
0.327	16076
0.328	16043
0.329	16002
0.33	15966
0.331	15925
0.332	15884
0.333	15840
0.334	15804
0.335	15777
0.336	15741
0.337	15699
0.338	15662
0.339	15623
0.34	15582
0.341	15553
0.342	15518
0.343	15487
0.344	15453
0.345	15419
0.346	15382
0.347	15341
0.348	15310
0.349	15270
0.35	15240
0.351	15206
0.352	15173
0.353	15143
0.354	15107
0.355	15069
0.356	15032
0.357	15000
0.358	14970
0.359	14930
0.36	14900
0.361	14868
0.362	14828
0.363	14790
0.364	14754
0.365	14714
0.366	14685
0.367	14644
0.368	14613
0.369	14566
0.37	14531
0.371	14491
0.372	14456
0.373	14422
0.374	14391
0.375	14360
0.376	14319
0.377	14283
0.378	14252
0.379	14224
0.38	14190
0.381	14156
0.382	14124
0.383	14093
0.384	14061
0.385	14030
0.386	13999
0.387	13969
0.388	13937
0.389	13896
0.39	13860
0.391	13826
0.392	13791
0.393	13761
0.394	13727
0.395	13694
0.396	13663
0.397	13629
0.398	13597
0.399	13562
0.4	13528
0.401	13491
0.402	13462
0.403	13435
0.404	13400
0.405	13367
0.406	13334
0.407	13308
0.408	13277
0.409	13247
0.41	13215
0.411	13186
0.412	13155
0.413	13125
0.414	13098
0.415	13067
0.416	13036
0.417	13011
0.418	12982
0.419	12943
0.42	12913
0.421	12878
0.422	12849
0.423	12819
0.424	12787
0.425	12761
0.426	12729
0.427	12699
0.428	12667
0.429	12641
0.43	12615
0.431	12579
0.432	12556
0.433	12532
0.434	12503
0.435	12471
0.436	12443
0.437	12414
0.438	12390
0.439	12363
0.44	12331
0.441	12306
0.442	12277
0.443	12247
0.444	12218
0.445	12187
0.446	12156
0.447	12120
0.448	12084
0.449	12056
0.45	12031
0.451	12009
0.452	11978
0.453	11944
0.454	11915
0.455	11881
0.456	11848
0.457	11820
0.458	11792
0.459	11761
0.46	11732
0.461	11700
0.462	11669
0.463	11640
0.464	11614
0.465	11584
0.466	11556
0.467	11530
0.468	11506
0.469	11474
0.47	11443
0.471	11416
0.472	11388
0.473	11357
0.474	11327
0.475	11303
0.476	11277
0.477	11251
0.478	11228
0.479	11203
0.48	11175
0.481	11147
0.482	11118
0.483	11094
0.484	11068
0.485	11039
0.486	11010
0.487	10982
0.488	10956
0.489	10930
0.49	10902
0.491	10877
0.492	10849
0.493	10823
0.494	10794
0.495	10766
0.496	10746
0.497	10718
0.498	10693
0.499	10670
0.5	10643
0.501	10617
0.502	10589
0.503	10562
0.504	10537
0.505	10512
0.506	10487
0.507	10459
0.508	10431
0.509	10406
0.51	10381
0.511	10353
0.512	10325
0.513	10297
0.514	10274
0.515	10249
0.516	10220
0.517	10193
0.518	10168
0.519	10143
0.52	10119
0.521	10095
0.522	10073
0.523	10046
0.524	10027
0.525	10004
0.526	9981
0.527	9955
0.528	9931
0.529	9907
0.53	9878
0.531	9853
0.532	9832
0.533	9808
0.534	9784
0.535	9759
0.536	9733
0.537	9709
0.538	9685
0.539	9661
0.54	9636
0.541	9616
0.542	9588
0.543	9559
0.544	9533
0.545	9506
0.546	9482
0.547	9457
0.548	9429
0.549	9400
0.55	9374
0.551	9349
0.552	9322
0.553	9298
0.554	9275
0.555	9253
0.556	9228
0.557	9205
0.558	9181
0.559	9155
0.56	9136
0.561	9111
0.562	9089
0.563	9062
0.564	9035
0.565	9009
0.566	8986
0.567	8963
0.568	8943
0.569	8917
0.57	8889
0.571	8864
0.572	8838
0.573	8815
0.574	8790
0.575	8767
0.576	8744
0.577	8720
0.578	8695
0.579	8671
0.58	8649
0.581	8624
0.582	8601
0.583	8579
0.584	8556
0.585	8531
0.586	8510
0.587	8487
0.588	8465
0.589	8442
0.59	8420
0.591	8399
0.592	8376
0.593	8354
0.594	8336
0.595	8315
0.596	8291
0.597	8273
0.598	8251
0.599	8227
0.6	8203
0.601	8181
0.602	8160
0.603	8139
0.604	8118
0.605	8094
0.606	8071
0.607	8048
0.608	8025
0.609	8004
0.61	7980
0.611	7956
0.612	7933
0.613	7912
0.614	7892
0.615	7867
0.616	7844
0.617	7821
0.618	7800
0.619	7780
0.62	7756
0.621	7733
0.622	7711
0.623	7689
0.624	7668
0.625	7648
0.626	7625
0.627	7602
0.628	7582
0.629	7560
0.63	7537
0.631	7514
0.632	7492
0.633	7473
0.634	7452
0.635	7430
0.636	7409
0.637	7385
0.638	7364
0.639	7342
0.64	7319
0.641	7298
0.642	7280
0.643	7257
0.644	7238
0.645	7218
0.646	7197
0.647	7175
0.648	7155
0.649	7133
0.65	7112
0.651	7088
0.652	7066
0.653	7044
0.654	7022
0.655	7001
0.656	6980
0.657	6956
0.658	6933
0.659	6913
0.66	6894
0.661	6874
0.662	6853
0.663	6830
0.664	6811
0.665	6788
0.666	6764
0.667	6742
0.668	6723
0.669	6704
0.67	6684
0.671	6663
0.672	6639
0.673	6618
0.674	6594
0.675	6571
0.676	6552
0.677	6531
0.678	6510
0.679	6492
0.68	6472
0.681	6452
0.682	6431
0.683	6409
0.684	6388
0.685	6369
0.686	6346
0.687	6324
0.688	6303
0.689	6279
0.69	6263
0.691	6243
0.692	6219
0.693	6198
0.694	6179
0.695	6158
0.696	6137
0.697	6117
0.698	6096
0.699	6075
0.7	6054
0.701	6033
0.702	6013
0.703	5994
0.704	5971
0.705	5950
0.706	5930
0.707	5909
0.708	5888
0.709	5867
0.71	5843
0.711	5824
0.712	5801
0.713	5781
0.714	5762
0.715	5739
0.716	5719
0.717	5698
0.718	5678
0.719	5659
0.72	5638
0.721	5619
0.722	5599
0.723	5576
0.724	5554
0.725	5532
0.726	5514
0.727	5494
0.728	5474
0.729	5452
0.73	5431
0.731	5410
0.732	5389
0.733	5369
0.734	5346
0.735	5326
0.736	5306
0.737	5284
0.738	5263
0.739	5243
0.74	5224
0.741	5205
0.742	5183
0.743	5161
0.744	5140
0.745	5120
0.746	5097
0.747	5077
0.748	5057
0.749	5038
0.75	5016
0.751	4996
0.752	4976
0.753	4955
0.754	4936
0.755	4915
0.756	4893
0.757	4872
0.758	4851
0.759	4832
0.76	4811
0.761	4792
0.762	4773
0.763	4752
0.764	4731
0.765	4708
0.766	4684
0.767	4663
0.768	4641
0.769	4618
0.77	4599
0.771	4578
0.772	4557
0.773	4534
0.774	4512
0.775	4490
0.776	4471
0.777	4448
0.778	4427
0.779	4406
0.78	4386
0.781	4363
0.782	4342
0.783	4322
0.784	4300
0.785	4279
0.786	4259
0.787	4237
0.788	4218
0.789	4195
0.79	4172
0.791	4150
0.792	4130
0.793	4108
0.794	4087
0.795	4066
0.796	4046
0.797	4026
0.798	4005
0.799	3983
0.8	3960
0.801	3940
0.802	3916
0.803	3894
0.804	3874
0.805	3852
0.806	3828
0.807	3804
0.808	3782
0.809	3759
0.81	3738
0.811	3717
0.812	3693
0.813	3670
0.814	3647
0.815	3625
0.816	3603
0.817	3581
0.818	3559
0.819	3537
0.82	3515
0.821	3493
0.822	3472
0.823	3449
0.824	3427
0.825	3405
0.826	3382
0.827	3359
0.828	3339
0.829	3316
0.83	3293
0.831	3270
0.832	3246
0.833	3223
0.834	3201
0.835	3176
0.836	3155
0.837	3130
0.838	3109
0.839	3086
0.84	3063
0.841	3040
0.842	3016
0.843	2994
0.844	2970
0.845	2946
0.846	2923
0.847	2900
0.848	2875
0.849	2854
0.85	2827
0.851	2802
0.852	2776
0.853	2751
0.854	2728
0.855	2706
0.856	2680
0.857	2658
0.858	2633
0.859	2607
0.86	2584
0.861	2559
0.862	2533
0.863	2510
0.864	2487
0.865	2464
0.866	2439
0.867	2417
0.868	2394
0.869	2372
0.87	2351
0.871	2329
0.872	2308
0.873	2288
0.874	2268
0.875	2247
0.876	2227
0.877	2208
0.878	2189
0.879	2169
0.88	2151
0.881	2133
0.882	2115
0.883	2096
0.884	2078
0.885	2061
0.886	2044
0.887	2028
0.888	2012
0.889	1996
0.89	1980
0.891	1963
0.892	1948
0.893	1932
0.894	1918
0.895	1903
0.896	1889
0.897	1874
0.898	1860
0.899	1846
0.9	1831
0.901	1817
0.902	1802
0.903	1789
0.904	1775
0.905	1761
0.906	1748
0.907	1735
0.908	1723
0.909	1710
0.91	1696
0.911	1682
0.912	1669
0.913	1656
0.914	1643
0.915	1630
0.916	1616
0.917	1604
0.918	1591
0.919	1579
0.92	1566
0.921	1554
0.922	1541
0.923	1528
0.924	1517
0.925	1504
0.926	1492
0.927	1479
0.928	1466
0.929	1454
0.93	1443
0.931	1431
0.932	1419
0.933	1407
0.934	1395
0.935	1383
0.936	1371
0.937	1358
0.938	1347
0.939	1335
0.94	1323
0.941	1312
0.942	1299
0.943	1288
0.944	1277
0.945	1265
0.946	1253
0.947	1241
0.948	1230
0.949	1218
0.95	1207
0.951	1195
0.952	1183
0.953	1172
0.954	1160
0.955	1148
0.956	1135
0.957	1123
0.958	1110
0.959	1097
0.96	1083
0.961	1068
0.962	1053
0.963	1038
0.964	1022
0.965	1006
0.966	990
0.967	973
0.968	955
0.969	937
0.97	919
0.971	900
0.972	880
0.973	858
0.974	836
0.975	813
0.976	789
0.977	764
0.978	737
0.979	709
0.98	682
0.981	654
0.982	626
0.983	599
0.984	572
0.985	548
0.986	525
0.987	503
0.988	481
0.989	460
0.99	440
0.991	421
0.992	404
0.993	387
0.994	371
0.995	356
0.996	341
0.997	328
0.998	314
0.999	301
1.0	104
