fraction	Nx_length
0.001	2584131
0.002	2119746
0.003	2119746
0.004	1689301
0.005	1483701
0.006	1318795
0.007	1284802
0.008	1260657
0.009	1260650
0.01	1226691
0.011	1178439
0.012	1149091
0.013	1057204
0.014	1039907
0.015	1018740
0.016	879268
0.017	846038
0.018	803840
0.019	797670
0.02	780219
0.021	763159
0.022	744046
0.023	732716
0.024	724711
0.025	721320
0.026	714330
0.027	665507
0.028	660244
0.029	640522
0.03	638542
0.031	620910
0.032	610406
0.033	595399
0.034	591489
0.035	586345
0.036	581522
0.037	580426
0.038	570021
0.039	567514
0.04	562138
0.041	557007
0.042	554908
0.043	553804
0.044	547832
0.045	538170
0.046	535095
0.047	528281
0.048	520058
0.049	513077
0.05	510139
0.051	500503
0.052	498031
0.053	496259
0.054	495330
0.055	489776
0.056	487529
0.057	485306
0.058	474991
0.059	468495
0.06	466486
0.061	461632
0.062	454354
0.063	450766
0.064	447860
0.065	446881
0.066	444740
0.067	442452
0.068	439469
0.069	438007
0.07	433866
0.071	432659
0.072	429891
0.073	427299
0.074	425375
0.075	423391
0.076	416799
0.077	414620
0.078	413728
0.079	410616
0.08	406729
0.081	405185
0.082	403296
0.083	400387
0.084	399349
0.085	397281
0.086	395979
0.087	394434
0.088	392197
0.089	391495
0.09	390199
0.091	388623
0.092	386386
0.093	384847
0.094	382965
0.095	380668
0.096	379679
0.097	377769
0.098	375684
0.099	373108
0.1	371247
0.101	370413
0.102	367638
0.103	365719
0.104	365509
0.105	363976
0.106	362801
0.107	361073
0.108	358847
0.109	355724
0.11	354524
0.111	353708
0.112	352871
0.113	350251
0.114	347824
0.115	347018
0.116	345476
0.117	343720
0.118	342905
0.119	341008
0.12	339241
0.121	336756
0.122	334532
0.123	333781
0.124	332871
0.125	331827
0.126	331477
0.127	330381
0.128	329486
0.129	328928
0.13	328617
0.131	326498
0.132	325411
0.133	323892
0.134	322837
0.135	322116
0.136	319710
0.137	319298
0.138	318406
0.139	317210
0.14	315471
0.141	314968
0.142	313639
0.143	312159
0.144	310819
0.145	309589
0.146	308710
0.147	307851
0.148	307354
0.149	306326
0.15	305704
0.151	304347
0.152	303570
0.153	302379
0.154	301128
0.155	299873
0.156	298887
0.157	296649
0.158	295687
0.159	294914
0.16	293549
0.161	292924
0.162	292187
0.163	291419
0.164	290756
0.165	289689
0.166	289101
0.167	288268
0.168	287447
0.169	285711
0.17	284912
0.171	284377
0.172	283314
0.173	282731
0.174	282015
0.175	281539
0.176	280119
0.177	279420
0.178	278840
0.179	277838
0.18	277373
0.181	275646
0.182	274148
0.183	273699
0.184	273097
0.185	272367
0.186	271846
0.187	270728
0.188	269864
0.189	268954
0.19	268623
0.191	268095
0.192	267250
0.193	266584
0.194	266211
0.195	265512
0.196	264811
0.197	263882
0.198	262821
0.199	262244
0.2	261676
0.201	261122
0.202	259923
0.203	258435
0.204	257867
0.205	256975
0.206	256395
0.207	255995
0.208	254950
0.209	254400
0.21	253233
0.211	252648
0.212	252095
0.213	250934
0.214	250011
0.215	249485
0.216	248666
0.217	248115
0.218	247324
0.219	246875
0.22	245608
0.221	244688
0.222	243983
0.223	243094
0.224	242314
0.225	241425
0.226	240823
0.227	239458
0.228	238832
0.229	238503
0.23	237962
0.231	237512
0.232	237099
0.233	235961
0.234	235627
0.235	235040
0.236	233950
0.237	233726
0.238	233067
0.239	232515
0.24	232119
0.241	231571
0.242	231107
0.243	230471
0.244	229148
0.245	228737
0.246	227631
0.247	227272
0.248	226344
0.249	225725
0.25	225288
0.251	224719
0.252	224162
0.253	223722
0.254	223029
0.255	222669
0.256	222299
0.257	221575
0.258	220861
0.259	220489
0.26	220274
0.261	219455
0.262	218488
0.263	217798
0.264	217296
0.265	216944
0.266	216548
0.267	216227
0.268	215847
0.269	215495
0.27	214884
0.271	214515
0.272	213726
0.273	213505
0.274	213172
0.275	212561
0.276	212078
0.277	211331
0.278	210650
0.279	209790
0.28	209282
0.281	208659
0.282	208505
0.283	207971
0.284	207765
0.285	207452
0.286	207126
0.287	206664
0.288	206082
0.289	205563
0.29	205203
0.291	204909
0.292	204619
0.293	204099
0.294	203661
0.295	202922
0.296	202487
0.297	201960
0.298	201176
0.299	200561
0.3	199850
0.301	199583
0.302	199270
0.303	198883
0.304	198377
0.305	197929
0.306	197628
0.307	197107
0.308	196580
0.309	195880
0.31	195465
0.311	195047
0.312	194574
0.313	194008
0.314	193763
0.315	193372
0.316	193096
0.317	192824
0.318	192345
0.319	192021
0.32	191458
0.321	190993
0.322	190271
0.323	190059
0.324	189608
0.325	188933
0.326	188542
0.327	187881
0.328	187399
0.329	186869
0.33	186531
0.331	185798
0.332	185361
0.333	184770
0.334	184422
0.335	184073
0.336	183849
0.337	183576
0.338	182943
0.339	182538
0.34	182124
0.341	181473
0.342	181171
0.343	180727
0.344	180364
0.345	179812
0.346	179384
0.347	179099
0.348	178679
0.349	178179
0.35	177693
0.351	177331
0.352	176953
0.353	176593
0.354	176126
0.355	175748
0.356	175201
0.357	174966
0.358	174561
0.359	174196
0.36	173534
0.361	173065
0.362	172803
0.363	172611
0.364	172196
0.365	171789
0.366	171302
0.367	170993
0.368	170481
0.369	170203
0.37	169883
0.371	169004
0.372	168806
0.373	168047
0.374	167703
0.375	167378
0.376	166990
0.377	166772
0.378	166407
0.379	166033
0.38	165766
0.381	165305
0.382	164823
0.383	164557
0.384	164221
0.385	163706
0.386	163441
0.387	163083
0.388	162727
0.389	162333
0.39	161968
0.391	161699
0.392	161330
0.393	160891
0.394	160517
0.395	160141
0.396	159706
