fraction	Nx_length
0.001	115993
0.002	95963
0.003	87377
0.004	82051
0.005	79005
0.006	75672
0.007	71599
0.008	69445
0.009	67580
0.01	66454
0.011	65120
0.012	64015
0.013	62886
0.014	61861
0.015	60218
0.016	59205
0.017	57312
0.018	56694
0.019	55694
0.02	54980
0.021	54260
0.022	53520
0.023	52890
0.024	52362
0.025	51674
0.026	50888
0.027	50221
0.028	49754
0.029	48895
0.03	48236
0.031	47657
0.032	47040
0.033	46663
0.034	46278
0.035	45913
0.036	45398
0.037	44882
0.038	44304
0.039	43974
0.04	43585
0.041	42983
0.042	42586
0.043	42141
0.044	41745
0.045	41394
0.046	41066
0.047	40739
0.048	40462
0.049	40119
0.05	39849
0.051	39536
0.052	39227
0.053	38906
0.054	38693
0.055	38440
0.056	38114
0.057	37860
0.058	37576
0.059	37286
0.06	37056
0.061	36776
0.062	36523
0.063	36326
0.064	36123
0.065	35841
0.066	35655
0.067	35471
0.068	35261
0.069	35092
0.07	34928
0.071	34687
0.072	34486
0.073	34326
0.074	34111
0.075	33881
0.076	33680
0.077	33498
0.078	33289
0.079	33045
0.08	32818
0.081	32673
0.082	32498
0.083	32298
0.084	32101
0.085	31916
0.086	31720
0.087	31487
0.088	31277
0.089	31137
0.09	30948
0.091	30804
0.092	30691
0.093	30521
0.094	30355
0.095	30183
0.096	30038
0.097	29900
0.098	29757
0.099	29638
0.1	29534
0.101	29393
0.102	29237
0.103	29094
0.104	28959
0.105	28818
0.106	28677
0.107	28573
0.108	28472
0.109	28346
0.11	28197
0.111	28067
0.112	27912
0.113	27781
0.114	27608
0.115	27477
0.116	27360
0.117	27260
0.118	27118
0.119	27002
0.12	26875
0.121	26738
0.122	26609
0.123	26475
0.124	26353
0.125	26213
0.126	26094
0.127	25992
0.128	25882
0.129	25783
0.13	25625
0.131	25529
0.132	25370
0.133	25228
0.134	25098
0.135	25004
0.136	24903
0.137	24799
0.138	24718
0.139	24583
0.14	24488
0.141	24359
0.142	24251
0.143	24158
0.144	24045
0.145	23941
0.146	23845
0.147	23744
0.148	23619
0.149	23538
0.15	23435
0.151	23336
0.152	23246
0.153	23157
0.154	23061
0.155	22988
0.156	22892
0.157	22801
0.158	22699
0.159	22586
0.16	22484
0.161	22383
0.162	22287
0.163	22221
0.164	22146
0.165	22052
0.166	21940
0.167	21863
0.168	21784
0.169	21714
0.17	21629
0.171	21512
0.172	21425
0.173	21348
0.174	21273
0.175	21166
0.176	21090
0.177	20990
0.178	20897
0.179	20815
0.18	20733
0.181	20650
0.182	20574
0.183	20486
0.184	20408
0.185	20331
0.186	20259
0.187	20167
0.188	20102
0.189	20028
0.19	19963
0.191	19902
0.192	19824
0.193	19747
0.194	19679
0.195	19598
0.196	19534
0.197	19461
0.198	19407
0.199	19336
0.2	19261
0.201	19196
0.202	19104
0.203	19020
0.204	18942
0.205	18857
0.206	18774
0.207	18725
0.208	18656
0.209	18587
0.21	18522
0.211	18444
0.212	18384
0.213	18320
0.214	18251
0.215	18190
0.216	18101
0.217	18030
0.218	17969
0.219	17914
0.22	17838
0.221	17770
0.222	17703
0.223	17630
0.224	17556
0.225	17507
0.226	17449
0.227	17387
0.228	17316
0.229	17247
0.23	17184
0.231	17119
0.232	17058
0.233	17002
0.234	16934
0.235	16879
0.236	16822
0.237	16767
0.238	16710
0.239	16645
0.24	16581
0.241	16531
0.242	16472
0.243	16415
0.244	16358
0.245	16300
0.246	16228
0.247	16166
0.248	16112
0.249	16054
0.25	15999
0.251	15953
0.252	15885
0.253	15834
0.254	15781
0.255	15711
0.256	15656
0.257	15607
0.258	15550
0.259	15480
0.26	15419
0.261	15365
0.262	15319
0.263	15256
0.264	15204
0.265	15144
0.266	15094
0.267	15039
0.268	14985
0.269	14921
0.27	14875
0.271	14823
0.272	14772
0.273	14719
0.274	14651
0.275	14599
0.276	14547
0.277	14501
0.278	14457
0.279	14401
0.28	14349
0.281	14307
0.282	14265
0.283	14218
0.284	14169
0.285	14120
0.286	14077
0.287	14038
0.288	13985
0.289	13930
0.29	13872
0.291	13828
0.292	13782
0.293	13730
0.294	13687
0.295	13634
0.296	13584
0.297	13547
0.298	13507
0.299	13459
0.3	13406
0.301	13365
0.302	13316
0.303	13270
0.304	13227
0.305	13181
0.306	13139
0.307	13088
0.308	13041
0.309	12998
0.31	12949
0.311	12907
0.312	12864
0.313	12819
0.314	12776
0.315	12731
0.316	12677
0.317	12634
0.318	12584
0.319	12538
0.32	12496
0.321	12448
0.322	12406
0.323	12364
0.324	12325
0.325	12281
0.326	12239
0.327	12189
0.328	12150
0.329	12112
0.33	12072
0.331	12031
0.332	11992
0.333	11958
0.334	11919
0.335	11880
0.336	11842
0.337	11799
0.338	11757
0.339	11711
0.34	11675
0.341	11637
0.342	11595
0.343	11554
0.344	11510
0.345	11471
0.346	11432
0.347	11399
0.348	11367
0.349	11334
0.35	11298
0.351	11254
0.352	11211
0.353	11175
0.354	11135
0.355	11102
0.356	11065
0.357	11028
0.358	10984
0.359	10945
0.36	10909
0.361	10870
0.362	10839
0.363	10797
0.364	10764
0.365	10727
0.366	10688
0.367	10655
0.368	10618
0.369	10588
0.37	10549
0.371	10513
0.372	10470
0.373	10437
0.374	10403
0.375	10371
0.376	10330
0.377	10294
0.378	10261
0.379	10230
0.38	10197
0.381	10160
0.382	10122
0.383	10086
0.384	10050
0.385	10018
0.386	9991
0.387	9956
0.388	9921
0.389	9885
0.39	9854
0.391	9817
0.392	9783
0.393	9755
0.394	9722
0.395	9690
0.396	9656
0.397	9627
0.398	9588
0.399	9555
0.4	9523
0.401	9491
0.402	9460
0.403	9427
0.404	9394
0.405	9359
0.406	9325
0.407	9298
0.408	9267
0.409	9235
0.41	9197
0.411	9167
0.412	9137
0.413	9106
0.414	9074
0.415	9044
0.416	9010
0.417	8979
0.418	8949
0.419	8916
0.42	8886
0.421	8858
0.422	8823
0.423	8796
0.424	8766
0.425	8737
0.426	8712
0.427	8682
0.428	8649
0.429	8619
0.43	8591
0.431	8567
0.432	8541
0.433	8513
0.434	8487
0.435	8457
0.436	8430
0.437	8403
0.438	8370
0.439	8339
0.44	8309
0.441	8279
0.442	8254
0.443	8226
0.444	8200
0.445	8172
0.446	8147
0.447	8121
0.448	8096
0.449	8068
0.45	8043
0.451	8016
0.452	7989
0.453	7965
0.454	7940
0.455	7915
0.456	7889
0.457	7866
0.458	7841
0.459	7818
0.46	7790
0.461	7767
0.462	7740
0.463	7712
0.464	7685
0.465	7666
0.466	7645
0.467	7620
0.468	7592
0.469	7568
0.47	7541
0.471	7517
0.472	7493
0.473	7469
0.474	7446
0.475	7420
0.476	7395
0.477	7372
0.478	7350
0.479	7328
0.48	7305
0.481	7281
0.482	7258
0.483	7236
0.484	7215
0.485	7191
0.486	7170
0.487	7146
0.488	7125
0.489	7100
0.49	7079
0.491	7060
0.492	7041
0.493	7017
0.494	6997
0.495	6972
0.496	6950
0.497	6931
0.498	6909
0.499	6890
0.5	6870
0.501	6848
0.502	6829
0.503	6805
0.504	6782
0.505	6758
0.506	6738
0.507	6715
0.508	6697
0.509	6675
0.51	6655
0.511	6634
0.512	6614
0.513	6592
0.514	6572
0.515	6549
0.516	6530
0.517	6510
0.518	6490
0.519	6469
0.52	6452
0.521	6431
0.522	6412
0.523	6396
0.524	6377
0.525	6359
0.526	6339
0.527	6321
0.528	6299
0.529	6281
0.53	6262
0.531	6244
0.532	6227
0.533	6206
0.534	6186
0.535	6168
0.536	6150
0.537	6132
0.538	6113
0.539	6096
0.54	6077
0.541	6058
0.542	6038
0.543	6019
0.544	6001
0.545	5984
0.546	5965
0.547	5947
0.548	5931
0.549	5913
0.55	5895
0.551	5878
0.552	5864
0.553	5846
0.554	5827
0.555	5810
0.556	5793
0.557	5776
0.558	5759
0.559	5741
0.56	5724
0.561	5706
0.562	5689
0.563	5673
0.564	5657
0.565	5639
0.566	5621
0.567	5606
0.568	5590
0.569	5573
0.57	5557
0.571	5541
0.572	5526
0.573	5510
0.574	5491
0.575	5474
0.576	5458
0.577	5440
0.578	5423
0.579	5407
0.58	5392
0.581	5376
0.582	5359
0.583	5342
0.584	5326
0.585	5310
0.586	5295
0.587	5278
0.588	5262
0.589	5247
0.59	5231
0.591	5218
0.592	5202
0.593	5188
0.594	5172
0.595	5156
0.596	5141
0.597	5127
0.598	5112
0.599	5098
0.6	5083
0.601	5069
0.602	5053
0.603	5038
0.604	5025
0.605	5010
0.606	4995
0.607	4980
0.608	4966
0.609	4952
0.61	4937
0.611	4922
0.612	4907
0.613	4893
0.614	4879
0.615	4865
0.616	4851
0.617	4836
0.618	4823
0.619	4808
0.62	4796
0.621	4782
0.622	4769
0.623	4755
0.624	4741
0.625	4727
0.626	4714
0.627	4699
0.628	4686
0.629	4672
0.63	4658
0.631	4645
0.632	4632
0.633	4618
0.634	4605
0.635	4592
0.636	4578
0.637	4565
0.638	4552
0.639	4537
0.64	4524
0.641	4510
0.642	4496
0.643	4483
0.644	4469
0.645	4454
0.646	4441
0.647	4427
0.648	4415
0.649	4401
0.65	4386
0.651	4372
0.652	4358
0.653	4346
0.654	4332
0.655	4317
0.656	4305
0.657	4292
0.658	4279
0.659	4267
0.66	4254
0.661	4240
0.662	4227
0.663	4214
0.664	4200
0.665	4186
0.666	4174
0.667	4162
0.668	4149
0.669	4136
0.67	4123
0.671	4110
0.672	4097
0.673	4085
0.674	4071
0.675	4059
0.676	4046
0.677	4033
0.678	4020
0.679	4008
0.68	3995
0.681	3982
0.682	3967
0.683	3955
0.684	3941
0.685	3928
0.686	3914
0.687	3900
0.688	3887
0.689	3875
0.69	3863
0.691	3850
0.692	3837
0.693	3822
0.694	3809
0.695	3795
0.696	3782
0.697	3768
0.698	3755
0.699	3741
0.7	3730
0.701	3717
0.702	3704
0.703	3692
0.704	3679
0.705	3667
0.706	3654
0.707	3641
0.708	3629
0.709	3617
0.71	3606
0.711	3592
0.712	3579
0.713	3567
0.714	3555
0.715	3542
0.716	3529
0.717	3515
0.718	3504
0.719	3491
0.72	3479
0.721	3467
0.722	3456
0.723	3444
0.724	3431
0.725	3418
0.726	3405
0.727	3392
0.728	3380
0.729	3368
0.73	3356
0.731	3343
0.732	3332
0.733	3319
0.734	3306
0.735	3295
0.736	3284
0.737	3271
0.738	3259
0.739	3247
0.74	3235
0.741	3223
0.742	3210
0.743	3198
0.744	3187
0.745	3174
0.746	3161
0.747	3149
0.748	3137
0.749	3124
0.75	3112
0.751	3101
0.752	3088
0.753	3078
0.754	3066
0.755	3055
0.756	3043
0.757	3032
0.758	3022
0.759	3011
0.76	3000
0.761	2989
0.762	2978
0.763	2967
0.764	2955
0.765	2944
0.766	2933
0.767	2922
0.768	2911
0.769	2900
0.77	2890
0.771	2879
0.772	2868
0.773	2857
0.774	2846
0.775	2835
0.776	2824
0.777	2814
0.778	2805
0.779	2794
0.78	2784
0.781	2773
0.782	2763
0.783	2753
0.784	2743
0.785	2733
0.786	2723
0.787	2712
0.788	2702
0.789	2693
0.79	2683
0.791	2673
0.792	2663
0.793	2654
0.794	2643
0.795	2634
0.796	2624
0.797	2614
0.798	2605
0.799	2594
0.8	2584
0.801	2575
0.802	2565
0.803	2555
0.804	2546
0.805	2536
0.806	2527
0.807	2517
0.808	2507
0.809	2496
0.81	2487
0.811	2477
0.812	2468
0.813	2459
0.814	2450
0.815	2441
0.816	2432
0.817	2423
0.818	2414
0.819	2405
0.82	2396
0.821	2387
0.822	2378
0.823	2369
0.824	2361
0.825	2352
0.826	2344
0.827	2335
0.828	2326
0.829	2317
0.83	2308
0.831	2299
0.832	2291
0.833	2283
0.834	2274
0.835	2264
0.836	2255
0.837	2247
0.838	2239
0.839	2230
0.84	2221
0.841	2213
0.842	2204
0.843	2195
0.844	2187
0.845	2179
0.846	2171
0.847	2163
0.848	2154
0.849	2146
0.85	2137
0.851	2129
0.852	2121
0.853	2113
0.854	2106
0.855	2097
0.856	2089
0.857	2081
0.858	2073
0.859	2065
0.86	2057
0.861	2049
0.862	2041
0.863	2034
0.864	2025
0.865	2017
0.866	2009
0.867	2002
0.868	1994
0.869	1987
0.87	1979
0.871	1971
0.872	1964
0.873	1956
0.874	1948
0.875	1941
0.876	1934
0.877	1926
0.878	1918
0.879	1911
0.88	1903
0.881	1896
0.882	1889
0.883	1882
0.884	1875
0.885	1868
0.886	1860
0.887	1853
0.888	1846
0.889	1839
0.89	1832
0.891	1825
0.892	1818
0.893	1811
0.894	1804
0.895	1797
0.896	1789
0.897	1782
0.898	1775
0.899	1767
0.9	1761
0.901	1754
0.902	1746
0.903	1739
0.904	1732
0.905	1725
0.906	1718
0.907	1711
0.908	1705
0.909	1697
0.91	1690
0.911	1683
0.912	1677
0.913	1669
0.914	1663
0.915	1657
0.916	1650
0.917	1643
0.918	1636
0.919	1629
0.92	1623
0.921	1616
0.922	1610
0.923	1603
0.924	1597
0.925	1590
0.926	1584
0.927	1577
0.928	1571
0.929	1564
0.93	1557
0.931	1550
0.932	1544
0.933	1538
0.934	1531
0.935	1524
0.936	1518
0.937	1511
0.938	1504
0.939	1497
0.94	1490
0.941	1484
0.942	1477
0.943	1471
0.944	1464
0.945	1458
0.946	1451
0.947	1444
0.948	1437
0.949	1431
0.95	1424
0.951	1417
0.952	1411
0.953	1404
0.954	1397
0.955	1390
0.956	1383
0.957	1376
0.958	1370
0.959	1362
0.96	1355
0.961	1348
0.962	1341
0.963	1333
0.964	1326
0.965	1319
0.966	1311
0.967	1304
0.968	1296
0.969	1288
0.97	1281
0.971	1273
0.972	1265
0.973	1257
0.974	1250
0.975	1242
0.976	1234
0.977	1225
0.978	1217
0.979	1209
0.98	1200
0.981	1192
0.982	1183
0.983	1175
0.984	1166
0.985	1157
0.986	1147
0.987	1138
0.988	1128
0.989	1118
0.99	1107
0.991	1097
0.992	1085
0.993	1073
0.994	1061
0.995	1048
0.996	1034
0.997	1019
0.998	1002
0.999	974
1.0	256
