fraction	Nx_length
0.001	245449
0.002	211146
0.003	193914
0.004	184541
0.005	177858
0.006	171370
0.007	166212
0.008	162031
0.009	158582
0.01	156073
0.011	153427
0.012	150386
0.013	148438
0.014	146420
0.015	144497
0.016	142749
0.017	140292
0.018	138117
0.019	136694
0.02	134815
0.021	133821
0.022	132372
0.023	131101
0.024	129444
0.025	128190
0.026	127022
0.027	125831
0.028	124712
0.029	123593
0.03	122427
0.031	121648
0.032	120490
0.033	119455
0.034	118346
0.035	117192
0.036	116236
0.037	115317
0.038	114316
0.039	113453
0.04	112974
0.041	112258
0.042	111284
0.043	110670
0.044	109995
0.045	109359
0.046	108481
0.047	107670
0.048	107060
0.049	106503
0.05	105848
0.051	105154
0.052	104700
0.053	103858
0.054	103393
0.055	102719
0.056	102113
0.057	101651
0.058	101256
0.059	100538
0.06	99822
0.061	99361
0.062	98747
0.063	98314
0.064	97836
0.065	97329
0.066	96921
0.067	96475
0.068	95939
0.069	95437
0.07	94910
0.071	94384
0.072	94019
0.073	93643
0.074	93272
0.075	92849
0.076	92424
0.077	92055
0.078	91650
0.079	91025
0.08	90734
0.081	90273
0.082	89738
0.083	89286
0.084	88943
0.085	88573
0.086	88122
0.087	87640
0.088	87321
0.089	86931
0.09	86624
0.091	86156
0.092	85685
0.093	85364
0.094	84998
0.095	84725
0.096	84399
0.097	84077
0.098	83647
0.099	83325
0.1	83055
0.101	82822
0.102	82438
0.103	82132
0.104	81820
0.105	81390
0.106	81066
0.107	80690
0.108	80419
0.109	80160
0.11	79898
0.111	79583
0.112	79298
0.113	79013
0.114	78746
0.115	78372
0.116	78051
0.117	77803
0.118	77512
0.119	77199
0.12	76968
0.121	76704
0.122	76477
0.123	76149
0.124	75873
0.125	75601
0.126	75427
0.127	75188
0.128	74910
0.129	74647
0.13	74351
0.131	74166
0.132	73966
0.133	73747
0.134	73491
0.135	73241
0.136	72990
0.137	72725
0.138	72498
0.139	72252
0.14	72087
0.141	71861
0.142	71661
0.143	71464
0.144	71174
0.145	70957
0.146	70613
0.147	70360
0.148	70090
0.149	69857
0.15	69649
0.151	69461
0.152	69251
0.153	69029
0.154	68810
0.155	68610
0.156	68438
0.157	68325
0.158	68100
0.159	67895
0.16	67743
0.161	67527
0.162	67325
0.163	67168
0.164	66958
0.165	66779
0.166	66598
0.167	66381
0.168	66142
0.169	65964
0.17	65736
0.171	65545
0.172	65364
0.173	65237
0.174	65054
0.175	64818
0.176	64637
0.177	64470
0.178	64276
0.179	64107
0.18	63906
0.181	63715
0.182	63564
0.183	63411
0.184	63260
0.185	63144
0.186	62985
0.187	62751
0.188	62588
0.189	62437
0.19	62256
0.191	62099
0.192	61899
0.193	61730
0.194	61624
0.195	61474
0.196	61288
0.197	61036
0.198	60852
0.199	60702
0.2	60503
0.201	60326
0.202	60135
0.203	59978
0.204	59808
0.205	59599
0.206	59453
0.207	59289
0.208	59110
0.209	58960
0.21	58767
0.211	58637
0.212	58463
0.213	58337
0.214	58193
0.215	58034
0.216	57895
0.217	57759
0.218	57615
0.219	57485
0.22	57327
0.221	57166
0.222	57017
0.223	56815
0.224	56655
0.225	56497
0.226	56342
0.227	56248
0.228	56140
0.229	56018
0.23	55889
0.231	55772
0.232	55602
0.233	55464
0.234	55318
0.235	55189
0.236	55076
0.237	54964
0.238	54835
0.239	54680
0.24	54548
0.241	54404
0.242	54288
0.243	54165
0.244	54043
0.245	53922
0.246	53790
0.247	53603
0.248	53509
0.249	53375
0.25	53257
0.251	53123
0.252	53015
0.253	52880
0.254	52755
0.255	52626
0.256	52492
0.257	52361
0.258	52241
0.259	52107
0.26	52007
0.261	51868
0.262	51764
0.263	51646
0.264	51508
0.265	51397
0.266	51295
0.267	51154
0.268	51026
0.269	50891
0.27	50781
0.271	50666
0.272	50530
0.273	50415
0.274	50331
0.275	50211
0.276	50099
0.277	49999
0.278	49873
0.279	49751
0.28	49631
0.281	49509
0.282	49412
0.283	49296
0.284	49190
0.285	49083
0.286	48972
0.287	48859
0.288	48727
0.289	48631
0.29	48517
0.291	48397
0.292	48278
0.293	48165
0.294	48020
0.295	47918
0.296	47792
0.297	47634
0.298	47534
0.299	47424
0.3	47319
0.301	47216
0.302	47094
0.303	46966
0.304	46846
0.305	46743
0.306	46605
0.307	46497
0.308	46397
0.309	46309
0.31	46190
0.311	46088
0.312	45984
0.313	45859
0.314	45761
0.315	45662
0.316	45551
0.317	45432
0.318	45346
0.319	45253
0.32	45162
0.321	45050
0.322	44934
0.323	44810
0.324	44680
0.325	44579
0.326	44441
0.327	44361
0.328	44234
0.329	44130
0.33	44039
0.331	43928
0.332	43818
0.333	43707
0.334	43612
0.335	43503
0.336	43401
0.337	43322
0.338	43212
0.339	43100
0.34	42990
0.341	42880
0.342	42798
0.343	42682
0.344	42587
0.345	42501
0.346	42381
0.347	42304
0.348	42221
0.349	42113
0.35	42003
0.351	41913
0.352	41813
0.353	41699
0.354	41601
0.355	41502
0.356	41398
0.357	41300
0.358	41200
0.359	41117
0.36	41013
0.361	40925
0.362	40818
