fraction	Nx_length
0.001	192166
0.002	168818
0.003	159135
0.004	150570
0.005	141594
0.006	139184
0.007	136540
0.008	131916
0.009	129106
0.01	126625
0.011	123604
0.012	120729
0.013	118731
0.014	117015
0.015	114362
0.016	111964
0.017	110042
0.018	108845
0.019	107779
0.02	106452
0.021	105164
0.022	104304
0.023	103363
0.024	101471
0.025	100496
0.026	99671
0.027	98643
0.028	97874
0.029	97462
0.03	96204
0.031	95247
0.032	94493
0.033	93626
0.034	92784
0.035	92132
0.036	91284
0.037	90394
0.038	89280
0.039	88846
0.04	88350
0.041	87430
0.042	86736
0.043	86119
0.044	85577
0.045	84951
0.046	84353
0.047	83633
0.048	83173
0.049	82512
0.05	81827
0.051	81409
0.052	81022
0.053	80673
0.054	80254
0.055	79913
0.056	79335
0.057	78944
0.058	78590
0.059	78190
0.06	77816
0.061	77317
0.062	76955
0.063	76607
0.064	76228
0.065	76034
0.066	75574
0.067	75144
0.068	74699
0.069	74332
0.07	73880
0.071	73632
0.072	73175
0.073	72968
0.074	72674
0.075	72424
0.076	72128
0.077	71728
0.078	71407
0.079	70970
0.08	70601
0.081	70252
0.082	69964
0.083	69626
0.084	69448
0.085	69139
0.086	68886
0.087	68559
0.088	68325
0.089	68102
0.09	67828
0.091	67567
0.092	67340
0.093	67014
0.094	66685
0.095	66452
0.096	66132
0.097	65751
0.098	65595
0.099	65363
0.1	65127
0.101	64784
0.102	64592
0.103	64376
0.104	64141
0.105	63914
0.106	63618
0.107	63477
0.108	63292
0.109	63055
0.11	62874
0.111	62585
0.112	62404
0.113	62203
0.114	62011
0.115	61744
0.116	61447
0.117	61198
0.118	60965
0.119	60795
0.12	60640
0.121	60390
0.122	60139
0.123	59914
0.124	59663
0.125	59405
0.126	59180
0.127	58979
0.128	58770
0.129	58525
0.13	58272
0.131	58139
0.132	57965
0.133	57771
0.134	57527
0.135	57335
0.136	57124
0.137	56929
0.138	56716
0.139	56598
0.14	56362
0.141	56133
0.142	55919
0.143	55732
0.144	55555
0.145	55340
0.146	55142
0.147	54978
0.148	54826
0.149	54679
0.15	54459
0.151	54293
0.152	54074
0.153	53923
0.154	53747
0.155	53485
0.156	53317
0.157	53116
0.158	52922
0.159	52804
0.16	52631
0.161	52445
0.162	52269
0.163	52163
0.164	52021
0.165	51854
0.166	51724
0.167	51588
0.168	51462
0.169	51287
0.17	51099
0.171	50892
0.172	50711
0.173	50556
0.174	50431
0.175	50306
0.176	50164
0.177	50034
0.178	49907
0.179	49745
0.18	49559
0.181	49424
0.182	49306
0.183	49184
0.184	49035
0.185	48900
0.186	48780
0.187	48630
0.188	48483
0.189	48341
0.19	48220
0.191	48068
0.192	47938
0.193	47843
0.194	47726
0.195	47601
0.196	47465
0.197	47327
0.198	47245
0.199	47106
0.2	46966
0.201	46848
0.202	46714
0.203	46603
0.204	46482
0.205	46376
0.206	46229
0.207	46111
0.208	46031
0.209	45865
0.21	45727
0.211	45582
0.212	45487
0.213	45391
0.214	45277
0.215	45184
0.216	45089
0.217	44943
0.218	44821
0.219	44706
0.22	44557
0.221	44437
0.222	44332
0.223	44205
0.224	44096
0.225	43979
0.226	43842
0.227	43708
0.228	43553
0.229	43414
0.23	43332
0.231	43234
0.232	43095
0.233	42947
0.234	42816
0.235	42703
0.236	42561
0.237	42458
0.238	42355
0.239	42204
0.24	42100
0.241	41984
0.242	41913
0.243	41806
0.244	41708
0.245	41583
0.246	41488
0.247	41388
0.248	41282
0.249	41172
0.25	41062
0.251	40972
0.252	40853
0.253	40773
0.254	40663
0.255	40564
0.256	40462
0.257	40361
0.258	40263
0.259	40146
0.26	40039
0.261	39945
0.262	39853
0.263	39744
0.264	39639
0.265	39546
0.266	39452
0.267	39365
0.268	39236
0.269	39141
0.27	39051
0.271	38952
0.272	38842
0.273	38743
0.274	38643
0.275	38508
0.276	38414
0.277	38321
0.278	38200
0.279	38103
0.28	38005
0.281	37910
0.282	37801
0.283	37698
0.284	37577
0.285	37497
0.286	37386
0.287	37285
0.288	37177
0.289	37083
0.29	36978
0.291	36855
0.292	36766
0.293	36678
0.294	36577
0.295	36488
0.296	36390
0.297	36288
0.298	36189
0.299	36096
0.3	36009
0.301	35938
0.302	35853
0.303	35772
0.304	35694
0.305	35587
0.306	35513
0.307	35415
0.308	35345
0.309	35259
0.31	35174
0.311	35090
0.312	35004
0.313	34915
0.314	34826
0.315	34741
0.316	34644
0.317	34566
0.318	34476
0.319	34378
0.32	34280
0.321	34198
0.322	34122
0.323	34061
0.324	33959
0.325	33865
0.326	33751
0.327	33650
0.328	33564
0.329	33490
0.33	33405
0.331	33308
0.332	33217
0.333	33149
0.334	33076
