fraction	Nx_length
0.001	365945
0.002	291206
0.003	280320
0.004	267362
0.005	256877
0.006	248279
0.007	239706
0.008	233927
0.009	228446
0.01	223502
0.011	217071
0.012	209660
0.013	207272
0.014	204717
0.015	200730
0.016	197324
0.017	195356
0.018	193626
0.019	187701
0.02	184187
0.021	181160
0.022	178556
0.023	177324
0.024	175897
0.025	173803
0.026	170667
0.027	168070
0.028	164743
0.029	162486
0.03	160922
0.031	159020
0.032	157288
0.033	155984
0.034	155041
0.035	152927
0.036	151056
0.037	150287
0.038	148222
0.039	147280
0.04	146715
0.041	145105
0.042	142500
0.043	141618
0.044	139878
0.045	138111
0.046	135903
0.047	134045
0.048	132315
0.049	130784
0.05	129617
0.051	128272
0.052	127489
0.053	126541
0.054	125282
0.055	124786
0.056	123611
0.057	122035
0.058	121102
0.059	119769
0.06	119052
0.061	117900
0.062	117129
0.063	116144
0.064	115354
0.065	114485
0.066	113592
0.067	112875
0.068	112149
0.069	111349
0.07	110663
0.071	110172
0.072	109329
0.073	108518
0.074	107953
0.075	107110
0.076	106420
0.077	105904
0.078	104962
0.079	104172
0.08	103244
0.081	101782
0.082	100987
0.083	100000
0.084	99409
0.085	98807
0.086	98178
0.087	97710
0.088	97044
0.089	96441
0.09	95897
0.091	95443
0.092	94957
0.093	94146
0.094	93528
0.095	92622
0.096	92130
0.097	91527
0.098	90987
0.099	90148
0.1	89637
0.101	89223
0.102	88735
0.103	88252
0.104	87851
0.105	87379
0.106	86963
0.107	86481
0.108	86034
0.109	85700
0.11	85051
0.111	84451
0.112	84022
0.113	83547
0.114	83285
0.115	82881
0.116	82504
0.117	81741
0.118	81384
0.119	80901
0.12	80199
0.121	79748
0.122	79302
0.123	78800
0.124	78171
0.125	77801
0.126	77366
0.127	77021
0.128	76625
0.129	76294
0.13	75910
0.131	75225
0.132	75000
0.133	74570
0.134	74115
0.135	73727
0.136	73361
0.137	72911
0.138	72648
0.139	72199
0.14	71876
0.141	71622
0.142	71212
0.143	70882
0.144	70683
0.145	70224
0.146	69936
0.147	69663
0.148	69380
