fraction	Nx_length
0.001	97623
0.002	87422
0.003	78410
0.004	72534
0.005	69407
0.006	66749
0.007	63930
0.008	62036
0.009	59536
0.01	57522
0.011	56494
0.012	55361
0.013	54065
0.014	53424
0.015	52374
0.016	51657
0.017	50920
0.018	50139
0.019	49593
0.02	49043
0.021	48503
0.022	47820
0.023	47192
0.024	46788
0.025	46264
0.026	45713
0.027	45282
0.028	44577
0.029	44133
0.03	43783
0.031	43424
0.032	43006
0.033	42680
0.034	42341
0.035	42112
0.036	41638
0.037	41370
0.038	41084
0.039	40732
0.04	40422
0.041	40128
0.042	39906
0.043	39575
0.044	39287
0.045	39003
0.046	38801
0.047	38486
0.048	38245
0.049	38039
0.05	37818
0.051	37612
0.052	37337
0.053	37099
0.054	36861
0.055	36583
0.056	36348
0.057	36158
0.058	35990
0.059	35765
0.06	35590
0.061	35341
0.062	35146
0.063	34849
0.064	34687
0.065	34448
0.066	34269
0.067	34118
0.068	33910
0.069	33729
0.07	33548
0.071	33396
0.072	33225
0.073	33039
0.074	32830
0.075	32596
0.076	32479
0.077	32335
0.078	32169
0.079	32030
0.08	31855
0.081	31694
0.082	31523
0.083	31360
0.084	31201
0.085	31076
0.086	30955
0.087	30812
0.088	30680
0.089	30529
0.09	30397
0.091	30314
0.092	30190
0.093	30059
0.094	29954
0.095	29831
0.096	29709
0.097	29581
0.098	29455
0.099	29313
0.1	29215
0.101	29088
0.102	28977
0.103	28874
0.104	28730
0.105	28619
0.106	28502
0.107	28383
0.108	28277
0.109	28155
0.11	28042
0.111	27928
0.112	27832
0.113	27745
0.114	27651
0.115	27565
0.116	27472
0.117	27367
0.118	27242
0.119	27165
0.12	27080
0.121	26977
0.122	26809
0.123	26734
0.124	26609
0.125	26519
0.126	26436
0.127	26333
0.128	26248
0.129	26149
0.13	26058
0.131	25949
0.132	25853
0.133	25762
0.134	25666
0.135	25576
0.136	25509
0.137	25442
0.138	25378
0.139	25280
0.14	25201
0.141	25125
0.142	25043
0.143	24971
0.144	24888
0.145	24778
0.146	24698
0.147	24618
0.148	24546
0.149	24461
0.15	24385
0.151	24307
0.152	24218
0.153	24131
0.154	24047
0.155	23977
0.156	23897
0.157	23812
0.158	23735
0.159	23640
0.16	23566
0.161	23471
0.162	23410
0.163	23345
0.164	23277
0.165	23196
0.166	23127
0.167	23061
0.168	23007
0.169	22938
0.17	22866
0.171	22800
0.172	22715
0.173	22649
0.174	22583
0.175	22520
0.176	22458
0.177	22382
0.178	22317
0.179	22252
0.18	22192
0.181	22117
0.182	22050
0.183	21991
0.184	21919
0.185	21863
0.186	21800
0.187	21741
0.188	21679
0.189	21636
0.19	21568
0.191	21507
0.192	21445
0.193	21389
0.194	21325
0.195	21266
0.196	21200
0.197	21139
0.198	21083
0.199	21016
0.2	20967
0.201	20899
0.202	20836
0.203	20781
0.204	20732
0.205	20678
0.206	20622
0.207	20563
0.208	20489
0.209	20424
0.21	20367
0.211	20300
0.212	20242
0.213	20179
0.214	20125
0.215	20071
0.216	20025
0.217	19973
0.218	19895
0.219	19841
0.22	19793
0.221	19743
0.222	19692
0.223	19641
0.224	19592
0.225	19524
0.226	19471
0.227	19419
0.228	19366
0.229	19313
0.23	19261
0.231	19212
0.232	19164
0.233	19105
0.234	19054
0.235	19011
0.236	18962
0.237	18903
0.238	18858
0.239	18811
0.24	18772
0.241	18725
0.242	18684
0.243	18641
0.244	18603
0.245	18559
0.246	18509
0.247	18448
0.248	18406
0.249	18370
0.25	18336
0.251	18305
0.252	18259
0.253	18208
0.254	18160
0.255	18114
0.256	18061
0.257	18016
0.258	17958
0.259	17906
0.26	17867
0.261	17827
0.262	17782
0.263	17743
0.264	17701
0.265	17659
0.266	17618
0.267	17567
0.268	17517
0.269	17479
0.27	17439
0.271	17384
0.272	17347
0.273	17307
0.274	17260
0.275	17221
0.276	17171
0.277	17137
0.278	17093
0.279	17048
0.28	17008
0.281	16969
0.282	16926
0.283	16886
0.284	16845
0.285	16811
0.286	16770
0.287	16725
0.288	16684
0.289	16648
0.29	16601
0.291	16554
0.292	16507
0.293	16463
0.294	16418
0.295	16373
0.296	16339
0.297	16295
0.298	16243
0.299	16207
0.3	16167
0.301	16124
0.302	16087
0.303	16056
0.304	16020
0.305	15983
0.306	15938
0.307	15899
0.308	15860
0.309	15817
0.31	15776
0.311	15738
0.312	15704
0.313	15663
0.314	15624
0.315	15580
0.316	15545
0.317	15508
0.318	15467
0.319	15429
0.32	15390
0.321	15351
0.322	15315
0.323	15277
0.324	15244
0.325	15203
0.326	15158
0.327	15119
0.328	15087
0.329	15045
0.33	15009
0.331	14975
0.332	14938
0.333	14900
0.334	14865
0.335	14825
0.336	14794
0.337	14762
0.338	14724
0.339	14683
0.34	14653
0.341	14623
0.342	14588
0.343	14554
0.344	14522
0.345	14486
0.346	14450
0.347	14415
0.348	14381
0.349	14342
0.35	14301
0.351	14266
0.352	14231
0.353	14188
0.354	14162
0.355	14125
0.356	14090
0.357	14048
0.358	14010
0.359	13976
0.36	13938
0.361	13910
0.362	13883
0.363	13855
0.364	13824
0.365	13789
0.366	13756
0.367	13721
0.368	13685
0.369	13653
0.37	13617
0.371	13581
0.372	13545
0.373	13514
0.374	13486
0.375	13455
0.376	13422
0.377	13390
0.378	13360
0.379	13325
0.38	13295
0.381	13263
0.382	13226
0.383	13194
0.384	13164
0.385	13132
0.386	13102
0.387	13069
0.388	13032
0.389	13004
0.39	12976
0.391	12943
0.392	12905
0.393	12872
0.394	12842
0.395	12804
0.396	12771
0.397	12747
0.398	12717
0.399	12689
0.4	12662
0.401	12630
0.402	12598
0.403	12563
0.404	12529
0.405	12501
0.406	12472
0.407	12445
0.408	12420
0.409	12380
0.41	12354
0.411	12327
0.412	12295
0.413	12272
0.414	12241
0.415	12218
0.416	12189
0.417	12156
0.418	12126
0.419	12098
0.42	12068
0.421	12043
0.422	12015
0.423	11988
0.424	11962
0.425	11933
0.426	11901
0.427	11877
0.428	11848
0.429	11820
0.43	11791
0.431	11763
0.432	11734
0.433	11703
0.434	11675
0.435	11651
0.436	11619
0.437	11588
0.438	11560
0.439	11532
0.44	11506
0.441	11477
0.442	11448
0.443	11419
0.444	11396
0.445	11370
0.446	11345
0.447	11317
0.448	11291
0.449	11267
0.45	11242
0.451	11214
0.452	11190
0.453	11164
0.454	11140
0.455	11119
0.456	11091
0.457	11061
0.458	11039
0.459	11013
0.46	10990
0.461	10960
0.462	10933
0.463	10910
0.464	10881
0.465	10857
0.466	10829
0.467	10803
0.468	10777
0.469	10748
0.47	10723
0.471	10699
0.472	10678
0.473	10651
0.474	10622
0.475	10597
0.476	10574
0.477	10551
0.478	10526
0.479	10502
0.48	10476
0.481	10451
0.482	10426
0.483	10403
0.484	10378
0.485	10358
0.486	10328
0.487	10301
0.488	10278
0.489	10249
0.49	10223
0.491	10196
0.492	10174
0.493	10148
0.494	10123
0.495	10098
