fraction	Nx_length
0.001	3826345
0.002	3826345
0.003	3820636
0.004	3820636
0.005	3820636
0.006	3697833
0.007	3697833
0.008	3697833
0.009	3598808
0.01	3598808
0.011	3541448
0.012	3541448
0.013	3541448
0.014	3274065
0.015	3274065
0.016	3147016
0.017	3147016
0.018	3141613
0.019	3141613
0.02	3131423
0.021	3131423
0.022	3131423
0.023	3007391
0.024	3007391
0.025	2772754
0.026	2772754
0.027	2726679
0.028	2726679
0.029	2487042
0.03	2485493
0.031	2485493
0.032	2327427
0.033	2327427
0.034	2314745
0.035	2313421
0.036	2313421
0.037	2291681
0.038	2291681
0.039	2289512
0.04	2268510
0.041	2268510
0.042	2257283
0.043	2199771
0.044	2199771
0.045	2183880
0.046	2183880
0.047	2169782
0.048	2169036
0.049	2169036
0.05	2135837
0.051	2102141
0.052	2102141
0.053	2060360
0.054	2047557
0.055	2047557
0.056	2044500
0.057	2017365
0.058	2012875
0.059	2012875
0.06	1993003
0.061	1991994
0.062	1991994
0.063	1974572
0.064	1972673
0.065	1965883
0.066	1965883
0.067	1940819
0.068	1902778
0.069	1902778
0.07	1896420
0.071	1862564
0.072	1843433
0.073	1843433
0.074	1824260
0.075	1794965
0.076	1788407
0.077	1781979
0.078	1781979
0.079	1756891
0.08	1751656
0.081	1736881
0.082	1731251
0.083	1731251
0.084	1726958
0.085	1726397
0.086	1704124
0.087	1694147
0.088	1687065
0.089	1687065
0.09	1684600
0.091	1684564
0.092	1680460
0.093	1668146
0.094	1664615
0.095	1664615
0.096	1660944
0.097	1659124
0.098	1642607
0.099	1621693
0.1	1610872
0.101	1609551
0.102	1588276
0.103	1588276
0.104	1558847
0.105	1555869
0.106	1540550
0.107	1539712
0.108	1535592
0.109	1517578
0.11	1497715
0.111	1487222
0.112	1482521
0.113	1477157
0.114	1471229
0.115	1460738
0.116	1458996
0.117	1456848
0.118	1454987
0.119	1454987
0.12	1447373
0.121	1440452
0.122	1434500
0.123	1430984
0.124	1430337
0.125	1428819
0.126	1410472
0.127	1407377
0.128	1399952
0.129	1391437
0.13	1379784
0.131	1378232
0.132	1365872
0.133	1356996
0.134	1356653
0.135	1351959
0.136	1322235
0.137	1315922
0.138	1306138
0.139	1304082
0.14	1291558
0.141	1284284
0.142	1280721
0.143	1279321
0.144	1275196
0.145	1266779
0.146	1265801
0.147	1250271
0.148	1246883
0.149	1244745
0.15	1244725
0.151	1239633
0.152	1234956
0.153	1222935
0.154	1208006
0.155	1203707
0.156	1197748
0.157	1196146
0.158	1194920
0.159	1184308
0.16	1182660
0.161	1181765
0.162	1178765
0.163	1175775
0.164	1167789
0.165	1162628
0.166	1152027
0.167	1150732
0.168	1142225
0.169	1141710
0.17	1141161
0.171	1140230
0.172	1138316
0.173	1135728
0.174	1121924
0.175	1121335
0.176	1115265
0.177	1112685
0.178	1111622
0.179	1109749
0.18	1109330
0.181	1109187
0.182	1108823
0.183	1105116
0.184	1102853
0.185	1099836
0.186	1096417
0.187	1093900
0.188	1090318
0.189	1088420
0.19	1087850
0.191	1084993
0.192	1084661
0.193	1084518
0.194	1079471
0.195	1079376
0.196	1077845
0.197	1074449
0.198	1074448
0.199	1069331
0.2	1061909
0.201	1061511
0.202	1057138
0.203	1053772
0.204	1051158
0.205	1050157
0.206	1042412
0.207	1041928
0.208	1039713
0.209	1037520
0.21	1033486
0.211	1032722
0.212	1027608
0.213	1026884
0.214	1026165
0.215	1023637
0.216	1023175
0.217	1016661
0.218	1016622
0.219	1011725
0.22	1005014
0.221	1001559
0.222	998787
0.223	997443
0.224	993852
0.225	992802
0.226	985107
0.227	981934
0.228	978840
0.229	978258
0.23	977527
0.231	972136
0.232	970301
0.233	969387
0.234	968528
0.235	963935
0.236	958407
0.237	956519
0.238	955609
0.239	955279
0.24	951305
0.241	947651
0.242	944044
0.243	943630
0.244	939964
0.245	938515
0.246	935743
0.247	932444
0.248	930085
0.249	926670
0.25	925094
0.251	922775
0.252	912311
0.253	912168
0.254	910734
0.255	909477
0.256	903574
0.257	894348
0.258	894290
0.259	890778
0.26	888314
0.261	885170
0.262	879739
0.263	879536
0.264	875359
0.265	874452
0.266	872380
0.267	864827
0.268	862074
0.269	857985
0.27	856861
0.271	856582
0.272	855871
0.273	852253
0.274	851136
0.275	846191
0.276	844989
0.277	844825
0.278	842203
0.279	840456
0.28	836008
0.281	832238
0.282	825652
0.283	825347
0.284	820991
0.285	819246
0.286	817111
0.287	815239
0.288	812204
0.289	810745
0.29	808832
0.291	806610
0.292	804426
0.293	801188
0.294	800156
0.295	800022
0.296	799381
0.297	798284
0.298	795771
0.299	795284
0.3	790830
0.301	788377
0.302	787061
0.303	784216
0.304	779594
0.305	776956
0.306	775012
0.307	772325
0.308	771483
0.309	770699
0.31	769621
0.311	767309
0.312	766117
0.313	762165
0.314	757323
0.315	756243
0.316	754646
0.317	754509
0.318	751431
0.319	750338
0.32	746824
0.321	746184
0.322	742426
0.323	740963
0.324	738343
0.325	736532
0.326	734172
0.327	731311
0.328	729219
0.329	728976
0.33	727061
0.331	724495
0.332	723165
0.333	719662
0.334	717916
0.335	715728
0.336	711996
0.337	707562
0.338	707273
0.339	706998
0.34	705692
0.341	704706
0.342	702782
0.343	701925
0.344	700248
0.345	699359
0.346	698403
0.347	698101
0.348	695582
0.349	693129
0.35	691747
0.351	688380
0.352	687881
0.353	684312
0.354	681863
0.355	680079
0.356	679427
0.357	678598
0.358	677222
0.359	674414
0.36	672464
0.361	670575
0.362	669720
0.363	668518
0.364	666552
0.365	663707
0.366	661151
0.367	659493
0.368	658027
0.369	656602
0.37	655656
0.371	654725
0.372	652712
0.373	650820
0.374	648922
0.375	648634
0.376	647166
0.377	642065
0.378	640556
