fraction	Nx_length
0.001	121043
0.002	113657
0.003	106290
0.004	103542
0.005	98924
0.006	97027
0.007	94985
0.008	92053
0.009	90006
0.01	88173
0.011	85847
0.012	83837
0.013	82433
0.014	81059
0.015	79613
0.016	78455
0.017	77905
0.018	76921
0.019	76094
0.02	75150
0.021	74232
0.022	73235
0.023	72598
0.024	71780
0.025	70939
0.026	70527
0.027	69428
0.028	68517
0.029	67912
0.03	67027
0.031	66343
0.032	65852
0.033	65340
0.034	64861
0.035	64367
0.036	63946
0.037	63421
0.038	62857
0.039	62404
0.04	62003
0.041	61543
0.042	61042
0.043	60544
0.044	60160
0.045	59832
0.046	59352
0.047	58945
0.048	58423
0.049	58123
0.05	57807
0.051	57330
0.052	56961
0.053	56573
0.054	56170
0.055	55858
0.056	55511
0.057	55121
0.058	54879
0.059	54610
0.06	54319
0.061	53994
0.062	53744
0.063	53521
0.064	53170
0.065	52928
0.066	52708
0.067	52372
0.068	52072
0.069	51830
0.07	51493
0.071	51319
0.072	51035
0.073	50789
0.074	50558
0.075	50363
0.076	50196
0.077	49961
0.078	49769
0.079	49515
0.08	49314
0.081	49075
0.082	48872
0.083	48709
0.084	48437
0.085	48261
0.086	48025
0.087	47846
0.088	47663
0.089	47457
0.09	47267
0.091	47106
0.092	46962
0.093	46801
0.094	46615
0.095	46437
0.096	46250
0.097	46091
0.098	45905
0.099	45697
0.1	45574
0.101	45418
0.102	45279
0.103	45151
0.104	44986
0.105	44820
0.106	44651
0.107	44524
0.108	44377
0.109	44257
0.11	44066
0.111	43916
0.112	43762
0.113	43639
0.114	43419
0.115	43271
0.116	43125
0.117	42965
0.118	42801
0.119	42659
0.12	42508
0.121	42338
0.122	42166
0.123	42042
0.124	41932
0.125	41797
0.126	41633
0.127	41485
0.128	41356
0.129	41203
0.13	41075
0.131	40955
0.132	40804
0.133	40652
0.134	40538
0.135	40403
0.136	40241
0.137	40098
0.138	40001
0.139	39876
0.14	39712
0.141	39583
0.142	39426
0.143	39302
0.144	39192
0.145	39108
0.146	39003
0.147	38878
0.148	38754
0.149	38601
0.15	38505
0.151	38388
0.152	38281
0.153	38195
0.154	38104
0.155	37994
0.156	37906
0.157	37792
0.158	37657
0.159	37563
0.16	37443
0.161	37337
0.162	37243
0.163	37120
0.164	36993
0.165	36872
0.166	36761
0.167	36638
0.168	36539
0.169	36451
0.17	36340
0.171	36240
0.172	36134
0.173	36052
0.174	35963
0.175	35857
0.176	35767
0.177	35678
0.178	35566
0.179	35460
0.18	35372
0.181	35273
0.182	35183
0.183	35071
0.184	34984
0.185	34876
0.186	34780
0.187	34680
0.188	34581
0.189	34479
