fraction	Nx_length
0.001	18661274
0.002	18661274
0.003	18661274
0.004	18661274
0.005	18661274
0.006	18661274
0.007	18661274
0.008	18661274
0.009	18661274
0.01	18661274
0.011	13096101
0.012	13096101
0.013	13096101
0.014	13096101
0.015	13096101
0.016	13096101
0.017	13096101
0.018	13096101
0.019	12793402
0.02	12793402
0.021	12793402
0.022	12793402
0.023	12793402
0.024	12793402
0.025	12793402
0.026	12739377
0.027	12739377
0.028	12739377
0.029	12739377
0.03	12739377
0.031	12739377
0.032	12739377
0.033	11782092
0.034	11782092
0.035	11782092
0.036	11782092
0.037	11782092
0.038	11782092
0.039	11782092
0.04	10944031
0.041	10944031
0.042	10944031
0.043	10944031
0.044	10944031
0.045	10944031
0.046	9136605
0.047	9136605
0.048	9136605
0.049	9136605
0.05	9136605
0.051	9136605
0.052	9042068
0.053	9042068
0.054	9042068
0.055	9042068
0.056	9042068
0.057	8949112
0.058	8949112
0.059	8949112
0.06	8949112
0.061	8949112
0.062	8880290
0.063	8880290
0.064	8880290
0.065	8880290
0.066	8880290
0.067	7981452
0.068	7981452
0.069	7981452
0.07	7981452
0.071	7808863
0.072	7808863
0.073	7808863
0.074	7808863
0.075	7808863
0.076	7602709
0.077	7602709
0.078	7602709
0.079	7602709
0.08	7501288
0.081	7501288
0.082	7501288
0.083	7501288
0.084	7501288
0.085	7206983
0.086	7206983
0.087	7206983
0.088	7206983
0.089	7203672
0.09	7203672
0.091	7203672
0.092	7203672
0.093	7135318
0.094	7135318
0.095	7135318
0.096	7135318
0.097	6660994
0.098	6660994
0.099	6660994
0.1	6660994
0.101	6591646
0.102	6591646
0.103	6591646
0.104	6437178
0.105	6437178
0.106	6437178
0.107	6437178
0.108	6397418
0.109	6397418
0.11	6397418
0.111	6397418
0.112	6378098
0.113	6378098
0.114	6378098
0.115	6363897
0.116	6363897
0.117	6363897
0.118	6363897
0.119	6343844
0.12	6343844
0.121	6343844
0.122	6343844
0.123	6296004
0.124	6296004
0.125	6296004
0.126	6290121
0.127	6290121
0.128	6290121
0.129	6290121
0.13	6241996
0.131	6241996
0.132	6241996
0.133	6241996
0.134	6237408
0.135	6237408
0.136	6237408
0.137	6220986
0.138	6220986
0.139	6220986
0.14	6220986
0.141	6220082
0.142	6220082
0.143	6220082
0.144	5846433
0.145	5846433
0.146	5846433
0.147	5846433
0.148	5796841
0.149	5796841
0.15	5796841
0.151	5780532
0.152	5780532
0.153	5780532
0.154	5735261
0.155	5735261
0.156	5735261
0.157	5686601
0.158	5686601
0.159	5686601
0.16	5686601
0.161	5672830
0.162	5672830
0.163	5672830
0.164	5672663
0.165	5672663
0.166	5672663
0.167	5620323
0.168	5620323
0.169	5620323
0.17	5580913
0.171	5580913
0.172	5580913
0.173	5580913
0.174	5470128
0.175	5470128
0.176	5470128
0.177	5432817
0.178	5432817
0.179	5432817
0.18	5367545
0.181	5367545
0.182	5367545
0.183	5364782
0.184	5364782
0.185	5364782
0.186	5337732
0.187	5337732
0.188	5337732
0.189	5321911
0.19	5321911
0.191	5321911
0.192	5263774
0.193	5263774
0.194	5263774
0.195	5222799
