fraction	Nx_length
0.001	3748346
0.002	2785570
0.003	2785570
0.004	2768856
0.005	2703358
0.006	2543010
0.007	2543010
0.008	2148783
0.009	2037214
0.01	1987721
0.011	1985565
0.012	1974006
0.013	1924753
0.014	1910095
0.015	1822524
0.016	1786048
0.017	1785902
0.018	1776618
0.019	1759902
0.02	1758545
0.021	1751269
0.022	1734994
0.023	1721968
0.024	1702700
0.025	1639492
0.026	1614087
0.027	1598611
0.028	1586334
0.029	1575430
0.03	1553309
0.031	1547340
0.032	1531767
0.033	1518653
0.034	1517182
0.035	1507193
0.036	1503884
0.037	1498067
0.038	1497295
0.039	1489682
0.04	1476946
0.041	1470144
0.042	1451588
0.043	1449013
0.044	1425388
0.045	1423654
0.046	1420589
0.047	1406632
0.048	1406184
0.049	1395146
0.05	1381690
0.051	1374748
0.052	1373064
0.053	1369286
0.054	1367551
0.055	1363529
0.056	1361577
0.057	1351285
0.058	1342280
0.059	1335069
0.06	1334486
0.061	1331940
0.062	1327310
0.063	1314336
0.064	1312192
0.065	1304242
0.066	1303375
0.067	1297650
0.068	1288830
0.069	1271967
0.07	1267761
0.071	1263638
0.072	1246590
0.073	1232575
0.074	1228996
0.075	1223042
0.076	1203973
0.077	1203047
0.078	1199216
0.079	1188389
0.08	1182885
0.081	1176342
0.082	1170621
0.083	1167937
0.084	1166820
0.085	1162300
0.086	1157998
0.087	1152009
0.088	1148732
0.089	1143398
0.09	1137312
0.091	1135663
0.092	1134190
0.093	1131166
0.094	1130709
0.095	1130062
0.096	1121677
0.097	1120194
0.098	1120115
0.099	1114346
0.1	1106437
0.101	1103247
0.102	1102325
0.103	1100694
0.104	1098654
0.105	1093439
0.106	1092846
0.107	1091867
0.108	1090595
0.109	1089698
0.11	1085248
0.111	1084698
0.112	1081724
0.113	1079123
0.114	1075912
0.115	1070529
0.116	1068096
0.117	1062282
0.118	1061383
0.119	1061076
0.12	1054493
0.121	1047430
0.122	1044627
0.123	1040480
0.124	1029695
0.125	1028219
0.126	1026191
0.127	1024322
0.128	1022811
0.129	1019421
0.13	1014854
0.131	1011649
0.132	1009593
0.133	1006898
0.134	1002498
0.135	999457
0.136	996964
0.137	992003
0.138	988844
0.139	986168
0.14	984134
0.141	983329
0.142	979343
0.143	978872
0.144	973549
0.145	969261
0.146	967199
0.147	963462
0.148	961584
0.149	955400
0.15	952579
0.151	951462
0.152	947747
0.153	946748
0.154	945962
0.155	944823
0.156	936738
0.157	934317
0.158	930875
0.159	928754
0.16	927723
0.161	927352
0.162	922841
0.163	922066
0.164	920431
0.165	918219
0.166	915981
0.167	912676
0.168	910166
0.169	906787
0.17	905878
0.171	899040
0.172	898013
0.173	894041
0.174	893713
0.175	891609
0.176	887803
0.177	885447
0.178	881887
0.179	879579
0.18	877263
0.181	876495
0.182	874024
0.183	871826
0.184	868570
0.185	866382
0.186	865903
0.187	864814
0.188	862923
0.189	860538
0.19	856927
0.191	854317
0.192	853443
0.193	851372
0.194	850471
0.195	848575
0.196	845462
0.197	844873
0.198	837873
0.199	833651
0.2	831328
0.201	831124
0.202	827427
0.203	825883
0.204	823839
0.205	820629
0.206	814790
0.207	813714
0.208	808195
0.209	807390
0.21	805208
0.211	803661
0.212	802410
0.213	799697
0.214	793991
0.215	793597
0.216	789875
0.217	784521
0.218	783650
0.219	782892
0.22	779949
0.221	778830
0.222	778093
0.223	776855
0.224	774990
0.225	773087
0.226	770915
0.227	768796
0.228	767469
0.229	765942
0.23	765322
0.231	761289
0.232	758460
0.233	755129
0.234	752277
0.235	749381
0.236	747690
0.237	746468
0.238	744951
0.239	743034
0.24	740990
0.241	740637
0.242	737368
0.243	733086
0.244	731505
0.245	728281
0.246	727141
0.247	726111
0.248	723523
0.249	722402
0.25	719555
0.251	713784
0.252	713249
0.253	711750
0.254	708371
0.255	707204
0.256	705212
0.257	703192
0.258	701903
0.259	698589
0.26	696882
0.261	692878
0.262	689137
0.263	685523
0.264	682837
0.265	680987
0.266	678601
0.267	676686
0.268	672924
0.269	672193
0.27	669460
0.271	668361
0.272	666739
0.273	665405
0.274	662431
0.275	660688
0.276	659899
0.277	658283
0.278	656333
0.279	653545
0.28	651270
0.281	649410
0.282	648968
0.283	645439
0.284	642421
0.285	640999
0.286	638615
0.287	637845
0.288	637195
0.289	635295
0.29	633890
0.291	633140
0.292	631563
0.293	630362
0.294	629873
0.295	629019
0.296	627834
0.297	625947
0.298	624150
0.299	623040
0.3	622534
0.301	620319
0.302	618672
0.303	616446
0.304	614937
0.305	614104
0.306	612490
0.307	610521
0.308	609875
0.309	607836
0.31	606449
0.311	605535
0.312	602169
0.313	601533
0.314	599866
0.315	598301
0.316	595770
0.317	593468
0.318	593029
0.319	591949
0.32	589421
0.321	587629
0.322	587016
0.323	586551
0.324	584912
0.325	583879
0.326	581850
0.327	579242
0.328	577528
0.329	576930
0.33	575787
0.331	572200
0.332	571102
0.333	568003
0.334	566134
0.335	564613
0.336	562296
0.337	559656
0.338	558693
0.339	557731
0.34	555047
0.341	554523
0.342	553304
0.343	552169
0.344	550630
0.345	549251
0.346	548484
0.347	545889
0.348	544746
0.349	543196
0.35	540955
0.351	538055
0.352	537213
0.353	535164
0.354	533633
0.355	531542
0.356	530541
0.357	529518
0.358	528510
0.359	528150
0.36	526161
0.361	523638
0.362	523091
0.363	520973
0.364	518740
0.365	516162
0.366	514348
0.367	512935
0.368	512492
0.369	511249
0.37	510560
0.371	509390
0.372	508660
0.373	507283
0.374	505559
0.375	503945
0.376	501296
0.377	500728
0.378	500131
0.379	498495
0.38	496705
0.381	495120
0.382	493577
0.383	491901
0.384	491010
0.385	489784
0.386	488954
0.387	487653
0.388	486471
0.389	484850
0.39	484490
0.391	483092
0.392	481766
0.393	480646
0.394	479936
0.395	478543
0.396	477661
0.397	477035
0.398	475796
0.399	473627
0.4	471765
0.401	470817
0.402	469873
0.403	468652
0.404	467840
0.405	466608
0.406	466020
0.407	465502
0.408	464835
0.409	462695
0.41	461939
0.411	461251
0.412	460139
0.413	458457
0.414	457628
0.415	456778
0.416	456347
0.417	455455
0.418	454832
0.419	454176
0.42	452717
0.421	452000
0.422	448852
0.423	446679
0.424	446101
0.425	444817
0.426	443630
0.427	442499
0.428	442242
0.429	440892
0.43	439919
0.431	439081
0.432	437369
0.433	435939
0.434	435376
0.435	433980
0.436	432011
0.437	431146
0.438	429854
0.439	428930
0.44	427765
0.441	426350
0.442	424606
0.443	424163
0.444	422333
0.445	421674
0.446	420614
0.447	419385
0.448	418572
0.449	417690
0.45	416939
0.451	416024
0.452	415686
0.453	414022
0.454	413448
0.455	412815
0.456	411034
0.457	409268
0.458	408950
0.459	408347
0.46	407077
0.461	405321
0.462	404321
0.463	403736
0.464	402545
0.465	400704
0.466	399770
0.467	399230
0.468	398023
0.469	396827
0.47	396188
0.471	395602
0.472	394566
0.473	393338
0.474	392433
0.475	391768
0.476	390797
0.477	390051
0.478	389082
0.479	388583
0.48	388070
0.481	387388
0.482	386959
0.483	386445
0.484	385681
0.485	384625
0.486	383679
0.487	382952
0.488	382009
0.489	380890
0.49	379585
0.491	379141
0.492	377738
0.493	377163
0.494	376557
0.495	376098
0.496	375552
0.497	374787
0.498	373858
0.499	372287
0.5	370220
0.501	368865
0.502	367373
0.503	366559
0.504	365933
0.505	365540
0.506	363877
0.507	363136
0.508	361853
0.509	360799
0.51	359809
0.511	358512
0.512	357138
0.513	356731
0.514	355451
0.515	354405
0.516	353760
0.517	353513
0.518	352001
0.519	351056
0.52	349781
0.521	349129
0.522	347940
0.523	346074
0.524	345498
0.525	344228
0.526	343532
0.527	341846
0.528	340801
0.529	340151
0.53	339112
0.531	338387
0.532	337677
0.533	336754
0.534	335347
0.535	334575
0.536	334101
0.537	333663
0.538	332616
0.539	331386
0.54	330554
0.541	329211
0.542	328606
0.543	327387
0.544	326154
0.545	325148
0.546	324038
0.547	323454
0.548	322815
0.549	321973
0.55	321271
0.551	320732
0.552	320168
0.553	319122
0.554	318763
0.555	317569
0.556	316678
0.557	315855
0.558	315347
0.559	314027
0.56	312955
0.561	311815
0.562	310915
0.563	310240
0.564	309770
0.565	308980
0.566	308579
0.567	307946
0.568	307194
0.569	306096
0.57	305341
0.571	304611
0.572	303943
0.573	303117
0.574	302796
0.575	302643
0.576	301855
0.577	301011
0.578	300652
0.579	299955
0.58	299339
0.581	298455
0.582	297081
0.583	295819
0.584	295394
0.585	294851
0.586	293716
0.587	293355
0.588	291748
0.589	290044
0.59	289580
0.591	289252
0.592	287818
0.593	286841
0.594	285700
0.595	284625
0.596	283772
0.597	282820
0.598	282296
0.599	281680
0.6	281316
0.601	281010
0.602	280257
0.603	279235
0.604	278151
0.605	277361
0.606	276839
0.607	275870
0.608	275106
0.609	274327
0.61	273658
0.611	272976
0.612	272180
0.613	271418
0.614	270914
0.615	269817
0.616	268678
0.617	268118
0.618	267062
0.619	266255
0.62	265281
0.621	263923
0.622	263091
0.623	261381
0.624	260303
0.625	258932
0.626	258416
0.627	257760
0.628	257233
0.629	256601
0.63	255998
0.631	255467
0.632	254156
0.633	253492
0.634	252577
0.635	252027
0.636	251213
0.637	250723
0.638	249711
0.639	249379
0.64	248784
0.641	247803
0.642	246497
0.643	245864
0.644	244960
0.645	244560
0.646	244111
0.647	243071
0.648	241931
0.649	240800
0.65	240235
0.651	239394
0.652	238676
0.653	237661
0.654	236512
0.655	235489
0.656	234765
0.657	233802
0.658	233490
0.659	232788
0.66	232204
0.661	231343
0.662	230224
0.663	229265
0.664	228625
0.665	227728
0.666	226463
0.667	224918
0.668	224253
0.669	223407
0.67	222209
0.671	221622
0.672	221282
0.673	220719
0.674	219993
0.675	219587
0.676	218751
0.677	218098
0.678	217352
0.679	216831
0.68	216061
0.681	215520
0.682	214746
0.683	213805
0.684	212861
0.685	211988
0.686	211611
0.687	210745
0.688	209755
0.689	208484
0.69	207926
0.691	206839
0.692	206310
0.693	205624
0.694	204989
0.695	204135
0.696	203575
0.697	202649
0.698	201890
0.699	201124
0.7	200376
0.701	199892
0.702	199317
0.703	198384
0.704	197812
0.705	197471
0.706	196570
0.707	196124
0.708	195614
0.709	194996
0.71	194279
0.711	193464
0.712	192831
0.713	192412
0.714	191726
0.715	191013
0.716	190206
0.717	189448
0.718	188913
0.719	188320
0.72	187338
0.721	186562
0.722	185825
0.723	185455
0.724	184496
0.725	183822
0.726	183110
0.727	182517
0.728	181910
0.729	181297
0.73	180932
0.731	180462
0.732	179926
0.733	178856
0.734	178179
0.735	177699
0.736	176721
0.737	176293
0.738	175931
0.739	175314
0.74	174312
0.741	173407
0.742	172685
0.743	171766
0.744	171157
0.745	170528
0.746	170067
0.747	169479
0.748	168507
0.749	167801
0.75	166961
0.751	166174
0.752	165583
0.753	164995
0.754	164611
0.755	163784
0.756	163119
0.757	162457
0.758	161722
0.759	160656
0.76	159778
0.761	158835
0.762	157912
0.763	157207
0.764	156661
0.765	156316
0.766	155818
0.767	155396
0.768	154448
0.769	153978
0.77	153330
0.771	152667
0.772	151597
0.773	150668
0.774	149737
0.775	149063
0.776	148669
0.777	148228
0.778	147634
0.779	146662
0.78	145613
0.781	144758
0.782	143885
0.783	143190
0.784	142619
0.785	142122
0.786	141286
0.787	140670
0.788	140262
0.789	139448
0.79	138689
0.791	137986
0.792	137413
0.793	136454
0.794	135509
0.795	134908
0.796	134155
0.797	133552
0.798	133024
0.799	132040
0.8	131175
0.801	130718
0.802	130177
0.803	129352
0.804	128630
0.805	128187
0.806	127283
0.807	126713
0.808	125651
0.809	124968
0.81	124095
0.811	123536
0.812	122795
0.813	121899
0.814	121269
0.815	120569
0.816	119524
0.817	118904
0.818	118260
0.819	117359
0.82	116798
0.821	116265
0.822	115269
0.823	114910
0.824	114183
0.825	113015
0.826	112327
0.827	111474
0.828	110925
0.829	110409
0.83	109888
0.831	108901
0.832	108259
0.833	107580
0.834	107144
0.835	106372
0.836	105541
0.837	104862
0.838	104254
0.839	103783
0.84	102771
0.841	102183
0.842	101371
0.843	100726
0.844	99896
0.845	99192
0.846	98772
0.847	98062
0.848	97247
0.849	96156
0.85	95606
0.851	94968
0.852	94176
0.853	93343
0.854	92678
0.855	92164
0.856	91550
0.857	90801
0.858	90118
0.859	89544
0.86	88688
0.861	87982
0.862	87314
0.863	86757
0.864	85795
0.865	85104
0.866	84022
0.867	83386
0.868	82482
0.869	81799
0.87	81190
0.871	80401
0.872	79735
0.873	79020
0.874	78245
0.875	77748
0.876	76973
0.877	76426
0.878	75653
0.879	75072
0.88	73959
0.881	73153
0.882	72056
0.883	71507
0.884	70915
0.885	70203
0.886	69297
0.887	68516
0.888	67682
0.889	66969
0.89	66048
0.891	65238
0.892	64239
0.893	63602
0.894	62695
0.895	62051
0.896	61419
0.897	60615
0.898	59862
0.899	59149
0.9	58571
0.901	57932
0.902	57259
0.903	56783
0.904	55681
0.905	54863
0.906	54072
0.907	53148
0.908	52524
0.909	51797
0.91	50952
0.911	50178
0.912	49592
0.913	48906
0.914	48027
0.915	47443
0.916	46884
0.917	46171
0.918	45505
0.919	44935
0.92	44096
0.921	43330
0.922	42678
0.923	41860
0.924	41098
0.925	40494
0.926	39658
0.927	38926
0.928	38224
0.929	37435
0.93	36589
0.931	35690
0.932	34955
0.933	34110
0.934	33442
0.935	32753
0.936	32013
0.937	31343
0.938	30524
0.939	29927
0.94	29039
0.941	28332
0.942	27483
0.943	26754
0.944	26246
0.945	25509
0.946	24823
0.947	24119
0.948	23490
0.949	22919
0.95	22378
0.951	21767
0.952	21225
0.953	20700
0.954	20159
0.955	19565
0.956	19021
0.957	18447
0.958	17980
0.959	17445
0.96	16995
0.961	16601
0.962	16106
0.963	15726
0.964	15317
0.965	14918
0.966	14527
0.967	14151
0.968	13803
0.969	13436
0.97	13098
0.971	12745
0.972	12353
0.973	12040
0.974	11754
0.975	11400
0.976	11108
0.977	10748
0.978	10408
0.979	10128
0.98	9868
0.981	9547
0.982	9226
0.983	8878
0.984	8544
0.985	8222
0.986	7888
0.987	7550
0.988	7206
0.989	6819
0.99	6425
0.991	6072
0.992	5656
0.993	5276
0.994	4829
0.995	4357
0.996	3869
0.997	3319
0.998	2749
0.999	2024
1.0	1
