fraction	Nx_length
0.001	154336599
0.002	154336599
0.003	154336599
0.004	154336599
0.005	154336599
0.006	154336599
0.007	154336599
0.008	154336599
0.009	154336599
0.01	154336599
0.011	154336599
0.012	154336599
0.013	154336599
0.014	154336599
0.015	154336599
0.016	154336599
0.017	154336599
0.018	154336599
0.019	154336599
0.02	154336599
0.021	154336599
0.022	154336599
0.023	154336599
0.024	154336599
0.025	154336599
0.026	154336599
0.027	154336599
0.028	154336599
0.029	154336599
0.03	154336599
0.031	154336599
0.032	154336599
0.033	154336599
0.034	154336599
0.035	154336599
0.036	154336599
0.037	154336599
0.038	154336599
0.039	154336599
0.04	154336599
0.041	154336599
0.042	154336599
0.043	154336599
0.044	154336599
0.045	154336599
0.046	154336599
0.047	154336599
0.048	154336599
0.049	154336599
0.05	154336599
0.051	154336599
0.052	154336599
0.053	154336599
0.054	154336599
0.055	154336599
0.056	154336599
0.057	154336599
0.058	154336599
0.059	154336599
0.06	154336599
0.061	154336599
0.062	154336599
0.063	154336599
0.064	154336599
0.065	154336599
0.066	154336599
0.067	154336599
0.068	154336599
0.069	154336599
0.07	154336599
0.071	154336599
0.072	154336599
0.073	154336599
0.074	154336599
0.075	119947508
0.076	119947508
0.077	119947508
0.078	119947508
0.079	119947508
0.08	119947508
0.081	119947508
0.082	119947508
0.083	119947508
0.084	119947508
0.085	119947508
0.086	119947508
0.087	119947508
0.088	119947508
0.089	119947508
0.09	119947508
0.091	119947508
0.092	119947508
0.093	119947508
0.094	119947508
0.095	119947508
0.096	119947508
0.097	119947508
0.098	119947508
0.099	119947508
0.1	119947508
0.101	119947508
0.102	119947508
0.103	119947508
0.104	119947508
0.105	119947508
0.106	119947508
0.107	119947508
0.108	119947508
0.109	119947508
0.11	119947508
0.111	119947508
0.112	119947508
0.113	119947508
0.114	119947508
0.115	119947508
0.116	119947508
0.117	119947508
0.118	119947508
0.119	119947508
0.12	119947508
0.121	119947508
0.122	119947508
0.123	119947508
0.124	119947508
0.125	119947508
0.126	119947508
0.127	119947508
0.128	119947508
0.129	119947508
0.13	119947508
0.131	119947508
0.132	119947508
0.133	109104072
0.134	109104072
0.135	109104072
0.136	109104072
0.137	109104072
0.138	109104072
0.139	109104072
0.14	109104072
0.141	109104072
0.142	109104072
0.143	109104072
0.144	109104072
0.145	109104072
0.146	109104072
0.147	109104072
0.148	109104072
0.149	109104072
0.15	109104072
0.151	109104072
0.152	109104072
0.153	109104072
0.154	109104072
0.155	109104072
0.156	109104072
0.157	109104072
0.158	109104072
0.159	109104072
0.16	109104072
0.161	109104072
0.162	109104072
0.163	109104072
0.164	109104072
0.165	109104072
0.166	109104072
0.167	109104072
0.168	109104072
0.169	109104072
0.17	109104072
0.171	109104072
0.172	109104072
0.173	109104072
0.174	109104072
0.175	109104072
0.176	109104072
0.177	109104072
0.178	109104072
0.179	109104072
0.18	109104072
0.181	109104072
0.182	109104072
0.183	109104072
0.184	109104072
0.185	109104072
0.186	101325034
0.187	101325034
0.188	101325034
0.189	101325034
0.19	101325034
0.191	101325034
0.192	101325034
0.193	101325034
0.194	101325034
0.195	101325034
0.196	101325034
0.197	101325034
0.198	101325034
0.199	101325034
0.2	101325034
0.201	101325034
0.202	101325034
0.203	101325034
0.204	101325034
0.205	101325034
0.206	101325034
0.207	101325034
0.208	101325034
0.209	101325034
0.21	101325034
0.211	101325034
0.212	101325034
0.213	101325034
0.214	101325034
0.215	101325034
0.216	101325034
0.217	101325034
0.218	101325034
0.219	101325034
0.22	101325034
0.221	101325034
0.222	101325034
0.223	101325034
0.224	101325034
0.225	101325034
0.226	101325034
0.227	101325034
0.228	101325034
0.229	101325034
0.23	101325034
0.231	101325034
0.232	101325034
0.233	101325034
0.234	101325034
0.235	94592609
0.236	94592609
0.237	94592609
0.238	94592609
0.239	94592609
0.24	94592609
0.241	94592609
0.242	94592609
0.243	94592609
0.244	94592609
0.245	94592609
0.246	94592609
0.247	94592609
0.248	94592609
0.249	94592609
0.25	94592609
0.251	94592609
0.252	94592609
0.253	94592609
0.254	94592609
0.255	94592609
0.256	94592609
0.257	94592609
0.258	94592609
0.259	94592609
0.26	94592609
0.261	94592609
0.262	94592609
0.263	94592609
0.264	94592609
0.265	94592609
0.266	94592609
0.267	94592609
0.268	94592609
0.269	94592609
0.27	94592609
0.271	94592609
0.272	94592609
0.273	94592609
0.274	94592609
0.275	94592609
0.276	94592609
0.277	94592609
0.278	94592609
0.279	94592609
0.28	94592609
0.281	83311381
0.282	83311381
0.283	83311381
0.284	83311381
0.285	83311381
0.286	83311381
0.287	83311381
0.288	83311381
0.289	83311381
0.29	83311381
0.291	83311381
0.292	83311381
0.293	83311381
0.294	83311381
0.295	83311381
0.296	83311381
0.297	83311381
0.298	83311381
0.299	83311381
0.3	83311381
0.301	83311381
0.302	83311381
0.303	83311381
0.304	83311381
0.305	83311381
0.306	83311381
0.307	83311381
0.308	83311381
0.309	83311381
0.31	83311381
0.311	83311381
0.312	83311381
0.313	83311381
0.314	83311381
0.315	83311381
0.316	83311381
0.317	83311381
0.318	83311381
0.319	83311381
0.32	83311381
0.321	82163952
0.322	82163952
0.323	82163952
0.324	82163952
0.325	82163952
0.326	82163952
0.327	82163952
0.328	82163952
0.329	82163952
0.33	82163952
0.331	82163952
0.332	82163952
0.333	82163952
0.334	82163952
0.335	82163952
0.336	82163952
0.337	82163952
0.338	82163952
0.339	82163952
0.34	82163952
0.341	82163952
0.342	82163952
0.343	82163952
0.344	82163952
0.345	82163952
0.346	82163952
0.347	82163952
0.348	82163952
0.349	82163952
0.35	82163952
0.351	82163952
0.352	82163952
0.353	82163952
0.354	82163952
0.355	82163952
0.356	82163952
0.357	82163952
0.358	82163952
0.359	82163952
0.36	82163952
0.361	63230771
0.362	63230771
0.363	63230771
0.364	63230771
0.365	63230771
0.366	63230771
0.367	63230771
0.368	63230771
0.369	63230771
0.37	63230771
0.371	63230771
0.372	63230771
0.373	63230771
0.374	63230771
0.375	63230771
0.376	63230771
0.377	63230771
0.378	63230771
0.379	63230771
0.38	63230771
0.381	63230771
0.382	63230771
0.383	63230771
0.384	63230771
0.385	63230771
0.386	63230771
0.387	63230771
0.388	63230771
0.389	63230771
0.39	63230771
0.391	58916556
0.392	58916556
0.393	58916556
0.394	58916556
0.395	58916556
0.396	58916556
0.397	58916556
0.398	58916556
0.399	58916556
0.4	58916556
