fraction	Nx_length
0.001	895956
0.002	829543
0.003	764713
0.004	713112
0.005	642991
0.006	620009
0.007	570865
0.008	542051
0.009	526986
0.01	512601
0.011	500557
0.012	478925
0.013	454245
0.014	439351
0.015	435439
0.016	427141
0.017	420165
0.018	414296
0.019	394274
0.02	388978
0.021	383215
0.022	379521
0.023	369222
0.024	364530
0.025	363022
0.026	353134
0.027	349247
0.028	345136
0.029	341735
0.03	339165
0.031	334442
0.032	333488
0.033	327234
0.034	324121
0.035	320628
0.036	316241
0.037	310342
0.038	308268
0.039	304357
0.04	302340
0.041	297303
0.042	295324
0.043	293184
0.044	289840
0.045	285039
0.046	281987
0.047	279211
0.048	275954
0.049	273437
0.05	271342
0.051	269441
0.052	268358
0.053	266907
0.054	264595
0.055	263524
0.056	262705
0.057	260825
0.058	259702
0.059	258054
0.06	256006
0.061	255393
0.062	254295
0.063	251696
0.064	250742
0.065	248665
0.066	247238
0.067	245728
0.068	245109
0.069	242819
0.07	240719
0.071	239226
0.072	237992
0.073	236641
0.074	235594
0.075	234358
0.076	233606
0.077	233315
0.078	231913
0.079	231405
0.08	230269
0.081	229113
0.082	228611
0.083	227828
0.084	226360
0.085	225433
0.086	223669
0.087	222281
0.088	221306
0.089	220159
0.09	218602
0.091	216807
0.092	215715
0.093	214571
0.094	214181
0.095	212510
0.096	211651
0.097	210643
0.098	210102
0.099	209573
0.1	208585
0.101	207453
0.102	207017
0.103	205734
0.104	205159
0.105	203796
0.106	202846
0.107	202329
0.108	201454
0.109	200588
0.11	199656
0.111	198992
0.112	198499
0.113	197673
0.114	196902
0.115	196214
0.116	195280
0.117	193971
0.118	193054
0.119	192451
0.12	191894
0.121	191235
0.122	190706
0.123	190096
0.124	189004
0.125	188466
0.126	187807
0.127	187537
0.128	186756
0.129	186252
0.13	185319
0.131	184478
0.132	184001
0.133	183412
0.134	182350
0.135	181395
0.136	180766
0.137	180045
0.138	179124
0.139	178684
0.14	177987
0.141	177540
0.142	176656
0.143	176106
0.144	175682
0.145	174640
0.146	174059
0.147	173462
0.148	172522
0.149	171995
0.15	171128
0.151	170687
0.152	170105
0.153	169573
0.154	169074
0.155	168517
0.156	167881
0.157	167322
0.158	166647
0.159	166112
0.16	165646
0.161	165246
0.162	164752
0.163	164070
0.164	163548
0.165	163204
0.166	162747
0.167	162076
0.168	161315
0.169	160669
0.17	159982
0.171	159231
0.172	158645
0.173	157871
0.174	157315
0.175	156638
0.176	156220
0.177	155541
0.178	155121
0.179	154744
0.18	154176
0.181	153704
0.182	153227
0.183	152680
0.184	152177
0.185	151598
0.186	151370
0.187	150910
0.188	150650
0.189	149904
0.19	149311
0.191	148776
0.192	148139
0.193	147521
0.194	147148
0.195	146568
0.196	146123
0.197	145473
0.198	145085
0.199	144344
0.2	143869
0.201	143438
0.202	142877
0.203	142646
0.204	142110
0.205	141556
0.206	141054
0.207	140576
0.208	140098
0.209	139763
0.21	139266
0.211	138883
0.212	138532
0.213	137999
0.214	137762
0.215	137253
0.216	137014
0.217	136805
0.218	136416
0.219	136056
0.22	135684
0.221	135115
0.222	134575
0.223	134177
0.224	133681
0.225	133302
0.226	132834
0.227	132202
0.228	131851
0.229	131519
0.23	131109
0.231	130797
0.232	130463
0.233	129989
0.234	129601
0.235	129189
0.236	128808
0.237	128507
0.238	127974
0.239	127579
0.24	127142
0.241	126884
0.242	126667
0.243	126074
0.244	125534
0.245	125175
0.246	124943
0.247	124706
0.248	124049
0.249	123632
0.25	123404
0.251	123117
0.252	122723
0.253	122469
0.254	122084
0.255	121779
0.256	121539
0.257	121077
0.258	120809
0.259	120244
0.26	119849
0.261	119593
0.262	119111
0.263	118596
0.264	118311
0.265	117990
0.266	117768
0.267	117324
0.268	116992
0.269	116702
0.27	116373
0.271	116041
0.272	115659
0.273	115327
0.274	114981
0.275	114650
0.276	114341
0.277	113904
0.278	113395
0.279	113111
0.28	112778
0.281	112587
0.282	112487
0.283	112109
0.284	111800
0.285	111562
0.286	111104
0.287	110846
0.288	110485
0.289	110154
0.29	109851
0.291	109445
0.292	109159
0.293	108787
0.294	108424
0.295	107967
0.296	107715
0.297	107405
0.298	107069
0.299	106758
0.3	106539
0.301	106170
0.302	105888
0.303	105598
0.304	105227
0.305	104947
0.306	104413
0.307	104150
0.308	103754
0.309	103329
0.31	103047
0.311	102708
0.312	102361
0.313	102005
0.314	101710
0.315	101487
0.316	101294
0.317	101047
0.318	100773
0.319	100557
0.32	100305
0.321	100038
0.322	99714
0.323	99498
0.324	99351
0.325	99193
0.326	98831
0.327	98562
0.328	98248
0.329	97917
0.33	97557
0.331	97293
0.332	97023
0.333	96720
0.334	96488
0.335	96219
0.336	95937
0.337	95752
0.338	95492
0.339	95278
0.34	94948
0.341	94561
0.342	94331
0.343	94140
0.344	93889
0.345	93551
0.346	93284
0.347	93057
0.348	92843
0.349	92641
0.35	92408
0.351	92108
0.352	91923
0.353	91707
0.354	91406
0.355	91031
0.356	90870
0.357	90720
0.358	90424
0.359	90175
0.36	89943
0.361	89624
0.362	89279
0.363	89025
0.364	88800
0.365	88442
0.366	88021
0.367	87797
0.368	87617
0.369	87457
0.37	87174
0.371	86870
0.372	86644
0.373	86382
0.374	86174
0.375	85941
0.376	85718
0.377	85352
0.378	85112
0.379	84915
0.38	84694
0.381	84437
0.382	84173
0.383	83995
0.384	83703
0.385	83502
0.386	83194
0.387	82971
0.388	82767
0.389	82607
0.39	82408
0.391	82163
0.392	81991
0.393	81768
0.394	81584
0.395	81360
0.396	81140
0.397	80843
0.398	80658
0.399	80417
0.4	80240
0.401	80014
0.402	79790
0.403	79468
0.404	79220
0.405	78835
0.406	78690
0.407	78396
0.408	78163
0.409	77960
0.41	77727
0.411	77435
0.412	77205
0.413	76989
0.414	76822
0.415	76532
0.416	76295
0.417	76073
0.418	75881
0.419	75780
0.42	75391
0.421	75153
0.422	74952
0.423	74665
0.424	74377
0.425	74146
0.426	73970
0.427	73767
0.428	73492
0.429	73297
0.43	73061
0.431	72861
0.432	72706
0.433	72574
0.434	72393
0.435	72175
0.436	72018
0.437	71751
0.438	71566
0.439	71386
0.44	71243
0.441	71051
0.442	70884
0.443	70717
0.444	70501
0.445	70236
0.446	69937
0.447	69788
0.448	69638
0.449	69462
0.45	69229
0.451	69036
0.452	68868
0.453	68612
0.454	68417
0.455	68265
0.456	68020
0.457	67827
0.458	67648
0.459	67456
0.46	67354
0.461	67151
0.462	66972
0.463	66754
0.464	66605
0.465	66410
0.466	66194
0.467	65950
0.468	65703
0.469	65536
0.47	65397
0.471	65189
0.472	65017
0.473	64766
0.474	64506
0.475	64338
0.476	64190
0.477	64039
0.478	63795
0.479	63605
0.48	63415
0.481	63255
0.482	63027
0.483	62895
0.484	62652
0.485	62437
0.486	62197
0.487	62074
0.488	61843
0.489	61668
0.49	61441
0.491	61255
0.492	61100
0.493	60872
0.494	60702
0.495	60536
0.496	60393
0.497	60279
0.498	60132
0.499	59927
0.5	59810
0.501	59647
0.502	59493
