fraction	Nx_length
0.001	107937
0.002	96329
0.003	89525
0.004	84657
0.005	82016
0.006	78392
0.007	76125
0.008	74824
0.009	72902
0.01	71355
0.011	70105
0.012	69421
0.013	68576
0.014	67589
0.015	66661
0.016	65804
0.017	65128
0.018	64286
0.019	63295
0.02	62312
0.021	61659
0.022	61192
0.023	60680
0.024	60114
0.025	59612
0.026	59195
0.027	58649
0.028	58152
0.029	57618
0.03	57241
0.031	56810
0.032	56446
0.033	56029
0.034	55636
0.035	55215
0.036	54824
0.037	54419
0.038	54117
0.039	53685
0.04	53275
0.041	52898
0.042	52487
0.043	52233
0.044	51885
0.045	51557
0.046	51268
0.047	51018
0.048	50689
0.049	50446
0.05	50206
0.051	49932
0.052	49600
0.053	49276
0.054	49046
0.055	48839
0.056	48669
0.057	48417
0.058	48228
0.059	47946
0.06	47686
0.061	47504
0.062	47257
0.063	47015
0.064	46837
0.065	46578
0.066	46382
0.067	46149
0.068	45954
0.069	45784
0.07	45596
0.071	45402
0.072	45178
0.073	44920
0.074	44744
0.075	44582
0.076	44372
0.077	44106
0.078	43884
0.079	43696
0.08	43520
0.081	43333
0.082	43152
0.083	42994
0.084	42833
0.085	42676
0.086	42526
0.087	42346
0.088	42173
0.089	42028
0.09	41861
0.091	41695
0.092	41464
0.093	41328
0.094	41238
0.095	41072
0.096	40926
0.097	40804
0.098	40670
0.099	40448
0.1	40275
0.101	40125
0.102	39974
0.103	39849
0.104	39690
0.105	39545
0.106	39407
0.107	39302
0.108	39161
0.109	39042
0.11	38892
0.111	38746
0.112	38597
0.113	38444
0.114	38333
0.115	38245
0.116	38124
0.117	38002
0.118	37901
0.119	37781
0.12	37691
0.121	37582
0.122	37463
0.123	37363
0.124	37235
0.125	37112
0.126	37016
0.127	36879
0.128	36789
0.129	36656
0.13	36528
0.131	36389
0.132	36271
0.133	36195
0.134	36087
0.135	35972
0.136	35880
0.137	35760
0.138	35657
0.139	35581
0.14	35490
0.141	35350
0.142	35257
0.143	35147
0.144	35046
0.145	34944
0.146	34854
0.147	34761
0.148	34658
0.149	34562
0.15	34444
0.151	34322
0.152	34231
0.153	34119
0.154	34037
0.155	33933
0.156	33845
0.157	33743
0.158	33645
0.159	33565
0.16	33476
0.161	33391
0.162	33302
0.163	33209
0.164	33107
0.165	33016
0.166	32935
0.167	32843
0.168	32741
0.169	32663
0.17	32576
0.171	32480
0.172	32379
0.173	32297
0.174	32217
0.175	32138
0.176	32042
0.177	31986
0.178	31908
0.179	31820
0.18	31711
0.181	31621
0.182	31541
0.183	31458
0.184	31397
0.185	31338
0.186	31260
0.187	31173
0.188	31094
0.189	31027
0.19	30963
0.191	30872
0.192	30779
0.193	30721
0.194	30635
0.195	30553
0.196	30480
0.197	30399
0.198	30334
0.199	30241
0.2	30146
0.201	30068
0.202	30000
0.203	29915
0.204	29822
0.205	29738
0.206	29661
0.207	29581
0.208	29509
0.209	29445
0.21	29370
0.211	29287
0.212	29223
0.213	29162
0.214	29092
0.215	29028
0.216	28956
0.217	28890
0.218	28823
0.219	28754
0.22	28706
0.221	28643
0.222	28578
0.223	28525
0.224	28464
0.225	28392
0.226	28304
0.227	28239
0.228	28180
0.229	28109
0.23	28051
0.231	27991
0.232	27928
0.233	27866
0.234	27795
0.235	27721
0.236	27664
0.237	27597
0.238	27533
0.239	27465
0.24	27409
0.241	27348
0.242	27283
0.243	27222
0.244	27162
0.245	27098
0.246	27042
0.247	26970
0.248	26904
0.249	26849
0.25	26800
0.251	26746
0.252	26700
0.253	26641
0.254	26591
0.255	26537
0.256	26482
0.257	26423
0.258	26385
0.259	26329
0.26	26278
0.261	26223
0.262	26164
0.263	26127
0.264	26069
0.265	26007
0.266	25953
0.267	25891
0.268	25841
0.269	25779
0.27	25724
0.271	25675
0.272	25614
0.273	25576
0.274	25535
0.275	25490
0.276	25417
0.277	25379
0.278	25327
0.279	25265
0.28	25212
0.281	25150
0.282	25099
0.283	25038
0.284	24992
0.285	24941
0.286	24881
0.287	24825
0.288	24774
0.289	24710
0.29	24660
0.291	24615
0.292	24573
0.293	24511
0.294	24446
0.295	24404
0.296	24359
0.297	24294
0.298	24235
0.299	24183
0.3	24134
0.301	24084
0.302	24035
0.303	23985
0.304	23935
0.305	23891
0.306	23836
0.307	23786
0.308	23739
0.309	23683
0.31	23643
0.311	23599
0.312	23557
0.313	23508
0.314	23459
0.315	23398
0.316	23345
0.317	23291
0.318	23244
0.319	23206
0.32	23157
0.321	23110
0.322	23067
0.323	23014
0.324	22963
0.325	22915
0.326	22866
0.327	22820
0.328	22777
0.329	22725
0.33	22679
0.331	22629
0.332	22585
0.333	22534
0.334	22477
0.335	22432
0.336	22385
0.337	22346
0.338	22301
0.339	22267
0.34	22226
0.341	22179
0.342	22131
0.343	22089
0.344	22045
0.345	22001
0.346	21965
0.347	21918
0.348	21874
0.349	21832
0.35	21782
0.351	21738
0.352	21689
0.353	21653
0.354	21607
0.355	21572
0.356	21520
0.357	21475
0.358	21436
0.359	21396
0.36	21352
0.361	21308
0.362	21271
0.363	21233
0.364	21189
0.365	21147
0.366	21101
0.367	21059
0.368	21015
0.369	20975
0.37	20932
0.371	20895
0.372	20860
0.373	20814
0.374	20770
0.375	20736
0.376	20698
0.377	20651
0.378	20614
0.379	20573
0.38	20546
0.381	20501
0.382	20465
0.383	20424
0.384	20378
0.385	20334
0.386	20299
0.387	20260
0.388	20217
0.389	20174
0.39	20140
0.391	20098
0.392	20056
0.393	20014
0.394	19981
0.395	19940
0.396	19895
0.397	19850
0.398	19811
0.399	19771
0.4	19741
0.401	19695
0.402	19655
0.403	19616
0.404	19578
0.405	19534
0.406	19494
0.407	19457
0.408	19422
0.409	19381
0.41	19332
0.411	19295
0.412	19260
0.413	19222
0.414	19171
0.415	19135
0.416	19100
0.417	19057
0.418	19025
0.419	18987
0.42	18953
0.421	18915
0.422	18880
0.423	18844
0.424	18811
0.425	18775
0.426	18743
0.427	18711
0.428	18675
0.429	18640
0.43	18603
0.431	18568
0.432	18527
0.433	18491
0.434	18460
0.435	18425
0.436	18397
0.437	18357
0.438	18325
0.439	18290
0.44	18250
0.441	18220
0.442	18183
0.443	18146
0.444	18111
0.445	18078
0.446	18043
0.447	18006
0.448	17972
0.449	17934
0.45	17897
0.451	17857
0.452	17820
0.453	17787
0.454	17744
0.455	17710
0.456	17680
0.457	17645
0.458	17612
0.459	17574
0.46	17540
0.461	17503
0.462	17458
0.463	17425
0.464	17391
0.465	17359
0.466	17318
0.467	17275
0.468	17239
0.469	17208
0.47	17172
0.471	17140
0.472	17104
0.473	17067
0.474	17024
0.475	16987
0.476	16946
0.477	16915
0.478	16879
0.479	16847
0.48	16809
0.481	16776
0.482	16739
0.483	16704
0.484	16670
0.485	16638
0.486	16612
0.487	16581
0.488	16547
0.489	16516
0.49	16483
0.491	16449
0.492	16411
0.493	16374
0.494	16334
0.495	16305
0.496	16273
0.497	16238
0.498	16208
0.499	16176
0.5	16151
0.501	16124
0.502	16094
0.503	16057
