fraction	Nx_length
0.001	735969
0.002	533784
0.003	441852
0.004	423792
0.005	349785
0.006	336189
0.007	306839
0.008	300098
0.009	291682
0.01	283127
0.011	272576
0.012	262572
0.013	248900
0.014	245454
0.015	240314
0.016	236752
0.017	232044
0.018	228507
0.019	224515
0.02	219958
0.021	216275
0.022	213433
0.023	210150
0.024	207280
0.025	204346
0.026	201101
0.027	197516
0.028	195227
0.029	192213
0.03	189741
0.031	187810
0.032	186092
0.033	184227
0.034	181294
0.035	179196
0.036	177210
0.037	175804
0.038	174044
0.039	172682
0.04	170279
0.041	169046
0.042	167907
0.043	167181
0.044	165289
0.045	164183
0.046	162610
0.047	161348
0.048	159999
0.049	158316
0.05	156064
0.051	154812
0.052	153315
0.053	151690
0.054	150964
0.055	150018
0.056	149242
0.057	147784
0.058	146477
0.059	145509
0.06	144466
0.061	143598
0.062	142646
0.063	142104
0.064	141037
0.065	139995
0.066	139478
0.067	138433
0.068	137825
0.069	137079
0.07	136336
0.071	135726
0.072	134775
0.073	134299
0.074	133392
0.075	132733
0.076	131641
0.077	131233
0.078	129834
0.079	129332
0.08	128532
0.081	128182
0.082	127543
0.083	126904
0.084	126197
0.085	125510
0.086	124562
0.087	123717
0.088	123352
0.089	122927
0.09	122210
0.091	121779
0.092	121395
0.093	121010
0.094	120455
0.095	119855
0.096	119334
0.097	118974
0.098	118528
0.099	118008
0.1	117173
0.101	116589
0.102	115991
0.103	115456
0.104	114914
0.105	114413
0.106	113814
0.107	113459
0.108	113032
0.109	112739
0.11	112210
0.111	111712
0.112	111233
0.113	110853
0.114	110201
0.115	109675
0.116	109288
0.117	108905
0.118	108502
0.119	107983
0.12	107384
0.121	106908
0.122	106524
0.123	106131
0.124	105640
0.125	105257
0.126	104821
0.127	104553
0.128	104003
0.129	103474
0.13	103058
0.131	102736
0.132	102508
0.133	102005
0.134	101556
0.135	101303
0.136	100991
0.137	100606
0.138	100293
0.139	100026
0.14	99589
0.141	99317
0.142	98798
0.143	98568
0.144	98131
0.145	97799
0.146	97445
0.147	97132
0.148	96861
0.149	96617
0.15	96365
0.151	95854
0.152	95486
0.153	95238
0.154	94861
0.155	94459
0.156	94145
0.157	93865
0.158	93488
0.159	93201
0.16	92902
0.161	92510
0.162	92280
0.163	91907
0.164	91402
0.165	91140
0.166	90834
0.167	90457
0.168	90147
0.169	89918
0.17	89706
0.171	89394
0.172	88945
0.173	88715
0.174	88522
0.175	88276
0.176	88098
0.177	87879
0.178	87615
0.179	87253
0.18	86977
0.181	86786
0.182	86630
0.183	86345
0.184	86056
0.185	85769
0.186	85343
0.187	85123
0.188	84907
0.189	84625
0.19	84368
0.191	84160
0.192	83907
0.193	83672
0.194	83439
0.195	83222
0.196	82989
0.197	82763
0.198	82566
0.199	82289
0.2	81900
0.201	81711
0.202	81576
0.203	81240
0.204	81044
0.205	80836
0.206	80579
0.207	80316
0.208	80119
0.209	79877
0.21	79621
0.211	79369
0.212	79115
0.213	78952
0.214	78765
0.215	78551
0.216	78287
0.217	78109
0.218	77906
0.219	77728
0.22	77557
0.221	77325
0.222	77138
0.223	76866
0.224	76694
0.225	76356
0.226	76156
0.227	76000
0.228	75801
0.229	75614
0.23	75382
0.231	75130
0.232	74943
0.233	74763
0.234	74466
0.235	74270
0.236	74050
0.237	73851
0.238	73725
0.239	73532
0.24	73286
0.241	73128
0.242	72941
0.243	72707
0.244	72520
0.245	72247
0.246	72092
0.247	71751
0.248	71569
0.249	71387
0.25	71249
0.251	71107
0.252	70951
0.253	70747
0.254	70532
0.255	70340
0.256	70128
0.257	69844
0.258	69678
0.259	69497
0.26	69367
0.261	69154
0.262	68987
0.263	68849
0.264	68668
0.265	68516
0.266	68384
0.267	68172
0.268	68015
0.269	67805
0.27	67699
0.271	67551
0.272	67391
0.273	67222
0.274	67092
0.275	66911
0.276	66733
0.277	66577
0.278	66426
0.279	66252
0.28	66157
0.281	66006
0.282	65858
0.283	65689
0.284	65473
0.285	65340
0.286	65185
0.287	65040
0.288	64873
0.289	64726
0.29	64500
0.291	64332
0.292	64150
0.293	63961
0.294	63802
0.295	63678
0.296	63521
0.297	63308
0.298	63124
0.299	62930
0.3	62773
0.301	62616
0.302	62457
0.303	62339
0.304	62218
0.305	62100
0.306	61978
0.307	61838
0.308	61735
0.309	61556
0.31	61396
0.311	61275
0.312	61114
0.313	60945
0.314	60788
0.315	60688
0.316	60532
0.317	60443
0.318	60275
0.319	60147
0.32	60024
0.321	59899
0.322	59779
0.323	59612
0.324	59476
0.325	59301
0.326	59168
0.327	59041
0.328	58895
0.329	58714
0.33	58586
0.331	58477
0.332	58343
0.333	58164
0.334	57988
0.335	57818
0.336	57703
0.337	57597
0.338	57526
0.339	57442
0.34	57296
0.341	57145
0.342	57041
0.343	56883
0.344	56769
0.345	56612
0.346	56492
0.347	56332
0.348	56179
0.349	56009
0.35	55882
0.351	55788
0.352	55660
0.353	55543
0.354	55398
0.355	55275
0.356	55151
0.357	55058
0.358	54967
0.359	54825
0.36	54732
0.361	54624
0.362	54513
0.363	54343
0.364	54237
0.365	54138
0.366	53993
0.367	53887
0.368	53747
0.369	53634
0.37	53520
0.371	53402
0.372	53280
0.373	53160
0.374	53027
0.375	52922
0.376	52821
0.377	52700
0.378	52547
0.379	52431
0.38	52300
0.381	52180
0.382	52050
0.383	51925
0.384	51763
0.385	51645
0.386	51502
0.387	51366
0.388	51251
0.389	51130
0.39	50990
0.391	50889
0.392	50714
0.393	50611
0.394	50508
0.395	50388
0.396	50277
0.397	50173
0.398	50067
0.399	49966
0.4	49874
0.401	49749
0.402	49619
0.403	49487
0.404	49346
0.405	49263
0.406	49146
0.407	49026
0.408	48938
0.409	48826
0.41	48749
0.411	48665
0.412	48533
0.413	48422
0.414	48312
0.415	48213
0.416	48099
0.417	47985
0.418	47807
0.419	47732
0.42	47602
0.421	47482
0.422	47379
0.423	47260
0.424	47144
0.425	47024
0.426	46897
0.427	46761
0.428	46663
0.429	46537
0.43	46430
0.431	46322
0.432	46207
0.433	46105
0.434	45973
0.435	45889
0.436	45802
0.437	45725
0.438	45592
0.439	45498
0.44	45395
0.441	45300
0.442	45199
0.443	45084
0.444	44955
0.445	44829
0.446	44738
0.447	44625
0.448	44500
0.449	44398
0.45	44283
0.451	44203
0.452	44106
0.453	44007
0.454	43920
0.455	43802
0.456	43689
0.457	43589
0.458	43486
0.459	43393
0.46	43317
0.461	43211
0.462	43132
0.463	43057
0.464	42941
0.465	42848
0.466	42767
0.467	42691
0.468	42596
0.469	42491
0.47	42396
0.471	42305
0.472	42192
0.473	42082
0.474	41990
0.475	41915
0.476	41829
0.477	41735
0.478	41602
0.479	41536
0.48	41444
