fraction	Nx_length
0.001	4057618
0.002	4057618
0.003	3899113
0.004	3899113
0.005	3899113
0.006	3547526
0.007	3547526
0.008	3408257
0.009	3408257
0.01	3369249
0.011	3369249
0.012	3369249
0.013	3198457
0.014	3198457
0.015	3189283
0.016	3189283
0.017	3110284
0.018	3110284
0.019	3021805
0.02	3021805
0.021	3011421
0.022	3011421
0.023	2983670
0.024	2983670
0.025	2890329
0.026	2890329
0.027	2890177
0.028	2890177
0.029	2856723
0.03	2856723
0.031	2842342
0.032	2842342
0.033	2834458
0.034	2714481
0.035	2714481
0.036	2696375
0.037	2696375
0.038	2662742
0.039	2662742
0.04	2602770
0.041	2599147
0.042	2599147
0.043	2541659
0.044	2541659
0.045	2536957
0.046	2536957
0.047	2536276
0.048	2521380
0.049	2521380
0.05	2491378
0.051	2491378
0.052	2460937
0.053	2454798
0.054	2454798
0.055	2446799
0.056	2361127
0.057	2361127
0.058	2340975
0.059	2340975
0.06	2300191
0.061	2278829
0.062	2278829
0.063	2185402
0.064	2160935
0.065	2130747
0.066	2130747
0.067	2125478
0.068	2100217
0.069	2100217
0.07	2047112
0.071	2027367
0.072	2026987
0.073	2026987
0.074	2022024
0.075	2021870
0.076	2020384
0.077	2020384
0.078	2000026
0.079	1976381
0.08	1956040
0.081	1956040
0.082	1953872
0.083	1953592
0.084	1949782
0.085	1949782
0.086	1946178
0.087	1943099
0.088	1933342
0.089	1914941
0.09	1914941
0.091	1910478
0.092	1886967
0.093	1886280
0.094	1866995
0.095	1866995
0.096	1859868
0.097	1849463
0.098	1837391
0.099	1830051
0.1	1830051
0.101	1830015
0.102	1825408
0.103	1822732
0.104	1821532
0.105	1811726
0.106	1811726
0.107	1800999
0.108	1788377
0.109	1785338
0.11	1776977
0.111	1775576
0.112	1775576
0.113	1763079
0.114	1761408
0.115	1752255
0.116	1751259
0.117	1751142
0.118	1748707
0.119	1748707
0.12	1745197
0.121	1738054
0.122	1732100
0.123	1729842
0.124	1724366
0.125	1724304
0.126	1719561
0.127	1719561
0.128	1703983
0.129	1697620
0.13	1688398
0.131	1688326
0.132	1665710
0.133	1662037
0.134	1661659
0.135	1658733
0.136	1657696
0.137	1657696
0.138	1651043
0.139	1639700
0.14	1623586
0.141	1611489
0.142	1609897
0.143	1608685
0.144	1605579
0.145	1599664
0.146	1587444
0.147	1586345
0.148	1581558
0.149	1565415
0.15	1561751
0.151	1559243
0.152	1555673
0.153	1547055
0.154	1541102
0.155	1541102
0.156	1537635
0.157	1528939
0.158	1528658
0.159	1526333
0.16	1525479
0.161	1522088
0.162	1519723
0.163	1515879
0.164	1514614
0.165	1513699
0.166	1496819
0.167	1493951
0.168	1488857
0.169	1481842
0.17	1480006
0.171	1479490
0.172	1478381
0.173	1470857
0.174	1469113
0.175	1458702
0.176	1451754
0.177	1447179
0.178	1446398
0.179	1446184
0.18	1445066
0.181	1442081
0.182	1440269
0.183	1437395
0.184	1431560
0.185	1423017
0.186	1418809
0.187	1407780
0.188	1407356
0.189	1404736
0.19	1404404
0.191	1403469
0.192	1395463
0.193	1395008
0.194	1393950
0.195	1392690
0.196	1388810
0.197	1386845
0.198	1386288
0.199	1386221
0.2	1385133
0.201	1380736
0.202	1377978
0.203	1377186
0.204	1373697
0.205	1372681
0.206	1371511
0.207	1358774
0.208	1356438
0.209	1354496
0.21	1353148
0.211	1351460
0.212	1346395
0.213	1344057
0.214	1337969
0.215	1334074
0.216	1331050
0.217	1328786
0.218	1327341
0.219	1323058
0.22	1314766
0.221	1309884
0.222	1306887
0.223	1304564
0.224	1303737
0.225	1302231
0.226	1295975
0.227	1294081
0.228	1288419
0.229	1280919
0.23	1280686
0.231	1280244
0.232	1279815
0.233	1277028
0.234	1276049
0.235	1275042
0.236	1274661
0.237	1273669
0.238	1269473
0.239	1265380
0.24	1264984
0.241	1261605
0.242	1260852
0.243	1259859
0.244	1255653
0.245	1251665
0.246	1247557
0.247	1246358
0.248	1241615
0.249	1241278
0.25	1234007
0.251	1233545
0.252	1233472
0.253	1230837
0.254	1227813
0.255	1227514
0.256	1227380
0.257	1222355
0.258	1216443
0.259	1212308
0.26	1210905
0.261	1210259
0.262	1208010
0.263	1205420
0.264	1203767
0.265	1200317
0.266	1195487
0.267	1189677
0.268	1189186
0.269	1182053
0.27	1179661
0.271	1173854
0.272	1173401
0.273	1166213
0.274	1164899
0.275	1164828
0.276	1158502
0.277	1157255
0.278	1147365
0.279	1142894
0.28	1142652
0.281	1142030
0.282	1137267
0.283	1136782
0.284	1134307
0.285	1131741
