fraction	Nx_length
0.001	285578
0.002	252537
0.003	240643
0.004	228383
0.005	216247
0.006	208504
0.007	202514
0.008	197566
0.009	191352
0.01	187690
0.011	183383
0.012	180398
0.013	178583
0.014	175673
0.015	173246
0.016	172318
0.017	170011
0.018	168124
0.019	166232
0.02	163225
0.021	161842
0.022	158839
0.023	157541
0.024	155287
0.025	153913
0.026	152605
0.027	150986
0.028	149726
0.029	148021
0.03	147011
0.031	146070
0.032	144281
0.033	143146
0.034	141886
0.035	140978
0.036	139825
0.037	139104
0.038	138269
0.039	137631
0.04	137058
0.041	136047
0.042	134975
0.043	134150
0.044	133415
0.045	132457
0.046	131699
0.047	130973
0.048	130224
0.049	129412
0.05	128680
0.051	128176
0.052	127422
0.053	126785
0.054	125947
0.055	125327
0.056	124725
0.057	124065
0.058	123420
0.059	122660
0.06	121712
0.061	121019
0.062	120407
0.063	119743
0.064	119164
0.065	118468
0.066	117961
0.067	117466
0.068	116780
0.069	116201
0.07	115575
0.071	114846
0.072	114366
0.073	113736
0.074	113054
0.075	112642
0.076	112301
0.077	111954
0.078	111420
0.079	111071
0.08	110533
0.081	110002
0.082	109500
0.083	109017
0.084	108343
0.085	107937
0.086	107524
0.087	107153
0.088	106515
0.089	106024
0.09	105738
0.091	105355
0.092	104806
0.093	104355
0.094	104039
0.095	103729
0.096	103330
0.097	103109
0.098	102709
0.099	102430
0.1	101958
0.101	101626
0.102	101200
0.103	100635
0.104	100184
0.105	99759
0.106	99491
0.107	99052
0.108	98683
0.109	98433
0.11	98174
0.111	97823
0.112	97412
0.113	96956
0.114	96700
0.115	96343
0.116	96116
0.117	95795
0.118	95567
0.119	95378
0.12	95034
0.121	94829
0.122	94291
0.123	93946
0.124	93555
0.125	93278
0.126	92753
0.127	92412
0.128	92007
0.129	91672
0.13	91243
0.131	90966
0.132	90770
0.133	90601
0.134	90354
0.135	89995
0.136	89728
0.137	89486
0.138	89265
0.139	89074
0.14	88816
0.141	88535
0.142	88144
0.143	87853
0.144	87631
0.145	87428
0.146	87248
0.147	86927
0.148	86596
0.149	86355
0.15	86153
0.151	85876
0.152	85690
0.153	85496
0.154	85228
0.155	85025
0.156	84790
0.157	84465
0.158	84276
0.159	84079
0.16	83845
0.161	83537
0.162	83350
0.163	83154
0.164	82944
0.165	82603
0.166	82416
0.167	82206
0.168	82031
0.169	81800
0.17	81596
0.171	81357
0.172	81187
0.173	80966
0.174	80679
0.175	80387
0.176	80114
0.177	79869
0.178	79672
0.179	79509
0.18	79247
0.181	79026
0.182	78804
0.183	78559
0.184	78334
0.185	78083
0.186	77895
0.187	77742
0.188	77537
0.189	77401
0.19	77149
0.191	77046
0.192	76896
0.193	76647
0.194	76472
0.195	76273
0.196	76001
0.197	75789
0.198	75644
0.199	75449
0.2	75180
0.201	74983
0.202	74742
0.203	74499
0.204	74353
0.205	74172
0.206	73941
0.207	73758
0.208	73502
0.209	73357
0.21	73242
0.211	73038
0.212	72850
0.213	72689
0.214	72510
0.215	72359
0.216	72218
0.217	71988
0.218	71769
0.219	71590
0.22	71399
0.221	71241
0.222	70984
0.223	70698
0.224	70549
0.225	70382
0.226	70240
0.227	70127
0.228	69970
0.229	69819
0.23	69675
0.231	69521
0.232	69290
0.233	69112
0.234	68975
0.235	68844
0.236	68755
0.237	68579
0.238	68463
0.239	68335
0.24	68200
0.241	68012
0.242	67829
0.243	67646
0.244	67542
0.245	67364
0.246	67193
0.247	67026
0.248	66857
0.249	66692
0.25	66552
0.251	66393
0.252	66241
0.253	66097
0.254	65913
0.255	65726
0.256	65588
0.257	65451
0.258	65346
0.259	65232
0.26	65057
0.261	64931
0.262	64761
0.263	64595
0.264	64437
0.265	64300
0.266	64092
0.267	63919
0.268	63761
0.269	63633
0.27	63504
0.271	63352
0.272	63222
0.273	63048
0.274	62932
0.275	62772
0.276	62613
0.277	62466
0.278	62332
0.279	62218
0.28	62095
0.281	61942
0.282	61817
0.283	61666
0.284	61536
0.285	61428
0.286	61288
0.287	61173
0.288	61069
0.289	60937
0.29	60838
0.291	60686
0.292	60548
0.293	60348
0.294	60213
0.295	60030
0.296	59897
0.297	59760
0.298	59654
0.299	59515
0.3	59362
0.301	59242
0.302	59120
0.303	58973
0.304	58833
0.305	58672
0.306	58525
0.307	58401
0.308	58279
0.309	58165
0.31	58044
0.311	57888
0.312	57787
0.313	57659
0.314	57503
0.315	57319
0.316	57152
0.317	57038
0.318	56924
0.319	56758
0.32	56636
0.321	56516
0.322	56394
0.323	56295
0.324	56180
0.325	56057
0.326	55885
0.327	55760
0.328	55632
0.329	55515
0.33	55420
0.331	55283
0.332	55182
0.333	55025
0.334	54919
0.335	54768
