fraction	Nx_length
0.001	3121986
0.002	3009818
0.003	3009818
0.004	2914356
0.005	2914356
0.006	2786459
0.007	2786459
0.008	2606851
0.009	2544308
0.01	2544308
0.011	2284374
0.012	2222246
0.013	2219898
0.014	2219898
0.015	1964426
0.016	1956659
0.017	1855184
0.018	1848253
0.019	1846457
0.02	1846457
0.021	1815352
0.022	1776400
0.023	1738377
0.024	1669669
0.025	1642287
0.026	1641385
0.027	1633471
0.028	1632422
0.029	1622670
0.03	1619695
0.031	1618735
0.032	1608789
0.033	1600567
0.034	1569646
0.035	1552515
0.036	1551405
0.037	1550788
0.038	1548369
0.039	1542343
0.04	1532559
0.041	1483335
0.042	1460467
0.043	1455353
0.044	1452833
0.045	1447200
0.046	1445826
0.047	1436945
0.048	1426357
0.049	1405418
0.05	1403507
0.051	1392444
0.052	1384268
0.053	1377167
0.054	1373897
0.055	1372342
0.056	1360772
0.057	1358538
0.058	1352838
0.059	1352548
0.06	1345347
0.061	1326333
0.062	1303422
0.063	1303170
0.064	1279787
0.065	1271097
0.066	1266150
0.067	1256910
0.068	1251979
0.069	1251744
0.07	1250150
0.071	1239715
0.072	1239463
0.073	1233533
0.074	1223600
0.075	1219303
0.076	1215617
0.077	1213414
0.078	1201576
0.079	1194866
0.08	1186660
0.081	1183155
0.082	1180016
0.083	1168572
0.084	1157024
0.085	1156968
0.086	1155175
0.087	1153713
0.088	1147759
0.089	1146535
0.09	1143798
0.091	1139884
0.092	1134489
0.093	1128930
0.094	1127684
0.095	1113938
0.096	1113139
0.097	1102251
0.098	1097213
0.099	1081725
0.1	1079209
0.101	1071447
0.102	1070149
0.103	1066026
0.104	1065806
0.105	1060686
0.106	1056125
0.107	1047343
0.108	1044834
0.109	1039831
0.11	1030090
0.111	1016918
0.112	1015542
0.113	1009009
0.114	993868
0.115	984794
0.116	981211
0.117	976461
0.118	974205
0.119	968676
0.12	966622
0.121	963075
0.122	951554
0.123	943261
0.124	942648
0.125	939863
0.126	937327
0.127	926895
0.128	924866
0.129	921795
0.13	908819
0.131	908570
0.132	906140
0.133	900978
0.134	898331
0.135	890952
0.136	889968
0.137	880959
0.138	873142
0.139	869972
0.14	869300
0.141	866850
0.142	865941
0.143	859189
0.144	856786
0.145	855619
0.146	846845
0.147	845801
0.148	844035
0.149	843118
0.15	836067
0.151	833090
0.152	832223
0.153	831213
0.154	830293
0.155	825486
0.156	823393
0.157	820036
0.158	818708
0.159	818652
0.16	811105
0.161	807414
0.162	802172
0.163	801401
0.164	799957
0.165	799543
0.166	795429
0.167	793969
0.168	789893
0.169	788439
0.17	787945
0.171	784237
0.172	775739
0.173	768659
0.174	765112
0.175	763889
0.176	758768
0.177	757443
0.178	755588
0.179	754505
0.18	749687
0.181	746321
0.182	743958
0.183	739937
0.184	738330
0.185	737010
0.186	732659
0.187	730208
0.188	728503
0.189	728178
0.19	726337
0.191	724274
0.192	723355
0.193	721852
0.194	720149
0.195	718335
0.196	716608
0.197	714060
0.198	713138
0.199	712490
0.2	711717
0.201	710589
0.202	707071
0.203	705350
0.204	704512
0.205	703822
0.206	701781
0.207	699841
0.208	695433
0.209	692473
0.21	687298
0.211	686750
0.212	686334
0.213	684963
0.214	682372
0.215	681799
0.216	680928
0.217	679947
0.218	678267
0.219	676268
0.22	674827
0.221	674372
0.222	672010
0.223	671026
0.224	669478
0.225	667575
0.226	665829
0.227	660885
0.228	659904
0.229	658471
0.23	657828
0.231	655180
0.232	651664
0.233	649359
0.234	648388
0.235	645136
0.236	643001
0.237	642395
0.238	639639
0.239	638214
0.24	637238
0.241	632276
0.242	631330
0.243	629268
0.244	627444
0.245	626541
0.246	625174
0.247	623114
0.248	620496
0.249	616962
0.25	616519
0.251	615489
0.252	613883
0.253	612240
0.254	611827
0.255	611283
0.256	610444
0.257	608583
0.258	607103
0.259	605985
0.26	604484
0.261	600317
0.262	600063
0.263	599456
0.264	598866
0.265	597217
0.266	595915
0.267	592856
0.268	592225
0.269	591414
0.27	589286
0.271	588857
0.272	587966
0.273	585305
0.274	583414
0.275	580845
0.276	579648
0.277	577654
0.278	576817
0.279	574435
0.28	572767
0.281	570544
0.282	569850
0.283	567765
0.284	566931
0.285	565613
0.286	565196
0.287	562822
0.288	560677
0.289	558687
0.29	558251
0.291	557065
0.292	555622
0.293	552178
0.294	550054
0.295	549106
0.296	547641
0.297	546335
0.298	545878
0.299	543184
0.3	541834
0.301	540653
0.302	540219
0.303	539853
0.304	539059
0.305	537474
0.306	535524
0.307	534683
0.308	533746
0.309	533096
0.31	531334
0.311	529755
0.312	529260
0.313	528218
0.314	526350
0.315	526023
0.316	524242
0.317	523555
0.318	522597
0.319	520651
0.32	518613
0.321	516276
0.322	514628
0.323	513517
0.324	511278
0.325	510284
0.326	509630
0.327	508266
0.328	507426
0.329	506724
0.33	505740
0.331	505093
0.332	504166
0.333	502852
0.334	502294
0.335	501549
0.336	498479
0.337	496643
0.338	496238
0.339	495450
0.34	492638
0.341	490266
0.342	488327
0.343	487251
0.344	486287
0.345	485647
0.346	484281
0.347	482279
0.348	481668
0.349	481185
0.35	479794
0.351	478495
0.352	476418
0.353	474953
0.354	473880
0.355	472478
0.356	472378
0.357	471802
0.358	470462
0.359	469203
0.36	468440
0.361	467416
0.362	466515
0.363	464336
0.364	463618
0.365	461194
0.366	460615
0.367	458256
0.368	457774
0.369	457127
0.37	455533
0.371	454219
0.372	453905
0.373	451344
0.374	450494
0.375	449143
0.376	447146
0.377	445473
0.378	444736
0.379	444365
0.38	442161
0.381	440236
0.382	439393
0.383	438605
0.384	436939
0.385	435138
0.386	434468
0.387	433812
0.388	432863
0.389	430287
0.39	429193
0.391	426828
0.392	426108
0.393	423876
0.394	423307
0.395	422584
0.396	420220
0.397	419164
0.398	418479
0.399	416397
0.4	415503
0.401	413234
0.402	411903
0.403	410565
0.404	409319
0.405	407337
0.406	406451
0.407	404479
0.408	402651
0.409	401328
0.41	399624
0.411	398668
0.412	398242
0.413	396959
0.414	394214
0.415	393531
0.416	391624
0.417	390707
0.418	389640
0.419	388391
0.42	386925
0.421	385529
0.422	384067
0.423	383209
0.424	382176
0.425	380830
0.426	379536
0.427	377712
0.428	376916
0.429	376291
0.43	373385
0.431	373009
0.432	372099
0.433	371564
0.434	370703
0.435	369599
0.436	368735
0.437	367886
0.438	366914
0.439	364027
0.44	362821
0.441	362178
0.442	361284
0.443	360540
0.444	359790
0.445	359057
0.446	358857
0.447	356322
0.448	354803
0.449	353937
0.45	353422
0.451	352515
0.452	351606
0.453	350145
0.454	349447
0.455	347970
0.456	347653
0.457	346479
0.458	345609
0.459	343908
0.46	343354
0.461	342160
0.462	341178
0.463	340325
0.464	339036
0.465	338034
0.466	337754
0.467	336811
0.468	335108
0.469	334415
0.47	333419
0.471	331790
0.472	330175
0.473	328534
0.474	327601
0.475	325123
0.476	324254
0.477	323321
0.478	322146
0.479	321086
0.48	318995
0.481	318375
0.482	317764
0.483	316949
0.484	316266
0.485	315061
0.486	314264
0.487	313650
0.488	312829
0.489	311598
0.49	311003
0.491	310117
0.492	309100
0.493	307938
0.494	306808
0.495	306263
0.496	305313
0.497	304334
0.498	303945
0.499	302994
0.5	302078
0.501	300968
0.502	299984
0.503	299409
0.504	298854
0.505	297250
0.506	296901
0.507	296639
0.508	295888
0.509	295502
0.51	294472
0.511	293949
0.512	293547
0.513	292558
0.514	290970
0.515	290645
0.516	289820
0.517	289578
0.518	288629
0.519	287560
0.52	286756
0.521	285514
0.522	284337
0.523	283935
0.524	283519
0.525	282316
0.526	281695
0.527	281095
0.528	280505
0.529	279848
0.53	278752
0.531	277842
0.532	277503
0.533	276781
0.534	276231
0.535	275483
0.536	274588
0.537	273719
0.538	273015
0.539	272242
0.54	271163
0.541	270390
0.542	269663
0.543	268830
0.544	267819
0.545	267318
0.546	265776
0.547	264491
0.548	263913
0.549	262333
0.55	261976
0.551	261067
0.552	260842
0.553	260296
0.554	259929
0.555	258942
0.556	258389
0.557	257909
0.558	256569
0.559	255176
0.56	254709
0.561	253509
0.562	252739
0.563	252583
0.564	251812
0.565	251334
0.566	249786
0.567	249033
0.568	247947
0.569	246877
0.57	246066
0.571	245071
0.572	244349
0.573	243828
0.574	243376
0.575	242597
0.576	241802
0.577	240901
0.578	240104
0.579	238974
0.58	238331
0.581	237660
0.582	237018
0.583	236415
0.584	235330
0.585	234498
0.586	233122
0.587	232437
0.588	231554
0.589	230683
0.59	230059
0.591	229405
0.592	228710
0.593	228310
0.594	227596
0.595	226634
0.596	226138
0.597	225504
0.598	224617
0.599	223738
0.6	223357
0.601	222607
0.602	221725
0.603	221202
0.604	220684
0.605	219867
0.606	219257
0.607	217742
0.608	216953
0.609	216100
0.61	215436
0.611	214872
0.612	213408
0.613	212782
0.614	211702
0.615	211107
0.616	210532
0.617	210216
0.618	209487
0.619	208770
0.62	207733
0.621	206888
0.622	206065
0.623	205304
0.624	204538
0.625	203665
0.626	203289
0.627	202643
0.628	201989
0.629	201079
0.63	200288
0.631	199450
0.632	198644
0.633	198402
0.634	197864
0.635	197239
0.636	196462
0.637	195526
0.638	195000
0.639	194526
0.64	194021
0.641	192931
0.642	192194
0.643	191445
0.644	191098
0.645	190113
0.646	189717
0.647	188906
0.648	188638
0.649	187877
0.65	187412
0.651	186835
0.652	186545
0.653	186088
0.654	185553
0.655	184586
0.656	183971
0.657	183250
0.658	182215
0.659	181354
0.66	180779
0.661	179817
0.662	179259
0.663	178691
0.664	178012
0.665	177631
0.666	176906
0.667	176367
0.668	176037
0.669	175079
0.67	174350
0.671	173671
0.672	173389
0.673	172367
0.674	171843
0.675	171310
0.676	170681
0.677	169868
0.678	169056
0.679	168348
0.68	168172
0.681	167558
0.682	167172
0.683	166742
0.684	166105
0.685	165289
0.686	164880
0.687	164048
0.688	163243
0.689	162760
0.69	161946
0.691	161376
0.692	160849
0.693	160151
0.694	159798
0.695	158502
0.696	157939
0.697	157214
0.698	156490
0.699	155989
0.7	155544
0.701	154960
0.702	154463
0.703	153405
0.704	152421
0.705	151912
0.706	151342
0.707	150716
0.708	150109
0.709	149592
0.71	149093
0.711	148335
0.712	147696
0.713	147080
0.714	146489
0.715	145938
0.716	145236
0.717	144683
0.718	144036
0.719	143127
0.72	142397
0.721	141824
0.722	141275
0.723	140720
0.724	140057
0.725	139443
0.726	138843
0.727	138336
0.728	137811
0.729	137433
0.73	136665
0.731	136112
0.732	135440
0.733	134928
0.734	134552
0.735	133989
0.736	133079
0.737	132650
0.738	131883
0.739	131219
0.74	130762
0.741	130091
0.742	129634
0.743	129130
0.744	128492
0.745	128127
0.746	127305
0.747	126563
0.748	126157
0.749	125542
0.75	125070
0.751	124461
0.752	123884
0.753	123414
0.754	122985
0.755	122538
0.756	121907
0.757	121299
0.758	120754
0.759	120070
0.76	119697
0.761	119324
0.762	118597
0.763	118112
0.764	117411
0.765	116990
0.766	116609
0.767	116164
0.768	115441
0.769	115088
0.77	114598
0.771	114229
0.772	113617
0.773	112932
0.774	112409
0.775	111655
0.776	111127
0.777	110618
0.778	109819
0.779	109385
0.78	108948
0.781	108273
0.782	107541
0.783	107160
0.784	106669
0.785	106230
0.786	105667
0.787	105286
0.788	104626
0.789	104204
0.79	103828
0.791	103286
0.792	102814
0.793	102430
0.794	101759
0.795	101320
0.796	100977
0.797	100346
0.798	99747
0.799	99203
0.8	98616
0.801	98104
0.802	97441
0.803	96710
0.804	96075
0.805	95714
0.806	95058
0.807	94510
0.808	93759
0.809	93140
0.81	92686
0.811	92162
0.812	91688
0.813	91324
0.814	91055
0.815	90688
0.816	90164
0.817	89693
0.818	89182
0.819	88700
0.82	88155
0.821	87710
0.822	87124
0.823	86746
0.824	86234
0.825	85703
0.826	85221
0.827	84646
0.828	84083
0.829	83612
0.83	82945
0.831	82539
0.832	81797
0.833	81189
0.834	80623
0.835	80213
0.836	79550
0.837	78987
0.838	78576
0.839	78255
0.84	77744
0.841	77430
0.842	76832
0.843	76474
0.844	75909
0.845	75247
0.846	74760
0.847	74210
0.848	73671
0.849	73206
0.85	72664
0.851	72066
0.852	71591
0.853	71075
0.854	70518
0.855	70158
0.856	69481
0.857	69018
0.858	68653
0.859	68142
0.86	67734
0.861	67206
0.862	66685
0.863	66271
0.864	65778
0.865	65293
0.866	64792
0.867	64318
0.868	63966
0.869	63350
0.87	62940
0.871	62424
0.872	61964
0.873	61497
0.874	61082
0.875	60671
0.876	60188
0.877	59753
0.878	59286
0.879	58820
0.88	58247
0.881	57873
0.882	57451
0.883	57013
0.884	56650
0.885	56319
0.886	55990
0.887	55382
0.888	54968
0.889	54615
0.89	54066
0.891	53675
0.892	53308
0.893	52850
0.894	52398
0.895	51926
0.896	51403
0.897	50958
0.898	50474
0.899	50145
0.9	49788
0.901	49463
0.902	48950
0.903	48531
0.904	48181
0.905	47850
0.906	47314
0.907	46950
0.908	46672
0.909	46146
0.91	45768
0.911	45466
0.912	45133
0.913	44702
0.914	44205
0.915	43790
0.916	43336
0.917	42941
0.918	42406
0.919	41908
0.92	41576
0.921	41219
0.922	40702
0.923	40169
0.924	39706
0.925	39298
0.926	38803
0.927	38412
0.928	37936
0.929	37481
0.93	36977
0.931	36596
0.932	36249
0.933	35812
0.934	35370
0.935	34971
0.936	34612
0.937	34266
0.938	33893
0.939	33469
0.94	33048
0.941	32601
0.942	32147
0.943	31773
0.944	31467
0.945	31114
0.946	30664
0.947	30161
0.948	29819
0.949	29432
0.95	29092
0.951	28609
0.952	28258
0.953	27852
0.954	27466
0.955	27054
0.956	26568
0.957	26175
0.958	25730
0.959	25331
0.96	24994
0.961	24609
0.962	24200
0.963	23757
0.964	23343
0.965	22985
0.966	22627
0.967	22184
0.968	21783
0.969	21423
0.97	21105
0.971	20752
0.972	20405
0.973	20068
0.974	19734
0.975	19439
0.976	19045
0.977	18783
0.978	18418
0.979	18084
0.98	17674
0.981	17307
0.982	17028
0.983	16627
0.984	16272
0.985	15941
0.986	15576
0.987	15272
0.988	14937
0.989	14581
0.99	14176
0.991	13743
0.992	13316
0.993	12761
0.994	12227
0.995	11641
0.996	10938
0.997	10115
0.998	8991
0.999	6981
1.0	5
