fraction	Nx_length
0.001	526661
0.002	457658
0.003	435412
0.004	401702
0.005	366619
0.006	351696
0.007	324659
0.008	319282
0.009	303755
0.01	295093
0.011	288342
0.012	284426
0.013	281070
0.014	274623
0.015	272317
0.016	267645
0.017	263951
0.018	260025
0.019	258283
0.02	251542
0.021	249406
0.022	247581
0.023	245971
0.024	241334
0.025	237890
0.026	233259
0.027	230510
0.028	228225
0.029	226535
0.03	225430
0.031	224108
0.032	223195
0.033	220711
0.034	218803
0.035	217386
0.036	213337
0.037	210750
0.038	210190
0.039	208561
0.04	207270
0.041	204903
0.042	202567
0.043	201635
0.044	200184
0.045	197696
0.046	196622
0.047	194600
0.048	193423
0.049	192245
0.05	191494
0.051	190432
0.052	189359
0.053	187569
0.054	186585
0.055	184188
0.056	183444
0.057	182138
0.058	181244
0.059	180656
0.06	179249
0.061	177992
0.062	177101
0.063	175681
0.064	174580
0.065	173771
0.066	173005
0.067	172144
0.068	171043
0.069	170202
0.07	168858
0.071	168129
0.072	167430
0.073	166231
0.074	165601
0.075	164894
0.076	164199
0.077	163040
0.078	162138
0.079	161671
0.08	160883
0.081	160156
0.082	159588
0.083	158660
0.084	157945
0.085	156786
0.086	156298
0.087	155568
0.088	154684
0.089	153834
0.09	152827
0.091	152016
0.092	151320
0.093	150685
0.094	150190
0.095	149622
0.096	148830
0.097	147599
0.098	146870
0.099	146281
0.1	145756
0.101	145332
0.102	144520
0.103	143631
0.104	143006
0.105	142387
0.106	141681
0.107	141009
0.108	139764
0.109	139359
0.11	139006
0.111	138537
0.112	137775
0.113	137019
0.114	136273
0.115	135814
0.116	135146
0.117	134465
0.118	133943
0.119	133572
0.12	133252
0.121	132259
0.122	131625
0.123	131018
0.124	130591
0.125	129937
0.126	129508
0.127	128770
0.128	128311
0.129	127626
0.13	126872
0.131	126116
0.132	125550
0.133	125305
0.134	125032
0.135	124699
0.136	124209
0.137	123711
0.138	123371
0.139	122957
0.14	122409
0.141	121806
0.142	121222
0.143	120807
0.144	120331
0.145	119855
0.146	119582
0.147	118967
0.148	118370
0.149	117871
0.15	117512
0.151	117000
0.152	116471
0.153	116039
0.154	115517
0.155	115176
0.156	114746
0.157	114315
0.158	113801
0.159	113397
0.16	113058
0.161	112488
0.162	112046
0.163	111567
0.164	111206
0.165	110796
0.166	110287
0.167	109918
0.168	109643
0.169	109350
0.17	109049
0.171	108730
0.172	108371
0.173	108053
0.174	107669
0.175	107269
0.176	106833
0.177	106536
0.178	106210
0.179	105764
0.18	105326
0.181	104927
0.182	104711
0.183	104405
0.184	104094
0.185	103848
0.186	103481
