fraction	Nx_length
0.001	46534828
0.002	46534828
0.003	46534828
0.004	46534828
0.005	46534828
0.006	46534828
0.007	46534828
0.008	46534828
0.009	46534828
0.01	46534828
0.011	46534828
0.012	46534828
0.013	46534828
0.014	46534828
0.015	46534828
0.016	46534828
0.017	46534828
0.018	46534828
0.019	46534828
0.02	46534828
0.021	46534828
0.022	46534828
0.023	46534828
0.024	46534828
0.025	46534828
0.026	46534828
0.027	46534828
0.028	46534828
0.029	46534828
0.03	46534828
0.031	43535772
0.032	43535772
0.033	43535772
0.034	43535772
0.035	43535772
0.036	43535772
0.037	43535772
0.038	43535772
0.039	43535772
0.04	43535772
0.041	43535772
0.042	43535772
0.043	43535772
0.044	43535772
0.045	43535772
0.046	43535772
0.047	43535772
0.048	43535772
0.049	43535772
0.05	43535772
0.051	43535772
0.052	43535772
0.053	43535772
0.054	43535772
0.055	43535772
0.056	43535772
0.057	43535772
0.058	43535772
0.059	43535772
0.06	42165291
0.061	42165291
0.062	42165291
0.063	42165291
0.064	42165291
0.065	42165291
0.066	42165291
0.067	42165291
0.068	42165291
0.069	42165291
0.07	42165291
0.071	42165291
0.072	42165291
0.073	42165291
0.074	42165291
0.075	42165291
0.076	42165291
0.077	42165291
0.078	42165291
0.079	42165291
0.08	42165291
0.081	42165291
0.082	42165291
0.083	42165291
0.084	42165291
0.085	42165291
0.086	42165291
0.087	38240151
0.088	38240151
0.089	38240151
0.09	38240151
0.091	38240151
0.092	38240151
0.093	38240151
0.094	38240151
0.095	38240151
0.096	38240151
0.097	38240151
0.098	38240151
0.099	38240151
0.1	38240151
0.101	38240151
0.102	38240151
0.103	38240151
0.104	38240151
0.105	38240151
0.106	38240151
0.107	38240151
0.108	38240151
0.109	38240151
0.11	38240151
0.111	38240151
0.112	33980639
0.113	33980639
0.114	33980639
0.115	33980639
0.116	33980639
0.117	33980639
0.118	33980639
0.119	33980639
0.12	33980639
0.121	33980639
0.122	33980639
0.123	33980639
0.124	33980639
0.125	33980639
0.126	33980639
0.127	33980639
0.128	33980639
0.129	33980639
0.13	33980639
0.131	33980639
0.132	33980639
0.133	33980639
0.134	31771915
0.135	31771915
0.136	31771915
0.137	31771915
0.138	31771915
0.139	31771915
0.14	31771915
0.141	31771915
0.142	31771915
0.143	31771915
0.144	31771915
0.145	31771915
0.146	31771915
0.147	31771915
0.148	31771915
0.149	31771915
0.15	31771915
0.151	31771915
0.152	31771915
0.153	31771915
0.154	31771915
0.155	26676514
0.156	26676514
0.157	26676514
0.158	26676514
0.159	26676514
0.16	26676514
0.161	26676514
0.162	26676514
0.163	26676514
