fraction	Nx_length
0.001	123151900
0.002	123151900
0.003	123151900
0.004	123151900
0.005	123151900
0.006	123151900
0.007	123151900
0.008	123151900
0.009	123151900
0.01	123151900
0.011	123151900
0.012	123151900
0.013	123151900
0.014	123151900
0.015	123151900
0.016	123151900
0.017	123151900
0.018	123151900
0.019	123151900
0.02	123151900
0.021	123151900
0.022	123151900
0.023	123151900
0.024	123151900
0.025	123151900
0.026	123151900
0.027	123151900
0.028	123151900
0.029	123151900
0.03	123151900
0.031	123151900
0.032	123151900
0.033	123151900
0.034	123151900
0.035	123151900
0.036	123151900
0.037	123151900
0.038	123151900
0.039	123151900
0.04	123151900
0.041	123151900
0.042	123151900
0.043	123151900
0.044	123151900
0.045	123151900
0.046	123151900
0.047	123151900
0.048	123151900
0.049	123151900
0.05	123151900
0.051	123151900
0.052	123151900
0.053	123151900
0.054	123151900
0.055	123151900
0.056	123151900
0.057	123151900
0.058	123151900
0.059	123151900
0.06	123151900
0.061	123151900
0.062	123151900
0.063	123151900
0.064	123151900
0.065	123151900
0.066	123151900
0.067	123151900
0.068	123151900
0.069	112813751
0.07	112813751
0.071	112813751
0.072	112813751
0.073	112813751
0.074	112813751
0.075	112813751
0.076	112813751
0.077	112813751
0.078	112813751
0.079	112813751
0.08	112813751
0.081	112813751
0.082	112813751
0.083	112813751
0.084	112813751
0.085	112813751
0.086	112813751
0.087	112813751
0.088	112813751
0.089	112813751
0.09	112813751
0.091	112813751
0.092	112813751
0.093	112813751
0.094	112813751
0.095	112813751
0.096	112813751
0.097	112813751
0.098	112813751
0.099	112813751
0.1	112813751
0.101	112813751
0.102	112813751
0.103	112813751
0.104	112813751
0.105	112813751
0.106	112813751
0.107	112813751
0.108	112813751
0.109	112813751
0.11	112813751
0.111	112813751
0.112	112813751
0.113	112813751
0.114	112813751
0.115	112813751
0.116	112813751
0.117	112813751
0.118	112813751
0.119	112813751
0.12	112813751
0.121	112813751
0.122	112813751
0.123	112813751
0.124	112813751
0.125	112813751
0.126	112813751
0.127	112813751
0.128	112813751
0.129	112813751
0.13	112813751
0.131	112813751
0.132	112813751
0.133	111766777
0.134	111766777
0.135	111766777
0.136	111766777
0.137	111766777
0.138	111766777
0.139	111766777
0.14	111766777
0.141	111766777
0.142	111766777
0.143	111766777
0.144	111766777
0.145	111766777
0.146	111766777
0.147	111766777
0.148	111766777
0.149	111766777
0.15	111766777
0.151	111766777
0.152	111766777
0.153	111766777
0.154	111766777
0.155	111766777
0.156	111766777
0.157	111766777
0.158	111766777
0.159	111766777
0.16	111766777
0.161	111766777
0.162	111766777
0.163	111766777
0.164	111766777
0.165	111766777
0.166	111766777
0.167	111766777
0.168	111766777
0.169	111766777
0.17	111766777
0.171	111766777
0.172	111766777
0.173	111766777
0.174	111766777
0.175	111766777
0.176	111766777
0.177	111766777
0.178	111766777
0.179	111766777
0.18	111766777
0.181	111766777
0.182	111766777
0.183	111766777
0.184	111766777
0.185	111766777
0.186	111766777
0.187	111766777
0.188	111766777
0.189	111766777
0.19	111766777
0.191	111766777
0.192	111766777
0.193	111766777
0.194	111766777
0.195	91547263
0.196	91547263
0.197	91547263
0.198	91547263
0.199	91547263
0.2	91547263
0.201	91547263
0.202	91547263
0.203	91547263
0.204	91547263
0.205	91547263
0.206	91547263
0.207	91547263
0.208	91547263
0.209	91547263
0.21	91547263
0.211	91547263
0.212	91547263
0.213	91547263
0.214	91547263
0.215	91547263
0.216	91547263
0.217	91547263
0.218	91547263
0.219	91547263
0.22	91547263
0.221	91547263
0.222	91547263
0.223	91547263
0.224	91547263
0.225	91547263
0.226	91547263
0.227	91547263
0.228	91547263
0.229	91547263
0.23	91547263
0.231	91547263
0.232	91547263
0.233	91547263
0.234	91547263
0.235	91547263
0.236	91547263
0.237	91547263
0.238	91547263
0.239	91547263
0.24	91547263
0.241	91547263
0.242	91547263
0.243	91547263
0.244	91547263
0.245	91547263
0.246	90552724
0.247	90552724
0.248	90552724
0.249	90552724
0.25	90552724
0.251	90552724
0.252	90552724
0.253	90552724
0.254	90552724
0.255	90552724
0.256	90552724
0.257	90552724
0.258	90552724
0.259	90552724
0.26	90552724
0.261	90552724
0.262	90552724
0.263	90552724
0.264	90552724
0.265	90552724
0.266	90552724
0.267	90552724
0.268	90552724
0.269	90552724
0.27	90552724
0.271	90552724
0.272	90552724
0.273	90552724
0.274	90552724
0.275	90552724
0.276	90552724
0.277	90552724
0.278	90552724
0.279	90552724
0.28	90552724
0.281	90552724
0.282	90552724
0.283	90552724
0.284	90552724
0.285	90552724
0.286	90552724
0.287	90552724
0.288	90552724
0.289	90552724
0.29	90552724
0.291	90552724
0.292	90552724
0.293	90552724
0.294	90552724
0.295	90552724
0.296	90552724
0.297	84076254
0.298	84076254
0.299	84076254
0.3	84076254
0.301	84076254
0.302	84076254
0.303	84076254
0.304	84076254
0.305	84076254
0.306	84076254
0.307	84076254
0.308	84076254
0.309	84076254
0.31	84076254
0.311	84076254
0.312	84076254
0.313	84076254
0.314	84076254
0.315	84076254
0.316	84076254
0.317	84076254
0.318	84076254
0.319	84076254
0.32	84076254
0.321	84076254
0.322	84076254
0.323	84076254
0.324	84076254
0.325	84076254
0.326	84076254
0.327	84076254
0.328	84076254
0.329	84076254
0.33	84076254
0.331	84076254
0.332	84076254
0.333	84076254
0.334	84076254
0.335	84076254
0.336	84076254
0.337	84076254
0.338	84076254
0.339	84076254
0.34	84076254
0.341	84076254
0.342	84076254
0.343	84076254
0.344	81520716
0.345	81520716
0.346	81520716
0.347	81520716
0.348	81520716
0.349	81520716
0.35	81520716
0.351	81520716
0.352	81520716
0.353	81520716
0.354	81520716
0.355	81520716
0.356	81520716
0.357	81520716
0.358	81520716
0.359	81520716
0.36	81520716
0.361	81520716
0.362	81520716
0.363	81520716
0.364	81520716
0.365	81520716
0.366	81520716
0.367	81520716
0.368	81520716
0.369	81520716
0.37	81520716
0.371	81520716
0.372	81520716
0.373	81520716
0.374	81520716
0.375	81520716
0.376	81520716
0.377	81520716
0.378	81520716
0.379	81520716
0.38	81520716
0.381	81520716
0.382	81520716
0.383	81520716
0.384	81520716
0.385	81520716
0.386	81520716
0.387	81520716
0.388	81520716
0.389	81520716
0.39	75510584
0.391	75510584
0.392	75510584
0.393	75510584
0.394	75510584
0.395	75510584
0.396	75510584
0.397	75510584
0.398	75510584
0.399	75510584
0.4	75510584
0.401	75510584
0.402	75510584
0.403	75510584
0.404	75510584
0.405	75510584
0.406	75510584
0.407	75510584
0.408	75510584
0.409	75510584
0.41	75510584
0.411	75510584
0.412	75510584
0.413	75510584
0.414	75510584
0.415	75510584
0.416	75510584
0.417	75510584
