fraction	Nx_length
0.001	315806
0.002	274943
0.003	254116
0.004	241593
0.005	228598
0.006	222281
0.007	217048
0.008	212816
0.009	209063
0.01	203320
0.011	201011
0.012	199062
0.013	195331
0.014	192359
0.015	190471
0.016	186880
0.017	184090
0.018	181835
0.019	179434
0.02	176952
0.021	174730
0.022	172093
0.023	170498
0.024	168732
0.025	167129
0.026	165321
0.027	163581
0.028	160710
0.029	159824
0.03	157435
0.031	155905
0.032	153935
0.033	153030
0.034	151897
0.035	150963
0.036	149761
0.037	148534
0.038	147515
0.039	146497
0.04	145649
0.041	144718
0.042	143665
0.043	143000
0.044	142012
0.045	141194
0.046	140517
0.047	139854
0.048	139145
0.049	138430
0.05	137424
0.051	136895
0.052	136079
0.053	135198
0.054	134283
0.055	133542
0.056	132884
0.057	132254
0.058	131436
0.059	130521
0.06	129635
0.061	129042
0.062	128643
0.063	128131
0.064	127148
0.065	126250
0.066	125501
0.067	124740
0.068	124219
0.069	123810
0.07	123365
0.071	122672
0.072	122069
0.073	121407
0.074	120658
0.075	120120
0.076	119506
0.077	119235
0.078	118716
0.079	118237
0.08	117791
0.081	117212
0.082	116652
0.083	116049
0.084	115564
0.085	114900
0.086	114402
0.087	113832
0.088	112790
0.089	112190
0.09	111667
0.091	111263
0.092	110763
0.093	110173
0.094	109820
0.095	109492
0.096	109058
0.097	108579
0.098	108051
0.099	107465
0.1	107133
0.101	106613
0.102	105992
0.103	105572
0.104	105261
0.105	104768
0.106	104420
0.107	104201
0.108	103814
0.109	103404
0.11	103181
0.111	102874
0.112	102457
0.113	101910
0.114	101537
0.115	101209
0.116	100655
0.117	100167
0.118	99916
0.119	99526
0.12	99191
0.121	98812
0.122	98540
0.123	98154
0.124	97856
0.125	97473
0.126	97131
0.127	96738
0.128	96384
0.129	96198
0.13	95871
0.131	95397
0.132	95134
0.133	94732
0.134	94470
0.135	94256
0.136	93974
0.137	93668
0.138	93359
0.139	93055
0.14	92579
0.141	92320
0.142	92077
0.143	91888
0.144	91645
0.145	91440
0.146	91075
0.147	90818
0.148	90529
0.149	90098
0.15	89840
0.151	89601
0.152	89326
0.153	88957
0.154	88722
0.155	88469
0.156	88264
0.157	87938
0.158	87605
0.159	87348
0.16	87031
0.161	86834
0.162	86586
0.163	86432
0.164	86108
0.165	85874
0.166	85562
0.167	85349
0.168	85100
0.169	84941
0.17	84630
0.171	84383
0.172	84198
0.173	83943
0.174	83724
0.175	83432
0.176	83146
0.177	82894
0.178	82496
0.179	82296
0.18	82145
0.181	81906
0.182	81668
0.183	81490
0.184	81300
0.185	81101
0.186	80753
0.187	80545
0.188	80382
0.189	80129
0.19	79910
0.191	79651
0.192	79363
0.193	79118
0.194	78891
0.195	78714
0.196	78464
0.197	78254
0.198	78014
0.199	77795
0.2	77485
0.201	77284
0.202	77059
0.203	76837
0.204	76613
0.205	76442
0.206	76196
0.207	76023
0.208	75810
0.209	75607
0.21	75396
0.211	75204
0.212	74986
0.213	74827
0.214	74665
0.215	74522
0.216	74353
0.217	74168
0.218	73980
0.219	73749
0.22	73542
0.221	73398
0.222	73239
0.223	73069
0.224	72900
0.225	72679
0.226	72485
0.227	72341
0.228	72060
0.229	71792
0.23	71641
0.231	71461
0.232	71228
0.233	71068
0.234	70840
0.235	70700
0.236	70468
0.237	70304
0.238	70134
0.239	69992
0.24	69812
0.241	69597
0.242	69438
0.243	69272
0.244	69082
0.245	68944
0.246	68781
0.247	68591
0.248	68442
0.249	68311
0.25	68146
0.251	67963
0.252	67833
0.253	67698
0.254	67546
0.255	67403
0.256	67245
0.257	67068
0.258	66955
0.259	66786
0.26	66641
0.261	66503
0.262	66357
0.263	66189
0.264	66074
0.265	65851
0.266	65746
0.267	65535
0.268	65353
0.269	65193
0.27	64990
0.271	64849
0.272	64697
0.273	64566
0.274	64408
0.275	64231
0.276	64033
0.277	63879
0.278	63749
0.279	63633
0.28	63437
0.281	63311
0.282	63170
0.283	63046
0.284	62915
0.285	62768
0.286	62643
0.287	62513
0.288	62361
0.289	62201
0.29	62049
0.291	61912
0.292	61779
0.293	61651
0.294	61530
0.295	61374
0.296	61275
0.297	61187
0.298	61036
0.299	60869
0.3	60723
0.301	60620
0.302	60471
0.303	60335
0.304	60147
0.305	60005
0.306	59901
0.307	59792
0.308	59629
0.309	59507
0.31	59402
0.311	59239
0.312	59103
0.313	58986
0.314	58890
0.315	58730
0.316	58614
0.317	58500
0.318	58334
0.319	58184
0.32	58061
0.321	57863
0.322	57714
0.323	57562
0.324	57396
0.325	57193
0.326	57049
0.327	56923
0.328	56794
0.329	56660
0.33	56559
0.331	56433
0.332	56337
0.333	56208
0.334	56082
0.335	55991
0.336	55842
0.337	55723
0.338	55580
0.339	55435
0.34	55326
0.341	55219
0.342	55090
0.343	54988
0.344	54837
0.345	54692
0.346	54571
0.347	54484
0.348	54380
0.349	54263
0.35	54095
0.351	54007
0.352	53888
0.353	53757
0.354	53654
0.355	53535
0.356	53402
0.357	53265
0.358	53167
0.359	53047
0.36	52920
0.361	52782
0.362	52674
0.363	52579
0.364	52439
0.365	52320
0.366	52188
0.367	52048
0.368	51947
0.369	51837
0.37	51715
0.371	51612
0.372	51480
0.373	51329
0.374	51226
0.375	51127
0.376	50972
0.377	50859
0.378	50733
0.379	50577
0.38	50482
0.381	50375
0.382	50255
0.383	50168
0.384	50056
0.385	49939
0.386	49810
0.387	49693
0.388	49577
0.389	49465
0.39	49320
0.391	49212
0.392	49064
0.393	48949
0.394	48853
0.395	48744
0.396	48680
0.397	48546
0.398	48450
0.399	48329
0.4	48202
0.401	48085
0.402	47995
0.403	47895
0.404	47781
0.405	47668
0.406	47574
0.407	47426
0.408	47292
0.409	47127
0.41	47033
0.411	46903
0.412	46789
0.413	46687
0.414	46565
0.415	46474
0.416	46361
0.417	46278
0.418	46163
0.419	46069
0.42	45970
0.421	45863
0.422	45724
0.423	45628
0.424	45544
0.425	45438
0.426	45346
0.427	45257
0.428	45163
0.429	45060
0.43	44980
0.431	44858
0.432	44743
0.433	44648
0.434	44531
0.435	44442
0.436	44324
0.437	44220
0.438	44111
0.439	43993
0.44	43906
0.441	43807
0.442	43726
0.443	43631
0.444	43544
0.445	43447
0.446	43369
0.447	43275
0.448	43178
0.449	43071
0.45	42987
0.451	42873
0.452	42764
0.453	42672
0.454	42572
0.455	42478
0.456	42373
0.457	42277
0.458	42202
0.459	42117
0.46	42013
0.461	41898
0.462	41812
0.463	41725
0.464	41652
0.465	41560
0.466	41485
0.467	41386
0.468	41301
0.469	41203
0.47	41117
0.471	41012
0.472	40918
0.473	40854
0.474	40736
0.475	40622
0.476	40523
0.477	40449
0.478	40331
0.479	40237
0.48	40132
0.481	40059
0.482	39969
0.483	39875
0.484	39776
0.485	39677
0.486	39596
0.487	39520
0.488	39451
0.489	39353
0.49	39247
0.491	39158
0.492	39056
0.493	38957
0.494	38850
0.495	38757
0.496	38666
0.497	38549
0.498	38450
0.499	38370
0.5	38278
0.501	38183
0.502	38092
0.503	38012
0.504	37923
0.505	37825
0.506	37724
0.507	37650
0.508	37560
0.509	37444
0.51	37340
0.511	37249
0.512	37162
0.513	37053
0.514	36971
0.515	36885
0.516	36794
0.517	36734
0.518	36621
0.519	36551
0.52	36465
0.521	36376
0.522	36308
0.523	36200
0.524	36111
