fraction	Nx_length
0.001	639150
0.002	584880
0.003	543655
0.004	508477
0.005	483423
0.006	457806
0.007	441133
0.008	420569
0.009	413680
0.01	401241
0.011	393051
0.012	385943
0.013	379298
0.014	370641
0.015	366668
0.016	359515
0.017	353625
0.018	351625
0.019	344488
0.02	341587
0.021	339352
0.022	333971
0.023	330603
0.024	327173
0.025	324089
0.026	322196
0.027	319636
0.028	316818
0.029	313941
0.03	309808
0.031	308341
0.032	304227
0.033	301148
0.034	298821
0.035	296101
0.036	294626
0.037	293136
0.038	290413
0.039	286745
0.04	281100
0.041	279851
0.042	278282
0.043	276939
0.044	274362
0.045	272631
0.046	270241
0.047	269275
0.048	266454
0.049	264677
0.05	263348
0.051	261375
0.052	260074
0.053	259287
0.054	257933
0.055	256262
0.056	254129
0.057	251813
0.058	248887
0.059	247348
0.06	245964
0.061	244704
0.062	243528
0.063	241988
0.064	240450
0.065	239002
0.066	238340
0.067	236912
0.068	235031
0.069	233563
0.07	231838
0.071	230881
0.072	229949
0.073	229433
0.074	228447
0.075	227490
0.076	225392
0.077	223851
0.078	222641
0.079	220946
0.08	219830
0.081	218141
0.082	217002
0.083	216309
0.084	215566
0.085	214857
0.086	214346
0.087	213760
0.088	213326
0.089	212197
0.09	210639
0.091	209694
0.092	208844
0.093	208178
0.094	207450
0.095	206043
0.096	205067
0.097	204199
0.098	203046
0.099	201935
0.1	201124
0.101	200198
0.102	199080
0.103	198319
0.104	196777
0.105	195897
0.106	194867
0.107	194282
0.108	193600
0.109	192839
0.11	191600
0.111	191012
0.112	190293
0.113	189818
0.114	188780
0.115	188167
0.116	187113
0.117	186238
0.118	185525
0.119	185084
0.12	184578
0.121	184008
0.122	183186
0.123	182451
0.124	181426
0.125	180709
0.126	179885
0.127	179134
0.128	178342
0.129	177884
0.13	177477
0.131	176907
0.132	175959
0.133	174979
0.134	174010
0.135	173132
0.136	172495
0.137	172083
0.138	171535
0.139	171245
0.14	170822
0.141	170424
0.142	169268
0.143	168602
0.144	168049
0.145	167229
0.146	166829
0.147	166183
0.148	165398
0.149	164834
0.15	164070
0.151	163404
0.152	162610
0.153	162041
0.154	161161
0.155	160648
0.156	160180
0.157	159724
0.158	159130
0.159	158367
0.16	157964
0.161	157687
0.162	156877
0.163	156173
0.164	155494
0.165	155140
0.166	154795
0.167	154391
0.168	153869
0.169	153330
0.17	152789
0.171	152329
0.172	151706
0.173	151408
0.174	150870
0.175	150134
0.176	149500
0.177	148762
0.178	148416
0.179	147954
0.18	147683
0.181	147221
0.182	146646
0.183	146201
0.184	145714
0.185	145299
0.186	144566
0.187	144012
0.188	143476
0.189	143009
0.19	142494
0.191	142121
0.192	141702
0.193	141291
0.194	140955
0.195	140223
0.196	139766
0.197	139374
0.198	138894
0.199	138472
0.2	137992
0.201	137640
0.202	137068
0.203	136641
0.204	136281
0.205	136021
0.206	135671
0.207	135044
0.208	134754
0.209	134343
0.21	133873
0.211	133271
0.212	132852
0.213	132360
0.214	132066
0.215	131480
0.216	131136
0.217	130648
0.218	130268
0.219	129727
0.22	129312
0.221	128726
0.222	128411
0.223	127925
0.224	127565
0.225	127291
0.226	126829
0.227	126319
0.228	125806
0.229	125450
0.23	124992
0.231	124646
0.232	124191
0.233	123772
0.234	123422
0.235	123108
0.236	122591
0.237	122253
0.238	121859
0.239	121573
0.24	121131
0.241	120726
0.242	120412
0.243	120059
0.244	119602
0.245	119092
0.246	118698
0.247	118445
0.248	117976
0.249	117582
0.25	117146
0.251	116762
0.252	116453
0.253	116182
0.254	115874
0.255	115586
0.256	115366
0.257	115091
0.258	114860
0.259	114616
0.26	114242
0.261	113999
0.262	113631
0.263	113382
0.264	113051
0.265	112646
0.266	112254
0.267	111944
0.268	111630
0.269	111226
0.27	111030
0.271	110805
0.272	110559
0.273	110286
0.274	109954
0.275	109597
0.276	109249
0.277	108963
0.278	108556
0.279	108244
0.28	107829
0.281	107510
0.282	107274
0.283	107012
0.284	106800
0.285	106539
0.286	106247
0.287	106002
0.288	105615
0.289	105171
0.29	104997
0.291	104715
0.292	104416
0.293	104228
0.294	104006
0.295	103723
0.296	103322
0.297	103082
0.298	102859
0.299	102617
0.3	102304
0.301	101985
0.302	101766
0.303	101355
0.304	101075
0.305	100763
0.306	100484
0.307	100254
0.308	100045
0.309	99681
0.31	99387
0.311	99081
0.312	98783
0.313	98553
0.314	98208
0.315	97997
0.316	97758
0.317	97524
0.318	97283
0.319	96936
0.32	96622
0.321	96433
0.322	96156
0.323	95788
0.324	95521
0.325	95388
0.326	95047
0.327	94829
0.328	94638
0.329	94420
0.33	94036
0.331	93816
0.332	93627
0.333	93431
0.334	93063
0.335	92744
0.336	92495
0.337	92278
0.338	91873
0.339	91632
0.34	91279
0.341	91137
0.342	90909
0.343	90653
0.344	90386
0.345	90156
0.346	89987
0.347	89729
0.348	89544
0.349	89294
0.35	89019
0.351	88851
0.352	88640
0.353	88498
0.354	88272
0.355	88108
0.356	87903
0.357	87621
0.358	87410
0.359	87161
0.36	86968
0.361	86783
0.362	86618
0.363	86371
0.364	86151
0.365	85953
0.366	85687
0.367	85408
0.368	85180
0.369	84861
0.37	84565
0.371	84248
0.372	83920
0.373	83684
0.374	83503
0.375	83380
0.376	83213
0.377	82919
0.378	82706
0.379	82544
0.38	82366
0.381	82181
0.382	82006
0.383	81673
0.384	81405
0.385	81158
0.386	80838
0.387	80595
0.388	80381
0.389	80155
0.39	79953
0.391	79765
0.392	79535
0.393	79297
0.394	79064
0.395	78849
0.396	78630
0.397	78408
0.398	78205
0.399	77984
0.4	77706
0.401	77514
0.402	77322
0.403	77127
0.404	76916
0.405	76753
0.406	76561
0.407	76377
0.408	76188
0.409	76009
0.41	75829
0.411	75672
0.412	75428
0.413	75246
0.414	75043
0.415	74898
0.416	74663
0.417	74445
0.418	74183
0.419	73988
0.42	73840
0.421	73616
0.422	73323
0.423	73165
0.424	72981
0.425	72823
0.426	72645
0.427	72468
0.428	72261
0.429	72070
0.43	71834
0.431	71564
0.432	71326
0.433	71161
0.434	70961
0.435	70772
0.436	70533
0.437	70331
0.438	70139
0.439	69942
0.44	69747
0.441	69603
0.442	69405
0.443	69153
0.444	68975
0.445	68814
0.446	68596
0.447	68338
0.448	68140
0.449	67957
0.45	67760
0.451	67565
0.452	67394
0.453	67248
0.454	67060
0.455	66903
0.456	66747
0.457	66509
0.458	66316
0.459	66149
0.46	65973
0.461	65802
0.462	65651
0.463	65490
0.464	65352
0.465	65152
0.466	64979
0.467	64824
0.468	64654
0.469	64468
0.47	64222
0.471	63994
0.472	63779
0.473	63632
0.474	63429
0.475	63298
0.476	63114
0.477	62958
0.478	62759
0.479	62522
0.48	62328
0.481	62127
0.482	61952
0.483	61724
0.484	61527
0.485	61418
0.486	61236
0.487	61069
0.488	60893
0.489	60738
0.49	60576
0.491	60404
0.492	60242
0.493	60079
0.494	59885
0.495	59698
0.496	59536
0.497	59263
0.498	59059
0.499	58832
0.5	58649
0.501	58476
0.502	58317
0.503	58150
0.504	58022
0.505	57819
0.506	57640
0.507	57426
0.508	57261
0.509	57075
0.51	56887
0.511	56763
0.512	56646
0.513	56497
0.514	56318
0.515	56192
0.516	56054
0.517	55860
0.518	55745
0.519	55605
0.52	55457
0.521	55277
0.522	55124
0.523	54969
0.524	54824
0.525	54639
0.526	54461
0.527	54291
0.528	54098
0.529	53977
0.53	53786
0.531	53571
0.532	53373
0.533	53190
0.534	53064
0.535	52850
0.536	52676
0.537	52536
0.538	52373
0.539	52208
0.54	52034
0.541	51876
0.542	51672
0.543	51511
0.544	51331
0.545	51203
0.546	51041
0.547	50920
0.548	50769
0.549	50647
0.55	50499
0.551	50387
0.552	50211
0.553	50069
0.554	49956
0.555	49831
0.556	49660
0.557	49496
0.558	49371
0.559	49223
0.56	49056
0.561	48921
0.562	48765
0.563	48650
0.564	48527
0.565	48400
0.566	48278
0.567	48117
0.568	47930
0.569	47793
0.57	47641
0.571	47537
0.572	47443
0.573	47320
0.574	47156
0.575	46994
0.576	46878
0.577	46727
0.578	46573
0.579	46420
0.58	46255
0.581	46132
0.582	46028
0.583	45866
0.584	45765
0.585	45633
0.586	45498
0.587	45342
0.588	45202
0.589	45023
0.59	44889
0.591	44768
0.592	44672
0.593	44500
0.594	44371
0.595	44239
0.596	44123
0.597	43987
0.598	43820
0.599	43695
0.6	43578
0.601	43443
0.602	43277
0.603	43145
0.604	43006
0.605	42849
0.606	42718
0.607	42595
0.608	42462
0.609	42312
0.61	42141
0.611	42016
0.612	41910
0.613	41792
0.614	41605
0.615	41485
0.616	41333
0.617	41163
0.618	41020
0.619	40899
0.62	40778
0.621	40659
0.622	40508
0.623	40376
0.624	40255
0.625	40118
0.626	39964
0.627	39821
0.628	39697
0.629	39532
0.63	39375
0.631	39211
0.632	39110
0.633	38984
0.634	38873
0.635	38738
0.636	38649
0.637	38509
0.638	38372
0.639	38242
0.64	38122
0.641	37989
0.642	37868
0.643	37746
0.644	37609
0.645	37484
0.646	37323
0.647	37195
0.648	37059
0.649	36958
0.65	36862
0.651	36714
0.652	36587
0.653	36440
0.654	36311
0.655	36204
0.656	36088
0.657	35960
0.658	35816
0.659	35671
0.66	35572
0.661	35440
0.662	35317
0.663	35220
0.664	35087
0.665	34951
0.666	34788
0.667	34665
0.668	34546
0.669	34424
0.67	34306
0.671	34150
0.672	34000
0.673	33876
0.674	33747
0.675	33630
0.676	33515
0.677	33393
0.678	33236
0.679	33112
0.68	32984
0.681	32844
0.682	32730
0.683	32619
0.684	32491
0.685	32372
0.686	32261
0.687	32107
0.688	31978
0.689	31873
0.69	31729
0.691	31638
0.692	31500
0.693	31373
0.694	31249
0.695	31117
0.696	30978
0.697	30852
0.698	30709
0.699	30617
0.7	30479
0.701	30348
0.702	30245
0.703	30125
0.704	29990
0.705	29839
0.706	29715
0.707	29623
0.708	29495
0.709	29399
0.71	29286
0.711	29171
0.712	29060
0.713	28941
0.714	28830
0.715	28696
0.716	28582
0.717	28500
0.718	28370
0.719	28281
0.72	28180
0.721	28069
0.722	27968
0.723	27862
0.724	27747
0.725	27617
0.726	27528
0.727	27428
0.728	27312
0.729	27221
0.73	27116
0.731	27001
0.732	26926
0.733	26781
0.734	26645
0.735	26515
0.736	26403
0.737	26300
0.738	26199
0.739	26079
0.74	25953
0.741	25836
0.742	25709
0.743	25582
0.744	25454
0.745	25348
0.746	25224
0.747	25090
0.748	24967
0.749	24870
0.75	24767
0.751	24655
0.752	24537
0.753	24428
0.754	24323
0.755	24226
0.756	24127
0.757	24016
0.758	23901
0.759	23780
0.76	23683
0.761	23588
0.762	23492
0.763	23370
0.764	23259
0.765	23161
0.766	23045
0.767	22951
0.768	22850
0.769	22722
0.77	22631
0.771	22542
0.772	22442
0.773	22322
0.774	22203
0.775	22100
0.776	22005
0.777	21886
0.778	21764
0.779	21660
0.78	21559
0.781	21445
0.782	21332
0.783	21206
0.784	21116
0.785	21036
0.786	20911
0.787	20797
0.788	20692
0.789	20576
0.79	20468
0.791	20358
0.792	20234
0.793	20145
0.794	20049
0.795	19953
0.796	19841
0.797	19750
0.798	19638
0.799	19521
