fraction	Nx_length
0.001	1864158
0.002	1809617
0.003	1791767
0.004	1740132
0.005	1641090
0.006	1600157
0.007	1505095
0.008	1469442
0.009	1365177
0.01	1356730
0.011	1342348
0.012	1325500
0.013	1308581
0.014	1267467
0.015	1253594
0.016	1236132
0.017	1207786
0.018	1207029
0.019	1205934
0.02	1200556
0.021	1187125
0.022	1175225
0.023	1163862
0.024	1161325
0.025	1160740
0.026	1145009
0.027	1144840
0.028	1136362
0.029	1130294
0.03	1120543
0.031	1116456
0.032	1092359
0.033	1091302
0.034	1084495
0.035	1081370
0.036	1077470
0.037	1073499
0.038	1060870
0.039	1032874
0.04	1024125
0.041	1021832
0.042	1008787
0.043	992701
0.044	982712
0.045	977282
0.046	971181
0.047	962898
0.048	950117
0.049	946167
0.05	942910
0.051	941252
0.052	932247
0.053	928706
0.054	926269
0.055	914196
0.056	911169
0.057	909306
0.058	908553
0.059	907496
0.06	903701
0.061	898760
0.062	890975
0.063	885838
0.064	877496
0.065	869839
0.066	867646
0.067	859506
0.068	851848
0.069	848464
0.07	842788
0.071	842543
0.072	830722
0.073	824081
0.074	820956
0.075	815245
0.076	806401
0.077	804523
0.078	801966
0.079	801000
0.08	795839
0.081	794252
0.082	789317
0.083	783274
0.084	772204
0.085	770633
0.086	769437
0.087	768019
0.088	764552
0.089	761462
0.09	757803
0.091	757234
0.092	756512
0.093	747784
0.094	743002
0.095	739072
0.096	736812
0.097	729085
0.098	725818
0.099	722546
0.1	717810
0.101	705620
0.102	702474
0.103	700191
0.104	696788
0.105	694862
0.106	691745
0.107	689953
0.108	689400
0.109	684067
0.11	683815
0.111	680402
0.112	676653
0.113	674550
0.114	672207
0.115	664929
0.116	660467
0.117	656618
0.118	653722
0.119	651132
0.12	650155
0.121	641073
0.122	636319
0.123	632739
0.124	629186
0.125	626692
0.126	624741
0.127	619646
0.128	615460
0.129	612070
0.13	607056
0.131	603924
0.132	601611
0.133	601065
0.134	599361
0.135	594267
0.136	588839
0.137	586776
0.138	586391
0.139	584144
0.14	581665
0.141	578365
0.142	576338
0.143	575113
0.144	574333
0.145	572235
0.146	570132
0.147	569842
0.148	568762
0.149	566325
0.15	563287
0.151	561324
0.152	557094
0.153	555894
0.154	553667
0.155	550971
0.156	547982
0.157	545805
0.158	544417
0.159	540466
0.16	539855
0.161	535122
0.162	533895
0.163	533520
0.164	529402
0.165	528001
0.166	523433
0.167	520854
0.168	518252
0.169	517232
0.17	515984
0.171	513339
0.172	510946
0.173	508092
0.174	506105
0.175	504048
0.176	503215
0.177	501620
0.178	497616
0.179	495778
0.18	494006
0.181	492451
0.182	489935
0.183	484728
0.184	480116
0.185	478752
0.186	474956
0.187	474305
0.188	472817
0.189	470951
0.19	467723
0.191	466958
0.192	465264
0.193	464097
0.194	462224
0.195	459073
0.196	457402
0.197	456389
0.198	451945
0.199	451060
0.2	449711
0.201	445770
0.202	443289
0.203	441955
0.204	441029
0.205	437720
0.206	436953
0.207	435790
0.208	433713
0.209	431023
0.21	428447
0.211	427195
0.212	426216
0.213	424088
0.214	423015
0.215	422787
0.216	419895
0.217	419398
0.218	418071
0.219	416921
0.22	416531
0.221	415893
0.222	415039
0.223	414017
0.224	412015
0.225	410850
0.226	410480
0.227	408827
0.228	408004
0.229	405773
0.23	403985
0.231	401931
0.232	400936
0.233	399873
0.234	398322
0.235	397135
0.236	395325
0.237	394182
0.238	392835
0.239	388904
0.24	387269
0.241	384722
0.242	382423
0.243	381241
0.244	380368
0.245	379754
0.246	379250
0.247	378312
0.248	377206
0.249	375879
0.25	372887
0.251	370699
0.252	370050
0.253	368745
0.254	367999
0.255	366802
0.256	364922
0.257	363046
0.258	361880
0.259	361068
0.26	360309
0.261	358628
0.262	357031
0.263	356000
0.264	355197
0.265	354124
0.266	352183
0.267	349846
0.268	348365
0.269	348067
0.27	347366
0.271	346859
0.272	345107
0.273	343615
0.274	342254
0.275	340994
0.276	339479
0.277	338494
0.278	336941
0.279	335485
0.28	334219
0.281	333032
0.282	331850
0.283	330644
0.284	328727
0.285	327499
0.286	326412
0.287	325379
0.288	324071
0.289	323164
0.29	322173
0.291	320868
0.292	319896
0.293	319066
0.294	318271
0.295	317657
0.296	315798
0.297	314016
0.298	312468
0.299	311337
0.3	310657
0.301	309903
0.302	309287
0.303	308831
0.304	308155
0.305	307586
0.306	306257
0.307	305287
0.308	305043
0.309	304149
0.31	303316
0.311	302578
0.312	301673
0.313	300969
0.314	299674
0.315	298604
0.316	296644
0.317	295547
0.318	294762
0.319	294411
0.32	293199
0.321	292424
0.322	291634
0.323	290763
0.324	290042
0.325	288783
0.326	287810
0.327	286744
0.328	284835
0.329	284315
0.33	283669
0.331	282364
0.332	281474
0.333	280243
0.334	279265
0.335	278321
0.336	277302
0.337	276559
0.338	275966
0.339	274653
0.34	273876
0.341	272986
0.342	272430
0.343	271640
0.344	270883
0.345	270276
0.346	269448
0.347	269078
0.348	268314
0.349	267513
0.35	266346
0.351	265107
0.352	264253
0.353	263676
0.354	262961
0.355	262227
0.356	261485
0.357	260661
0.358	260208
0.359	259596
0.36	258874
0.361	258388
0.362	256995
0.363	255730
0.364	254189
0.365	252888
0.366	252403
0.367	251419
0.368	251003
0.369	250526
0.37	250157
0.371	248973
0.372	248255
0.373	247453
0.374	246037
0.375	244756
0.376	244075
0.377	243066
0.378	241386
0.379	239530
0.38	239062
0.381	238683
0.382	237771
0.383	236982
0.384	236325
0.385	235591
0.386	235170
0.387	234560
0.388	233767
0.389	232929
0.39	232013
0.391	231181
0.392	230159
0.393	229131
0.394	228122
0.395	227392
0.396	226830
0.397	225865
0.398	224900
0.399	224073
0.4	223617
0.401	223155
0.402	222923
0.403	222218
0.404	221871
0.405	221349
0.406	220839
0.407	220154
0.408	218822
0.409	217890
0.41	217159
0.411	216796
0.412	216206
0.413	215070
0.414	214267
0.415	213532
0.416	213186
0.417	212198
0.418	211403
0.419	209849
0.42	209518
0.421	208964
0.422	208683
0.423	207929
0.424	207403
0.425	206769
0.426	206438
0.427	205765
0.428	205065
0.429	204772
0.43	204054
0.431	203297
0.432	202518
0.433	201841
0.434	201196
0.435	200806
0.436	199665
0.437	199139
0.438	198759
0.439	198018
0.44	197070
0.441	196645
0.442	196360
0.443	195826
0.444	195255
0.445	194989
0.446	194500
0.447	193789
0.448	192993
0.449	192479
0.45	191890
0.451	191541
0.452	191061
0.453	190116
0.454	189394
0.455	188949
0.456	188008
0.457	187110
0.458	186567
0.459	186082
0.46	185426
0.461	184595
0.462	184252
0.463	183698
0.464	183197
0.465	182187
0.466	181706
0.467	181196
0.468	180561
0.469	180151
0.47	179434
0.471	179017
0.472	178449
0.473	177694
0.474	176776
0.475	176148
0.476	175517
0.477	174911
0.478	174565
0.479	173936
0.48	173415
0.481	172881
0.482	172320
0.483	171790
0.484	171062
0.485	170849
0.486	170303
0.487	169624
0.488	169022
0.489	168192
0.49	167947
0.491	167263
0.492	166352
0.493	166055
0.494	165671
0.495	164874
0.496	164388
0.497	163872
0.498	163380
0.499	162982
0.5	162550
0.501	161652
0.502	161170
0.503	160536
0.504	160157
0.505	159718
0.506	158889
0.507	158422
0.508	158005
0.509	157405
0.51	156957
0.511	156405
0.512	155879
0.513	155434
0.514	155016
0.515	154552
0.516	153934
0.517	153350
0.518	152658
0.519	152069
0.52	151745
0.521	151421
0.522	151110
0.523	150804
0.524	150365
0.525	149747
0.526	149275
0.527	148902
0.528	148530
0.529	147901
0.53	147291
0.531	146903
0.532	146253
0.533	145552
0.534	145234
0.535	144975
0.536	144576
0.537	143934
0.538	143565
0.539	142959
0.54	142512
0.541	141980
0.542	141697
0.543	141102
0.544	140690
0.545	140268
0.546	140043
0.547	139599
0.548	139009
0.549	138451
0.55	137916
0.551	137440
0.552	137017
0.553	136689
0.554	136070
0.555	135541
0.556	135075
0.557	134654
0.558	134357
0.559	133614
0.56	133266
0.561	132826
0.562	132440
0.563	131993
0.564	131583
0.565	131110
0.566	130687
0.567	130347
0.568	129809
0.569	129330
0.57	128986
0.571	128676
0.572	128340
0.573	127827
0.574	127381
0.575	126985
0.576	126566
0.577	126127
0.578	125522
0.579	125106
0.58	124526
0.581	124072
0.582	123553
0.583	123214
0.584	122684
0.585	122137
0.586	121796
0.587	121312
0.588	120776
0.589	120430
0.59	119990
0.591	119737
0.592	119263
0.593	118579
0.594	118247
0.595	117824
0.596	117467
0.597	116954
0.598	116480
0.599	116136
0.6	115771
0.601	115508
0.602	115179
0.603	114929
0.604	114648
0.605	114286
0.606	113957
0.607	113458
0.608	113026
0.609	112626
0.61	112004
0.611	111600
0.612	111160
0.613	110844
0.614	110445
0.615	110088
0.616	109756
0.617	109398
0.618	108989
0.619	108540
0.62	108197
0.621	107749
0.622	107348
0.623	106816
0.624	106415
0.625	106025
0.626	105763
0.627	105398
0.628	105138
0.629	104638
0.63	104193
0.631	103683
0.632	103370
0.633	103107
0.634	102737
0.635	102276
0.636	101997
0.637	101602
0.638	101117
0.639	100681
0.64	100324
0.641	99838
0.642	99521
0.643	99100
0.644	98675
0.645	98346
0.646	97984
0.647	97612
0.648	97231
0.649	96972
0.65	96649
0.651	96310
0.652	95907
0.653	95459
0.654	95036
0.655	94725
0.656	94408
0.657	94084
0.658	93454
0.659	93132
0.66	92769
0.661	92344
0.662	92016
0.663	91660
0.664	91208
0.665	90854
0.666	90460
0.667	90133
0.668	89744
0.669	89551
0.67	89181
0.671	88873
0.672	88444
0.673	88120
0.674	87757
0.675	87456
0.676	87182
0.677	86788
0.678	86469
0.679	86138
0.68	85916
0.681	85504
0.682	85026
0.683	84661
0.684	84427
0.685	84253
0.686	83991
0.687	83796
0.688	83524
0.689	83132
0.69	82708
0.691	82389
0.692	82110
0.693	81674
0.694	81239
0.695	80957
0.696	80642
0.697	80359
0.698	79988
0.699	79682
0.7	79466
0.701	79090
0.702	78738
0.703	78511
0.704	78178
0.705	77862
0.706	77590
0.707	77350
0.708	77109
0.709	76766
0.71	76496
0.711	76170
0.712	75898
0.713	75577
0.714	75123
0.715	74897
0.716	74606
0.717	74338
0.718	73912
0.719	73643
0.72	73301
0.721	72958
0.722	72777
0.723	72529
0.724	72250
0.725	71987
0.726	71656
0.727	71312
0.728	71007
0.729	70755
0.73	70362
0.731	70139
0.732	69726
0.733	69362
0.734	69055
0.735	68715
0.736	68471
0.737	68117
0.738	67777
0.739	67442
0.74	67195
0.741	66872
0.742	66715
0.743	66424
0.744	66160
0.745	65914
0.746	65607
0.747	65352
0.748	65120
0.749	64777
0.75	64553
0.751	64348
0.752	64034
0.753	63750
0.754	63539
0.755	63210
0.756	62920
0.757	62541
0.758	62232
0.759	61893
0.76	61631
0.761	61355
0.762	61101
0.763	60745
0.764	60558
0.765	60241
0.766	59788
0.767	59548
0.768	59201
0.769	58828
0.77	58470
0.771	58088
0.772	57842
0.773	57537
0.774	57227
0.775	56918
0.776	56584
0.777	56295
0.778	55992
0.779	55715
0.78	55411
0.781	55137
0.782	54908
0.783	54586
0.784	54359
0.785	54057
0.786	53833
0.787	53351
0.788	53102
0.789	52764
0.79	52449
0.791	52175
0.792	51892
0.793	51595
0.794	51427
0.795	51192
0.796	50890
0.797	50694
0.798	50399
0.799	50097
0.8	49785
0.801	49458
0.802	49208
0.803	48970
0.804	48613
0.805	48342
0.806	47998
0.807	47797
0.808	47574
0.809	47321
0.81	47018
0.811	46745
0.812	46580
0.813	46255
0.814	46008
0.815	45660
0.816	45367
0.817	45128
0.818	44926
0.819	44683
0.82	44373
0.821	44077
0.822	43807
0.823	43603
0.824	43293
0.825	42951
0.826	42718
0.827	42459
0.828	42174
0.829	41934
0.83	41707
0.831	41453
0.832	41171
0.833	40926
0.834	40695
0.835	40375
0.836	40167
0.837	39952
0.838	39679
0.839	39465
0.84	39208
0.841	38917
0.842	38635
0.843	38355
0.844	38146
0.845	37864
0.846	37625
0.847	37342
0.848	37071
0.849	36770
0.85	36428
0.851	36196
0.852	35985
0.853	35744
0.854	35508
0.855	35278
0.856	35020
0.857	34834
0.858	34554
0.859	34314
0.86	34100
0.861	33902
0.862	33643
0.863	33419
0.864	33113
0.865	32902
0.866	32673
0.867	32438
0.868	32133
0.869	31974
0.87	31744
0.871	31554
0.872	31329
0.873	31122
0.874	30895
0.875	30686
0.876	30448
0.877	30288
0.878	30062
0.879	29784
0.88	29539
0.881	29379
0.882	29113
0.883	28865
0.884	28644
0.885	28454
0.886	28191
0.887	27965
0.888	27696
0.889	27493
0.89	27266
0.891	27083
0.892	26875
0.893	26680
0.894	26489
0.895	26267
0.896	26058
0.897	25801
