fraction	Nx_length
0.001	2659690
0.002	2124703
0.003	1864158
0.004	1809617
0.005	1809617
0.006	1791767
0.007	1740132
0.008	1641090
0.009	1600157
0.01	1505095
0.011	1432130
0.012	1369366
0.013	1365177
0.014	1356730
0.015	1325500
0.016	1312109
0.017	1308581
0.018	1267467
0.019	1240447
0.02	1236132
0.021	1207786
0.022	1206535
0.023	1205934
0.024	1199135
0.025	1187125
0.026	1175225
0.027	1161384
0.028	1161325
0.029	1151847
0.03	1145009
0.031	1136757
0.032	1136362
0.033	1121635
0.034	1120543
0.035	1112671
0.036	1092359
0.037	1091057
0.038	1084495
0.039	1078535
0.04	1077470
0.041	1061097
0.042	1060870
0.043	1029596
0.044	1023193
0.045	1021832
0.046	1006675
0.047	986942
0.048	982712
0.049	972446
0.05	969522
0.051	962898
0.052	950117
0.053	946003
0.054	942313
0.055	940869
0.056	932247
0.057	928706
0.058	920094
0.059	913165
0.06	910727
0.061	909306
0.062	908553
0.063	907496
0.064	899238
0.065	896326
0.066	888758
0.067	882706
0.068	877496
0.069	869839
0.07	867646
0.071	859506
0.072	851848
0.073	848464
0.074	842788
0.075	833181
0.076	829236
0.077	824081
0.078	820956
0.079	815245
0.08	806401
0.081	804523
0.082	801966
0.083	796499
0.084	795356
0.085	793587
0.086	785735
0.087	773203
0.088	772092
0.089	770633
0.09	769339
0.091	767298
0.092	762890
0.093	760721
0.094	757803
0.095	757207
0.096	756353
0.097	743239
0.098	740883
0.099	739072
0.1	730456
0.101	728199
0.102	725818
0.103	718006
0.104	712343
0.105	705620
0.106	702275
0.107	699666
0.108	695890
0.109	694046
0.11	691438
0.111	689619
0.112	689002
0.113	684005
0.114	683570
0.115	677147
0.116	675854
0.117	674550
0.118	670008
0.119	664929
0.12	659824
0.121	653936
0.122	652594
0.123	650832
0.124	645489
0.125	636668
0.126	633183
0.127	629994
0.128	627816
0.129	625998
0.13	622127
0.131	618951
0.132	614693
0.133	611006
0.134	606461
0.135	603588
0.136	601176
0.137	600509
0.138	599241
0.139	591871
0.14	587416
0.141	586497
0.142	586180
0.143	584040
0.144	579043
0.145	578083
0.146	575667
0.147	574805
0.148	572938
0.149	570439
0.15	569875
0.151	568973
0.152	567097
0.153	565087
0.154	563073
0.155	560439
0.156	556969
0.157	555894
0.158	553667
0.159	550971
0.16	547098
0.161	545452
0.162	542920
0.163	540466
0.164	539855
0.165	535122
0.166	533895
0.167	533520
0.168	529402
0.169	525791
0.17	523172
0.171	520854
0.172	518252
0.173	517232
0.174	515327
0.175	513339
0.176	510949
0.177	508169
0.178	506105
0.179	504140
0.18	503585
0.181	501620
0.182	497934
0.183	496472
0.184	494244
0.185	492558
0.186	489935
0.187	487901
0.188	480370
0.189	478844
0.19	475409
0.191	474334
0.192	472851
0.193	471519
0.194	467723
0.195	467198
0.196	465264
0.197	464446
0.198	462224
0.199	458048
0.2	457402
0.201	456389
0.202	451932
0.203	451060
0.204	449711
0.205	444756
0.206	443289
0.207	441955
0.208	441029
0.209	437720
0.21	436143
0.211	435710
0.212	433713
0.213	431023
0.214	428447
0.215	427195
0.216	426216
0.217	424088
0.218	423015
0.219	422547
0.22	419843
0.221	418702
0.222	417715
0.223	416915
0.224	416323
0.225	415869
0.226	414857
0.227	414017
0.228	412015
0.229	410850
0.23	410480
0.231	408827
0.232	408004
0.233	405773
0.234	403985
0.235	401757
0.236	400923
0.237	399873
0.238	398322
0.239	397135
0.24	395008
0.241	394172
0.242	392835
0.243	388904
0.244	386684
0.245	384722
0.246	382423
0.247	381045
0.248	380368
0.249	379735
0.25	378873
0.251	378312
0.252	377075
0.253	375879
0.254	372556
0.255	370699
0.256	369984
0.257	368745
0.258	367885
0.259	366802
0.26	364024
0.261	363045
0.262	361880
0.263	360860
0.264	360309
0.265	358628
0.266	356352
0.267	356000
0.268	355197
0.269	352785
0.27	352149
0.271	349846
0.272	348365
0.273	347698
0.274	347053
0.275	346454
0.276	345107
0.277	343615
0.278	342254
0.279	340509
0.28	339363
0.281	338336
0.282	336718
0.283	334894
0.284	333954
0.285	333032
0.286	331772
0.287	330581
0.288	328150
0.289	327495
0.29	326412
0.291	325379
0.292	324071
0.293	323117
0.294	322078
0.295	320809
0.296	319896
0.297	319030
0.298	317979
0.299	317496
0.3	315798
0.301	313682
0.302	312339
0.303	311337
0.304	310531
0.305	309883
0.306	309287
0.307	308820
0.308	308155
0.309	307581
0.31	306154
0.311	305231
0.312	304987
0.313	303596
0.314	302940
0.315	302512
0.316	301485
0.317	300727
0.318	299674
0.319	297827
0.32	296642
0.321	295299
0.322	294744
0.323	294317
0.324	292849
0.325	292250
0.326	291561
0.327	290763
0.328	289967
0.329	288290
0.33	287768
0.331	286428
0.332	284835
0.333	284236
0.334	283607
0.335	282181
0.336	281024
0.337	280157
0.338	278550
0.339	277891
0.34	277104
0.341	276549
0.342	275742
0.343	274621
0.344	273793
0.345	272976
0.346	272421
0.347	271430
0.348	270632
0.349	269928
0.35	269437
0.351	268940
0.352	268114
0.353	267131
0.354	266076
0.355	264555
0.356	264044
0.357	263655
0.358	262921
0.359	262168
0.36	261289
0.361	260634
0.362	260174
0.363	259588
0.364	258863
0.365	257996
0.366	256849
0.367	255015
0.368	254130
0.369	252888
0.37	252211
0.371	251264
0.372	250828
0.373	250440
