fraction	Nx_length
0.001	3371210
0.002	3371210
0.003	3272651
0.004	3272651
0.005	2772037
0.006	2770698
0.007	2770698
0.008	2720654
0.009	2720654
0.01	2502349
0.011	2477658
0.012	2477658
0.013	2331665
0.014	2308529
0.015	2308529
0.016	2094336
0.017	2072239
0.018	2056313
0.019	2056313
0.02	1943650
0.021	1813392
0.022	1795068
0.023	1740707
0.024	1737679
0.025	1651563
0.026	1649686
0.027	1635957
0.028	1624191
0.029	1624191
0.03	1549276
0.031	1494877
0.032	1494366
0.033	1479407
0.034	1478657
0.035	1456373
0.036	1454637
0.037	1453549
0.038	1446566
0.039	1437687
0.04	1432200
0.041	1429898
0.042	1408430
0.043	1394654
0.044	1392907
0.045	1360134
0.046	1358917
0.047	1349315
0.048	1343248
0.049	1341842
0.05	1331807
0.051	1325221
0.052	1312740
0.053	1301837
0.054	1289360
0.055	1287259
0.056	1280875
0.057	1278184
0.058	1277690
0.059	1272882
0.06	1263052
0.061	1249406
0.062	1248227
0.063	1243745
0.064	1231155
0.065	1223750
0.066	1203184
0.067	1198500
0.068	1197898
0.069	1193448
0.07	1189715
0.071	1185757
0.072	1183177
0.073	1182341
0.074	1176062
0.075	1175697
0.076	1156270
0.077	1155102
0.078	1147311
0.079	1109237
0.08	1108576
0.081	1106555
0.082	1092813
0.083	1087479
0.084	1085944
0.085	1083746
0.086	1078167
0.087	1076156
0.088	1067035
0.089	1065906
0.09	1060120
0.091	1053775
0.092	1050309
0.093	1049757
0.094	1045557
0.095	1038491
0.096	1037269
0.097	1030348
0.098	1022642
0.099	1020455
0.1	1020417
0.101	1018264
0.102	1017506
0.103	1013036
0.104	1005178
0.105	1004956
0.106	998444
0.107	994814
0.108	989126
0.109	980804
0.11	977894
0.111	975876
0.112	966838
0.113	962722
0.114	958434
0.115	958034
0.116	957200
0.117	955070
0.118	947283
0.119	946370
0.12	942824
0.121	934762
0.122	929593
0.123	928629
0.124	926836
0.125	926328
0.126	924356
0.127	922418
0.128	920446
0.129	919012
0.13	916210
0.131	912501
0.132	908596
0.133	908493
0.134	907113
0.135	901672
0.136	898572
0.137	896488
0.138	895076
0.139	892186
0.14	890269
0.141	887608
0.142	887549
0.143	883180
0.144	882183
0.145	880654
0.146	879823
0.147	869695
0.148	868670
0.149	867710
