fraction	Nx_length
0.001	510203
0.002	457260
0.003	431684
0.004	408101
0.005	401387
0.006	375717
0.007	369902
0.008	358579
0.009	348315
0.01	343642
0.011	339390
0.012	334141
0.013	329752
0.014	322487
0.015	319201
0.016	312201
0.017	305989
0.018	301240
0.019	298663
0.02	295027
0.021	291858
0.022	287249
0.023	283917
0.024	281212
0.025	280061
0.026	278141
0.027	274920
0.028	272551
0.029	269268
0.03	268419
0.031	267240
0.032	265401
0.033	262648
0.034	260678
0.035	259367
0.036	257455
0.037	255685
0.038	253330
0.039	251874
0.04	249453
0.041	248516
0.042	247225
0.043	246067
0.044	244920
0.045	243457
0.046	242033
0.047	240719
0.048	239165
0.049	238831
0.05	237234
0.051	235977
0.052	235247
0.053	234513
0.054	233218
0.055	232695
0.056	230707
0.057	230056
0.058	229016
0.059	227572
0.06	226377
0.061	225246
0.062	224296
0.063	223378
0.064	222832
0.065	221635
0.066	220484
0.067	218671
0.068	217498
0.069	215822
0.07	215173
0.071	214373
0.072	213618
0.073	212822
0.074	211260
0.075	209686
0.076	208774
0.077	207767
0.078	206871
0.079	206077
0.08	205023
0.081	204467
0.082	202969
0.083	202157
0.084	201557
0.085	200828
0.086	200120
0.087	199708
0.088	199021
0.089	198441
0.09	197823
0.091	196808
0.092	196488
0.093	195992
0.094	195481
0.095	194939
0.096	194608
0.097	193738
0.098	193273
0.099	192929
0.1	192113
0.101	191795
0.102	191279
0.103	190402
0.104	189383
0.105	189015
0.106	188481
0.107	188021
0.108	187689
0.109	186925
0.11	186358
0.111	185801
0.112	184981
0.113	184497
0.114	183791
0.115	183202
0.116	182640
0.117	182197
0.118	181403
0.119	180895
0.12	180311
0.121	179373
0.122	178850
0.123	178310
0.124	177493
0.125	176983
0.126	176424
0.127	175923
0.128	175150
0.129	174738
0.13	174488
0.131	173907
0.132	172924
0.133	172298
0.134	171940
0.135	171326
0.136	170941
0.137	170495
0.138	169987
0.139	169634
0.14	169188
0.141	168444
0.142	167700
0.143	167323
0.144	166792
0.145	166497
0.146	166065
0.147	165470
0.148	165147
0.149	164688
0.15	164225
0.151	163837
0.152	163472
0.153	163019
0.154	162650
0.155	162039
0.156	161504
0.157	161327
0.158	161088
0.159	160719
0.16	160193
0.161	159894
0.162	159463
0.163	158892
0.164	158715
0.165	158266
0.166	157889
0.167	157553
0.168	157208
0.169	156615
0.17	156099
0.171	155392
0.172	154894
0.173	154577
0.174	154205
0.175	153902
0.176	153557
0.177	153215
0.178	152900
0.179	152652
0.18	152216
0.181	151786
0.182	151485
0.183	151062
0.184	150795
0.185	150527
0.186	150083
0.187	149692
0.188	149285
0.189	148762
0.19	148094
0.191	147899
0.192	147566
0.193	147250
0.194	146853
0.195	146336
0.196	146108
0.197	145826
0.198	145532
0.199	144853
0.2	144705
0.201	144396
0.202	144047
0.203	143609
0.204	143394
0.205	143129
0.206	142772
0.207	142442
0.208	142046
0.209	141809
0.21	141491
0.211	141253
0.212	140845
0.213	140612
0.214	140305
0.215	140083
0.216	139754
0.217	139550
0.218	139122
0.219	138737
0.22	138495
0.221	138139
0.222	137702
0.223	137459
0.224	137205
0.225	136773
0.226	136515
0.227	136177
0.228	135967
0.229	135651
0.23	135224
0.231	134719
0.232	134378
0.233	134061
0.234	133815
0.235	133532
0.236	133099
0.237	132786
0.238	132479
0.239	132253
0.24	131921
0.241	131700
0.242	131243
0.243	130884
0.244	130596
0.245	130377
0.246	130160
0.247	129811
0.248	129584
0.249	129288
0.25	128939
0.251	128535
0.252	128230
0.253	127921
0.254	127583
0.255	127226
0.256	126912
0.257	126475
0.258	126092
0.259	125760
0.26	125547
0.261	125244
0.262	125053
0.263	124899
0.264	124706
0.265	124450
0.266	124123
0.267	123835
0.268	123590
0.269	123258
0.27	123142
0.271	122825
0.272	122622
0.273	122376
0.274	121995
0.275	121679
0.276	121455
0.277	121246
0.278	121085
0.279	120971
0.28	120804
0.281	120548
0.282	120331
0.283	119817
0.284	119600
0.285	119461
0.286	119251
0.287	119028
0.288	118668
0.289	118409
0.29	118166
0.291	117993
0.292	117773
0.293	117514
0.294	117348
0.295	117088
0.296	116863
0.297	116655
0.298	116427
0.299	116186
0.3	115968
0.301	115775
0.302	115595
0.303	115384
0.304	115110
0.305	114950
0.306	114746
0.307	114611
0.308	114383
0.309	114131
0.31	113831
0.311	113591
0.312	113345
0.313	113082
0.314	112892
0.315	112652
0.316	112479
0.317	112256
0.318	112067
0.319	111842
0.32	111651
0.321	111423
0.322	111073
0.323	110851
0.324	110702
0.325	110472
0.326	110228
0.327	109969
0.328	109715
0.329	109418
0.33	109157
0.331	108899
0.332	108649
0.333	108380
0.334	108121
0.335	107911
0.336	107642
0.337	107456
0.338	107336
0.339	107089
0.34	106785
0.341	106548
0.342	106318
0.343	106146
0.344	105877
0.345	105664
0.346	105440
0.347	105209
0.348	104913
0.349	104698
0.35	104521
0.351	104319
0.352	104124
0.353	103896
0.354	103662
0.355	103506
0.356	103325
0.357	103016
0.358	102833
0.359	102632
0.36	102336
0.361	102174
0.362	102023
0.363	101832
0.364	101620
0.365	101343
0.366	101065
0.367	100876
0.368	100545
0.369	100333
0.37	100152
0.371	99868
0.372	99682
0.373	99415
0.374	99126
0.375	98886
0.376	98656
0.377	98504
0.378	98315
0.379	98194
0.38	98010
0.381	97737
0.382	97446
0.383	97246
0.384	97086
0.385	96842
0.386	96691
0.387	96495
0.388	96313
0.389	96092
0.39	95914
0.391	95571
0.392	95380
0.393	95206
0.394	95032
0.395	94877
0.396	94723
0.397	94558
0.398	94313
0.399	94086
0.4	93874
0.401	93683
0.402	93429
0.403	93231
0.404	92986
0.405	92766
0.406	92588
0.407	92374
0.408	92178
0.409	91919
0.41	91646
0.411	91511
0.412	91223
0.413	91031
0.414	90905
0.415	90762
0.416	90548
0.417	90378
0.418	90182
0.419	90031
0.42	89834
0.421	89612
0.422	89412
0.423	89243
0.424	89059
0.425	88873
0.426	88729
0.427	88581
0.428	88435
0.429	88223
0.43	88050
0.431	87874
0.432	87730
0.433	87588
0.434	87437
0.435	87302
0.436	87080
0.437	86934
0.438	86780
0.439	86611
0.44	86369
0.441	86166
0.442	85986
0.443	85789
0.444	85572
0.445	85417
0.446	85227
0.447	85106
0.448	84944
0.449	84708
0.45	84528
0.451	84326
0.452	84159
0.453	83968
0.454	83759
0.455	83627
0.456	83340
0.457	83166
0.458	82955
0.459	82680
0.46	82518
0.461	82334
0.462	82147
0.463	81943
0.464	81773
0.465	81454
0.466	81254
0.467	81046
0.468	80832
0.469	80678
0.47	80547
0.471	80380
0.472	80196
0.473	80027
0.474	79892
0.475	79711
0.476	79543
0.477	79429
0.478	79293
0.479	79164
0.48	79001
0.481	78799
0.482	78637
0.483	78460
0.484	78253
0.485	78050
0.486	77795
0.487	77680
0.488	77548
0.489	77327
0.49	77221
0.491	77033
0.492	76866
0.493	76651
0.494	76486
0.495	76308
0.496	76119
0.497	75956
0.498	75841
0.499	75653
0.5	75501
0.501	75377
0.502	75194
0.503	74963
0.504	74787
0.505	74640
0.506	74495
0.507	74412
0.508	74258
0.509	74111
0.51	73949
0.511	73768
0.512	73636
0.513	73482
0.514	73304
0.515	73193
0.516	73030
0.517	72818
0.518	72657
0.519	72497
0.52	72266
0.521	72139
0.522	71999
0.523	71878
0.524	71729
0.525	71620
0.526	71446
0.527	71314
0.528	71129
0.529	70980
0.53	70837
0.531	70621
0.532	70465
0.533	70268
0.534	70100
0.535	69929
0.536	69792
0.537	69637
0.538	69453
0.539	69306
0.54	69188
0.541	68986
0.542	68788
0.543	68656
0.544	68479
0.545	68304
0.546	68099
0.547	67968
0.548	67764
0.549	67568
0.55	67382
0.551	67229
0.552	67144
0.553	66994
0.554	66862
0.555	66752
0.556	66604
0.557	66454
0.558	66248
0.559	66029
0.56	65882
0.561	65766
0.562	65600
0.563	65482
0.564	65345
0.565	65166
0.566	65039
0.567	64898
0.568	64766
0.569	64649
0.57	64467
0.571	64330
0.572	64166
0.573	64007
0.574	63865
0.575	63657
0.576	63517
0.577	63366
0.578	63183
0.579	62996
0.58	62804
0.581	62672
0.582	62484
0.583	62326
0.584	62154
0.585	61971
0.586	61826
0.587	61722
0.588	61584
0.589	61431
0.59	61298
0.591	61192
0.592	60998
0.593	60863
0.594	60676
0.595	60471
0.596	60336
0.597	60190
0.598	60036
0.599	59864
0.6	59739
0.601	59585
0.602	59433
0.603	59283
0.604	59142
0.605	59017
0.606	58803
0.607	58634
0.608	58472
0.609	58347
0.61	58197
0.611	58081
0.612	57925
0.613	57775
0.614	57595
0.615	57444
0.616	57314
0.617	57168
0.618	56961
0.619	56789
0.62	56605
0.621	56433
0.622	56285
0.623	56137
0.624	55964
0.625	55788
0.626	55610
0.627	55493
0.628	55345
0.629	55160
0.63	55027
0.631	54859
0.632	54707
0.633	54567
0.634	54443
0.635	54270
0.636	54116
0.637	53919
0.638	53758
0.639	53639
0.64	53460
0.641	53330
0.642	53132
0.643	53011
0.644	52855
0.645	52744
0.646	52618
0.647	52466
0.648	52319
0.649	52193
0.65	52057
0.651	51922
0.652	51767
0.653	51602
0.654	51469
0.655	51326
0.656	51123
0.657	51000
0.658	50835
0.659	50695
0.66	50533
0.661	50438
0.662	50325
0.663	50192
0.664	50045
0.665	49865
0.666	49684
0.667	49532
0.668	49368
0.669	49193
