fraction	Nx_length
0.001	13173
0.002	11173
0.003	10300
0.004	9610
0.005	9095
0.006	8707
0.007	8400
0.008	8135
0.009	7893
0.01	7713
0.011	7531
0.012	7393
0.013	7244
0.014	7104
0.015	6997
0.016	6887
0.017	6781
0.018	6694
0.019	6590
0.02	6507
0.021	6413
0.022	6331
0.023	6252
0.024	6179
0.025	6114
0.026	6049
0.027	5987
0.028	5924
0.029	5865
0.03	5810
0.031	5755
0.032	5702
0.033	5653
0.034	5605
0.035	5560
0.036	5515
0.037	5467
0.038	5417
0.039	5372
0.04	5332
0.041	5291
0.042	5254
0.043	5220
0.044	5181
0.045	5146
0.046	5110
0.047	5076
0.048	5041
0.049	5008
0.05	4973
0.051	4941
0.052	4913
0.053	4883
0.054	4851
0.055	4826
0.056	4796
0.057	4768
0.058	4740
0.059	4713
0.06	4685
0.061	4661
0.062	4634
0.063	4610
0.064	4586
0.065	4560
0.066	4538
0.067	4515
0.068	4492
0.069	4471
0.07	4449
0.071	4425
0.072	4404
0.073	4384
0.074	4363
0.075	4344
0.076	4323
0.077	4303
0.078	4282
0.079	4261
0.08	4240
0.081	4222
0.082	4204
0.083	4185
0.084	4166
0.085	4148
0.086	4128
0.087	4110
0.088	4091
0.089	4075
0.09	4057
0.091	4040
0.092	4024
0.093	4008
0.094	3992
0.095	3975
0.096	3961
0.097	3944
0.098	3928
0.099	3912
0.1	3898
0.101	3884
0.102	3868
0.103	3854
0.104	3841
0.105	3825
0.106	3810
0.107	3795
0.108	3781
0.109	3767
0.11	3753
0.111	3739
0.112	3724
0.113	3711
0.114	3698
0.115	3686
0.116	3673
0.117	3660
0.118	3646
0.119	3633
0.12	3619
0.121	3607
0.122	3595
0.123	3583
0.124	3570
0.125	3559
0.126	3547
0.127	3534
0.128	3521
0.129	3510
0.13	3498
0.131	3486
0.132	3475
0.133	3464
0.134	3453
0.135	3442
0.136	3430
0.137	3420
0.138	3408
0.139	3399
0.14	3388
0.141	3377
0.142	3367
0.143	3356
0.144	3345
0.145	3335
0.146	3325
0.147	3315
0.148	3303
0.149	3292
0.15	3283
0.151	3273
0.152	3262
0.153	3252
0.154	3241
0.155	3232
0.156	3222
0.157	3212
0.158	3202
0.159	3193
0.16	3184
0.161	3175
0.162	3166
0.163	3157
0.164	3148
0.165	3139
0.166	3130
0.167	3121
0.168	3112
0.169	3103
0.17	3095
0.171	3086
0.172	3078
0.173	3069
0.174	3060
0.175	3051
0.176	3043
0.177	3035
0.178	3027
0.179	3018
0.18	3010
0.181	3002
0.182	2993
0.183	2985
0.184	2976
0.185	2968
0.186	2960
0.187	2953
0.188	2945
0.189	2937
0.19	2930
0.191	2922
0.192	2913
0.193	2906
0.194	2899
0.195	2891
0.196	2883
0.197	2876
0.198	2869
0.199	2861
0.2	2854
0.201	2846
0.202	2839
0.203	2832
0.204	2824
0.205	2817
0.206	2809
0.207	2802
0.208	2795
0.209	2788
0.21	2781
0.211	2773
0.212	2766
0.213	2760
0.214	2752
0.215	2745
0.216	2738
0.217	2731
0.218	2723
0.219	2716
0.22	2709
0.221	2702
0.222	2695
0.223	2689
0.224	2681
0.225	2675
0.226	2668
0.227	2662
0.228	2655
0.229	2648
0.23	2642
0.231	2636
0.232	2628
0.233	2621
0.234	2615
0.235	2608
0.236	2601
0.237	2595
0.238	2589
0.239	2582
0.24	2576
0.241	2569
0.242	2563
0.243	2557
0.244	2551
0.245	2545
0.246	2539
0.247	2533
0.248	2527
0.249	2521
0.25	2515
0.251	2509
0.252	2503
0.253	2497
0.254	2491
0.255	2485
0.256	2479
0.257	2473
0.258	2468
0.259	2462
0.26	2456
0.261	2450
0.262	2444
0.263	2439
0.264	2433
0.265	2428
0.266	2422
0.267	2417
0.268	2411
0.269	2406
0.27	2400
0.271	2395
0.272	2390
0.273	2384
0.274	2379
0.275	2373
0.276	2368
0.277	2363
0.278	2357
0.279	2352
0.28	2347
0.281	2341
0.282	2336
0.283	2331
0.284	2325
0.285	2320
0.286	2315
0.287	2309
0.288	2304
0.289	2299
0.29	2294
0.291	2289
0.292	2283
0.293	2278
0.294	2273
0.295	2268
0.296	2263
0.297	2257
0.298	2252
0.299	2247
0.3	2242
0.301	2237
0.302	2232
0.303	2227
0.304	2222
0.305	2217
0.306	2212
0.307	2207
0.308	2203
0.309	2198
0.31	2193
0.311	2189
0.312	2184
0.313	2180
0.314	2175
0.315	2170
0.316	2166
0.317	2161
0.318	2156
0.319	2152
0.32	2147
0.321	2142
0.322	2138
0.323	2133
0.324	2128
0.325	2124
0.326	2119
0.327	2115
0.328	2110
0.329	2105
0.33	2101
0.331	2097
0.332	2092
0.333	2088
0.334	2083
0.335	2079
0.336	2074
0.337	2070
0.338	2065
0.339	2061
0.34	2057
0.341	2052
0.342	2048
0.343	2044
0.344	2039
0.345	2035
0.346	2031
0.347	2026
0.348	2022
0.349	2018
0.35	2013
0.351	2009
0.352	2005
0.353	2000
0.354	1996
0.355	1991
0.356	1987
0.357	1983
0.358	1979
0.359	1975
0.36	1970
0.361	1966
0.362	1962
0.363	1958
0.364	1954
0.365	1950
0.366	1946
0.367	1942
0.368	1938
0.369	1934
0.37	1930
0.371	1926
0.372	1922
0.373	1918
0.374	1915
0.375	1911
0.376	1907
0.377	1903
0.378	1899
0.379	1895
0.38	1891
0.381	1887
0.382	1883
0.383	1879
0.384	1875
0.385	1871
0.386	1867
0.387	1863
0.388	1860
0.389	1856
0.39	1852
0.391	1848
0.392	1845
0.393	1841
0.394	1837
0.395	1833
0.396	1830
0.397	1826
0.398	1822
0.399	1818
0.4	1814
0.401	1811
0.402	1807
0.403	1803
0.404	1800
0.405	1796
0.406	1792
0.407	1789
0.408	1785
0.409	1781
0.41	1777
0.411	1774
0.412	1770
0.413	1767
0.414	1763
0.415	1759
0.416	1756
0.417	1752
0.418	1749
0.419	1745
0.42	1741
0.421	1737
0.422	1734
0.423	1730
0.424	1727
0.425	1723
0.426	1720
0.427	1716
0.428	1713
0.429	1709
0.43	1706
0.431	1703
0.432	1699
0.433	1695
0.434	1692
0.435	1689
0.436	1686
0.437	1683
0.438	1679
0.439	1676
0.44	1673
0.441	1669
0.442	1666
0.443	1663
0.444	1659
0.445	1656
0.446	1653
0.447	1650
0.448	1646
0.449	1643
0.45	1640
0.451	1636
0.452	1633
0.453	1630
0.454	1627
0.455	1623
0.456	1620
0.457	1617
0.458	1614
0.459	1611
0.46	1607
0.461	1604
0.462	1601
0.463	1598
0.464	1594
0.465	1591
0.466	1588
0.467	1585
0.468	1582
0.469	1578
0.47	1575
0.471	1572
0.472	1569
0.473	1566
0.474	1563
0.475	1559
0.476	1557
0.477	1553
0.478	1551
0.479	1548
0.48	1545
0.481	1541
0.482	1538
0.483	1536
0.484	1532
0.485	1529
0.486	1527
0.487	1523
0.488	1520
0.489	1518
0.49	1515
0.491	1512
0.492	1508
0.493	1506
0.494	1502
0.495	1499
0.496	1497
0.497	1493
0.498	1490
0.499	1487
0.5	1484
0.501	1481
0.502	1479
0.503	1476
0.504	1473
0.505	1470
0.506	1467
0.507	1464
0.508	1461
0.509	1458
0.51	1455
0.511	1452
0.512	1450
0.513	1447
0.514	1444
0.515	1441
0.516	1438
0.517	1435
0.518	1433
0.519	1430
0.52	1427
0.521	1424
0.522	1421
0.523	1418
0.524	1416
0.525	1413
0.526	1410
0.527	1407
0.528	1405
0.529	1402
0.53	1399
0.531	1396
0.532	1393
0.533	1391
0.534	1388
0.535	1385
0.536	1383
0.537	1380
0.538	1378
0.539	1375
0.54	1372
0.541	1369
0.542	1367
0.543	1364
0.544	1361
0.545	1359
0.546	1356
0.547	1353
0.548	1351
0.549	1348
0.55	1345
0.551	1343
0.552	1340
0.553	1338
0.554	1335
0.555	1332
0.556	1330
0.557	1327
0.558	1325
0.559	1322
0.56	1319
0.561	1317
0.562	1314
0.563	1312
0.564	1309
0.565	1307
0.566	1304
0.567	1301
0.568	1299
0.569	1296
0.57	1294
0.571	1291
0.572	1288
0.573	1286
0.574	1283
0.575	1281
0.576	1278
0.577	1276
0.578	1273
0.579	1271
0.58	1268
0.581	1266
0.582	1263
0.583	1261
0.584	1258
0.585	1256
0.586	1253
0.587	1251
0.588	1248
0.589	1246
0.59	1243
0.591	1241
0.592	1238
0.593	1236
0.594	1233
0.595	1231
0.596	1229
0.597	1226
0.598	1224
0.599	1221
0.6	1219
0.601	1217
0.602	1214
0.603	1212
0.604	1209
0.605	1207
0.606	1205
0.607	1202
0.608	1200
0.609	1197
0.61	1195
0.611	1192
0.612	1190
0.613	1187
0.614	1185
0.615	1182
0.616	1180
0.617	1178
0.618	1175
0.619	1173
0.62	1171
0.621	1168
0.622	1166
0.623	1163
0.624	1161
0.625	1159
0.626	1156
0.627	1154
0.628	1151
0.629	1149
0.63	1147
0.631	1144
0.632	1142
0.633	1139
0.634	1137
0.635	1135
0.636	1132
0.637	1130
0.638	1127
0.639	1125
0.64	1123
0.641	1120
0.642	1118
0.643	1116
0.644	1113
0.645	1111
0.646	1109
0.647	1106
0.648	1104
0.649	1102
0.65	1100
0.651	1097
0.652	1095
0.653	1093
0.654	1090
0.655	1088
0.656	1086
0.657	1084
0.658	1081
0.659	1079
0.66	1077
0.661	1074
0.662	1072
0.663	1070
0.664	1067
0.665	1065
0.666	1063
0.667	1061
0.668	1058
0.669	1056
0.67	1054
0.671	1052
0.672	1049
0.673	1047
0.674	1045
0.675	1042
0.676	1040
0.677	1038
0.678	1036
0.679	1033
0.68	1031
0.681	1029
0.682	1027
0.683	1024
0.684	1022
0.685	1020
0.686	1018
0.687	1015
0.688	1013
0.689	1011
0.69	1009
0.691	1007
0.692	1004
0.693	1002
0.694	1000
0.695	998
0.696	995
0.697	993
0.698	991
0.699	989
0.7	987
0.701	984
0.702	982
0.703	980
0.704	978
0.705	976
0.706	973
0.707	971
0.708	969
0.709	967
0.71	965
0.711	962
0.712	960
0.713	958
0.714	956
0.715	954
0.716	951
0.717	949
0.718	947
0.719	945
0.72	943
0.721	941
0.722	939
0.723	936
0.724	934
0.725	932
0.726	930
0.727	928
0.728	926
0.729	923
0.73	921
0.731	919
0.732	917
0.733	914
0.734	912
0.735	910
0.736	908
0.737	906
0.738	904
0.739	902
0.74	899
0.741	897
0.742	895
0.743	893
0.744	891
0.745	889
0.746	886
0.747	884
0.748	882
0.749	880
0.75	878
0.751	876
0.752	873
0.753	871
0.754	869
0.755	867
0.756	865
0.757	863
0.758	861
0.759	858
0.76	856
0.761	854
0.762	852
0.763	850
0.764	847
0.765	845
0.766	843
0.767	841
0.768	839
0.769	837
0.77	834
0.771	832
0.772	830
0.773	828
0.774	826
0.775	824
0.776	822
0.777	819
0.778	817
0.779	815
0.78	813
0.781	811
0.782	809
0.783	806
0.784	804
0.785	802
0.786	800
0.787	798
0.788	796
0.789	794
0.79	791
0.791	789
0.792	787
0.793	785
0.794	783
0.795	781
0.796	779
0.797	776
0.798	774
0.799	772
0.8	770
0.801	768
0.802	766
0.803	764
0.804	761
0.805	759
0.806	757
0.807	755
0.808	753
0.809	751
0.81	749
0.811	747
0.812	744
0.813	742
0.814	740
0.815	738
0.816	736
0.817	734
0.818	732
0.819	729
0.82	727
0.821	725
0.822	723
0.823	721
0.824	719
0.825	716
0.826	714
0.827	712
0.828	710
0.829	708
0.83	706
0.831	704
0.832	701
0.833	699
0.834	697
0.835	695
0.836	693
0.837	691
0.838	689
0.839	686
0.84	684
0.841	682
0.842	680
0.843	678
0.844	676
0.845	673
0.846	671
0.847	669
0.848	667
0.849	665
0.85	663
0.851	660
0.852	658
0.853	656
0.854	654
0.855	652
0.856	650
0.857	647
0.858	645
0.859	643
0.86	641
0.861	639
0.862	636
0.863	634
0.864	632
0.865	630
0.866	628
0.867	625
0.868	623
0.869	621
0.87	619
0.871	617
0.872	614
0.873	612
0.874	610
0.875	608
0.876	606
0.877	603
0.878	601
0.879	599
0.88	597
0.881	595
0.882	592
0.883	590
0.884	588
0.885	586
0.886	584
0.887	581
0.888	579
0.889	577
0.89	575
0.891	572
0.892	570
0.893	568
0.894	566
0.895	563
0.896	561
0.897	559
0.898	557
0.899	555
0.9	552
0.901	550
0.902	548
0.903	546
0.904	543
0.905	541
0.906	539
0.907	536
0.908	534
0.909	532
0.91	530
0.911	527
0.912	525
0.913	523
0.914	520
0.915	518
0.916	516
0.917	513
