fraction	Nx_length
0.001	438509360
0.002	438509360
0.003	438509360
0.004	438509360
0.005	438509360
0.006	438509360
0.007	438509360
0.008	438509360
0.009	438509360
0.01	438509360
0.011	438509360
0.012	438509360
0.013	438509360
0.014	438509360
0.015	438509360
0.016	438509360
0.017	438509360
0.018	438509360
0.019	438509360
0.02	438509360
0.021	438509360
0.022	438509360
0.023	438509360
0.024	438509360
0.025	438509360
0.026	438509360
0.027	438509360
0.028	438509360
0.029	438509360
0.03	438509360
0.031	438509360
0.032	438509360
0.033	438509360
0.034	438509360
0.035	438509360
0.036	438509360
0.037	438509360
0.038	438509360
0.039	438509360
0.04	438509360
0.041	438509360
0.042	438509360
0.043	438509360
0.044	438509360
0.045	438509360
0.046	438509360
0.047	438509360
0.048	438509360
0.049	438509360
0.05	438509360
0.051	438509360
0.052	438509360
0.053	438509360
0.054	438509360
0.055	438509360
0.056	438509360
0.057	438509360
0.058	438509360
0.059	438509360
0.06	438509360
0.061	438509360
0.062	438509360
0.063	438509360
0.064	438509360
0.065	438509360
0.066	438509360
0.067	438509360
0.068	438509360
0.069	438509360
0.07	438509360
0.071	438509360
0.072	438509360
0.073	438509360
0.074	438509360
0.075	438509360
0.076	438509360
0.077	438509360
0.078	438509360
0.079	438509360
0.08	438509360
0.081	438509360
0.082	438509360
0.083	438509360
0.084	438509360
0.085	438509360
0.086	438509360
0.087	438509360
0.088	438509360
0.089	438509360
0.09	438509360
0.091	438509360
0.092	438509360
0.093	438509360
0.094	438509360
0.095	438509360
0.096	438509360
0.097	438509360
0.098	438509360
0.099	438509360
0.1	438509360
0.101	438509360
0.102	438509360
0.103	438509360
0.104	438509360
0.105	438509360
0.106	438509360
0.107	438509360
0.108	438509360
0.109	438509360
0.11	438509360
0.111	438509360
0.112	438509360
0.113	438509360
0.114	438509360
0.115	438509360
0.116	438509360
0.117	438509360
0.118	438509360
0.119	438509360
0.12	438509360
0.121	438509360
0.122	438509360
0.123	438509360
0.124	438509360
0.125	438509360
0.126	438509360
0.127	438509360
0.128	438509360
0.129	438509360
0.13	438509360
0.131	438509360
0.132	438509360
0.133	438509360
0.134	438509360
0.135	438509360
0.136	438509360
0.137	438509360
0.138	438509360
0.139	438509360
0.14	438509360
0.141	438509360
0.142	438509360
0.143	438509360
0.144	438509360
0.145	438509360
0.146	438509360
0.147	438509360
0.148	438509360
0.149	438509360
0.15	438509360
0.151	438509360
0.152	438509360
0.153	438509360
0.154	438509360
0.155	438509360
0.156	438509360
0.157	438509360
0.158	438509360
0.159	438509360
0.16	438509360
0.161	438509360
0.162	438509360
0.163	438509360
0.164	438509360
0.165	438509360
0.166	438509360
0.167	438509360
0.168	438509360
0.169	438509360
0.17	438509360
0.171	438509360
0.172	438509360
0.173	438509360
0.174	438509360
0.175	438509360
0.176	438509360
0.177	438509360
0.178	438509360
0.179	438509360
0.18	438509360
0.181	438509360
0.182	438509360
0.183	438509360
0.184	438509360
0.185	438509360
0.186	438509360
0.187	438509360
0.188	438509360
0.189	438509360
0.19	438509360
0.191	438509360
0.192	438509360
0.193	438509360
0.194	438509360
0.195	438509360
0.196	438509360
0.197	438509360
0.198	438509360
0.199	438509360
0.2	438509360
0.201	438509360
0.202	438509360
0.203	438509360
0.204	438509360
0.205	438509360
0.206	438509360
0.207	438509360
0.208	438509360
0.209	438509360
0.21	438509360
0.211	438509360
0.212	438509360
0.213	438509360
0.214	438509360
0.215	438509360
0.216	438509360
0.217	438509360
0.218	438509360
0.219	438509360
0.22	438509360
0.221	438509360
0.222	438509360
0.223	438509360
0.224	364343143
0.225	364343143
0.226	364343143
0.227	364343143
0.228	364343143
0.229	364343143
0.23	364343143
0.231	364343143
0.232	364343143
0.233	364343143
0.234	364343143
0.235	364343143
0.236	364343143
0.237	364343143
0.238	364343143
0.239	364343143
0.24	364343143
0.241	364343143
0.242	364343143
0.243	364343143
0.244	364343143
0.245	364343143
0.246	364343143
0.247	364343143
0.248	364343143
0.249	364343143
0.25	364343143
0.251	364343143
0.252	364343143
0.253	364343143
0.254	364343143
0.255	364343143
0.256	364343143
0.257	364343143
0.258	364343143
0.259	364343143
0.26	364343143
0.261	364343143
0.262	364343143
0.263	364343143
0.264	364343143
0.265	364343143
0.266	364343143
0.267	364343143
0.268	364343143
0.269	364343143
0.27	364343143
0.271	364343143
0.272	364343143
0.273	364343143
0.274	364343143
0.275	364343143
0.276	364343143
0.277	364343143
0.278	364343143
0.279	364343143
0.28	364343143
0.281	364343143
0.282	364343143
0.283	364343143
0.284	364343143
0.285	364343143
0.286	364343143
0.287	364343143
0.288	364343143
0.289	364343143
0.29	364343143
0.291	364343143
0.292	364343143
0.293	364343143
0.294	364343143
0.295	364343143
0.296	364343143
0.297	364343143
0.298	364343143
0.299	364343143
0.3	364343143
0.301	364343143
0.302	364343143
0.303	364343143
0.304	364343143
0.305	364343143
0.306	364343143
0.307	364343143
0.308	364343143
0.309	364343143
0.31	364343143
0.311	364343143
0.312	364343143
0.313	364343143
0.314	364343143
0.315	364343143
0.316	364343143
0.317	364343143
0.318	364343143
0.319	364343143
0.32	364343143
0.321	364343143
0.322	364343143
0.323	364343143
0.324	364343143
0.325	364343143
0.326	364343143
0.327	364343143
0.328	364343143
0.329	364343143
0.33	364343143
0.331	364343143
0.332	364343143
0.333	364343143
0.334	364343143
0.335	364343143
0.336	364343143
0.337	364343143
0.338	364343143
0.339	364343143
0.34	364343143
0.341	364343143
0.342	364343143
0.343	364343143
0.344	364343143
0.345	364343143
0.346	364343143
0.347	364343143
0.348	364343143
0.349	364343143
0.35	364343143
0.351	364343143
0.352	364343143
0.353	364343143
0.354	364343143
0.355	364343143
0.356	364343143
0.357	364343143
0.358	364343143
0.359	364343143
0.36	364343143
0.361	364343143
0.362	364343143
0.363	364343143
0.364	364343143
0.365	364343143
0.366	364343143
0.367	364343143
0.368	364343143
0.369	364343143
0.37	364343143
0.371	364343143
0.372	364343143
0.373	364343143
0.374	364343143
0.375	364343143
0.376	364343143
0.377	364343143
0.378	364343143
0.379	364343143
0.38	364343143
0.381	364343143
0.382	364343143
0.383	364343143
0.384	364343143
0.385	364343143
0.386	364343143
0.387	364343143
0.388	364343143
0.389	364343143
0.39	364343143
0.391	364343143
0.392	364343143
0.393	364343143
0.394	364343143
0.395	364343143
0.396	364343143
0.397	364343143
0.398	364343143
0.399	364343143
0.4	364343143
0.401	364343143
0.402	364343143
0.403	364343143
0.404	364343143
0.405	364343143
0.406	364343143
0.407	364343143
0.408	364343143
0.409	266229956
0.41	266229956
0.411	266229956
0.412	266229956
0.413	266229956
0.414	266229956
0.415	266229956
0.416	266229956
0.417	266229956
0.418	266229956
0.419	266229956
0.42	266229956
0.421	266229956
0.422	266229956
0.423	266229956
0.424	266229956
0.425	266229956
0.426	266229956
0.427	266229956
0.428	266229956
0.429	266229956
0.43	266229956
0.431	266229956
0.432	266229956
0.433	266229956
0.434	266229956
0.435	266229956
0.436	266229956
0.437	266229956
0.438	266229956
0.439	266229956
0.44	266229956
0.441	266229956
0.442	266229956
0.443	266229956
0.444	266229956
0.445	266229956
0.446	266229956
0.447	266229956
0.448	266229956
0.449	266229956
0.45	266229956
0.451	266229956
0.452	266229956
0.453	266229956
0.454	266229956
0.455	266229956
0.456	266229956
0.457	266229956
0.458	266229956
0.459	266229956
0.46	266229956
0.461	266229956
0.462	266229956
0.463	266229956
0.464	266229956
0.465	266229956
0.466	266229956
0.467	266229956
0.468	266229956
0.469	266229956
0.47	266229956
0.471	266229956
0.472	266229956
0.473	266229956
0.474	266229956
0.475	266229956
0.476	266229956
0.477	266229956
0.478	266229956
0.479	266229956
0.48	266229956
0.481	266229956
0.482	266229956
0.483	266229956
0.484	266229956
0.485	266229956
0.486	266229956
0.487	266229956
0.488	266229956
0.489	266229956
0.49	266229956
0.491	266229956
0.492	266229956
0.493	266229956
0.494	266229956
0.495	266229956
0.496	266229956
0.497	266229956
0.498	266229956
0.499	266229956
0.5	266229956
0.501	266229956
0.502	266229956
0.503	266229956
0.504	266229956
0.505	266229956
0.506	266229956
0.507	266229956
0.508	266229956
0.509	266229956
0.51	266229956
0.511	266229956
0.512	266229956
0.513	266229956
0.514	266229956
0.515	266229956
0.516	266229956
0.517	266229956
0.518	266229956
0.519	266229956
0.52	266229956
0.521	266229956
0.522	266229956
0.523	266229956
0.524	266229956
0.525	266229956
0.526	266229956
0.527	266229956
0.528	266229956
0.529	266229956
0.53	266229956
0.531	266229956
0.532	266229956
0.533	266229956
0.534	266229956
0.535	266229956
0.536	266229956
0.537	266229956
0.538	266229956
0.539	266229956
0.54	266229956
0.541	266229956
0.542	266229956
0.543	266229956
0.544	266229956
0.545	220577908
0.546	220577908
0.547	220577908
0.548	220577908
0.549	220577908
0.55	220577908
0.551	220577908
0.552	220577908
0.553	220577908
0.554	220577908
0.555	220577908
0.556	220577908
0.557	220577908
0.558	220577908
0.559	220577908
0.56	220577908
0.561	220577908
0.562	220577908
0.563	220577908
0.564	220577908
0.565	220577908
0.566	220577908
0.567	220577908
0.568	220577908
0.569	220577908
0.57	220577908
0.571	220577908
