fraction	Nx_length
0.001	111660
0.002	102051
0.003	96688
0.004	90304
0.005	86097
0.006	82051
0.007	79558
0.008	77217
0.009	75260
0.01	74031
0.011	71394
0.012	69434
0.013	68264
0.014	67445
0.015	66207
0.016	65513
0.017	64789
0.018	63520
0.019	62846
0.02	61932
0.021	61139
0.022	60348
0.023	59856
0.024	58941
0.025	58152
0.026	57369
0.027	56692
0.028	56099
0.029	55518
0.03	54799
0.031	54198
0.032	53637
0.033	52941
0.034	52476
0.035	51964
0.036	51413
0.037	50900
0.038	50368
0.039	49790
0.04	49191
0.041	48742
0.042	48261
0.043	47948
0.044	47539
0.045	46995
0.046	46508
0.047	46127
0.048	45800
0.049	45391
0.05	45060
0.051	44700
0.052	44330
0.053	44062
0.054	43789
0.055	43485
0.056	43233
0.057	42920
0.058	42549
0.059	42252
0.06	41990
0.061	41795
0.062	41530
0.063	41313
0.064	41063
0.065	40843
0.066	40584
0.067	40350
0.068	40097
0.069	39877
0.07	39639
0.071	39414
0.072	39231
0.073	39002
0.074	38762
0.075	38534
0.076	38355
0.077	38100
0.078	37929
0.079	37762
0.08	37463
0.081	37250
0.082	36964
0.083	36806
0.084	36572
0.085	36423
0.086	36266
0.087	36063
0.088	35904
0.089	35713
0.09	35528
0.091	35318
0.092	35126
0.093	34978
0.094	34797
0.095	34584
0.096	34409
0.097	34244
0.098	34092
0.099	33924
0.1	33702
0.101	33532
0.102	33362
0.103	33215
0.104	33054
0.105	32917
0.106	32775
0.107	32611
0.108	32415
0.109	32233
0.11	32072
0.111	31909
0.112	31744
0.113	31584
0.114	31423
0.115	31298
0.116	31165
0.117	30995
0.118	30864
0.119	30694
0.12	30557
0.121	30444
0.122	30342
0.123	30178
0.124	30062
0.125	29922
0.126	29800
0.127	29665
0.128	29558
0.129	29440
0.13	29346
0.131	29230
0.132	29100
0.133	28968
0.134	28837
0.135	28714
0.136	28601
0.137	28487
0.138	28369
0.139	28261
0.14	28148
0.141	28046
0.142	27959
0.143	27819
0.144	27695
0.145	27578
0.146	27425
0.147	27304
0.148	27183
0.149	27080
0.15	27004
0.151	26896
0.152	26810
0.153	26720
0.154	26600
0.155	26507
0.156	26421
0.157	26322
0.158	26246
0.159	26155
0.16	26038
0.161	25927
0.162	25824
0.163	25718
0.164	25625
0.165	25530
0.166	25421
0.167	25318
0.168	25215
0.169	25101
0.17	25025
0.171	24914
0.172	24809
0.173	24710
0.174	24637
0.175	24562
0.176	24471
0.177	24347
0.178	24254
0.179	24173
0.18	24093
0.181	24004
0.182	23922
0.183	23845
0.184	23780
0.185	23696
0.186	23634
0.187	23556
0.188	23472
0.189	23401
0.19	23324
0.191	23231
0.192	23146
0.193	23069
0.194	22988
0.195	22885
0.196	22807
0.197	22724
0.198	22626
0.199	22534
0.2	22450
0.201	22385
0.202	22293
0.203	22219
0.204	22139
0.205	22063
0.206	21987
0.207	21922
0.208	21846
0.209	21769
0.21	21702
0.211	21622
0.212	21543
0.213	21459
0.214	21367
0.215	21288
0.216	21227
0.217	21150
0.218	21074
0.219	21009
0.22	20935
0.221	20856
0.222	20791
0.223	20707
0.224	20612
0.225	20534
0.226	20470
0.227	20392
0.228	20307
0.229	20247
0.23	20173
0.231	20107
0.232	20033
0.233	19962
0.234	19900
0.235	19813
0.236	19747
0.237	19666
0.238	19588
0.239	19519
0.24	19444
0.241	19372
0.242	19305
0.243	19241
0.244	19178
0.245	19099
0.246	19035
0.247	18972
0.248	18905
0.249	18845
0.25	18794
0.251	18739
0.252	18683
0.253	18633
0.254	18567
0.255	18514
0.256	18440
0.257	18371
0.258	18297
0.259	18237
0.26	18177
0.261	18123
0.262	18050
0.263	17984
0.264	17913
0.265	17868
0.266	17807
0.267	17755
0.268	17690
0.269	17623
0.27	17568
0.271	17507
0.272	17444
0.273	17380
0.274	17332
0.275	17275
0.276	17210
0.277	17151
0.278	17094
0.279	17038
0.28	16983
0.281	16929
0.282	16869
0.283	16816
0.284	16761
0.285	16705
0.286	16647
0.287	16594
0.288	16537
0.289	16484
0.29	16434
0.291	16379
0.292	16314
0.293	16267
0.294	16202
0.295	16146
0.296	16088
0.297	16029
0.298	15982
0.299	15923
0.3	15871
0.301	15829
0.302	15762
0.303	15706
0.304	15654
0.305	15604
0.306	15566
0.307	15511
0.308	15465
0.309	15411
0.31	15357
0.311	15300
0.312	15239
0.313	15188
0.314	15136
0.315	15084
0.316	15033
0.317	14988
0.318	14931
0.319	14888
0.32	14847
0.321	14795
0.322	14745
0.323	14700
0.324	14648
0.325	14591
0.326	14548
0.327	14505
0.328	14460
0.329	14418
0.33	14373
0.331	14327
0.332	14285
0.333	14245
0.334	14191
0.335	14143
0.336	14097
0.337	14050
0.338	13995
0.339	13948
0.34	13908
0.341	13857
0.342	13809
0.343	13755
0.344	13706
0.345	13656
0.346	13603
0.347	13558
0.348	13513
0.349	13461
0.35	13406
0.351	13353
0.352	13305
0.353	13262
0.354	13222
0.355	13181
0.356	13136
0.357	13094
0.358	13047
0.359	13004
0.36	12963
0.361	12922
0.362	12880
0.363	12836
0.364	12787
0.365	12744
0.366	12703
0.367	12659
0.368	12622
0.369	12580
0.37	12538
0.371	12493
0.372	12452
0.373	12406
0.374	12361
0.375	12321
0.376	12278
0.377	12239
0.378	12202
0.379	12167
0.38	12129
0.381	12087
0.382	12044
0.383	12003
0.384	11966
0.385	11924
0.386	11891
0.387	11851
0.388	11818
0.389	11781
0.39	11742
0.391	11704
0.392	11661
0.393	11625
0.394	11586
0.395	11547
0.396	11503
0.397	11461
0.398	11419
0.399	11373
0.4	11333
0.401	11301
0.402	11263
0.403	11223
0.404	11185
0.405	11149
0.406	11108
0.407	11068
0.408	11034
0.409	10998
0.41	10959
0.411	10920
0.412	10885
0.413	10850
0.414	10811
0.415	10776
0.416	10734
0.417	10696
0.418	10661
0.419	10624
0.42	10585
0.421	10544
0.422	10506
0.423	10473
0.424	10435
0.425	10400
0.426	10363
0.427	10328
0.428	10291
0.429	10258
0.43	10223
0.431	10187
0.432	10158
0.433	10117
0.434	10081
0.435	10043
0.436	10008
0.437	9974
0.438	9937
0.439	9904
0.44	9873
0.441	9843
0.442	9810
0.443	9773
0.444	9739
0.445	9707
0.446	9669
0.447	9633
0.448	9595
0.449	9561
0.45	9524
0.451	9487
0.452	9456
0.453	9426
0.454	9392
0.455	9352
0.456	9322
0.457	9286
0.458	9255
0.459	9222
0.46	9195
0.461	9166
0.462	9133
0.463	9097
0.464	9067
0.465	9031
0.466	8995
0.467	8965
0.468	8933
0.469	8904
0.47	8874
0.471	8840
0.472	8811
0.473	8780
0.474	8743
0.475	8711
0.476	8681
0.477	8657
0.478	8624
0.479	8589
0.48	8554
0.481	8527
0.482	8498
0.483	8466
0.484	8436
0.485	8404
0.486	8371
0.487	8345
0.488	8319
0.489	8287
0.49	8260
0.491	8233
0.492	8206
0.493	8177
0.494	8152
0.495	8123
0.496	8096
0.497	8071
0.498	8042
0.499	8013
0.5	7987
0.501	7959
0.502	7928
0.503	7902
0.504	7875
0.505	7845
0.506	7817
0.507	7785
0.508	7756
0.509	7728
0.51	7699
0.511	7673
0.512	7646
0.513	7621
0.514	7595
0.515	7570
0.516	7542
0.517	7516
0.518	7493
0.519	7464
0.52	7437
0.521	7410
0.522	7383
0.523	7356
0.524	7330
0.525	7301
0.526	7275
0.527	7246
0.528	7221
0.529	7196
0.53	7172
0.531	7151
0.532	7127
0.533	7099
0.534	7073
0.535	7050
0.536	7026
0.537	7001
0.538	6977
0.539	6952
0.54	6929
0.541	6908
0.542	6881
0.543	6856
0.544	6831
0.545	6808
0.546	6783
0.547	6757
0.548	6732
0.549	6708
0.55	6683
0.551	6662
0.552	6638
0.553	6613
0.554	6592
0.555	6572
0.556	6548
0.557	6523
0.558	6503
0.559	6483
0.56	6462
0.561	6436
0.562	6411
0.563	6390
0.564	6369
0.565	6347
0.566	6324
0.567	6301
0.568	6279
0.569	6256
0.57	6234
0.571	6211
0.572	6188
0.573	6167
0.574	6145
0.575	6124
0.576	6105
0.577	6085
0.578	6065
0.579	6046
0.58	6025
0.581	6005
0.582	5984
0.583	5961
0.584	5938
0.585	5915
0.586	5893
0.587	5873
0.588	5852
0.589	5834
0.59	5813
0.591	5791
0.592	5774
0.593	5751
0.594	5728
0.595	5706
0.596	5687
0.597	5667
0.598	5648
0.599	5629
0.6	5610
0.601	5592
0.602	5572
0.603	5552
0.604	5533
0.605	5514
0.606	5494
0.607	5476
0.608	5457
0.609	5437
0.61	5418
0.611	5397
0.612	5377
0.613	5358
0.614	5336
0.615	5318
0.616	5301
0.617	5282
0.618	5264
0.619	5246
0.62	5226
0.621	5209
0.622	5191
0.623	5171
0.624	5151
0.625	5130
0.626	5114
0.627	5095
0.628	5075
0.629	5058
0.63	5041
0.631	5022
0.632	5005
0.633	4986
0.634	4967
0.635	4949
0.636	4930
0.637	4910
0.638	4891
0.639	4873
0.64	4853
0.641	4835
0.642	4818
0.643	4801
0.644	4782
0.645	4766
0.646	4749
0.647	4733
0.648	4717
0.649	4699
0.65	4682
0.651	4665
0.652	4649
0.653	4631
0.654	4611
0.655	4593
0.656	4576
0.657	4560
0.658	4542
0.659	4526
0.66	4507
0.661	4489
0.662	4472
0.663	4455
0.664	4439
0.665	4423
0.666	4404
0.667	4387
0.668	4371
0.669	4355
0.67	4339
0.671	4321
0.672	4306
0.673	4289
0.674	4271
0.675	4255
0.676	4240
0.677	4223
0.678	4207
0.679	4191
0.68	4175
0.681	4159
0.682	4143
0.683	4126
0.684	4110
0.685	4095
0.686	4080
0.687	4066
0.688	4049
0.689	4033
0.69	4019
0.691	4004
0.692	3988
0.693	3973
0.694	3959
0.695	3944
0.696	3928
0.697	3911
0.698	3898
0.699	3883
0.7	3869
0.701	3855
0.702	3840
0.703	3826
0.704	3811
0.705	3797
0.706	3784
0.707	3769
0.708	3754
0.709	3740
0.71	3725
0.711	3709
0.712	3695
0.713	3681
0.714	3667
0.715	3654
0.716	3640
0.717	3627
0.718	3613
0.719	3599
0.72	3583
0.721	3571
0.722	3555
0.723	3542
0.724	3529
0.725	3515
0.726	3501
0.727	3486
0.728	3471
0.729	3457
0.73	3444
0.731	3430
0.732	3417
0.733	3403
0.734	3391
0.735	3377
0.736	3363
0.737	3350
0.738	3337
0.739	3323
0.74	3308
0.741	3295
0.742	3280
0.743	3266
0.744	3252
0.745	3238
0.746	3225
0.747	3212
0.748	3199
0.749	3185
0.75	3172
0.751	3159
0.752	3145
0.753	3132
0.754	3120
0.755	3105
0.756	3093
0.757	3079
0.758	3067
0.759	3054
0.76	3040
0.761	3028
0.762	3016
0.763	3004
0.764	2992
0.765	2980
0.766	2966
0.767	2953
0.768	2940
0.769	2927
0.77	2916
0.771	2903
0.772	2891
0.773	2878
0.774	2865
0.775	2852
0.776	2840
0.777	2827
0.778	2814
0.779	2802
0.78	2790
0.781	2777
0.782	2765
0.783	2752
0.784	2739
0.785	2726
0.786	2714
0.787	2702
0.788	2690
0.789	2678
0.79	2667
0.791	2655
0.792	2643
0.793	2631
0.794	2618
0.795	2606
0.796	2593
0.797	2582
0.798	2569
0.799	2557
0.8	2545
0.801	2533
0.802	2522
0.803	2511
0.804	2499
0.805	2489
0.806	2478
0.807	2466
0.808	2455
0.809	2443
0.81	2431
0.811	2420
0.812	2409
0.813	2398
0.814	2386
0.815	2376
0.816	2365
0.817	2353
0.818	2341
0.819	2330
0.82	2319
0.821	2309
0.822	2298
0.823	2287
0.824	2276
0.825	2264
0.826	2254
0.827	2243
0.828	2232
0.829	2222
0.83	2211
0.831	2200
0.832	2189
0.833	2179
0.834	2168
0.835	2158
0.836	2147
0.837	2138
0.838	2127
0.839	2116
0.84	2106
0.841	2095
0.842	2085
0.843	2075
0.844	2064
0.845	2055
0.846	2044
0.847	2034
0.848	2023
0.849	2012
0.85	2002
0.851	1993
0.852	1981
0.853	1970
0.854	1961
0.855	1951
0.856	1941
0.857	1930
0.858	1920
0.859	1910
0.86	1900
0.861	1891
0.862	1881
0.863	1872
0.864	1862
0.865	1853
0.866	1843
0.867	1833
0.868	1823
0.869	1813
0.87	1804
0.871	1795
0.872	1785
0.873	1776
0.874	1766
0.875	1757
0.876	1747
0.877	1738
0.878	1729
0.879	1720
0.88	1710
0.881	1700
0.882	1691
0.883	1682
0.884	1672
0.885	1663
0.886	1654
0.887	1644
0.888	1635
0.889	1626
0.89	1617
0.891	1608
0.892	1600
0.893	1590
0.894	1582
0.895	1573
0.896	1564
0.897	1555
0.898	1546
0.899	1537
0.9	1528
0.901	1520
0.902	1511
0.903	1502
0.904	1493
0.905	1484
0.906	1476
0.907	1468
0.908	1460
0.909	1452
0.91	1443
0.911	1435
0.912	1426
0.913	1418
0.914	1410
0.915	1402
0.916	1394
0.917	1385
0.918	1378
0.919	1369
0.92	1361
