fraction	Nx_length
0.001	332193769
0.002	332193769
0.003	332193769
0.004	332193769
0.005	332193769
0.006	332193769
0.007	332193769
0.008	332193769
0.009	332193769
0.01	332193769
0.011	332193769
0.012	332193769
0.013	332193769
0.014	332193769
0.015	332193769
0.016	332193769
0.017	332193769
0.018	332193769
0.019	332193769
0.02	332193769
0.021	332193769
0.022	332193769
0.023	332193769
0.024	332193769
0.025	332193769
0.026	332193769
0.027	332193769
0.028	332193769
0.029	332193769
0.03	332193769
0.031	332193769
0.032	332193769
0.033	332193769
0.034	332193769
0.035	332193769
0.036	332193769
0.037	332193769
0.038	332193769
0.039	332193769
0.04	332193769
0.041	332193769
0.042	332193769
0.043	332193769
0.044	332193769
0.045	332193769
0.046	332193769
0.047	332193769
0.048	332193769
0.049	332193769
0.05	332193769
0.051	332193769
0.052	332193769
0.053	332193769
0.054	332193769
0.055	332193769
0.056	332193769
0.057	332193769
0.058	332193769
0.059	332193769
0.06	332193769
0.061	332193769
0.062	332193769
0.063	332193769
0.064	332193769
0.065	332193769
0.066	332193769
0.067	332193769
0.068	332193769
0.069	332193769
0.07	332193769
0.071	332193769
0.072	332193769
0.073	332193769
0.074	332193769
0.075	332193769
0.076	332193769
0.077	332193769
0.078	332193769
0.079	332193769
0.08	332193769
0.081	332193769
0.082	332193769
0.083	332193769
0.084	332193769
0.085	332193769
0.086	332193769
0.087	332193769
0.088	332193769
0.089	332193769
0.09	332193769
0.091	332193769
0.092	332193769
0.093	332193769
0.094	332193769
0.095	332193769
0.096	332193769
0.097	332193769
0.098	332193769
0.099	332193769
0.1	332193769
0.101	332193769
0.102	332193769
0.103	332193769
0.104	332193769
0.105	332193769
0.106	332193769
0.107	332193769
0.108	332193769
0.109	332193769
0.11	332193769
0.111	332193769
0.112	332193769
0.113	332193769
0.114	332193769
0.115	332193769
0.116	332193769
0.117	332193769
0.118	332193769
0.119	332193769
0.12	332193769
0.121	332193769
0.122	332193769
0.123	332193769
0.124	332193769
0.125	332193769
0.126	332193769
0.127	332193769
0.128	332193769
0.129	332193769
0.13	332193769
0.131	332193769
0.132	332193769
0.133	332193769
0.134	332193769
0.135	332193769
0.136	332193769
0.137	332193769
0.138	332193769
0.139	332193769
0.14	332193769
0.141	332193769
0.142	332193769
0.143	332193769
0.144	332193769
0.145	332193769
0.146	332193769
0.147	332193769
0.148	332193769
0.149	332193769
0.15	332193769
0.151	332193769
0.152	332193769
0.153	332193769
0.154	332193769
0.155	332193769
0.156	332193769
0.157	332193769
0.158	332193769
0.159	332193769
0.16	332193769
0.161	332193769
0.162	332193769
0.163	332193769
0.164	332193769
0.165	332193769
0.166	332193769
0.167	332193769
0.168	332193769
0.169	332193769
0.17	332193769
0.171	332193769
0.172	332193769
0.173	332193769
0.174	332193769
0.175	332193769
0.176	332193769
0.177	332193769
0.178	332193769
0.179	332193769
0.18	332193769
0.181	332193769
0.182	332193769
0.183	332193769
0.184	332193769
0.185	332193769
0.186	332193769
0.187	332193769
0.188	332193769
0.189	332193769
0.19	332193769
0.191	332193769
0.192	332193769
0.193	332193769
0.194	332193769
0.195	332193769
0.196	332193769
0.197	332193769
0.198	332193769
0.199	332193769
0.2	332193769
0.201	332193769
0.202	332193769
0.203	332193769
0.204	332193769
0.205	332193769
0.206	332193769
0.207	332193769
0.208	332193769
0.209	332193769
0.21	332193769
0.211	332193769
0.212	332193769
0.213	332193769
