fraction	Nx_length
0.001	196596289
0.002	196596289
0.003	196596289
0.004	196596289
0.005	196596289
0.006	196596289
0.007	196596289
0.008	196596289
0.009	196596289
0.01	196596289
0.011	196596289
0.012	196596289
0.013	196596289
0.014	196596289
0.015	196596289
0.016	196596289
0.017	196596289
0.018	196596289
0.019	196596289
0.02	196596289
0.021	196596289
0.022	196596289
0.023	196596289
0.024	196596289
0.025	196596289
0.026	196596289
0.027	196596289
0.028	196596289
0.029	196596289
0.03	196596289
0.031	196596289
0.032	196596289
0.033	196596289
0.034	196596289
0.035	196596289
0.036	196596289
0.037	196596289
0.038	196596289
0.039	196596289
0.04	196596289
0.041	196596289
0.042	196596289
0.043	196596289
0.044	196596289
0.045	196596289
0.046	196596289
0.047	196596289
0.048	196596289
0.049	196596289
0.05	196596289
0.051	196596289
0.052	196596289
0.053	196596289
0.054	196596289
0.055	196596289
0.056	196596289
0.057	196596289
0.058	196596289
0.059	196596289
0.06	196596289
0.061	196596289
0.062	196596289
0.063	196596289
0.064	196596289
0.065	196596289
0.066	196596289
0.067	196596289
0.068	196596289
0.069	196596289
0.07	196596289
0.071	196596289
0.072	196596289
0.073	196596289
0.074	196596289
0.075	196596289
0.076	196596289
0.077	196596289
0.078	196596289
0.079	196596289
0.08	196596289
0.081	196596289
0.082	196596289
0.083	196596289
0.084	196596289
0.085	196596289
0.086	196596289
0.087	196596289
0.088	196596289
0.089	196596289
0.09	196596289
0.091	196596289
0.092	196596289
0.093	196596289
0.094	196596289
0.095	196596289
0.096	196596289
0.097	196596289
0.098	196596289
0.099	196596289
0.1	196596289
0.101	196596289
0.102	196596289
0.103	196596289
0.104	196596289
0.105	196596289
0.106	196596289
0.107	196596289
0.108	196596289
0.109	183231754
0.11	183231754
0.111	183231754
0.112	183231754
0.113	183231754
0.114	183231754
0.115	183231754
0.116	183231754
0.117	183231754
0.118	183231754
0.119	183231754
0.12	183231754
0.121	183231754
0.122	183231754
0.123	183231754
0.124	183231754
0.125	183231754
0.126	183231754
0.127	183231754
0.128	183231754
0.129	183231754
0.13	183231754
0.131	183231754
0.132	183231754
0.133	183231754
0.134	183231754
0.135	183231754
0.136	183231754
0.137	183231754
0.138	183231754
0.139	183231754
0.14	183231754
0.141	183231754
0.142	183231754
0.143	183231754
0.144	183231754
0.145	183231754
0.146	183231754
0.147	183231754
0.148	183231754
0.149	183231754
0.15	183231754
0.151	183231754
0.152	183231754
0.153	183231754
0.154	183231754
0.155	183231754
0.156	183231754
0.157	183231754
0.158	183231754
0.159	183231754
0.16	183231754
0.161	183231754
0.162	183231754
0.163	183231754
0.164	183231754
0.165	183231754
0.166	183231754
0.167	183231754
0.168	183231754
0.169	183231754
0.17	183231754
0.171	183231754
0.172	183231754
0.173	183231754
0.174	183231754
0.175	183231754
0.176	183231754
0.177	183231754
0.178	183231754
0.179	183231754
0.18	183231754
0.181	183231754
0.182	183231754
0.183	183231754
0.184	183231754
0.185	183231754
0.186	183231754
0.187	183231754
0.188	183231754
0.189	183231754
0.19	183231754
0.191	183231754
0.192	183231754
0.193	183231754
0.194	183231754
0.195	183231754
0.196	183231754
0.197	183231754
0.198	183231754
0.199	183231754
0.2	183231754
0.201	183231754
0.202	183231754
0.203	183231754
0.204	183231754
0.205	183231754
0.206	183231754
0.207	183231754
0.208	183231754
0.209	183231754
0.21	179686242
0.211	179686242
0.212	179686242
0.213	179686242
0.214	179686242
0.215	179686242
0.216	179686242
0.217	179686242
0.218	179686242
0.219	179686242
0.22	179686242
0.221	179686242
0.222	179686242
0.223	179686242
0.224	179686242
0.225	179686242
0.226	179686242
0.227	179686242
0.228	179686242
0.229	179686242
0.23	179686242
0.231	179686242
0.232	179686242
0.233	179686242
0.234	179686242
0.235	179686242
0.236	179686242
0.237	179686242
0.238	179686242
0.239	179686242
0.24	179686242
0.241	179686242
0.242	179686242
0.243	179686242
0.244	179686242
0.245	179686242
0.246	179686242
0.247	179686242
0.248	179686242
0.249	179686242
0.25	179686242
0.251	179686242
0.252	179686242
0.253	179686242
0.254	179686242
0.255	179686242
0.256	179686242
0.257	179686242
0.258	179686242
0.259	179686242
0.26	179686242
0.261	179686242
0.262	179686242
0.263	179686242
0.264	179686242
0.265	179686242
0.266	179686242
0.267	179686242
0.268	179686242
0.269	179686242
0.27	179686242
0.271	179686242
0.272	179686242
0.273	179686242
0.274	179686242
0.275	179686242
0.276	179686242
0.277	179686242
0.278	179686242
0.279	179686242
0.28	179686242
0.281	179686242
0.282	179686242
0.283	179686242
0.284	179686242
0.285	179686242
0.286	179686242
0.287	179686242
0.288	179686242
0.289	179686242
0.29	179686242
0.291	179686242
0.292	179686242
0.293	179686242
0.294	179686242
0.295	179686242
