fraction	Nx_length
0.001	107273
0.002	86951
0.003	75932
0.004	69377
0.005	64456
0.006	59538
0.007	55693
0.008	52741
0.009	50572
0.01	48845
0.011	46736
0.012	45293
0.013	43486
0.014	42386
0.015	41240
0.016	40230
0.017	39334
0.018	38340
0.019	37540
0.02	36756
0.021	36108
0.022	35427
0.023	34737
0.024	34089
0.025	33515
0.026	32964
0.027	32476
0.028	31787
0.029	31373
0.03	30827
0.031	30361
0.032	29836
0.033	29369
0.034	28987
0.035	28518
0.036	28183
0.037	27820
0.038	27444
0.039	27022
0.04	26697
0.041	26348
0.042	26055
0.043	25714
0.044	25367
0.045	25102
0.046	24825
0.047	24473
0.048	24134
0.049	23925
0.05	23609
0.051	23309
0.052	23114
0.053	22855
0.054	22614
0.055	22353
0.056	22078
0.057	21861
0.058	21628
0.059	21337
0.06	21154
0.061	20939
0.062	20738
0.063	20550
0.064	20368
0.065	20155
0.066	19946
0.067	19770
0.068	19574
0.069	19419
0.07	19222
0.071	19027
0.072	18857
0.073	18707
0.074	18550
0.075	18411
0.076	18253
0.077	18053
0.078	17862
0.079	17684
0.08	17536
0.081	17392
0.082	17255
0.083	17139
0.084	16979
0.085	16847
0.086	16734
0.087	16606
0.088	16456
0.089	16313
0.09	16186
0.091	16056
0.092	15933
0.093	15803
0.094	15677
0.095	15539
0.096	15425
0.097	15314
0.098	15164
0.099	15066
0.1	14948
0.101	14822
0.102	14699
0.103	14599
0.104	14485
0.105	14362
0.106	14244
0.107	14149
0.108	14041
0.109	13926
0.11	13840
0.111	13738
0.112	13635
0.113	13544
0.114	13454
0.115	13354
0.116	13238
0.117	13157
0.118	13066
0.119	12976
0.12	12875
0.121	12781
0.122	12694
0.123	12592
0.124	12505
0.125	12413
0.126	12318
0.127	12228
0.128	12144
0.129	12053
0.13	11957
0.131	11877
0.132	11801
0.133	11716
0.134	11626
0.135	11549
0.136	11479
0.137	11391
0.138	11301
0.139	11227
0.14	11158
0.141	11089
0.142	11020
0.143	10952
0.144	10882
0.145	10804
0.146	10723
0.147	10657
0.148	10591
0.149	10525
0.15	10453
0.151	10389
0.152	10329
0.153	10262
0.154	10200
0.155	10130
0.156	10059
0.157	9998
0.158	9930
0.159	9863
0.16	9806
0.161	9746
0.162	9686
0.163	9622
0.164	9568
0.165	9503
0.166	9448
0.167	9383
0.168	9323
0.169	9265
0.17	9202
0.171	9143
0.172	9089
0.173	9038
0.174	8980
0.175	8919
0.176	8869
0.177	8820
0.178	8766
0.179	8719
0.18	8670
0.181	8619
0.182	8571
0.183	8519
0.184	8469
0.185	8420
0.186	8375
0.187	8329
0.188	8284
0.189	8234
0.19	8190
0.191	8144
0.192	8101
0.193	8054
0.194	8005
0.195	7960
0.196	7919
0.197	7876
0.198	7830
0.199	7783
0.2	7737
0.201	7693
0.202	7648
0.203	7598
0.204	7558
0.205	7515
0.206	7477
0.207	7439
0.208	7400
0.209	7361
0.21	7315
0.211	7276
0.212	7236
0.213	7199
0.214	7157
0.215	7117
0.216	7080
0.217	7042
0.218	7000
0.219	6961
0.22	6926
0.221	6892
0.222	6860
0.223	6824
0.224	6792
0.225	6759
0.226	6725
0.227	6691
0.228	6657
0.229	6623
0.23	6590
0.231	6554
0.232	6519
0.233	6487
0.234	6455
0.235	6421
0.236	6387
0.237	6356
0.238	6323
0.239	6293
0.24	6265
0.241	6232
0.242	6201
0.243	6168
0.244	6136
0.245	6109
0.246	6079
0.247	6049
0.248	6023
0.249	5991
0.25	5965
0.251	5937
0.252	5907
0.253	5878
0.254	5851
0.255	5826
0.256	5801
0.257	5776
0.258	5747
0.259	5721
0.26	5693
0.261	5665
0.262	5635
0.263	5608
0.264	5582
0.265	5553
0.266	5528
0.267	5502
0.268	5477
0.269	5451
0.27	5423
0.271	5400
0.272	5375
0.273	5351
0.274	5325
0.275	5300
0.276	5279
0.277	5255
0.278	5234
0.279	5210
0.28	5186
0.281	5162
0.282	5141
0.283	5119
0.284	5093
0.285	5070
0.286	5048
0.287	5025
0.288	5005
0.289	4985
0.29	4964
0.291	4943
0.292	4921
0.293	4900
0.294	4877
0.295	4853
0.296	4833
0.297	4814
0.298	4795
0.299	4774
0.3	4753
0.301	4734
0.302	4714
0.303	4692
0.304	4674
0.305	4654
0.306	4636
0.307	4616
0.308	4597
0.309	4578
0.31	4558
0.311	4540
0.312	4522
0.313	4504
0.314	4483
0.315	4465
0.316	4446
0.317	4428
0.318	4412
0.319	4393
0.32	4375
0.321	4357
0.322	4338
0.323	4320
0.324	4304
0.325	4288
0.326	4270
0.327	4252
0.328	4234
0.329	4218
0.33	4203
0.331	4186
0.332	4169
0.333	4152
0.334	4137
0.335	4122
0.336	4106
0.337	4089
0.338	4072
0.339	4056
0.34	4038
0.341	4022
0.342	4007
0.343	3991
0.344	3976
0.345	3960
0.346	3945
0.347	3928
0.348	3912
0.349	3897
0.35	3882
0.351	3868
0.352	3854
0.353	3839
0.354	3825
0.355	3810
0.356	3795
0.357	3781
0.358	3767
0.359	3753
0.36	3738
0.361	3725
0.362	3710
0.363	3696
0.364	3683
0.365	3670
0.366	3657
0.367	3643
0.368	3629
0.369	3616
0.37	3603
0.371	3589
0.372	3575
0.373	3562
0.374	3549
0.375	3536
0.376	3524
0.377	3511
0.378	3499
0.379	3486
0.38	3473
0.381	3461
0.382	3448
0.383	3436
0.384	3423
0.385	3411
0.386	3398
0.387	3386
0.388	3375
0.389	3362
0.39	3350
0.391	3338
0.392	3326
0.393	3314
0.394	3302
0.395	3290
0.396	3277
0.397	3265
0.398	3254
0.399	3243
0.4	3232
0.401	3221
0.402	3210
0.403	3199
0.404	3187
0.405	3176
0.406	3165
0.407	3155
0.408	3144
0.409	3132
0.41	3122
0.411	3111
0.412	3101
0.413	3090
0.414	3079
0.415	3068
0.416	3058
0.417	3048
0.418	3038
0.419	3027
0.42	3017
0.421	3007
0.422	2997
0.423	2986
0.424	2975
0.425	2965
0.426	2955
0.427	2945
0.428	2934
0.429	2925
0.43	2915
0.431	2906
0.432	2896
0.433	2887
0.434	2877
0.435	2867
0.436	2857
0.437	2848
0.438	2837
0.439	2828
0.44	2819
0.441	2810
0.442	2800
0.443	2791
0.444	2782
0.445	2772
0.446	2763
0.447	2754
0.448	2745
0.449	2736
0.45	2727
0.451	2718
0.452	2709
0.453	2700
0.454	2691
0.455	2682
0.456	2673
0.457	2665
0.458	2656
0.459	2648
0.46	2639
0.461	2631
0.462	2623
0.463	2615
0.464	2606
0.465	2597
0.466	2588
0.467	2580
0.468	2572
0.469	2564
0.47	2555
0.471	2547
0.472	2539
0.473	2531
0.474	2522
0.475	2514
0.476	2506
0.477	2498
0.478	2490
0.479	2482
0.48	2473
0.481	2465
0.482	2457
0.483	2449
0.484	2441
0.485	2433
0.486	2425
0.487	2418
0.488	2410
0.489	2402
0.49	2395
0.491	2387
0.492	2380
0.493	2372
0.494	2364
0.495	2357
0.496	2349
0.497	2341
0.498	2334
0.499	2326
0.5	2318
0.501	2311
0.502	2304
0.503	2297
0.504	2290
0.505	2283
0.506	2276
0.507	2268
0.508	2262
0.509	2255
0.51	2247
0.511	2240
0.512	2233
0.513	2225
0.514	2218
0.515	2211
0.516	2204
0.517	2198
0.518	2191
0.519	2184
0.52	2177
0.521	2170
0.522	2163
0.523	2156
0.524	2149
0.525	2142
0.526	2136
0.527	2128
0.528	2122
0.529	2115
0.53	2109
0.531	2101
0.532	2094
0.533	2088
0.534	2081
0.535	2075
0.536	2068
0.537	2062
0.538	2056
0.539	2049
0.54	2043
0.541	2037
0.542	2031
0.543	2024
0.544	2018
0.545	2012
0.546	2006
0.547	2000
0.548	1994
0.549	1987
0.55	1982
0.551	1976
0.552	1970
0.553	1964
0.554	1958
0.555	1951
0.556	1945
0.557	1940
0.558	1934
0.559	1927
0.56	1922
0.561	1916
0.562	1910
0.563	1904
0.564	1898
0.565	1892
0.566	1886
0.567	1881
0.568	1875
0.569	1869
0.57	1864
0.571	1858
0.572	1852
0.573	1846
0.574	1841
0.575	1835
0.576	1830
0.577	1824
0.578	1819
0.579	1813
0.58	1807
0.581	1802
0.582	1796
0.583	1791
0.584	1785
0.585	1780
0.586	1774
0.587	1769
0.588	1764
0.589	1758
0.59	1752
0.591	1747
0.592	1741
0.593	1736
0.594	1730
0.595	1725
0.596	1720
0.597	1715
0.598	1709
0.599	1704
0.6	1698
0.601	1693
0.602	1688
0.603	1682
0.604	1677
0.605	1672
0.606	1666
0.607	1662
0.608	1657
0.609	1651
0.61	1646
0.611	1641
0.612	1636
0.613	1631
0.614	1626
0.615	1621
0.616	1615
0.617	1610
0.618	1605
0.619	1600
0.62	1595
0.621	1591
0.622	1585
0.623	1580
0.624	1576
0.625	1571
0.626	1566
0.627	1561
0.628	1556
0.629	1551
0.63	1546
0.631	1542
0.632	1537
0.633	1532
0.634	1527
0.635	1522
0.636	1517
0.637	1512
0.638	1507
0.639	1502
0.64	1497
0.641	1493
0.642	1488
0.643	1483
0.644	1478
0.645	1474
0.646	1469
0.647	1464
0.648	1459
0.649	1455
0.65	1450
0.651	1445
0.652	1441
0.653	1436
0.654	1431
0.655	1427
0.656	1422
0.657	1417
0.658	1413
0.659	1408
0.66	1404
0.661	1399
0.662	1395
0.663	1390
0.664	1386
0.665	1381
0.666	1377
0.667	1372
0.668	1368
0.669	1363
0.67	1359
0.671	1354
0.672	1350
0.673	1345
0.674	1341
0.675	1337
0.676	1332
0.677	1328
0.678	1324
0.679	1320
0.68	1315
0.681	1311
0.682	1307
0.683	1303
0.684	1299
0.685	1294
0.686	1290
0.687	1286
0.688	1281
0.689	1277
0.69	1273
0.691	1269
0.692	1264
0.693	1260
0.694	1256
0.695	1251
0.696	1247
0.697	1243
0.698	1239
0.699	1235
0.7	1231
0.701	1227
0.702	1222
0.703	1218
0.704	1214
0.705	1210
0.706	1206
0.707	1202
0.708	1197
0.709	1193
0.71	1189
0.711	1185
0.712	1181
0.713	1177
0.714	1173
0.715	1169
0.716	1165
0.717	1161
0.718	1156
0.719	1152
0.72	1148
0.721	1144
0.722	1140
0.723	1136
0.724	1132
0.725	1128
0.726	1124
0.727	1120
0.728	1116
0.729	1112
0.73	1108
0.731	1105
0.732	1101
0.733	1097
0.734	1093
0.735	1089
0.736	1085
0.737	1081
0.738	1077
0.739	1073
0.74	1069
0.741	1065
0.742	1061
0.743	1057
0.744	1053
0.745	1049
0.746	1045
0.747	1041
0.748	1037
0.749	1033
0.75	1030
0.751	1026
0.752	1022
0.753	1018
0.754	1014
0.755	1011
0.756	1007
0.757	1003
0.758	999
0.759	995
0.76	992
0.761	988
0.762	984
