fraction	Nx_length
0.001	16003550
0.002	16003550
0.003	16003550
0.004	16003550
0.005	16003550
0.006	16003550
0.007	16003550
0.008	16003550
0.009	16003550
0.01	16003550
0.011	7572070
0.012	7572070
0.013	7572070
0.014	7572070
0.015	7572070
0.016	7492913
0.017	7492913
0.018	7492913
0.019	7492913
0.02	7020865
0.021	7020865
0.022	7020865
0.023	7020865
0.024	7020865
0.025	6466391
0.026	6466391
0.027	6466391
0.028	6466391
0.029	5956379
0.03	5956379
0.031	5956379
0.032	5956379
0.033	5796845
0.034	5796845
0.035	5796845
0.036	5796845
0.037	5402442
0.038	5402442
0.039	5402442
0.04	5046327
0.041	5046327
0.042	5046327
0.043	5014309
0.044	5014309
0.045	5014309
0.046	4894330
0.047	4894330
0.048	4894330
0.049	4894330
0.05	4720743
0.051	4720743
0.052	4720743
0.053	4549060
0.054	4549060
0.055	4512786
0.056	4512786
0.057	4512786
0.058	4503247
0.059	4503247
0.06	4503247
0.061	4487803
0.062	4487803
0.063	4487803
0.064	4455534
0.065	4455534
0.066	4455534
0.067	4451464
0.068	4451464
0.069	4451464
0.07	4420478
0.071	4420478
0.072	4420478
0.073	4399495
0.074	4399495
0.075	4396321
0.076	4396321
0.077	4396321
0.078	4364554
0.079	4364554
0.08	4364554
0.081	4289777
0.082	4289777
0.083	4289777
0.084	4239570
0.085	4239570
0.086	4239570
0.087	4232813
0.088	4232813
0.089	4170383
0.09	4170383
0.091	4170383
0.092	4004829
0.093	4004829
0.094	3932791
0.095	3932791
0.096	3932791
0.097	3904984
0.098	3904984
0.099	3894451
0.1	3894451
0.101	3894451
0.102	3806781
0.103	3806781
0.104	3743240
0.105	3743240
0.106	3743240
0.107	3715318
0.108	3715318
0.109	3668020
0.11	3668020
0.111	3668020
0.112	3625476
0.113	3625476
0.114	3574719
0.115	3574719
0.116	3568124
0.117	3568124
0.118	3549862
0.119	3549862
0.12	3549862
0.121	3546528
0.122	3546528
0.123	3521447
0.124	3521447
0.125	3517576
0.126	3517576
0.127	3511309
0.128	3511309
0.129	3511309
0.13	3511028
0.131	3511028
0.132	3496013
0.133	3496013
0.134	3464423
0.135	3464423
0.136	3452260
0.137	3452260
0.138	3452260
0.139	3411321
0.14	3411321
0.141	3391404
0.142	3391404
0.143	3372475
0.144	3372475
0.145	3351633
0.146	3351633
0.147	3347244
0.148	3347244
0.149	3341143
0.15	3341143
0.151	3341143
0.152	3329112
0.153	3329112
0.154	3295634
0.155	3295634
0.156	3257166
0.157	3257166
0.158	3249338
0.159	3249338
0.16	3246237
0.161	3246237
0.162	3210484
0.163	3210484
0.164	3203696
0.165	3203696
0.166	3202739
0.167	3202739
0.168	3187780
0.169	3187780
0.17	3158463
0.171	3158463
0.172	3152675
0.173	3152675
0.174	3147814
0.175	3147814
0.176	3146072
0.177	3146072
0.178	3119055
0.179	3119055
0.18	3115779
0.181	3115779
0.182	3111496
0.183	3111496
0.184	3106208
0.185	3106208
0.186	3082109
0.187	3082109
0.188	3070740
0.189	3070740
0.19	3057808
0.191	3057808
0.192	3041199
0.193	3041199
0.194	3025001
0.195	3025001
0.196	3016677
0.197	3016677
0.198	3008845
0.199	3008845
0.2	3003614
0.201	3003614
0.202	3000465
0.203	3000465
0.204	2989070
0.205	2989070
0.206	2969026
0.207	2969026
0.208	2961658
0.209	2934877
0.21	2934877
0.211	2927321
0.212	2927321
0.213	2919064
0.214	2919064
0.215	2887995
0.216	2887995
0.217	2876254
0.218	2876254
0.219	2866613
0.22	2866613
0.221	2850857
0.222	2846479
0.223	2846479
0.224	2826947
0.225	2826947
0.226	2822332
0.227	2822332
0.228	2803076
0.229	2803076
0.23	2799375
0.231	2797082
0.232	2797082
0.233	2771868
0.234	2771868
0.235	2769327
0.236	2769327
0.237	2756090
0.238	2723339
0.239	2723339
0.24	2704530
0.241	2704530
0.242	2684301
0.243	2684301
0.244	2670918
0.245	2664708
0.246	2664708
0.247	2664671
0.248	2664671
0.249	2606811
0.25	2599586
0.251	2599586
0.252	2591551
0.253	2591551
0.254	2580621
0.255	2561379
0.256	2561379
0.257	2550688
0.258	2550688
0.259	2542299
0.26	2535896
0.261	2535896
0.262	2534240
0.263	2534240
0.264	2510790
0.265	2493811
0.266	2493811
0.267	2492950
0.268	2491456
0.269	2491456
0.27	2489906
0.271	2489906
0.272	2487846
0.273	2484785
0.274	2484785
0.275	2470318
0.276	2462226
0.277	2462226
0.278	2459224
0.279	2455885
0.28	2455885
0.281	2452758
0.282	2452758
0.283	2433047
0.284	2432743
0.285	2432743
0.286	2429813
0.287	2419408
0.288	2419408
0.289	2419234
0.29	2416169
0.291	2416169
0.292	2415216
0.293	2412960
0.294	2412960
0.295	2405753
0.296	2405753
0.297	2404238
0.298	2375537
0.299	2375537
0.3	2370741
0.301	2364301
0.302	2364301
0.303	2347330
0.304	2331661
0.305	2331661
0.306	2327140
0.307	2325253
0.308	2325253
0.309	2323113
0.31	2319410
0.311	2319410
0.312	2316172
0.313	2312551
0.314	2312551
0.315	2310190
0.316	2306411
0.317	2301525
0.318	2301525
0.319	2297964
0.32	2296068
0.321	2296068
0.322	2287309
0.323	2281921
0.324	2281921
0.325	2274893
0.326	2264533
0.327	2264533
0.328	2263959
0.329	2247972
0.33	2247972
0.331	2244919
0.332	2231162
0.333	2229053
0.334	2229053
0.335	2216034
0.336	2176314
0.337	2176314
0.338	2173573
0.339	2173282
0.34	2173282
0.341	2172887
0.342	2170114
0.343	2165698
0.344	2165698
0.345	2157293
0.346	2151341
0.347	2145261
0.348	2145261
0.349	2143099
0.35	2131840
0.351	2131840
0.352	2127713
0.353	2125607
0.354	2123183
0.355	2123183
0.356	2109459
0.357	2106200
0.358	2101348
0.359	2101348
0.36	2098413
0.361	2097686
0.362	2092775
0.363	2092775
0.364	2090116
0.365	2071400
0.366	2066538
0.367	2066538
0.368	2065629
0.369	2059059
0.37	2058051
0.371	2058051
0.372	2054205
0.373	2037552
0.374	2034504
0.375	2034504
0.376	2029800
0.377	2014945
0.378	2013242
0.379	2012852
0.38	2012852
0.381	2011006
0.382	2007427
0.383	1995606
0.384	1995606
0.385	1989643
0.386	1988426
0.387	1984095
0.388	1982236
0.389	1982236
0.39	1978885
0.391	1964169
0.392	1959827
0.393	1949734
0.394	1949734
0.395	1946593
0.396	1935666
0.397	1928699
0.398	1928666
0.399	1928666
0.4	1927376
0.401	1915398
0.402	1910268
0.403	1908717
0.404	1908717
0.405	1902714
0.406	1902388
0.407	1901001
0.408	1900639
0.409	1891934
0.41	1891934
0.411	1890400
0.412	1887666
0.413	1883292
0.414	1880532
0.415	1878720
0.416	1878720
0.417	1866695
0.418	1866626
0.419	1864486
0.42	1859345
0.421	1856888
0.422	1856888
0.423	1854518
0.424	1852662
0.425	1852282
0.426	1848504
0.427	1847661
0.428	1846183
0.429	1846183
0.43	1840203
0.431	1838823
0.432	1833835
0.433	1831593
0.434	1827526
0.435	1827526
0.436	1826987
0.437	1820643
0.438	1818232
0.439	1815088
0.44	1811545
0.441	1809393
0.442	1809393
0.443	1808503
0.444	1800113
0.445	1797492
0.446	1790498
0.447	1783081
0.448	1780383
0.449	1779785
0.45	1779785
0.451	1771887
0.452	1768156
0.453	1764146
0.454	1758662
0.455	1757972
0.456	1746375
0.457	1746031
0.458	1743776
0.459	1743776
0.46	1740217
0.461	1734446
0.462	1725751
0.463	1724977
0.464	1712539
0.465	1708049
0.466	1699619
0.467	1696107
0.468	1690849
0.469	1681193
0.47	1664850
0.471	1664850
0.472	1662197
0.473	1660693
0.474	1654014
0.475	1652803
0.476	1652258
0.477	1646624
0.478	1644434
0.479	1643908
0.48	1642299
0.481	1637511
0.482	1619671
0.483	1618496
0.484	1617750
0.485	1616976
0.486	1610906
0.487	1608442
0.488	1599830
0.489	1596548
0.49	1594096
0.491	1582349
0.492	1582266
0.493	1581442
0.494	1579310
0.495	1578755
0.496	1554950
0.497	1548590
0.498	1539767
0.499	1532402
0.5	1528078
0.501	1527952
0.502	1523860
0.503	1522490
0.504	1517873
0.505	1512820
0.506	1510579
0.507	1506270
0.508	1505423
0.509	1496658
0.51	1495429
0.511	1494449
0.512	1483154
0.513	1472911
0.514	1472242
0.515	1470995
0.516	1468330
0.517	1466216
0.518	1465035
0.519	1462584
0.52	1462507
0.521	1461058
0.522	1459812
0.523	1453536
0.524	1453049
0.525	1429970
0.526	1425561
0.527	1423594
0.528	1416036
0.529	1415286
0.53	1409254
0.531	1404914
0.532	1401133
0.533	1400360
0.534	1399447
0.535	1398228
0.536	1397333
0.537	1395612
0.538	1395610
0.539	1383464
0.54	1381422
0.541	1378255
0.542	1377522
0.543	1375420
0.544	1369634
0.545	1368968
0.546	1358754
0.547	1348233
0.548	1344465
0.549	1341677
0.55	1336819
0.551	1331687
0.552	1331496
0.553	1329135
0.554	1324018
0.555	1321717
0.556	1313850
0.557	1313469
0.558	1312897
0.559	1312831
0.56	1306934
0.561	1305758
0.562	1304353
0.563	1297274
0.564	1294362
0.565	1293728
0.566	1282974
0.567	1279590
0.568	1274222
0.569	1274087
0.57	1265945
0.571	1265455
0.572	1257189
0.573	1256998
0.574	1252548
0.575	1251393
0.576	1245861
0.577	1244765
0.578	1244336
0.579	1243697
0.58	1233681
0.581	1230348
0.582	1226602
0.583	1226123
0.584	1219306
0.585	1218450
0.586	1214267
0.587	1212605
0.588	1210022
0.589	1208021
0.59	1207012
0.591	1206162
0.592	1198305
0.593	1195942
0.594	1194384
0.595	1193912
0.596	1190742
0.597	1189849
0.598	1187970
0.599	1186852
0.6	1182980
0.601	1176981
0.602	1171807
0.603	1171679
0.604	1168747
0.605	1168152
0.606	1166852
0.607	1163251
0.608	1161656
0.609	1150924
0.61	1149880
0.611	1149569
0.612	1143228
0.613	1141282
0.614	1141222
0.615	1134773
0.616	1131158
0.617	1130374
0.618	1123556
0.619	1122659
0.62	1114848
0.621	1114761
0.622	1113815
0.623	1109747
0.624	1106314
0.625	1105879
0.626	1105406
0.627	1096477
0.628	1096265
0.629	1095854
0.63	1091757
0.631	1089570
0.632	1083376
0.633	1082781
0.634	1077544
0.635	1076756
0.636	1073940
0.637	1071437
0.638	1071315
0.639	1067408
0.64	1064558
0.641	1059417
0.642	1056572
0.643	1054330
0.644	1053235
0.645	1052726
0.646	1049519
0.647	1045667
0.648	1045102
0.649	1042669
0.65	1038546
0.651	1026708
0.652	1022116
0.653	1020016
0.654	1017172
0.655	1005695
0.656	999676
0.657	996091
0.658	990700
0.659	990382
0.66	987679
0.661	984028
0.662	978616
0.663	978254
0.664	973829
0.665	968503
0.666	967499
0.667	955523
0.668	953071
0.669	952986
0.67	949856
0.671	948052
0.672	944269
0.673	942345
0.674	939837
0.675	937118
0.676	932345
0.677	931963
0.678	927379
0.679	923397
0.68	921400
0.681	919456
0.682	918822
0.683	913207
0.684	912029
0.685	908683
0.686	907664
0.687	904473
0.688	903125
0.689	898458
0.69	896423
0.691	895843
0.692	886516
0.693	884443
0.694	881269
0.695	872761
0.696	872415
0.697	869346
0.698	867723
0.699	865939
0.7	864579
0.701	860794
0.702	856100
0.703	855988
0.704	852212
0.705	848915
0.706	848263
0.707	845899
0.708	841947
0.709	836670
0.71	836039
0.711	833671
0.712	831802
0.713	826749
0.714	824374
0.715	822467
0.716	821605
0.717	815534
0.718	810659
0.719	808249
0.72	802773
0.721	800634
0.722	799252
0.723	798928
0.724	795355
0.725	791334
0.726	783274
0.727	780388
0.728	778680
0.729	777603
0.73	775269
0.731	772451
0.732	770727
0.733	769404
0.734	768749
0.735	754641
0.736	752579
0.737	749811
0.738	749541
0.739	748624
0.74	745471
0.741	744355
0.742	739769
0.743	738227
0.744	735971
0.745	731038
0.746	728429
0.747	727965
0.748	723240
0.749	720005
0.75	719006
0.751	713603
0.752	710015
0.753	705811
0.754	698872
0.755	696176
0.756	694363
0.757	690945
0.758	688962
0.759	684840
0.76	682782
0.761	681688
0.762	679273
0.763	677620
0.764	677028
0.765	669096
0.766	666937
0.767	664110
0.768	662168
0.769	659476
0.77	658219
0.771	656447
0.772	650612
0.773	645015
0.774	641648
0.775	639733
0.776	636691
0.777	634392
0.778	628038
0.779	626372
0.78	621948
0.781	619572
0.782	617432
0.783	614651
0.784	611040
0.785	607303
0.786	604312
0.787	602232
0.788	601524
0.789	600298
0.79	597251
0.791	592117
0.792	588372
0.793	584900
0.794	578635
0.795	575269
0.796	572217
0.797	571328
0.798	569371
0.799	567981
0.8	565381
0.801	564175
0.802	560156
0.803	558463
0.804	556010
0.805	555056
0.806	549448
0.807	548658
0.808	548082
0.809	546088
0.81	544664
0.811	541140
0.812	538140
0.813	532334
0.814	529420
0.815	526240
0.816	525281
0.817	524477
0.818	521228
0.819	517392
0.82	513518
0.821	509235
0.822	508281
0.823	505829
0.824	502616
0.825	499771
0.826	497794
0.827	496846
0.828	489588
0.829	488153
0.83	485626
0.831	481069
0.832	478711
0.833	475486
0.834	474786
0.835	473060
0.836	468681
0.837	465847
0.838	464990
0.839	463619
0.84	459964
0.841	456250
0.842	453594
0.843	449216
0.844	446177
0.845	445121
0.846	442421
0.847	441526
0.848	438346
0.849	437688
0.85	433988
0.851	431963
0.852	430403
0.853	428994
0.854	426392
0.855	425406
0.856	422084
0.857	420914
0.858	419553
0.859	416080
0.86	411901
0.861	411466
0.862	408391
0.863	404367
0.864	402010
0.865	397564
0.866	390397
0.867	386219
0.868	382992
0.869	381012
0.87	376461
0.871	375626
0.872	370049
0.873	367105
0.874	364481
0.875	361373
0.876	358216
0.877	354890
0.878	353358
0.879	352336
0.88	350455
0.881	348855
0.882	347126
0.883	343685
0.884	340310
0.885	339197
0.886	336074
0.887	333652
0.888	331662
0.889	326585
0.89	325107
0.891	324162
0.892	320083
0.893	314794
0.894	312637
0.895	309409
0.896	307096
0.897	302965
0.898	299404
0.899	297185
0.9	295032
0.901	294116
0.902	290886
0.903	288595
0.904	285360
0.905	281728
0.906	277264
0.907	275489
0.908	274703
0.909	272348
0.91	268654
0.911	264439
0.912	260073
0.913	258356
0.914	256552
0.915	254076
0.916	251581
0.917	249147
0.918	247850
0.919	245650
0.92	242841
0.921	240934
0.922	238699
0.923	237769
0.924	235043
0.925	233083
0.926	229852
0.927	227292
0.928	225143
0.929	220261
0.93	217499
0.931	215209
0.932	213729
0.933	210061
0.934	208249
0.935	205744
0.936	201934
0.937	200259
0.938	196125
0.939	193862
0.94	188949
0.941	187291
0.942	182815
0.943	180410
0.944	177614
0.945	175089
0.946	171659
0.947	169562
0.948	165940
0.949	164614
0.95	161013
0.951	158618
0.952	155796
0.953	153992
0.954	151373
0.955	149486
0.956	146203
0.957	143983
0.958	142362
0.959	140007
0.96	138201
0.961	135577
0.962	132811
0.963	130487
0.964	126088
0.965	121801
0.966	118837
0.967	114942
0.968	112619
0.969	109384
0.97	107135
0.971	102381
0.972	98051
0.973	94602
0.974	88948
0.975	86797
0.976	83241
0.977	80268
0.978	75884
0.979	72518
0.98	69743
0.981	65896
0.982	63087
0.983	58646
0.984	54795
0.985	52021
0.986	49266
0.987	46559
0.988	41959
0.989	38027
0.99	33917
0.991	29851
0.992	24948
0.993	20426
0.994	16219
0.995	11515
0.996	7446
