fraction	Nx_length
0.001	43325
0.002	38654
0.003	36347
0.004	33669
0.005	31735
0.006	30076
0.007	28587
0.008	27334
0.009	26306
0.01	25161
0.011	24189
0.012	23362
0.013	22423
0.014	21748
0.015	21147
0.016	20615
0.017	19939
0.018	19418
0.019	18815
0.02	18408
0.021	17908
0.022	17523
0.023	17098
0.024	16725
0.025	16389
0.026	16040
0.027	15684
0.028	15403
0.029	15109
0.03	14807
0.031	14482
0.032	14215
0.033	13971
0.034	13680
0.035	13419
0.036	13171
0.037	12897
0.038	12666
0.039	12435
0.04	12238
0.041	12017
0.042	11826
0.043	11657
0.044	11459
0.045	11280
0.046	11116
0.047	10906
0.048	10740
0.049	10558
0.05	10336
0.051	10184
0.052	10029
0.053	9872
0.054	9727
0.055	9598
0.056	9436
0.057	9300
0.058	9154
0.059	9029
0.06	8886
0.061	8752
0.062	8630
0.063	8510
0.064	8388
0.065	8274
0.066	8164
0.067	8043
0.068	7928
0.069	7823
0.07	7707
0.071	7600
0.072	7487
0.073	7388
0.074	7287
0.075	7172
0.076	7067
0.077	6978
0.078	6889
0.079	6797
0.08	6706
0.081	6614
0.082	6524
0.083	6450
0.084	6359
0.085	6284
0.086	6192
0.087	6117
0.088	6031
0.089	5962
0.09	5892
0.091	5807
0.092	5731
0.093	5657
0.094	5584
0.095	5513
0.096	5447
0.097	5378
0.098	5305
0.099	5243
0.1	5179
0.101	5116
0.102	5056
0.103	4996
0.104	4937
0.105	4875
0.106	4813
0.107	4755
0.108	4702
0.109	4648
0.11	4600
0.111	4549
0.112	4496
0.113	4447
0.114	4394
0.115	4342
0.116	4294
0.117	4243
0.118	4193
0.119	4147
0.12	4101
0.121	4060
0.122	4014
0.123	3973
0.124	3934
0.125	3894
0.126	3850
0.127	3814
0.128	3773
0.129	3732
0.13	3693
0.131	3657
0.132	3621
0.133	3583
0.134	3545
0.135	3511
0.136	3476
0.137	3442
0.138	3409
0.139	3375
0.14	3343
0.141	3312
0.142	3283
0.143	3253
0.144	3224
0.145	3195
0.146	3167
0.147	3139
0.148	3111
0.149	3087
0.15	3060
0.151	3035
0.152	3009
0.153	2983
0.154	2958
0.155	2934
0.156	2911
0.157	2887
0.158	2865
0.159	2841
0.16	2819
0.161	2798
0.162	2777
0.163	2757
0.164	2735
0.165	2714
0.166	2695
0.167	2675
0.168	2656
0.169	2638
0.17	2620
0.171	2602
0.172	2584
0.173	2565
0.174	2546
0.175	2529
0.176	2511
0.177	2495
0.178	2479
0.179	2463
0.18	2447
0.181	2432
0.182	2417
0.183	2402
0.184	2387
0.185	2373
0.186	2359
0.187	2345
0.188	2331
0.189	2318
0.19	2304
0.191	2291
0.192	2278
0.193	2266
0.194	2252
0.195	2240
0.196	2227
0.197	2215
0.198	2203
0.199	2191
0.2	2179
0.201	2168
0.202	2156
0.203	2145
0.204	2133
0.205	2122
0.206	2111
0.207	2100
0.208	2090
0.209	2080
0.21	2070
0.211	2060
0.212	2049
0.213	2039
0.214	2030
0.215	2020
0.216	2010
0.217	2000
0.218	1991
0.219	1982
0.22	1972
0.221	1964
0.222	1954
0.223	1945
0.224	1935
0.225	1927
0.226	1919
0.227	1910
0.228	1902
0.229	1893
0.23	1885
0.231	1876
0.232	1868
0.233	1860
0.234	1852
0.235	1844
0.236	1836
0.237	1829
0.238	1821
0.239	1814
0.24	1806
0.241	1799
0.242	1792
0.243	1784
0.244	1777
0.245	1770
0.246	1763
0.247	1756
0.248	1749
0.249	1742
0.25	1735
0.251	1728
0.252	1721
0.253	1715
0.254	1708
0.255	1701
0.256	1695
0.257	1688
0.258	1682
0.259	1676
0.26	1669
0.261	1663
0.262	1657
0.263	1651
0.264	1645
0.265	1638
0.266	1632
0.267	1627
0.268	1621
0.269	1615
0.27	1610
0.271	1604
0.272	1598
0.273	1593
0.274	1587
0.275	1582
0.276	1576
0.277	1571
0.278	1565
0.279	1560
0.28	1554
0.281	1549
0.282	1543
0.283	1538
0.284	1533
0.285	1528
0.286	1522
0.287	1517
0.288	1511
0.289	1506
0.29	1501
0.291	1496
0.292	1491
0.293	1486
0.294	1481
0.295	1476
0.296	1471
0.297	1466
0.298	1462
0.299	1457
0.3	1452
0.301	1448
0.302	1443
0.303	1439
0.304	1434
0.305	1429
0.306	1425
0.307	1420
0.308	1416
0.309	1411
0.31	1407
0.311	1403
0.312	1398
0.313	1394
0.314	1389
0.315	1385
0.316	1381
0.317	1377
0.318	1373
0.319	1368
0.32	1364
0.321	1360
0.322	1356
0.323	1352
0.324	1348
0.325	1344
0.326	1340
0.327	1336
0.328	1332
0.329	1327
0.33	1324
0.331	1320
0.332	1316
0.333	1312
0.334	1308
0.335	1304
0.336	1301
0.337	1297
0.338	1293
0.339	1289
0.34	1285
0.341	1281
0.342	1278
0.343	1274
0.344	1271
0.345	1267
0.346	1263
0.347	1259
0.348	1256
0.349	1252
0.35	1249
0.351	1245
0.352	1242
0.353	1238
0.354	1235
0.355	1231
0.356	1228
0.357	1224
0.358	1221
0.359	1217
0.36	1214
0.361	1210
0.362	1207
0.363	1204
0.364	1201
0.365	1197
0.366	1194
0.367	1191
0.368	1188
0.369	1184
0.37	1181
0.371	1178
0.372	1175
0.373	1171
0.374	1168
0.375	1165
0.376	1162
0.377	1159
0.378	1156
0.379	1153
0.38	1149
0.381	1146
0.382	1143
0.383	1140
0.384	1137
0.385	1134
0.386	1131
0.387	1127
0.388	1124
0.389	1122
0.39	1119
0.391	1116
0.392	1113
0.393	1110
0.394	1107
0.395	1104
0.396	1101
0.397	1098
0.398	1095
0.399	1092
0.4	1090
0.401	1087
0.402	1084
0.403	1081
0.404	1078
0.405	1075
0.406	1072
0.407	1070
0.408	1067
0.409	1064
0.41	1061
0.411	1058
0.412	1056
0.413	1053
0.414	1050
0.415	1048
0.416	1045
0.417	1042
0.418	1040
