fraction	Nx_length
0.001	217764843
0.002	217764843
0.003	217764843
0.004	217764843
0.005	217764843
0.006	217764843
0.007	217764843
0.008	217764843
0.009	217764843
0.01	217764843
0.011	217764843
0.012	217764843
0.013	217764843
0.014	217764843
0.015	217764843
0.016	217764843
0.017	217764843
0.018	217764843
0.019	217764843
0.02	217764843
0.021	217764843
0.022	217764843
0.023	217764843
0.024	217764843
0.025	217764843
0.026	217764843
0.027	217764843
0.028	217764843
0.029	217764843
0.03	217764843
0.031	217764843
0.032	217764843
0.033	217764843
0.034	217764843
0.035	217764843
0.036	217764843
0.037	217764843
0.038	217764843
0.039	217764843
0.04	217764843
0.041	217764843
0.042	217764843
0.043	217764843
0.044	217764843
0.045	217764843
0.046	217764843
0.047	217764843
0.048	217764843
0.049	217764843
0.05	217764843
0.051	217764843
0.052	217764843
0.053	217764843
0.054	217764843
0.055	217764843
0.056	217764843
0.057	217764843
0.058	217764843
0.059	217764843
0.06	217764843
0.061	217764843
0.062	217764843
0.063	217764843
0.064	217764843
0.065	217764843
0.066	217764843
0.067	217764843
0.068	217764843
0.069	217764843
0.07	217764843
0.071	217764843
0.072	217764843
0.073	217764843
0.074	217764843
0.075	217764843
0.076	217764843
0.077	217764843
0.078	217764843
0.079	217764843
0.08	217764843
0.081	217764843
0.082	217764843
0.083	217764843
0.084	217764843
0.085	217764843
0.086	217764843
0.087	217764843
0.088	217764843
0.089	217764843
0.09	217764843
0.091	217764843
0.092	217764843
0.093	217764843
0.094	217764843
0.095	217764843
0.096	217764843
0.097	217764843
0.098	217764843
0.099	217764843
0.1	217764843
0.101	217764843
0.102	217764843
0.103	217764843
0.104	217764843
0.105	217764843
0.106	217764843
0.107	217764843
0.108	217764843
0.109	217764843
0.11	217764843
0.111	217764843
0.112	217764843
0.113	217764843
0.114	217764843
0.115	217764843
0.116	217764843
0.117	217764843
0.118	217764843
0.119	103660593
0.12	103660593
0.121	103660593
0.122	103660593
0.123	103660593
0.124	103660593
0.125	103660593
0.126	103660593
0.127	103660593
0.128	103660593
0.129	103660593
0.13	103660593
0.131	103660593
0.132	103660593
0.133	103660593
0.134	103660593
0.135	103660593
0.136	103660593
0.137	103660593
0.138	103660593
0.139	103660593
0.14	103660593
0.141	103660593
0.142	103660593
0.143	103660593
0.144	103660593
0.145	103660593
0.146	103660593
0.147	103660593
0.148	103660593
0.149	103660593
0.15	103660593
0.151	103660593
0.152	103660593
0.153	103660593
0.154	103660593
0.155	103660593
0.156	103660593
0.157	103660593
0.158	103660593
0.159	103660593
0.16	103660593
0.161	103660593
0.162	103660593
0.163	103660593
0.164	103660593
0.165	103660593
0.166	103660593
0.167	103660593
0.168	103660593
0.169	103660593
0.17	103660593
0.171	103660593
0.172	103660593
