fraction	Nx_length
0.001	321190879
0.002	321190879
0.003	321190879
0.004	321190879
0.005	321190879
0.006	321190879
0.007	321190879
0.008	321190879
0.009	321190879
0.01	321190879
0.011	321190879
0.012	321190879
0.013	321190879
0.014	321190879
0.015	321190879
0.016	321190879
0.017	321190879
0.018	321190879
0.019	321190879
0.02	321190879
0.021	321190879
0.022	321190879
0.023	321190879
0.024	321190879
0.025	321190879
0.026	321190879
0.027	321190879
0.028	321190879
0.029	321190879
0.03	321190879
0.031	321190879
0.032	321190879
0.033	321190879
0.034	321190879
0.035	321190879
0.036	321190879
0.037	321190879
0.038	321190879
0.039	321190879
0.04	321190879
0.041	321190879
0.042	321190879
0.043	321190879
0.044	321190879
0.045	321190879
0.046	321190879
0.047	321190879
0.048	321190879
0.049	321190879
0.05	321190879
0.051	321190879
0.052	321190879
0.053	321190879
0.054	321190879
0.055	321190879
0.056	321190879
0.057	321190879
0.058	321190879
0.059	321190879
0.06	321190879
0.061	321190879
0.062	321190879
0.063	321190879
0.064	321190879
0.065	321190879
0.066	321190879
0.067	321190879
0.068	321190879
0.069	321190879
0.07	321190879
0.071	321190879
0.072	321190879
0.073	321190879
0.074	321190879
0.075	321190879
0.076	321190879
0.077	321190879
0.078	321190879
0.079	321190879
0.08	321190879
0.081	321190879
0.082	321190879
0.083	321190879
0.084	321190879
0.085	321190879
0.086	321190879
0.087	321190879
0.088	321190879
0.089	321190879
0.09	321190879
0.091	321190879
0.092	321190879
0.093	321190879
0.094	321190879
0.095	321190879
0.096	321190879
0.097	321190879
0.098	321190879
0.099	321190879
0.1	321190879
0.101	321190879
0.102	321190879
0.103	321190879
0.104	321190879
0.105	321190879
0.106	321190879
0.107	321190879
0.108	321190879
0.109	321190879
0.11	321190879
0.111	321190879
0.112	321190879
0.113	321190879
0.114	321190879
0.115	321190879
0.116	321190879
0.117	321190879
0.118	321190879
0.119	321190879
0.12	321190879
0.121	321190879
0.122	321190879
0.123	321190879
0.124	321190879
0.125	321190879
0.126	321190879
0.127	321190879
0.128	321190879
0.129	321190879
0.13	321190879
0.131	321190879
0.132	321190879
0.133	321190879
0.134	321190879
0.135	321190879
0.136	321190879
0.137	321190879
0.138	321190879
0.139	321190879
0.14	321190879
0.141	321190879
0.142	321190879
0.143	321190879
0.144	321190879
0.145	321190879
0.146	321190879
0.147	321190879
0.148	321190879
0.149	321190879
0.15	321190879
0.151	321190879
0.152	321190879
0.153	321190879
0.154	321190879
0.155	321190879
0.156	321190879
0.157	321190879
0.158	321190879
0.159	321190879
0.16	321190879
0.161	321190879
0.162	321190879
0.163	321190879
0.164	321190879
0.165	321190879
0.166	321190879
0.167	321190879
0.168	321190879
0.169	321190879
0.17	321190879
0.171	321190879
0.172	321190879
0.173	321190879
0.174	321190879
0.175	321190879
0.176	321190879
0.177	321190879
0.178	321190879
0.179	321190879
0.18	321190879
0.181	257602178
0.182	257602178
0.183	257602178
0.184	257602178
0.185	257602178
0.186	257602178
0.187	257602178
0.188	257602178
0.189	257602178
0.19	257602178
0.191	257602178
0.192	257602178
0.193	257602178
0.194	257602178
0.195	257602178
0.196	257602178
0.197	257602178
0.198	257602178
0.199	257602178
0.2	257602178
0.201	257602178
0.202	257602178
0.203	257602178
0.204	257602178
0.205	257602178
0.206	257602178
0.207	257602178
0.208	257602178
0.209	257602178
0.21	257602178
0.211	257602178
0.212	257602178
0.213	257602178
0.214	257602178
0.215	257602178
0.216	257602178
0.217	257602178
0.218	257602178
0.219	257602178
0.22	257602178
0.221	257602178
0.222	257602178
0.223	257602178
0.224	257602178
0.225	257602178
0.226	257602178
0.227	257602178
0.228	257602178
0.229	257602178
0.23	257602178
0.231	257602178
0.232	257602178
0.233	257602178
0.234	257602178
0.235	257602178
0.236	257602178
0.237	257602178
0.238	257602178
0.239	257602178
0.24	257602178
0.241	257602178
0.242	257602178
0.243	257602178
0.244	257602178
0.245	257602178
0.246	257602178
0.247	257602178
0.248	257602178
0.249	257602178
0.25	257602178
0.251	257602178
0.252	257602178
0.253	257602178
0.254	257602178
0.255	257602178
0.256	257602178
0.257	257602178
0.258	257602178
0.259	257602178
0.26	257602178
0.261	257602178
0.262	257602178
0.263	257602178
0.264	257602178
0.265	257602178
0.266	257602178
0.267	257602178
0.268	257602178
0.269	257602178
0.27	257602178
0.271	257602178
0.272	257602178
0.273	257602178
0.274	257602178
0.275	257602178
0.276	257602178
0.277	257602178
0.278	257602178
0.279	257602178
0.28	257602178
0.281	257602178
0.282	257602178
0.283	257602178
0.284	257602178
0.285	257602178
0.286	257602178
0.287	257602178
0.288	257602178
0.289	257602178
0.29	257602178
0.291	257602178
0.292	257602178
0.293	257602178
0.294	257602178
0.295	257602178
0.296	257602178
0.297	257602178
0.298	257602178
0.299	257602178
0.3	257602178
0.301	257602178
0.302	257602178
0.303	257602178
0.304	257602178
0.305	257602178
0.306	257602178
0.307	257602178
0.308	257602178
0.309	257602178
0.31	257602178
0.311	257602178
0.312	257602178
0.313	257602178
0.314	257602178
0.315	257602178
0.316	257602178
0.317	257602178
0.318	257602178
0.319	257602178
0.32	257602178
0.321	257602178
0.322	257602178
0.323	257602178
0.324	257602178
0.325	207716272
0.326	207716272
0.327	207716272
0.328	207716272
0.329	207716272
0.33	207716272
0.331	207716272
0.332	207716272
0.333	207716272
0.334	207716272
0.335	207716272
0.336	207716272
0.337	207716272
0.338	207716272
0.339	207716272
0.34	207716272
0.341	207716272
0.342	207716272
0.343	207716272
0.344	207716272
0.345	207716272
0.346	207716272
0.347	207716272
0.348	207716272
0.349	207716272
0.35	207716272
0.351	207716272
0.352	207716272
0.353	207716272
0.354	207716272
0.355	207716272
0.356	207716272
0.357	207716272
0.358	207716272
0.359	207716272
0.36	207716272
0.361	207716272
0.362	207716272
0.363	207716272
0.364	207716272
0.365	207716272
0.366	207716272
0.367	207716272
0.368	207716272
0.369	207716272
0.37	207716272
0.371	207716272
0.372	207716272
0.373	207716272
0.374	207716272
0.375	207716272
0.376	207716272
0.377	207716272
0.378	207716272
0.379	207716272
0.38	207716272
0.381	207716272
0.382	207716272
0.383	207716272
0.384	207716272
0.385	207716272
0.386	207716272
0.387	207716272
0.388	207716272
0.389	207716272
0.39	207716272
0.391	207716272
0.392	207716272
0.393	207716272
0.394	207716272
0.395	207716272
0.396	207716272
0.397	207716272
0.398	207716272
0.399	207716272
0.4	207716272
0.401	207716272
0.402	207716272
0.403	207716272
0.404	207716272
0.405	207716272
0.406	207716272
0.407	207716272
0.408	207716272
0.409	207716272
0.41	207716272
0.411	207716272
0.412	207716272
0.413	207716272
0.414	207716272
0.415	207716272
0.416	207716272
0.417	207716272
0.418	207716272
0.419	207716272
0.42	207716272
0.421	207716272
0.422	207716272
0.423	207716272
0.424	207716272
0.425	207716272
0.426	207716272
0.427	207716272
0.428	207716272
0.429	207716272
0.43	207716272
0.431	207716272
0.432	207716272
0.433	207716272
0.434	207716272
0.435	207716272
0.436	207716272
0.437	207716272
0.438	207716272
0.439	207716272
0.44	207716272
0.441	207716272
0.442	86669289
0.443	86669289
0.444	86669289
0.445	86669289
0.446	86669289
0.447	86669289
0.448	86669289
0.449	86669289
0.45	86669289
0.451	86669289
0.452	86669289
0.453	86669289
0.454	86669289
0.455	86669289
0.456	86669289
0.457	86669289
0.458	86669289
0.459	86669289
0.46	86669289
0.461	86669289
0.462	86669289
0.463	86669289
0.464	86669289
0.465	86669289
0.466	86669289
0.467	86669289
0.468	86669289
0.469	86669289
0.47	86669289
0.471	86669289
0.472	86669289
0.473	86669289
0.474	86669289
0.475	86669289
0.476	86669289
0.477	86669289
0.478	86669289
0.479	86669289
0.48	86669289
0.481	86669289
0.482	86669289
0.483	86669289
0.484	86669289
0.485	86669289
0.486	86669289
0.487	86669289
0.488	86669289
0.489	86669289
0.49	83654930
0.491	83654930
0.492	83654930
0.493	83654930
0.494	83654930
0.495	83654930
0.496	83654930
0.497	83654930
0.498	83654930
0.499	83654930
0.5	83654930
0.501	83654930
0.502	83654930
0.503	83654930
0.504	83654930
0.505	83654930
0.506	83654930
0.507	83654930
0.508	83654930
0.509	83654930
0.51	83654930
0.511	83654930
0.512	83654930
0.513	83654930
0.514	83654930
0.515	83654930
0.516	83654930
0.517	83654930
0.518	83654930
0.519	83654930
0.52	83654930
0.521	83654930
0.522	83654930
0.523	83654930
0.524	83654930
0.525	83654930
0.526	83654930
0.527	83654930
0.528	83654930
0.529	83654930
0.53	83654930
0.531	83654930
0.532	83654930
0.533	83654930
0.534	83654930
0.535	83654930
0.536	83654930
0.537	73782097
0.538	73782097
0.539	73782097
0.54	73782097
0.541	73782097
0.542	73782097
0.543	73782097
0.544	73782097
0.545	73782097
0.546	73782097
0.547	73782097
0.548	73782097
0.549	73782097
0.55	73782097
0.551	73782097
0.552	73782097
0.553	73782097
0.554	73782097
0.555	73782097
0.556	73782097
0.557	73782097
0.558	73782097
0.559	73782097
0.56	73782097
0.561	73782097
0.562	73782097
0.563	73782097
0.564	73782097
0.565	73782097
0.566	73782097
0.567	73782097
0.568	73782097
0.569	73782097
0.57	73782097
0.571	73782097
0.572	73782097
0.573	73782097
0.574	73782097
0.575	73782097
0.576	73782097
0.577	73782097
0.578	73782097
0.579	45691063
0.58	45691063
0.581	45691063
0.582	45691063
0.583	45691063
0.584	45691063
0.585	45691063
0.586	45691063
0.587	45691063
0.588	45691063
0.589	45691063
0.59	45691063
0.591	45691063
0.592	45691063
0.593	45691063
0.594	45691063
0.595	45691063
0.596	45691063
0.597	45691063
0.598	45691063
0.599	45691063
0.6	45691063
0.601	45691063
0.602	45691063
0.603	45691063
0.604	36140429
0.605	36140429
0.606	36140429
0.607	36140429
0.608	36140429
0.609	36140429
0.61	36140429
0.611	36140429
0.612	36140429
0.613	36140429
0.614	36140429
0.615	36140429
0.616	36140429
0.617	36140429
0.618	36140429
0.619	36140429
0.62	36140429
0.621	36140429
0.622	36140429
0.623	36140429
0.624	27928768
0.625	27928768
0.626	27928768
0.627	27928768
0.628	27928768
0.629	27928768
0.63	27928768
0.631	27928768
0.632	27928768
0.633	27928768
0.634	27928768
0.635	27928768
0.636	27928768
0.637	27928768
0.638	27928768
0.639	27928768
0.64	25011198
0.641	25011198
0.642	25011198
0.643	25011198
0.644	25011198
0.645	25011198
0.646	25011198
0.647	25011198
0.648	25011198
0.649	25011198
0.65	25011198
0.651	25011198
0.652	25011198
0.653	25011198
0.654	23467481
0.655	23467481
0.656	23467481
0.657	23467481
0.658	23467481
0.659	23467481
0.66	23467481
0.661	23467481
0.662	23467481
0.663	23467481
0.664	23467481
0.665	23467481
0.666	23467481
0.667	22049129
0.668	22049129
0.669	22049129
0.67	22049129
0.671	22049129
0.672	22049129
0.673	22049129
0.674	22049129
0.675	22049129
0.676	22049129
0.677	22049129
0.678	22049129
0.679	22049129
0.68	21164459
0.681	21164459
0.682	21164459
0.683	21164459
0.684	21164459
0.685	21164459
0.686	21164459
0.687	21164459
0.688	21164459
0.689	21164459
0.69	21164459
0.691	20767027
0.692	20767027
0.693	20767027
0.694	20767027
0.695	20767027
0.696	20767027
0.697	20767027
0.698	20767027
0.699	20767027
0.7	20767027
0.701	20767027
0.702	20767027
0.703	20652101
0.704	20652101
0.705	20652101
0.706	20652101
0.707	20652101
0.708	20652101
0.709	20652101
0.71	20652101
0.711	20652101
0.712	20652101
0.713	20652101
0.714	20652101
0.715	19763016
0.716	19763016
0.717	19763016
0.718	19763016
0.719	19763016
0.72	19763016
0.721	19763016
0.722	19763016
0.723	19763016
0.724	19763016
0.725	19763016
0.726	19720477
0.727	19720477
0.728	19720477
0.729	19720477
0.73	19720477
0.731	19720477
0.732	19720477
0.733	19720477
0.734	19720477
0.735	19720477
0.736	19720477
0.737	18654660
0.738	18654660
0.739	18654660
0.74	18654660
0.741	18654660
0.742	18654660
0.743	18654660
0.744	18654660
0.745	18654660
0.746	18654660
0.747	17253309
0.748	17253309
0.749	17253309
0.75	17253309
0.751	17253309
0.752	17253309
0.753	17253309
0.754	17253309
0.755	17253309
0.756	17253309
0.757	16396968
0.758	16396968
0.759	16396968
0.76	16396968
0.761	16396968
0.762	16396968
0.763	16396968
0.764	16396968
0.765	16396968
0.766	16146240
0.767	16146240
0.768	16146240
0.769	16146240
0.77	16146240
0.771	16146240
0.772	16146240
0.773	16146240
0.774	16146240
0.775	14755105
0.776	14755105
0.777	14755105
0.778	14755105
0.779	14755105
0.78	14755105
0.781	14755105
0.782	14755105
0.783	14755105
0.784	13072497
0.785	13072497
0.786	13072497
0.787	13072497
0.788	13072497
0.789	13072497
0.79	13072497
0.791	12515648
0.792	12515648
0.793	12515648
0.794	12515648
0.795	12515648
0.796	12515648
0.797	12515648
0.798	11772477
0.799	11772477
0.8	11772477
0.801	11772477
0.802	11772477
0.803	11772477
0.804	9179462
0.805	9179462
0.806	9179462
0.807	9179462
0.808	9179462
0.809	9179462
0.81	8910759
0.811	8910759
0.812	8910759
0.813	8910759
0.814	8910759
0.815	8320538
0.816	8320538
0.817	8320538
0.818	8320538
0.819	8035604
0.82	8035604
0.821	8035604
0.822	8035604
0.823	8035604
0.824	7918806
0.825	7918806
0.826	7918806
0.827	7918806
0.828	7588604
0.829	7588604
0.83	7588604
0.831	7588604
0.832	7588604
0.833	7224172
0.834	7224172
0.835	7224172
0.836	7224172
0.837	6749620
0.838	6749620
0.839	6749620
0.84	6748657
0.841	6748657
0.842	6748657
0.843	6748657
0.844	6576937
0.845	6576937
0.846	6576937
0.847	6576937
0.848	6326170
0.849	6326170
0.85	6326170
0.851	6093848
0.852	6093848
0.853	6093848
0.854	6093848
0.855	5927704
0.856	5927704
0.857	5927704
0.858	5884948
0.859	5884948
0.86	5884948
0.861	5725973
0.862	5725973
0.863	5725973
0.864	5725973
0.865	5535237
0.866	5535237
0.867	5535237
0.868	5515806
0.869	5515806
0.87	5515806
0.871	5508313
0.872	5508313
0.873	5508313
0.874	5069494
0.875	5069494
0.876	5069494
0.877	4914281
0.878	4914281
0.879	4914281
0.88	4704107
0.881	4704107
0.882	4556258
0.883	4556258
0.884	4556258
0.885	4399954
0.886	4399954
0.887	4336209
0.888	4336209
0.889	4336209
0.89	4259601
0.891	4259601
0.892	4192380
0.893	4192380
0.894	4126062
0.895	4126062
0.896	4126062
0.897	4116305
0.898	4116305
0.899	4114383
0.9	4114383
0.901	4022595
0.902	4022595
0.903	4022595
0.904	3923903
0.905	3923903
0.906	3831809
0.907	3831809
0.908	3772082
0.909	3772082
0.91	3488862
0.911	3488862
0.912	3488342
0.913	3488342
0.914	3391996
0.915	3391996
0.916	3174945
0.917	3174945
0.918	3106851
0.919	3065128
0.92	3065128
0.921	2993485
0.922	2993485
0.923	2984937
0.924	2933441
0.925	2933441
0.926	2872956
0.927	2872956
0.928	2860126
0.929	2757940
0.93	2757940
0.931	2705559
0.932	2649796
0.933	2649796
0.934	2584652
0.935	2583058
0.936	2583058
0.937	2327522
0.938	2324773
0.939	2229808
0.94	2229808
0.941	2199575
0.942	2195655
0.943	2110170
0.944	2011928
0.945	1928135
0.946	1785871
0.947	1768197
0.948	1657735
0.949	1535828
0.95	1523663
0.951	1505297
0.952	1498273
0.953	1467518
0.954	1397472
0.955	1396940
0.956	1386706
0.957	1351199
