fraction	Nx_length
0.001	254579594
0.002	254579594
0.003	254579594
0.004	254579594
0.005	254579594
0.006	254579594
0.007	254579594
0.008	254579594
0.009	254579594
0.01	254579594
0.011	254579594
0.012	254579594
0.013	254579594
0.014	254579594
0.015	254579594
0.016	254579594
0.017	254579594
0.018	254579594
0.019	254579594
0.02	254579594
0.021	254579594
0.022	254579594
0.023	254579594
0.024	254579594
0.025	254579594
0.026	254579594
0.027	254579594
0.028	254579594
0.029	254579594
0.03	254579594
0.031	254579594
0.032	254579594
0.033	254579594
0.034	254579594
0.035	254579594
0.036	254579594
0.037	254579594
0.038	254579594
0.039	254579594
0.04	254579594
0.041	254579594
0.042	254579594
0.043	254579594
0.044	254579594
0.045	254579594
0.046	254579594
0.047	254579594
0.048	254579594
0.049	254579594
0.05	254579594
0.051	254579594
0.052	254579594
0.053	254579594
0.054	254579594
0.055	254579594
0.056	254579594
0.057	254579594
0.058	254579594
0.059	254579594
0.06	254579594
0.061	254579594
0.062	254579594
0.063	254579594
0.064	254579594
0.065	254579594
0.066	254579594
0.067	254579594
0.068	254579594
0.069	254579594
0.07	254579594
0.071	254579594
0.072	254579594
0.073	254579594
0.074	254579594
0.075	254579594
0.076	254579594
0.077	254579594
0.078	254579594
0.079	254579594
0.08	254579594
0.081	254579594
0.082	254579594
0.083	254579594
0.084	254579594
0.085	254579594
0.086	254579594
0.087	254579594
0.088	254579594
0.089	254579594
0.09	254579594
0.091	254579594
0.092	254579594
0.093	254579594
0.094	254579594
0.095	254579594
0.096	254579594
0.097	254579594
0.098	254579594
0.099	254579594
0.1	254579594
0.101	254579594
0.102	254579594
0.103	254579594
0.104	254579594
0.105	254579594
0.106	254579594
0.107	254579594
0.108	254579594
0.109	254579594
0.11	254579594
0.111	254579594
0.112	254579594
0.113	254579594
0.114	254579594
0.115	254579594
0.116	254579594
0.117	254579594
0.118	254579594
0.119	254579594
0.12	254579594
0.121	254579594
0.122	254579594
0.123	254579594
0.124	254579594
0.125	254579594
0.126	254579594
0.127	254579594
0.128	254579594
0.129	254579594
0.13	254579594
0.131	254579594
0.132	254579594
0.133	254579594
0.134	254579594
0.135	254579594
0.136	254579594
0.137	254579594
0.138	254579594
0.139	254579594
0.14	254579594
0.141	254579594
0.142	249052848
0.143	249052848
