fraction	Nx_length
0.001	204769
0.002	177129
0.003	172869
0.004	161357
0.005	153511
0.006	149363
0.007	144614
0.008	140833
0.009	137847
0.01	135642
0.011	133495
0.012	130597
0.013	129236
0.014	127313
0.015	126169
0.016	124525
0.017	123297
0.018	120721
0.019	119459
0.02	118239
0.021	117244
0.022	115517
0.023	114448
0.024	113449
0.025	111811
0.026	110726
0.027	109474
0.028	107963
0.029	107042
0.03	105420
0.031	104596
0.032	103807
0.033	102857
0.034	102261
0.035	101393
0.036	100674
0.037	99725
0.038	98508
0.039	97704
0.04	97033
0.041	96204
0.042	95389
0.043	94759
0.044	93935
0.045	93366
0.046	92601
0.047	92112
0.048	91284
0.049	90700
0.05	90144
0.051	89404
0.052	88814
0.053	88078
0.054	87487
0.055	86782
0.056	86413
0.057	85779
0.058	85378
0.059	84928
0.06	84509
0.061	83972
0.062	83549
0.063	83107
0.064	82839
0.065	82492
0.066	82124
0.067	81718
0.068	81193
0.069	80867
0.07	80545
0.071	80137
0.072	79742
0.073	79327
0.074	78939
0.075	78570
0.076	78195
0.077	77772
0.078	77552
0.079	77300
0.08	76932
0.081	76635
0.082	76304
0.083	75982
0.084	75673
0.085	75250
0.086	75020
0.087	74624
0.088	74361
0.089	74039
0.09	73797
0.091	73538
0.092	73314
0.093	73087
0.094	72840
0.095	72475
0.096	72156
0.097	71882
0.098	71584
0.099	71299
0.1	70996
0.101	70746
0.102	70485
0.103	70141
0.104	69946
0.105	69720
0.106	69487
0.107	69204
0.108	68966
0.109	68725
0.11	68421
0.111	68163
0.112	67893
0.113	67602
0.114	67299
0.115	67051
0.116	66840
0.117	66599
0.118	66353
0.119	66154
0.12	65970
0.121	65749
0.122	65524
0.123	65268
0.124	65055
0.125	64832
0.126	64624
0.127	64434
0.128	64231
0.129	63998
0.13	63752
0.131	63552
0.132	63434
0.133	63201
0.134	63022
0.135	62811
0.136	62635
0.137	62482
0.138	62313
0.139	62173
0.14	61917
0.141	61690
0.142	61572
0.143	61451
0.144	61178
0.145	60948
0.146	60718
0.147	60539
0.148	60366
0.149	60167
0.15	59998
0.151	59835
0.152	59643
0.153	59463
0.154	59276
0.155	59163
0.156	58979
0.157	58801
0.158	58655
0.159	58454
0.16	58295
0.161	58177
0.162	58026
0.163	57875
0.164	57751
0.165	57584
0.166	57430
0.167	57285
0.168	57145
0.169	56958
0.17	56741
0.171	56626
0.172	56502
0.173	56367
0.174	56218
0.175	56018
0.176	55903
0.177	55721
0.178	55527
0.179	55327
0.18	55185
0.181	55018
0.182	54895
0.183	54721
0.184	54584
0.185	54383
0.186	54269
0.187	54121
0.188	53982
0.189	53833
0.19	53707
0.191	53594
0.192	53472
0.193	53323
0.194	53108
0.195	52918
0.196	52777
0.197	52671
0.198	52536
0.199	52408
0.2	52264
0.201	52118
0.202	51987
0.203	51860
0.204	51720
0.205	51644
0.206	51499
0.207	51370
0.208	51261
0.209	51093
0.21	50952
0.211	50804
0.212	50658
0.213	50585
0.214	50460
0.215	50323
0.216	50225
0.217	50103
0.218	49920
0.219	49768
0.22	49664
0.221	49514
0.222	49448
0.223	49323
0.224	49218
0.225	49073
0.226	48952
0.227	48825
0.228	48717
0.229	48601
0.23	48502
0.231	48332
0.232	48244
0.233	48126
0.234	48024
0.235	47919
0.236	47795
0.237	47695
0.238	47589
0.239	47469
0.24	47348
0.241	47241
0.242	47130
0.243	47034
0.244	46897
0.245	46736
0.246	46624
0.247	46537
0.248	46442
0.249	46327
0.25	46190
0.251	46069
0.252	45951
0.253	45840
0.254	45735
0.255	45655
0.256	45540
0.257	45446
0.258	45363
0.259	45262
0.26	45162
0.261	45072
0.262	44957
0.263	44853
0.264	44744
0.265	44636
0.266	44544
0.267	44434
0.268	44339
0.269	44226
0.27	44146
0.271	44063
0.272	43970
0.273	43876
0.274	43802
0.275	43707
0.276	43615
0.277	43510
0.278	43415
0.279	43343
0.28	43238
0.281	43147
0.282	43058
0.283	42947
0.284	42838
0.285	42713
0.286	42643
0.287	42531
0.288	42426
0.289	42325
0.29	42233
0.291	42134
0.292	42036
0.293	41958
0.294	41871
0.295	41755
0.296	41644
0.297	41570
0.298	41476
0.299	41388
0.3	41298
0.301	41197
0.302	41082
0.303	40989
0.304	40913
0.305	40826
0.306	40753
0.307	40664
0.308	40573
0.309	40475
0.31	40395
0.311	40275
0.312	40191
0.313	40096
0.314	40030
0.315	39932
0.316	39855
0.317	39759
0.318	39660
0.319	39541
0.32	39441
0.321	39354
0.322	39268
0.323	39199
0.324	39103
0.325	39028
0.326	38920
0.327	38861
0.328	38791
0.329	38735
0.33	38637
0.331	38539
0.332	38447
0.333	38356
0.334	38253
0.335	38170
0.336	38093
0.337	37997
0.338	37917
0.339	37843
0.34	37776
0.341	37675
0.342	37580
0.343	37519
0.344	37442
0.345	37361
0.346	37268
0.347	37193
0.348	37090
0.349	37019
0.35	36934
0.351	36863
0.352	36758
0.353	36675
0.354	36592
0.355	36492
0.356	36410
0.357	36338
0.358	36239
0.359	36151
0.36	36083
0.361	36023
0.362	35946
0.363	35877
0.364	35809
0.365	35706
0.366	35619
0.367	35524
0.368	35447
0.369	35392
0.37	35314
0.371	35253
0.372	35186
0.373	35120
0.374	35028
0.375	34967
0.376	34896
0.377	34816
0.378	34745
0.379	34676
0.38	34604
0.381	34549
0.382	34487
0.383	34417
0.384	34348
0.385	34290
0.386	34217
0.387	34143
0.388	34057
0.389	33974
0.39	33898
0.391	33835
0.392	33764
0.393	33701
0.394	33631
0.395	33557
0.396	33495
0.397	33437
0.398	33363
0.399	33289
0.4	33226
0.401	33158
0.402	33085
0.403	33024
0.404	32959
0.405	32890
0.406	32830
