fraction	Nx_length
0.001	102350298
0.002	102350298
0.003	102350298
0.004	102350298
0.005	102350298
0.006	102350298
0.007	102350298
0.008	102350298
0.009	102350298
0.01	102350298
0.011	102350298
0.012	102350298
0.013	102350298
0.014	102350298
0.015	102350298
0.016	102350298
0.017	102350298
0.018	102350298
0.019	102350298
0.02	102350298
0.021	102350298
0.022	102350298
0.023	102350298
0.024	102350298
0.025	102350298
0.026	102350298
0.027	102350298
0.028	102350298
0.029	102350298
0.03	102350298
0.031	102350298
0.032	102350298
0.033	102350298
0.034	102350298
0.035	102350298
0.036	102350298
0.037	102350298
0.038	102350298
0.039	102350298
0.04	102350298
0.041	102350298
0.042	102350298
0.043	102350298
0.044	102350298
0.045	102350298
0.046	102350298
0.047	102350298
0.048	102350298
0.049	102350298
0.05	102350298
0.051	102350298
0.052	102350298
0.053	102350298
0.054	102350298
0.055	102350298
0.056	102350298
0.057	102350298
0.058	102350298
0.059	102350298
0.06	102350298
0.061	102350298
0.062	102350298
0.063	102350298
0.064	98780093
0.065	98780093
0.066	98780093
0.067	98780093
0.068	98780093
0.069	98780093
0.07	98780093
0.071	98780093
0.072	98780093
0.073	98780093
0.074	98780093
0.075	98780093
0.076	98780093
0.077	98780093
0.078	98780093
0.079	98780093
0.08	98780093
0.081	98780093
0.082	98780093
0.083	98780093
0.084	98780093
0.085	98780093
0.086	98780093
0.087	98780093
0.088	98780093
0.089	98780093
0.09	98780093
0.091	98780093
0.092	98780093
0.093	98780093
0.094	98780093
0.095	98780093
0.096	98780093
0.097	98780093
0.098	98780093
0.099	98780093
0.1	98780093
0.101	98780093
0.102	98780093
0.103	98780093
0.104	98780093
0.105	98780093
0.106	98780093
0.107	98780093
0.108	98780093
0.109	98780093
0.11	98780093
0.111	98780093
0.112	98780093
0.113	98780093
0.114	98780093
0.115	98780093
0.116	98780093
0.117	98780093
0.118	98780093
0.119	98780093
0.12	98780093
0.121	98780093
0.122	98780093
0.123	98780093
0.124	98780093
0.125	98780093
0.126	82236308
0.127	82236308
0.128	82236308
0.129	82236308
0.13	82236308
0.131	82236308
0.132	82236308
0.133	82236308
0.134	82236308
0.135	82236308
0.136	82236308
0.137	82236308
0.138	82236308
0.139	82236308
0.14	82236308
0.141	82236308
0.142	82236308
0.143	82236308
0.144	82236308
0.145	82236308
0.146	82236308
0.147	82236308
0.148	82236308
0.149	82236308
0.15	82236308
0.151	82236308
0.152	82236308
0.153	82236308
0.154	82236308
0.155	82236308
0.156	82236308
0.157	82236308
0.158	82236308
0.159	82236308
0.16	82236308
0.161	82236308
0.162	82236308
0.163	82236308
0.164	82236308
0.165	82236308
0.166	82236308
0.167	82236308
0.168	82236308
0.169	82236308
0.17	82236308
0.171	82236308
0.172	82236308
0.173	82236308
0.174	82236308
0.175	82236308
0.176	82236308
0.177	82101097
0.178	82101097
0.179	82101097
0.18	82101097
0.181	82101097
0.182	82101097
0.183	82101097
0.184	82101097
0.185	82101097
0.186	82101097
0.187	82101097
0.188	82101097
0.189	82101097
0.19	82101097
0.191	82101097
0.192	82101097
0.193	82101097
0.194	82101097
0.195	82101097
0.196	82101097
0.197	82101097
0.198	82101097
0.199	82101097
0.2	82101097
0.201	82101097
0.202	82101097
0.203	82101097
0.204	82101097
0.205	82101097
0.206	82101097
0.207	82101097
0.208	82101097
0.209	82101097
0.21	82101097
0.211	82101097
0.212	82101097
0.213	82101097
0.214	82101097
0.215	82101097
0.216	82101097
0.217	82101097
0.218	82101097
0.219	82101097
0.22	82101097
0.221	82101097
0.222	82101097
0.223	82101097
0.224	82101097
0.225	82101097
0.226	82101097
0.227	82101097
0.228	72657121
0.229	72657121
0.23	72657121
0.231	72657121
0.232	72657121
0.233	72657121
0.234	72657121
0.235	72657121
0.236	72657121
0.237	72657121
0.238	72657121
0.239	72657121
0.24	72657121
0.241	72657121
0.242	72657121
0.243	72657121
0.244	72657121
0.245	72657121
0.246	72657121
0.247	72657121
0.248	72657121
0.249	72657121
0.25	72657121
0.251	72657121
0.252	72657121
0.253	72657121
0.254	72657121
0.255	72657121
0.256	72657121
0.257	72657121
0.258	72657121
0.259	72657121
0.26	72657121
0.261	72657121
0.262	72657121
0.263	72657121
0.264	72657121
0.265	72657121
0.266	72657121
0.267	72657121
0.268	72657121
0.269	72657121
0.27	72657121
0.271	72657121
0.272	72657121
0.273	72657121
0.274	69600306
0.275	69600306
0.276	69600306
0.277	69600306
0.278	69600306
0.279	69600306
0.28	69600306
0.281	69600306
0.282	69600306
0.283	69600306
0.284	69600306
0.285	69600306
0.286	69600306
0.287	69600306
0.288	69600306
0.289	69600306
0.29	69600306
0.291	69600306
0.292	69600306
0.293	69600306
0.294	69600306
0.295	69600306
0.296	69600306
0.297	69600306
0.298	69600306
0.299	69600306
0.3	69600306
0.301	69600306
0.302	69600306
0.303	69600306
0.304	69600306
0.305	69600306
0.306	69600306
0.307	69600306
0.308	69600306
0.309	69600306
0.31	69600306
0.311	69600306
0.312	69600306
0.313	69600306
0.314	69600306
0.315	69600306
0.316	69600306
0.317	64863661
0.318	64863661
0.319	64863661
0.32	64863661
0.321	64863661
0.322	64863661
0.323	64863661
0.324	64863661
0.325	64863661
0.326	64863661
0.327	64863661
0.328	64863661
0.329	64863661
0.33	64863661
0.331	64863661
0.332	64863661
0.333	64863661
0.334	64863661
0.335	64863661
0.336	64863661
0.337	64863661
0.338	64863661
0.339	64863661
0.34	64863661
0.341	64863661
0.342	64863661
0.343	64863661
0.344	64863661
0.345	64863661
0.346	64863661
0.347	64863661
0.348	64863661
0.349	64863661
0.35	64863661
0.351	64863661
0.352	64863661
0.353	64863661
0.354	64863661
0.355	64863661
0.356	64863661
0.357	64863661
0.358	60735206
0.359	60735206
0.36	60735206
0.361	60735206
0.362	60735206
0.363	60735206
0.364	60735206
0.365	60735206
0.366	60735206
0.367	60735206
0.368	60735206
0.369	60735206
0.37	60735206
0.371	60735206
0.372	60735206
0.373	60735206
0.374	60735206
0.375	60735206
0.376	60735206
0.377	60735206
0.378	60735206
0.379	60735206
0.38	60735206
0.381	60735206
0.382	60735206
0.383	60735206
0.384	60735206
0.385	60735206
0.386	60735206
0.387	60735206
0.388	60735206
0.389	60735206
0.39	60735206
0.391	60735206
0.392	60735206
0.393	60735206
0.394	60735206
0.395	57272556
0.396	57272556
0.397	57272556
0.398	57272556
0.399	57272556
0.4	57272556
0.401	57272556
0.402	57272556
0.403	57272556
0.404	57272556
0.405	57272556
0.406	57272556
0.407	57272556
0.408	57272556
0.409	57272556
0.41	57272556
0.411	57272556
0.412	57272556
0.413	57272556
0.414	57272556
0.415	57272556
0.416	57272556
0.417	57272556
0.418	57272556
0.419	57272556
0.42	57272556
0.421	57272556
0.422	57272556
0.423	57272556
0.424	57272556
0.425	57272556
0.426	57272556
0.427	57272556
0.428	57272556
0.429	57272556
0.43	57272556
0.431	51782608
0.432	51782608
0.433	51782608
0.434	51782608
0.435	51782608
0.436	51782608
0.437	51782608
0.438	51782608
0.439	51782608
0.44	51782608
0.441	51782608
0.442	51782608
0.443	51782608
0.444	51782608
0.445	51782608
0.446	51782608
0.447	51782608
0.448	51782608
0.449	51782608
0.45	51782608
0.451	51782608
0.452	51782608
0.453	51782608
0.454	51782608
0.455	51782608
0.456	51782608
0.457	51782608
0.458	51782608
0.459	51782608
0.46	51782608
0.461	51782608
0.462	51782608
0.463	51782608
0.464	50829255
0.465	50829255
0.466	50829255
0.467	50829255
0.468	50829255
0.469	50829255
0.47	50829255
0.471	50829255
0.472	50829255
0.473	50829255
0.474	50829255
0.475	50829255
0.476	50829255
0.477	50829255
0.478	50829255
0.479	50829255
0.48	50829255
0.481	50829255
0.482	50829255
0.483	50829255
0.484	50829255
0.485	50829255
0.486	50829255
0.487	50829255
0.488	50829255
0.489	50829255
0.49	50829255
0.491	50829255
0.492	50829255
0.493	50829255
0.494	50829255
0.495	49226030
0.496	49226030
0.497	49226030
0.498	49226030
0.499	49226030
0.5	49226030
0.501	49226030
0.502	49226030
0.503	49226030
0.504	49226030
0.505	49226030
0.506	49226030
0.507	49226030
0.508	49226030
0.509	49226030
0.51	49226030
0.511	49226030
0.512	49226030
0.513	49226030
0.514	49226030
0.515	49226030
0.516	49226030
0.517	49226030
0.518	49226030
0.519	49226030
0.52	49226030
0.521	49226030
0.522	49226030
