fraction	Nx_length
0.001	41793858
0.002	41793858
0.003	41793858
0.004	41793858
0.005	41793858
0.006	41793858
0.007	41793858
0.008	41793858
0.009	41793858
0.01	41793858
0.011	41793858
0.012	41793858
0.013	41793858
0.014	41793858
0.015	41793858
0.016	41793858
0.017	41793858
0.018	41793858
0.019	41793858
0.02	41793858
0.021	41793858
0.022	41793858
0.023	41793858
0.024	41793858
0.025	41793858
0.026	41793858
0.027	41793858
0.028	41793858
0.029	35116007
0.03	35116007
0.031	35116007
0.032	35116007
0.033	35116007
0.034	35116007
0.035	35116007
0.036	35116007
0.037	35116007
0.038	35116007
0.039	35116007
0.04	35116007
0.041	35116007
0.042	35116007
0.043	35116007
0.044	35116007
0.045	35116007
0.046	35116007
0.047	35116007
0.048	35116007
0.049	35116007
0.05	35116007
0.051	35116007
0.052	35116007
0.053	33392777
0.054	33392777
0.055	33392777
0.056	33392777
0.057	33392777
0.058	33392777
0.059	33392777
0.06	33392777
0.061	33392777
0.062	33392777
0.063	33392777
0.064	33392777
0.065	33392777
0.066	33392777
0.067	33392777
0.068	33392777
0.069	33392777
0.07	33392777
0.071	33392777
0.072	33392777
0.073	33392777
0.074	33392777
0.075	33392777
0.076	26467601
0.077	26467601
0.078	26467601
0.079	26467601
0.08	26467601
0.081	26467601
0.082	26467601
0.083	26467601
0.084	26467601
0.085	26467601
0.086	26467601
0.087	26467601
0.088	26467601
0.089	26467601
0.09	26467601
0.091	26467601
0.092	26467601
0.093	26467601
0.094	19895647
0.095	19895647
0.096	19895647
0.097	19895647
0.098	19895647
0.099	19895647
0.1	19895647
0.101	19895647
0.102	19895647
0.103	19895647
0.104	19895647
0.105	19895647
0.106	19895647
0.107	19895647
0.108	19895065
0.109	19895065
0.11	19895065
0.111	19895065
0.112	19895065
0.113	19895065
0.114	19895065
0.115	19895065
0.116	19895065
0.117	19895065
0.118	19895065
0.119	19895065
0.12	19895065
0.121	19895065
0.122	19361848
0.123	19361848
0.124	19361848
0.125	19361848
0.126	19361848
0.127	19361848
0.128	19361848
0.129	19361848
0.13	19361848
0.131	19361848
0.132	19361848
0.133	19361848
0.134	19361848
0.135	19167361
0.136	19167361
0.137	19167361
0.138	19167361
0.139	19167361
0.14	19167361
0.141	19167361
0.142	19167361
0.143	19167361
0.144	19167361
0.145	19167361
0.146	19167361
0.147	19167361
0.148	18499722
0.149	18499722
0.15	18499722
0.151	18499722
0.152	18499722
0.153	18499722
0.154	18499722
0.155	18499722
0.156	18499722
0.157	18499722
0.158	18499722
0.159	18499722
0.16	18499722
0.161	15857139
0.162	15857139
0.163	15857139
0.164	15857139
0.165	15857139
0.166	15857139
0.167	15857139
0.168	15857139
0.169	15857139
0.17	15857139
0.171	15857139
0.172	14476320
0.173	14476320
0.174	14476320
0.175	14476320
0.176	14476320
0.177	14476320
0.178	14476320
0.179	14476320
0.18	14476320
0.181	14476320
0.182	13196950
0.183	13196950
0.184	13196950
0.185	13196950
0.186	13196950
0.187	13196950
0.188	13196950
0.189	13196950
0.19	13196950
0.191	13002660
0.192	13002660
0.193	13002660
0.194	13002660
0.195	13002660
0.196	13002660
0.197	13002660
0.198	13002660
0.199	13002660
0.2	12747485
0.201	12747485
0.202	12747485
0.203	12747485
0.204	12747485
0.205	12747485
