fraction	Nx_length
0.001	64740162
0.002	64740162
0.003	64740162
0.004	64740162
0.005	64740162
0.006	64740162
0.007	64740162
0.008	64740162
0.009	64740162
0.01	64740162
0.011	64740162
0.012	64740162
0.013	64740162
0.014	64740162
0.015	64740162
0.016	64740162
0.017	64740162
0.018	64740162
0.019	64740162
0.02	64740162
0.021	64740162
0.022	64740162
0.023	64740162
0.024	64740162
0.025	64740162
0.026	64740162
0.027	64740162
0.028	64740162
0.029	64740162
0.03	64740162
0.031	64740162
0.032	64740162
0.033	64740162
0.034	64740162
0.035	64740162
0.036	64740162
0.037	64740162
0.038	64740162
0.039	64740162
0.04	64740162
0.041	64740162
0.042	61634465
0.043	61634465
0.044	61634465
0.045	61634465
0.046	61634465
0.047	61634465
0.048	61634465
0.049	61634465
0.05	61634465
0.051	61634465
0.052	61634465
0.053	61634465
0.054	61634465
0.055	61634465
0.056	61634465
0.057	61634465
0.058	61634465
0.059	61634465
0.06	61634465
0.061	61634465
0.062	61634465
0.063	61634465
0.064	61634465
0.065	61634465
0.066	61634465
0.067	61634465
0.068	61634465
0.069	61634465
0.07	61634465
0.071	61634465
0.072	61634465
0.073	61634465
0.074	61634465
0.075	61634465
0.076	61634465
0.077	61634465
0.078	61634465
0.079	61634465
0.08	61634465
0.081	32558658
0.082	32558658
0.083	32558658
0.084	32558658
0.085	32558658
0.086	32558658
0.087	32558658
0.088	32558658
0.089	32558658
0.09	32558658
0.091	32558658
0.092	32558658
0.093	32558658
0.094	32558658
0.095	32558658
0.096	32558658
0.097	32558658
0.098	32558658
0.099	32558658
0.1	32558658
0.101	32558658
0.102	31111723
0.103	31111723
0.104	31111723
0.105	31111723
0.106	31111723
0.107	31111723
0.108	31111723
0.109	31111723
0.11	31111723
0.111	31111723
0.112	31111723
0.113	31111723
0.114	31111723
0.115	31111723
0.116	31111723
0.117	31111723
0.118	31111723
0.119	31111723
0.12	31111723
0.121	31111723
0.122	26800974
0.123	26800974
0.124	26800974
0.125	26800974
0.126	26800974
0.127	26800974
0.128	26800974
0.129	26800974
0.13	26800974
0.131	26800974
0.132	26800974
0.133	26800974
0.134	26800974
0.135	26800974
0.136	26800974
0.137	26800974
0.138	26800974
0.139	24612362
0.14	24612362
0.141	24612362
0.142	24612362
0.143	24612362
0.144	24612362
0.145	24612362
0.146	24612362
0.147	24612362
0.148	24612362
0.149	24612362
0.15	24612362
0.151	24612362
0.152	24612362
0.153	24612362
0.154	24612362
0.155	24417898
0.156	24417898
0.157	24417898
0.158	24417898
0.159	24417898
0.16	24417898
0.161	24417898
0.162	24417898
0.163	24417898
0.164	24417898
0.165	24417898
0.166	24417898
0.167	24417898
0.168	24417898
0.169	24417898
0.17	24403776
0.171	24403776
0.172	24403776
0.173	24403776
0.174	24403776
0.175	24403776
0.176	24403776
0.177	24403776
0.178	24403776
0.179	24403776
0.18	24403776
0.181	24403776
0.182	24403776
0.183	24403776
0.184	24403776
0.185	24403776
0.186	24187256
0.187	24187256
0.188	24187256
0.189	24187256
0.19	24187256
0.191	24187256
0.192	24187256
0.193	24187256
0.194	24187256
0.195	24187256
0.196	24187256
0.197	24187256
0.198	24187256
0.199	24187256
0.2	24187256
0.201	24114455
0.202	24114455
0.203	24114455
0.204	24114455
0.205	24114455
0.206	24114455
0.207	24114455
0.208	24114455
0.209	24114455
0.21	24114455
0.211	24114455
0.212	24114455
0.213	24114455
0.214	24114455
0.215	24114455
0.216	24114455
0.217	23456550
0.218	23456550
0.219	23456550
0.22	23456550
0.221	23456550
0.222	23456550
0.223	23456550
0.224	23456550
0.225	23456550
0.226	23456550
0.227	23456550
0.228	23456550
0.229	23456550
0.23	23456550
0.231	23456550
0.232	23114685
0.233	23114685
0.234	23114685
0.235	23114685
0.236	23114685
0.237	23114685
0.238	23114685
0.239	23114685
0.24	23114685
0.241	23114685
0.242	23114685
0.243	23114685
0.244	23114685
0.245	23114685
0.246	23114685
0.247	22643236
0.248	22643236
0.249	22643236
0.25	22643236
0.251	22643236
0.252	22643236
0.253	22643236
0.254	22643236
0.255	22643236
0.256	22643236
0.257	22643236
0.258	22643236
0.259	22643236
0.26	22643236
0.261	21966881
0.262	21966881
0.263	21966881
0.264	21966881
0.265	21966881
0.266	21966881
0.267	21966881
0.268	21966881
0.269	21966881
0.27	21966881
0.271	21966881
0.272	21966881
0.273	21966881
0.274	21966881
0.275	21548962
0.276	21548962
0.277	21548962
0.278	21548962
0.279	21548962
0.28	21548962
0.281	21548962
0.282	21548962
0.283	21548962
0.284	21548962
0.285	21548962
0.286	21548962
0.287	21548962
0.288	21548962
0.289	21173395
0.29	21173395
0.291	21173395
0.292	21173395
0.293	21173395
0.294	21173395
0.295	21173395
0.296	21173395
0.297	21173395
0.298	21173395
0.299	21173395
0.3	21173395
0.301	21173395
0.302	19350704
0.303	19350704
0.304	19350704
0.305	19350704
0.306	19350704
0.307	19350704
0.308	19350704
0.309	19350704
0.31	19350704
0.311	19350704
0.312	19350704
0.313	19350704
0.314	19350704
0.315	18696754
0.316	18696754
0.317	18696754
0.318	18696754
0.319	18696754
0.32	18696754
0.321	18696754
0.322	18696754
0.323	18696754
0.324	18696754
0.325	18696754
0.326	18696754
0.327	18613530
0.328	18613530
0.329	18613530
0.33	18613530
0.331	18613530
0.332	18613530
0.333	18613530
0.334	18613530
0.335	18613530
0.336	18613530
0.337	18613530
0.338	18613530
0.339	17936582
0.34	17936582
0.341	17936582
0.342	17936582
0.343	17936582
0.344	17936582
0.345	17936582
0.346	17936582
0.347	17936582
0.348	17936582
0.349	17936582
0.35	16733258
0.351	16733258
0.352	16733258
0.353	16733258
0.354	16733258
0.355	16733258
0.356	16733258
0.357	16733258
0.358	16733258
0.359	16733258
0.36	16733258
0.361	16333263
0.362	16333263
0.363	16333263
0.364	16333263
0.365	16333263
0.366	16333263
0.367	16333263
0.368	16333263
0.369	16333263
0.37	16333263
0.371	15817663
0.372	15817663
0.373	15817663
0.374	15817663
0.375	15817663
0.376	15817663
0.377	15817663
0.378	15817663
0.379	15817663
0.38	15817663
0.381	15508824
0.382	15508824
0.383	15508824
0.384	15508824
0.385	15508824
0.386	15508824
0.387	15508824
0.388	15508824
0.389	15508824
0.39	15508824
0.391	14952065
0.392	14952065
0.393	14952065
0.394	14952065
0.395	14952065
0.396	14952065
0.397	14952065
0.398	14952065
0.399	14952065
0.4	14952065
0.401	14730628
0.402	14730628
0.403	14730628
0.404	14730628
0.405	14730628
0.406	14730628
0.407	14730628
0.408	14730628
0.409	14730628
0.41	14722894
0.411	14722894
0.412	14722894
0.413	14722894
0.414	14722894
0.415	14722894
0.416	14722894
0.417	14722894
0.418	14722894
0.419	14722894
0.42	14585224
0.421	14585224
0.422	14585224
0.423	14585224
0.424	14585224
0.425	14585224
0.426	14585224
0.427	14585224
0.428	14585224
0.429	14510602
0.43	14510602
0.431	14510602
0.432	14510602
0.433	14510602
0.434	14510602
0.435	14510602
0.436	14510602
0.437	14510602
0.438	13969671
0.439	13969671
0.44	13969671
0.441	13969671
0.442	13969671
0.443	13969671
0.444	13969671
0.445	13969671
0.446	13969671
0.447	13768988
0.448	13768988
0.449	13768988
0.45	13768988
0.451	13768988
0.452	13768988
0.453	13768988
0.454	13768988
0.455	13768988
0.456	12672596
0.457	12672596
0.458	12672596
0.459	12672596
0.46	12672596
0.461	12672596
0.462	12672596
0.463	12672596
0.464	12044586
0.465	12044586
0.466	12044586
0.467	12044586
0.468	12044586
0.469	12044586
0.47	12044586
0.471	12044586
0.472	11731588
0.473	11731588
0.474	11731588
0.475	11731588
0.476	11731588
0.477	11731588
0.478	11731588
0.479	11110870
0.48	11110870
0.481	11110870
0.482	11110870
0.483	11110870
0.484	11110870
0.485	11110870
0.486	10740061
0.487	10740061
0.488	10740061
0.489	10740061
0.49	10740061
0.491	10740061
0.492	10740061
0.493	10478570
0.494	10478570
0.495	10478570
0.496	10478570
0.497	10478570
0.498	10478570
0.499	10478570
0.5	10371895
0.501	10371895
0.502	10371895
0.503	10371895
0.504	10371895
0.505	10371895
0.506	10371895
0.507	10240045
0.508	10240045
0.509	10240045
0.51	10240045
0.511	10240045
0.512	10240045
0.513	10012885
0.514	10012885
0.515	10012885
0.516	10012885
0.517	10012885
0.518	10012885
0.519	10012885
0.52	9558491
0.521	9558491
0.522	9558491
0.523	9558491
0.524	9558491
0.525	9558491
0.526	9461853
0.527	9461853
0.528	9461853
0.529	9461853
0.53	9461853
0.531	9461853
0.532	9357702
0.533	9357702
0.534	9357702
0.535	9357702
0.536	9357702
0.537	9357702
0.538	9324363
0.539	9324363
0.54	9324363
0.541	9324363
0.542	9324363
0.543	9324363
0.544	8990020
0.545	8990020
0.546	8990020
0.547	8990020
0.548	8990020
0.549	8926173
0.55	8926173
0.551	8926173
0.552	8926173
0.553	8926173
0.554	8926173
0.555	8748786
0.556	8748786
0.557	8748786
0.558	8748786
0.559	8748786
0.56	8748786
0.561	8532371
0.562	8532371
0.563	8532371
0.564	8532371
0.565	8532371
0.566	8381444
0.567	8381444
0.568	8381444
0.569	8381444
0.57	8381444
0.571	8381444
0.572	7819921
0.573	7819921
0.574	7819921
0.575	7819921
0.576	7819921
0.577	7774681
0.578	7774681
0.579	7774681
0.58	7774681
0.581	7540351
0.582	7540351
0.583	7540351
0.584	7540351
0.585	7540351
0.586	7413082
0.587	7413082
0.588	7413082
0.589	7413082
0.59	7413082
0.591	7372865
0.592	7372865
0.593	7372865
0.594	7372865
0.595	7372865
