fraction	Nx_length
0.001	355360412
0.002	355360412
0.003	355360412
0.004	355360412
0.005	355360412
0.006	355360412
0.007	355360412
0.008	355360412
0.009	355360412
0.01	355360412
0.011	355360412
0.012	355360412
0.013	355360412
0.014	355360412
0.015	355360412
0.016	355360412
0.017	355360412
0.018	355360412
0.019	355360412
0.02	355360412
0.021	355360412
0.022	355360412
0.023	355360412
0.024	355360412
0.025	355360412
0.026	355360412
0.027	355360412
0.028	355360412
0.029	355360412
0.03	355360412
0.031	355360412
0.032	355360412
0.033	355360412
0.034	355360412
0.035	355360412
0.036	355360412
0.037	355360412
0.038	355360412
0.039	355360412
0.04	355360412
0.041	355360412
0.042	355360412
0.043	355360412
0.044	355360412
0.045	355360412
0.046	355360412
0.047	355360412
0.048	355360412
0.049	355360412
0.05	355360412
0.051	355360412
0.052	355360412
0.053	355360412
0.054	355360412
0.055	355360412
0.056	355360412
0.057	355360412
0.058	355360412
0.059	355360412
0.06	355360412
0.061	355360412
0.062	355360412
0.063	355360412
0.064	355360412
0.065	355360412
0.066	355360412
0.067	355360412
0.068	355360412
0.069	355360412
0.07	355360412
0.071	355360412
0.072	355360412
0.073	355360412
0.074	355360412
0.075	355360412
0.076	355360412
0.077	355360412
0.078	355360412
0.079	355360412
0.08	355360412
0.081	355360412
0.082	355360412
0.083	355360412
0.084	355360412
0.085	355360412
0.086	355360412
0.087	355360412
0.088	355360412
0.089	355360412
0.09	355360412
0.091	355360412
0.092	355360412
0.093	355360412
0.094	355360412
0.095	355360412
0.096	355360412
0.097	355360412
0.098	355360412
0.099	355360412
0.1	355360412
0.101	355360412
0.102	355360412
0.103	355360412
0.104	355360412
0.105	355360412
0.106	355360412
0.107	355360412
0.108	355360412
0.109	355360412
0.11	355360412
0.111	355360412
0.112	355360412
0.113	355360412
0.114	355360412
0.115	355360412
0.116	355360412
0.117	355360412
0.118	355360412
0.119	355360412
0.12	355360412
0.121	355360412
0.122	355360412
0.123	355360412
0.124	355360412
0.125	355360412
0.126	355360412
0.127	355360412
0.128	355360412
0.129	355360412
0.13	355360412
0.131	355360412
0.132	355360412
0.133	355360412
0.134	355360412
0.135	355360412
0.136	355360412
0.137	355360412
0.138	355360412
0.139	355360412
0.14	355360412
0.141	355360412
0.142	355360412
0.143	355360412
0.144	355360412
0.145	355360412
0.146	355360412
0.147	355360412
0.148	355360412
0.149	355360412
0.15	355360412
0.151	355360412
0.152	355360412
0.153	355360412
0.154	355360412
0.155	355360412
0.156	355360412
0.157	355360412
0.158	355360412
0.159	355360412
0.16	355360412
0.161	355360412
0.162	355360412
0.163	355360412
0.164	355360412
0.165	355360412
0.166	355360412
0.167	355360412
0.168	355360412
0.169	355360412
0.17	355360412
0.171	355360412
0.172	355360412
0.173	355360412
0.174	355360412
0.175	355360412
0.176	355360412
0.177	355360412
0.178	355360412
