fraction	Nx_length
0.001	7420054
0.002	7420054
0.003	7420054
0.004	6711782
0.005	6711782
0.006	6711782
0.007	6697807
0.008	6697807
0.009	6697807
0.01	6620217
0.011	6620217
0.012	6590146
0.013	6590146
0.014	6590146
0.015	6583715
0.016	6583715
0.017	6583715
0.018	6246743
0.019	6246743
0.02	6246743
0.021	5858805
0.022	5858805
0.023	5337194
0.024	5337194
0.025	5337194
0.026	5281844
0.027	5281844
0.028	5136265
0.029	5136265
0.03	5046839
0.031	5046839
0.032	4731647
0.033	4731647
0.034	4700617
0.035	4700617
0.036	4700617
0.037	4642691
0.038	4642691
0.039	4614469
0.04	4614469
0.041	4504033
0.042	4490324
0.043	4490324
0.044	4415327
0.045	4415327
0.046	4346947
0.047	4346947
0.048	4345473
0.049	4345473
0.05	4343759
0.051	4343759
0.052	4226656
0.053	4226656
0.054	4201204
0.055	4201204
0.056	4184730
0.057	4182012
0.058	4182012
0.059	4120789
0.06	4120789
0.061	4098333
0.062	4098333
0.063	4038417
0.064	4038417
0.065	3942297
0.066	3925386
0.067	3925386
0.068	3923877
0.069	3923877
0.07	3920267
0.071	3861727
0.072	3861727
0.073	3841820
0.074	3841820
0.075	3834293
0.076	3815337
0.077	3815337
0.078	3788143
0.079	3788143
0.08	3754909
0.081	3750942
0.082	3750942
0.083	3722623
0.084	3722623
0.085	3687382
0.086	3652769
0.087	3652769
0.088	3615607
0.089	3612032
0.09	3612032
0.091	3586158
0.092	3586158
0.093	3561679
0.094	3530237
0.095	3530237
0.096	3509109
0.097	3505743
0.098	3505743
0.099	3455767
0.1	3416701
0.101	3416701
0.102	3415573
0.103	3394933
0.104	3394933
0.105	3380947
0.106	3361379
0.107	3361379
0.108	3298336
0.109	3235214
0.11	3203173
0.111	3203173
0.112	3192000
0.113	3188986
0.114	3188986
0.115	3188035
0.116	3178383
0.117	3149584
0.118	3149584
0.119	3138577
0.12	3123888
0.121	3119209
0.122	3119209
0.123	3108967
0.124	3088617
0.125	3063894
0.126	3063894
0.127	3061079
0.128	3056545
0.129	3052588
0.13	3052588
0.131	3052133
0.132	3034513
0.133	3003505
0.134	3003505
0.135	2990771
0.136	2979776
0.137	2976452
0.138	2976452
0.139	2945779
0.14	2917472
0.141	2914613
0.142	2895157
0.143	2895157
0.144	2872018
0.145	2871164
0.146	2868808
0.147	2864424
0.148	2864424
0.149	2860332
0.15	2841510
0.151	2803466
0.152	2792706
0.153	2791199
0.154	2791199
0.155	2771113
0.156	2764730
0.157	2749086
0.158	2740516
0.159	2729960
0.16	2729960
0.161	2727090
0.162	2712434
0.163	2712057
0.164	2708555
0.165	2702961
0.166	2702961
0.167	2699358
0.168	2698835
0.169	2693991
0.17	2686332
0.171	2681875
0.172	2680331
0.173	2680331
0.174	2680257
0.175	2677149
0.176	2675300
0.177	2653233
0.178	2636189
0.179	2632684
0.18	2629008
0.181	2629008
0.182	2627940
0.183	2595709
0.184	2593976
0.185	2571719
0.186	2561444
0.187	2558271
0.188	2557876
0.189	2554199
0.19	2554199
0.191	2552862
0.192	2549953
0.193	2541779
0.194	2539871
0.195	2533881
0.196	2528444
0.197	2528005
0.198	2523979
0.199	2520581
0.2	2519669
0.201	2519669
0.202	2508240
0.203	2496463
0.204	2493478
0.205	2493080
0.206	2486109
0.207	2484188
0.208	2479625
0.209	2474555
0.21	2470211
0.211	2456761
0.212	2452822
0.213	2449814
0.214	2449814
0.215	2441465
0.216	2437327
0.217	2435702
0.218	2435696
0.219	2435164
0.22	2410311
0.221	2405582
0.222	2404546
0.223	2398770
0.224	2389514
0.225	2385215
0.226	2385033
0.227	2383514
0.228	2365263
0.229	2364789
0.23	2359748
0.231	2358995
0.232	2356288
0.233	2353942
0.234	2348754
0.235	2346119
0.236	2338452
0.237	2338359
0.238	2335211
0.239	2334579
0.24	2324015
0.241	2314794
0.242	2303813
0.243	2302599
0.244	2283874
0.245	2282743
0.246	2277612
0.247	2268339
0.248	2264085
0.249	2264025
0.25	2260099
0.251	2257152
0.252	2256992
0.253	2253237
0.254	2243570
0.255	2242688
0.256	2225613
0.257	2222412
0.258	2221442
0.259	2219358
0.26	2217624
0.261	2208065
0.262	2195951
0.263	2191800
0.264	2191590
0.265	2188214
0.266	2178771
0.267	2175713
0.268	2172589
0.269	2165887
0.27	2155307
0.271	2154315
0.272	2150278
0.273	2146439
0.274	2142499
0.275	2132839
0.276	2131612
0.277	2128521
0.278	2122989
0.279	2116700
0.28	2108267
0.281	2098491
0.282	2085451
0.283	2073688
0.284	2073192
0.285	2069040
0.286	2065609
0.287	2061999
0.288	2056326
0.289	2050565
0.29	2048652
0.291	2042855
0.292	2041699
0.293	2041596
0.294	2040897
0.295	2040359
0.296	2037790
0.297	2037371
0.298	2027430
0.299	2026704
0.3	2026198
0.301	2025408
0.302	2024687
0.303	2023581
0.304	2009698
0.305	2009632
0.306	2001428
0.307	1995717
0.308	1995054
0.309	1994922
0.31	1993482
0.311	1990760
0.312	1985387
0.313	1982892
0.314	1982297
0.315	1981778
0.316	1980930
0.317	1975159
0.318	1969200
0.319	1960650
0.32	1959966
0.321	1956392
0.322	1954100
0.323	1953103
0.324	1948322
0.325	1945832
0.326	1932457
0.327	1931289
0.328	1931089
0.329	1924127
0.33	1923784
0.331	1922165
0.332	1913795
0.333	1904567
0.334	1895645
0.335	1893616
0.336	1878253
0.337	1876714
0.338	1875924
0.339	1864066
0.34	1847427
0.341	1845505
0.342	1843544
0.343	1839942
0.344	1838073
0.345	1836661
0.346	1834024
0.347	1827670
0.348	1824479
0.349	1821134
0.35	1820148
0.351	1818581
0.352	1807846
0.353	1806597
0.354	1803150
0.355	1803150
0.356	1800976
0.357	1795876
0.358	1789149
0.359	1788668
0.36	1785886
0.361	1775296
0.362	1771346
0.363	1769508
0.364	1766755
0.365	1760166
0.366	1757992
0.367	1757543
0.368	1754595
0.369	1748065
0.37	1740410
0.371	1737067
0.372	1735492
0.373	1728961
0.374	1722189
0.375	1711091
0.376	1710699
0.377	1705561
0.378	1702177
0.379	1701817
0.38	1700522
0.381	1700516
0.382	1698777
0.383	1693488
0.384	1691770
0.385	1684724
0.386	1682257
0.387	1681692
0.388	1680539
0.389	1680405
0.39	1674031
0.391	1670873
0.392	1666705
0.393	1663599
0.394	1658116
0.395	1656758
0.396	1651197
