fraction	Nx_length
0.001	171243978
0.002	171243978
0.003	171243978
0.004	171243978
0.005	171243978
0.006	171243978
0.007	171243978
0.008	171243978
0.009	171243978
0.01	171243978
0.011	171243978
0.012	171243978
0.013	171243978
0.014	171243978
0.015	171243978
0.016	171243978
0.017	171243978
0.018	171243978
0.019	171243978
0.02	171243978
0.021	171243978
0.022	171243978
0.023	171243978
0.024	171243978
0.025	171243978
0.026	171243978
0.027	171243978
0.028	171243978
0.029	171243978
0.03	171243978
0.031	171243978
0.032	171243978
0.033	171243978
0.034	171243978
0.035	171243978
0.036	171243978
0.037	171243978
0.038	171243978
0.039	171243978
0.04	171243978
0.041	171243978
0.042	171243978
0.043	171243978
0.044	171243978
0.045	171243978
0.046	171243978
0.047	171243978
0.048	171243978
0.049	171243978
0.05	171243978
0.051	171243978
0.052	171243978
0.053	171243978
0.054	171243978
0.055	171243978
0.056	171243978
0.057	171243978
0.058	171243978
0.059	171243978
0.06	171243978
0.061	171243978
0.062	171243978
0.063	171243978
0.064	171243978
0.065	171243978
0.066	171243978
0.067	171243978
0.068	171243978
0.069	171243978
0.07	171243978
0.071	171243978
0.072	171243978
0.073	171243978
0.074	171243978
0.075	171243978
0.076	171243978
0.077	171243978
0.078	171243978
0.079	171243978
0.08	171243978
0.081	171243978
0.082	171243978
0.083	171243978
0.084	171243978
0.085	171243978
0.086	171243978
0.087	125473539
0.088	125473539
0.089	125473539
0.09	125473539
0.091	125473539
0.092	125473539
0.093	125473539
0.094	125473539
0.095	125473539
0.096	125473539
0.097	125473539
0.098	125473539
0.099	125473539
0.1	125473539
0.101	125473539
0.102	125473539
0.103	125473539
0.104	125473539
0.105	125473539
0.106	125473539
0.107	125473539
0.108	125473539
0.109	125473539
0.11	125473539
0.111	125473539
0.112	125473539
0.113	125473539
0.114	125473539
0.115	125473539
0.116	125473539
0.117	125473539
0.118	125473539
0.119	125473539
0.12	125473539
0.121	125473539
0.122	125473539
0.123	125473539
0.124	125473539
0.125	125473539
0.126	125473539
0.127	125473539
0.128	125473539
0.129	125473539
0.13	125473539
0.131	125473539
0.132	125473539
0.133	125473539
0.134	125473539
0.135	125473539
0.136	125473539
0.137	125473539
0.138	125473539
0.139	125473539
0.14	125473539
0.141	125473539
0.142	125473539
0.143	125473539
0.144	125473539
0.145	125473539
0.146	125473539
0.147	125473539
0.148	125473539
0.149	125473539
0.15	125473539
0.151	114329281
0.152	114329281
0.153	114329281
0.154	114329281
0.155	114329281
0.156	114329281
0.157	114329281
0.158	114329281
0.159	114329281
0.16	114329281
0.161	114329281
0.162	114329281
0.163	114329281
0.164	114329281
0.165	114329281
0.166	114329281
0.167	114329281
0.168	114329281
0.169	114329281
0.17	114329281
0.171	114329281
0.172	114329281
0.173	114329281
0.174	114329281
0.175	114329281
0.176	114329281
0.177	114329281
0.178	114329281
0.179	114329281
0.18	114329281
0.181	114329281
0.182	114329281
0.183	114329281
0.184	114329281
0.185	114329281
0.186	114329281
0.187	114329281
0.188	114329281
0.189	114329281
0.19	114329281
0.191	114329281
0.192	114329281
0.193	114329281
0.194	114329281
0.195	114329281
0.196	114329281
0.197	114329281
0.198	114329281
0.199	114329281
0.2	114329281
0.201	114329281
0.202	114329281
0.203	114329281
0.204	114329281
0.205	114329281
0.206	114329281
0.207	114329281
0.208	114329281
0.209	110232978
0.21	110232978
0.211	110232978
0.212	110232978
0.213	110232978
0.214	110232978
0.215	110232978
0.216	110232978
0.217	110232978
0.218	110232978
0.219	110232978
0.22	110232978
0.221	110232978
0.222	110232978
0.223	110232978
0.224	110232978
0.225	110232978
0.226	110232978
0.227	110232978
0.228	110232978
0.229	110232978
0.23	110232978
0.231	110232978
0.232	110232978
0.233	110232978
0.234	110232978
0.235	110232978
0.236	110232978
0.237	110232978
0.238	110232978
0.239	110232978
0.24	110232978
0.241	110232978
0.242	110232978
0.243	110232978
0.244	110232978
0.245	110232978
0.246	110232978
0.247	110232978
0.248	110232978
0.249	110232978
0.25	110232978
0.251	110232978
0.252	110232978
0.253	110232978
0.254	110232978
0.255	110232978
0.256	110232978
0.257	110232978
0.258	110232978
0.259	110232978
0.26	110232978
0.261	110232978
0.262	110232978
0.263	110232978
0.264	110232978
0.265	107698998
0.266	107698998
0.267	107698998
0.268	107698998
0.269	107698998
0.27	107698998
0.271	107698998
0.272	107698998
0.273	107698998
0.274	107698998
0.275	107698998
0.276	107698998
0.277	107698998
0.278	107698998
0.279	107698998
0.28	107698998
0.281	107698998
0.282	107698998
0.283	107698998
