fraction	Nx_length
0.001	310869391
0.002	310869391
0.003	310869391
0.004	310869391
0.005	310869391
0.006	310869391
0.007	310869391
0.008	310869391
0.009	310869391
0.01	310869391
0.011	310869391
0.012	310869391
0.013	310869391
0.014	310869391
0.015	310869391
0.016	310869391
0.017	310869391
0.018	310869391
0.019	310869391
0.02	310869391
0.021	310869391
0.022	310869391
0.023	310869391
0.024	310869391
0.025	310869391
0.026	310869391
0.027	310869391
0.028	310869391
0.029	310869391
0.03	310869391
0.031	310869391
0.032	310869391
0.033	310869391
0.034	310869391
0.035	310869391
0.036	310869391
0.037	310869391
0.038	310869391
0.039	310869391
0.04	310869391
0.041	310869391
0.042	310869391
0.043	310869391
0.044	310869391
0.045	310869391
0.046	310869391
0.047	310869391
0.048	310869391
0.049	310869391
0.05	310869391
0.051	310869391
0.052	310869391
0.053	310869391
0.054	310869391
0.055	310869391
0.056	310869391
0.057	310869391
0.058	310869391
0.059	310869391
0.06	310869391
0.061	310869391
0.062	310869391
0.063	310869391
0.064	310869391
0.065	310869391
0.066	310869391
0.067	310869391
0.068	310869391
0.069	310869391
0.07	310869391
0.071	310869391
0.072	310869391
0.073	310869391
0.074	310869391
0.075	310869391
0.076	310869391
0.077	310869391
0.078	310869391
0.079	310869391
0.08	310869391
0.081	310869391
0.082	310869391
0.083	310869391
0.084	310869391
0.085	310869391
0.086	310869391
0.087	310869391
0.088	310869391
0.089	310869391
0.09	310869391
0.091	310869391
0.092	310869391
0.093	310869391
0.094	310869391
0.095	310869391
0.096	310869391
0.097	310869391
0.098	310869391
0.099	310869391
0.1	310869391
0.101	310869391
0.102	310869391
0.103	310869391
0.104	310869391
0.105	310869391
0.106	310869391
0.107	310869391
0.108	310869391
0.109	310869391
0.11	310869391
0.111	310869391
0.112	310869391
0.113	310869391
0.114	310869391
0.115	310869391
0.116	310869391
0.117	310869391
0.118	310869391
0.119	310869391
0.12	310869391
0.121	310869391
0.122	310869391
0.123	310869391
0.124	310869391
0.125	310869391
0.126	310869391
0.127	310869391
0.128	310869391
0.129	310869391
0.13	310869391
0.131	310869391
0.132	310869391
0.133	310869391
0.134	310869391
0.135	310869391
0.136	310869391
0.137	310869391
0.138	310869391
0.139	310869391
0.14	310869391
0.141	310869391
0.142	310869391
0.143	310869391
0.144	310869391
0.145	310869391
0.146	310869391
0.147	310869391
0.148	310869391
0.149	310869391
0.15	310869391
0.151	310869391
0.152	310869391
0.153	310869391
0.154	310869391
0.155	310869391
0.156	310869391
0.157	310869391
0.158	310869391
0.159	310869391
0.16	310869391
0.161	310869391
0.162	310869391
0.163	310869391
0.164	310869391
0.165	310869391
0.166	310869391
0.167	310869391
0.168	310869391
0.169	310869391
0.17	310869391
0.171	310869391
0.172	310869391
0.173	310869391
0.174	310869391
0.175	310869391
0.176	310869391
0.177	310869391
0.178	310869391
0.179	310869391
0.18	310869391
0.181	310869391
0.182	310869391
0.183	310869391
0.184	310869391
0.185	310869391
0.186	310869391
0.187	310869391
0.188	310869391
0.189	310869391
0.19	310869391
0.191	310869391
0.192	310869391
0.193	310869391
0.194	310869391
0.195	310869391
0.196	310869391
0.197	310869391
0.198	266977682
0.199	266977682
0.2	266977682
0.201	266977682
0.202	266977682
0.203	266977682
0.204	266977682
0.205	266977682
0.206	266977682
0.207	266977682
0.208	266977682
0.209	266977682
0.21	266977682
0.211	266977682
