fraction	Nx_length
0.001	267272475
0.002	267272475
0.003	267272475
0.004	267272475
0.005	267272475
0.006	267272475
0.007	267272475
0.008	267272475
0.009	267272475
0.01	267272475
0.011	267272475
0.012	267272475
0.013	267272475
0.014	267272475
0.015	267272475
0.016	267272475
0.017	267272475
0.018	267272475
0.019	267272475
0.02	267272475
0.021	267272475
0.022	267272475
0.023	267272475
0.024	267272475
0.025	267272475
0.026	267272475
0.027	267272475
0.028	267272475
0.029	267272475
0.03	267272475
0.031	267272475
0.032	267272475
0.033	267272475
0.034	267272475
0.035	267272475
0.036	267272475
0.037	267272475
0.038	267272475
0.039	267272475
0.04	267272475
0.041	267272475
0.042	267272475
0.043	267272475
0.044	267272475
0.045	267272475
0.046	267272475
0.047	267272475
0.048	267272475
0.049	267272475
0.05	267272475
0.051	267272475
0.052	267272475
0.053	267272475
0.054	267272475
0.055	267272475
0.056	267272475
0.057	267272475
0.058	267272475
0.059	267272475
0.06	267272475
0.061	267272475
0.062	267272475
0.063	267272475
0.064	267272475
0.065	267272475
0.066	267272475
0.067	267272475
0.068	267272475
0.069	267272475
0.07	267272475
0.071	267272475
0.072	267272475
0.073	267272475
0.074	267272475
0.075	267272475
0.076	267272475
0.077	267272475
0.078	267272475
0.079	267272475
0.08	267272475
0.081	267272475
0.082	267272475
0.083	267272475
0.084	267272475
0.085	267272475
0.086	267272475
0.087	267272475
0.088	267272475
0.089	267272475
0.09	267272475
0.091	267272475
0.092	267272475
0.093	267272475
0.094	267272475
0.095	267272475
0.096	267272475
0.097	267272475
0.098	267272475
0.099	267272475
0.1	267272475
0.101	267272475
0.102	267272475
0.103	267272475
0.104	267272475
0.105	267272475
0.106	267272475
0.107	267272475
0.108	267272475
0.109	267272475
0.11	267272475
0.111	267272475
0.112	267272475
0.113	267272475
0.114	267272475
0.115	267272475
0.116	267272475
0.117	260285503
0.118	260285503
0.119	260285503
0.12	260285503
0.121	260285503
0.122	260285503
0.123	260285503
0.124	260285503
0.125	260285503
0.126	260285503
0.127	260285503
0.128	260285503
0.129	260285503
0.13	260285503
0.131	260285503
0.132	260285503
0.133	260285503
0.134	260285503
0.135	260285503
0.136	260285503
0.137	260285503
0.138	260285503
0.139	260285503
0.14	260285503
0.141	260285503
0.142	260285503
0.143	260285503
0.144	260285503
0.145	260285503
0.146	260285503
0.147	260285503
0.148	260285503
0.149	260285503
0.15	260285503
0.151	260285503
0.152	260285503
0.153	260285503
0.154	260285503
0.155	260285503
0.156	260285503
0.157	260285503
0.158	260285503
0.159	260285503
0.16	260285503
0.161	260285503
0.162	260285503
0.163	260285503
0.164	260285503
0.165	260285503
0.166	260285503
0.167	260285503
0.168	260285503
0.169	260285503
0.17	260285503
0.171	260285503
0.172	260285503
0.173	260285503
0.174	260285503
0.175	260285503
0.176	260285503
0.177	260285503
0.178	260285503
0.179	260285503
0.18	260285503
0.181	260285503
0.182	260285503
0.183	260285503
0.184	260285503
0.185	260285503
0.186	260285503
0.187	260285503
0.188	260285503
0.189	260285503
0.19	260285503
0.191	260285503
0.192	260285503
0.193	260285503
0.194	260285503
0.195	260285503
0.196	260285503
0.197	260285503
0.198	260285503
0.199	260285503
0.2	260285503
0.201	260285503
0.202	260285503
0.203	260285503
0.204	260285503
0.205	260285503
0.206	260285503
0.207	260285503
0.208	260285503
0.209	260285503
0.21	260285503
0.211	260285503
0.212	260285503
0.213	260285503
0.214	260285503
0.215	260285503
0.216	260285503
0.217	260285503
0.218	260285503
0.219	260285503
0.22	260285503
0.221	260285503
0.222	260285503
0.223	260285503
0.224	260285503
0.225	260285503
0.226	260285503
0.227	260285503
0.228	260285503
0.229	260285503
0.23	214772000
0.231	214772000
0.232	214772000
0.233	214772000
0.234	214772000
0.235	214772000
0.236	214772000
0.237	214772000
0.238	214772000
0.239	214772000
0.24	214772000
0.241	214772000
0.242	214772000
0.243	214772000
0.244	214772000
0.245	214772000
0.246	214772000
0.247	214772000
0.248	214772000
0.249	214772000
0.25	214772000
0.251	214772000
0.252	214772000
0.253	214772000
0.254	214772000
0.255	214772000
0.256	214772000
0.257	214772000
0.258	214772000
0.259	214772000
0.26	214772000
0.261	214772000
0.262	214772000
0.263	214772000
0.264	214772000
0.265	214772000
0.266	214772000
0.267	214772000
0.268	214772000
0.269	214772000
0.27	214772000
0.271	214772000
0.272	214772000
0.273	214772000
0.274	214772000
0.275	214772000
0.276	214772000
0.277	214772000
0.278	214772000
0.279	214772000
0.28	214772000
0.281	214772000
0.282	214772000
0.283	214772000
0.284	214772000
0.285	214772000
0.286	214772000
0.287	214772000
0.288	214772000
0.289	214772000
0.29	214772000
0.291	214772000
0.292	214772000
0.293	214772000
0.294	214772000
0.295	214772000
0.296	214772000
0.297	214772000
0.298	214772000
0.299	214772000
0.3	214772000
0.301	214772000
0.302	214772000
0.303	214772000
0.304	214772000
0.305	214772000
0.306	214772000
0.307	214772000
0.308	214772000
0.309	214772000
0.31	214772000
0.311	214772000
0.312	214772000
0.313	214772000
0.314	214772000
0.315	214772000
0.316	214772000
0.317	214772000
0.318	214772000
0.319	214772000
0.32	214772000
0.321	214772000
0.322	214772000
0.323	214772000
0.324	203115010
0.325	203115010
0.326	203115010
0.327	203115010
0.328	203115010
0.329	203115010
0.33	203115010
0.331	203115010
0.332	203115010
0.333	203115010
0.334	203115010
0.335	203115010
0.336	203115010
0.337	203115010
0.338	203115010
0.339	203115010
0.34	203115010
0.341	203115010
0.342	203115010
0.343	203115010
0.344	203115010
0.345	203115010
0.346	203115010
0.347	203115010
0.348	203115010
0.349	203115010
0.35	203115010
0.351	203115010
0.352	203115010
0.353	203115010
0.354	203115010
0.355	203115010
0.356	203115010
0.357	203115010
0.358	203115010
0.359	203115010
0.36	203115010
0.361	203115010
0.362	203115010
0.363	203115010
0.364	203115010
0.365	203115010
0.366	203115010
0.367	203115010
0.368	203115010
0.369	203115010
0.37	203115010
0.371	203115010
0.372	203115010
0.373	203115010
0.374	203115010
0.375	203115010
0.376	203115010
0.377	203115010
0.378	203115010
0.379	203115010
0.38	203115010
0.381	203115010
0.382	203115010
0.383	203115010
0.384	203115010
0.385	203115010
0.386	203115010
0.387	203115010
0.388	203115010
0.389	203115010
0.39	203115010
0.391	203115010
0.392	203115010
0.393	203115010
0.394	203115010
0.395	203115010
0.396	203115010
0.397	203115010
0.398	203115010
0.399	203115010
0.4	203115010
0.401	203115010
0.402	203115010
0.403	203115010
0.404	203115010
0.405	203115010
0.406	203115010
0.407	203115010
0.408	203115010
0.409	203115010
0.41	203115010
0.411	203115010
0.412	203115010
0.413	168430779
0.414	168430779
0.415	168430779
0.416	168430779
0.417	168430779
0.418	168430779
0.419	168430779
0.42	168430779
0.421	168430779
0.422	168430779
0.423	168430779
0.424	168430779
0.425	168430779
0.426	168430779
0.427	168430779
0.428	168430779
0.429	168430779
0.43	168430779
0.431	168430779
0.432	168430779
0.433	168430779
0.434	168430779
0.435	168430779
0.436	168430779
0.437	168430779
0.438	168430779
0.439	168430779
0.44	168430779
0.441	168430779
0.442	168430779
0.443	168430779
0.444	168430779
0.445	168430779
0.446	168430779
0.447	168430779
0.448	168430779
0.449	168430779
0.45	168430779
0.451	168430779
0.452	168430779
0.453	168430779
0.454	168430779
0.455	168430779
0.456	168430779
0.457	168430779
0.458	168430779
0.459	168430779
0.46	168430779
0.461	168430779
0.462	168430779
0.463	168430779
0.464	168430779
0.465	168430779
0.466	168430779
0.467	168430779
0.468	168430779
0.469	168430779
0.47	168430779
0.471	168430779
0.472	168430779
0.473	168430779
0.474	168430779
0.475	168430779
0.476	168430779
0.477	168430779
0.478	168430779
0.479	168430779
0.48	168430779
0.481	168430779
0.482	168430779
0.483	168430779
0.484	168430779
0.485	168430779
0.486	160691000
0.487	160691000
0.488	160691000
0.489	160691000
0.49	160691000
0.491	160691000
0.492	160691000
0.493	160691000
0.494	160691000
0.495	160691000
0.496	160691000
0.497	160691000
0.498	160691000
0.499	160691000
0.5	160691000
0.501	160691000
0.502	160691000
0.503	160691000
0.504	160691000
0.505	160691000
0.506	160691000
0.507	160691000
0.508	160691000
0.509	160691000
0.51	160691000
0.511	160691000
0.512	160691000
0.513	160691000
0.514	160691000
0.515	160691000
0.516	160691000
0.517	160691000
0.518	160691000
0.519	160691000
0.52	160691000
0.521	160691000
0.522	160691000
0.523	160691000
0.524	160691000
0.525	160691000
0.526	160691000
0.527	160691000
0.528	160691000
0.529	160691000
0.53	160691000
0.531	160691000
0.532	160691000
0.533	160691000
0.534	160691000
0.535	160691000
0.536	160691000
0.537	160691000
0.538	160691000
0.539	160691000
0.54	160691000
0.541	160691000
0.542	160691000
0.543	160691000
0.544	160691000
0.545	160691000
0.546	160691000
0.547	160691000
0.548	160691000
0.549	160691000
0.55	160691000
0.551	160691000
0.552	160691000
0.553	160691000
0.554	160691000
0.555	160691000
0.556	150414069
0.557	150414069
0.558	150414069
0.559	150414069
0.56	150414069
0.561	150414069
0.562	150414069
0.563	150414069
0.564	150414069
0.565	150414069
0.566	150414069
0.567	150414069
0.568	150414069
0.569	150414069
0.57	150414069
0.571	150414069
0.572	150414069
0.573	150414069
0.574	150414069
0.575	150414069
0.576	150414069
0.577	150414069
0.578	150414069
0.579	150414069
0.58	150414069
0.581	150414069
0.582	150414069
0.583	150414069
0.584	150414069
0.585	150414069
0.586	150414069
0.587	150414069
0.588	150414069
0.589	150414069
0.59	150414069
0.591	150414069
0.592	150414069
0.593	150414069
0.594	150414069
0.595	150414069
0.596	150414069
0.597	150414069
0.598	150414069
0.599	150414069
0.6	150414069
0.601	150414069
0.602	150414069
0.603	150414069
0.604	150414069
0.605	150414069
0.606	150414069
0.607	150414069
0.608	150414069
0.609	150414069
0.61	150414069
0.611	150414069
0.612	150414069
0.613	150414069
0.614	150414069
0.615	150414069
0.616	150414069
0.617	150414069
0.618	150414069
0.619	150414069
0.62	150414069
0.621	117884000
0.622	117884000
0.623	117884000
0.624	117884000
0.625	117884000
0.626	117884000
0.627	117884000
0.628	117884000
0.629	117884000
0.63	117884000
0.631	117884000
0.632	117884000
0.633	117884000
0.634	117884000
0.635	117884000
0.636	117884000
0.637	117884000
0.638	117884000
0.639	117884000
0.64	117884000
0.641	117884000
0.642	117884000
0.643	117884000
0.644	117884000
0.645	117884000
0.646	117884000
0.647	117884000
0.648	117884000
0.649	117884000
0.65	117884000
0.651	117884000
0.652	117884000
0.653	117884000
0.654	117884000
0.655	117884000
0.656	117884000
0.657	117884000
0.658	117884000
0.659	117884000
0.66	117884000
0.661	117884000
0.662	117884000
0.663	117884000
0.664	117884000
0.665	117884000
0.666	117884000
0.667	117884000
0.668	117884000
0.669	117884000
0.67	117884000
0.671	117884000
0.672	117884000
0.673	112405458
0.674	112405458
0.675	112405458
0.676	112405458
0.677	112405458
0.678	112405458
0.679	112405458
0.68	112405458
0.681	112405458
0.682	112405458
0.683	112405458
0.684	112405458
0.685	112405458
0.686	112405458
0.687	112405458
0.688	112405458
0.689	112405458
0.69	112405458
0.691	112405458
0.692	112405458
0.693	112405458
0.694	112405458
0.695	112405458
0.696	112405458
0.697	112405458
0.698	112405458
0.699	112405458
0.7	112405458
