fraction	Nx_length
0.001	459129262
0.002	459129262
0.003	459129262
0.004	459129262
0.005	459129262
0.006	459129262
0.007	459129262
0.008	459129262
0.009	459129262
0.01	459129262
0.011	459129262
0.012	459129262
0.013	459129262
0.014	459129262
0.015	459129262
0.016	459129262
0.017	459129262
0.018	459129262
0.019	459129262
0.02	459129262
0.021	459129262
0.022	459129262
0.023	459129262
0.024	459129262
0.025	459129262
0.026	459129262
0.027	459129262
0.028	459129262
0.029	459129262
0.03	459129262
0.031	459129262
0.032	459129262
0.033	459129262
0.034	459129262
0.035	459129262
0.036	459129262
0.037	459129262
0.038	459129262
0.039	459129262
0.04	459129262
0.041	459129262
0.042	459129262
0.043	459129262
0.044	459129262
0.045	459129262
0.046	459129262
0.047	459129262
0.048	459129262
0.049	459129262
0.05	459129262
0.051	459129262
0.052	459129262
0.053	459129262
0.054	459129262
0.055	459129262
0.056	459129262
0.057	459129262
0.058	459129262
0.059	459129262
0.06	459129262
0.061	459129262
0.062	459129262
0.063	459129262
0.064	459129262
0.065	459129262
0.066	459129262
0.067	459129262
0.068	459129262
0.069	459129262
0.07	459129262
0.071	459129262
0.072	459129262
0.073	459129262
0.074	459129262
0.075	459129262
0.076	459129262
0.077	459129262
0.078	459129262
0.079	459129262
0.08	459129262
0.081	459129262
0.082	459129262
0.083	459129262
0.084	459129262
0.085	459129262
0.086	459129262
0.087	459129262
0.088	459129262
0.089	459129262
0.09	459129262
0.091	459129262
0.092	459129262
0.093	459129262
0.094	459129262
0.095	459129262
0.096	459129262
0.097	459129262
0.098	459129262
0.099	459129262
0.1	459129262
0.101	459129262
0.102	459129262
0.103	459129262
0.104	459129262
0.105	459129262
0.106	459129262
0.107	459129262
0.108	459129262
0.109	459129262
0.11	459129262
0.111	459129262
0.112	459129262
0.113	459129262
0.114	459129262
0.115	459129262
0.116	459129262
0.117	459129262
0.118	459129262
0.119	459129262
0.12	459129262
0.121	459129262
0.122	459129262
0.123	459129262
0.124	459129262
0.125	459129262
0.126	459129262
0.127	459129262
0.128	459129262
0.129	459129262
0.13	459129262
0.131	459129262
0.132	459129262
0.133	459129262
0.134	459129262
0.135	459129262
0.136	459129262
0.137	459129262
0.138	459129262
0.139	459129262
0.14	459129262
0.141	459129262
0.142	459129262
0.143	459129262
0.144	459129262
0.145	459129262
0.146	459129262
0.147	459129262
0.148	459129262
0.149	459129262
0.15	459129262
0.151	459129262
0.152	459129262
0.153	459129262
0.154	459129262
0.155	459129262
0.156	459129262
0.157	459129262
0.158	459129262
0.159	459129262
0.16	459129262
0.161	459129262
0.162	459129262
0.163	459129262
0.164	459129262
0.165	459129262
0.166	459129262
0.167	459129262
0.168	459129262
0.169	459129262
0.17	459129262
0.171	459129262
0.172	459129262
0.173	459129262
0.174	459129262
0.175	459129262
0.176	459129262
0.177	459129262
0.178	459129262
0.179	459129262
0.18	459129262
0.181	459129262
0.182	459129262
0.183	459129262
0.184	459129262
0.185	459129262
0.186	459129262
0.187	459129262
0.188	459129262
0.189	459129262
0.19	459129262
0.191	459129262
0.192	459129262
0.193	459129262
0.194	459129262
0.195	459129262
0.196	459129262
0.197	459129262
0.198	459129262
0.199	459129262
0.2	459129262
0.201	429459696
0.202	429459696
0.203	429459696
0.204	429459696
0.205	429459696
0.206	429459696
0.207	429459696
0.208	429459696
0.209	429459696
0.21	429459696
0.211	429459696
0.212	429459696
0.213	429459696
0.214	429459696
0.215	429459696
0.216	429459696
0.217	429459696
0.218	429459696
0.219	429459696
0.22	429459696
0.221	429459696
0.222	429459696
0.223	429459696
0.224	429459696
0.225	429459696
0.226	429459696
0.227	429459696
0.228	429459696
0.229	429459696
0.23	429459696
0.231	429459696
0.232	429459696
0.233	429459696
0.234	429459696
0.235	429459696
0.236	429459696
0.237	429459696
0.238	429459696
0.239	429459696
0.24	429459696
0.241	429459696
0.242	429459696
0.243	429459696
0.244	429459696
0.245	429459696
0.246	429459696
0.247	429459696
0.248	429459696
0.249	429459696
0.25	429459696
0.251	429459696
0.252	429459696
0.253	429459696
0.254	429459696
0.255	429459696
0.256	429459696
0.257	429459696
0.258	429459696
0.259	429459696
0.26	429459696
0.261	429459696
0.262	429459696
0.263	429459696
0.264	429459696
0.265	429459696
0.266	429459696
0.267	429459696
0.268	429459696
0.269	429459696
0.27	429459696
0.271	429459696
0.272	429459696
0.273	429459696
0.274	429459696
0.275	429459696
0.276	429459696
0.277	429459696
0.278	429459696
0.279	429459696
0.28	429459696
0.281	429459696
0.282	429459696
0.283	429459696
0.284	429459696
0.285	429459696
0.286	429459696
0.287	429459696
0.288	429459696
0.289	429459696
0.29	429459696
0.291	429459696
0.292	429459696
0.293	429459696
0.294	429459696
0.295	429459696
0.296	429459696
0.297	429459696
0.298	429459696
0.299	429459696
0.3	429459696
0.301	429459696
0.302	429459696
0.303	429459696
0.304	429459696
0.305	429459696
0.306	429459696
0.307	429459696
0.308	429459696
0.309	429459696
0.31	429459696
0.311	429459696
0.312	429459696
0.313	429459696
0.314	429459696
0.315	429459696
0.316	429459696
0.317	429459696
0.318	429459696
0.319	429459696
0.32	429459696
0.321	429459696
0.322	429459696
0.323	429459696
0.324	429459696
0.325	429459696
0.326	429459696
0.327	429459696
0.328	429459696
0.329	429459696
0.33	429459696
0.331	429459696
0.332	429459696
0.333	429459696
0.334	429459696
0.335	429459696
0.336	429459696
0.337	429459696
0.338	429459696
0.339	429459696
0.34	429459696
0.341	429459696
0.342	429459696
0.343	429459696
0.344	429459696
0.345	429459696
0.346	429459696
0.347	429459696
0.348	429459696
0.349	429459696
0.35	429459696
0.351	429459696
0.352	429459696
0.353	429459696
0.354	429459696
0.355	429459696
0.356	429459696
0.357	429459696
0.358	429459696
0.359	429459696
0.36	429459696
0.361	429459696
0.362	429459696
0.363	429459696
0.364	429459696
0.365	429459696
0.366	429459696
0.367	429459696
0.368	429459696
0.369	429459696
0.37	429459696
0.371	429459696
0.372	429459696
0.373	429459696
0.374	429459696
0.375	429459696
0.376	429459696
0.377	429459696
0.378	429459696
0.379	429459696
0.38	429459696
0.381	429459696
0.382	429459696
0.383	429459696
0.384	429459696
0.385	429459696
0.386	429459696
0.387	429459696
0.388	359646233
0.389	359646233
0.39	359646233
0.391	359646233
0.392	359646233
0.393	359646233
0.394	359646233
0.395	359646233
0.396	359646233
0.397	359646233
0.398	359646233
0.399	359646233
0.4	359646233
0.401	359646233
0.402	359646233
0.403	359646233
0.404	359646233
0.405	359646233
0.406	359646233
0.407	359646233
0.408	359646233
0.409	359646233
0.41	359646233
0.411	359646233
0.412	359646233
0.413	359646233
0.414	359646233
0.415	359646233
0.416	359646233
0.417	359646233
0.418	359646233
0.419	359646233
0.42	359646233
0.421	359646233
0.422	359646233
0.423	359646233
0.424	359646233
0.425	359646233
0.426	359646233
0.427	359646233
0.428	359646233
0.429	359646233
0.43	359646233
0.431	359646233
0.432	359646233
0.433	359646233
0.434	359646233
0.435	359646233
0.436	359646233
0.437	359646233
0.438	359646233
0.439	359646233
0.44	359646233
0.441	359646233
0.442	359646233
0.443	359646233
0.444	359646233
0.445	359646233
0.446	359646233
0.447	359646233
0.448	359646233
0.449	359646233
0.45	359646233
0.451	359646233
0.452	359646233
0.453	359646233
0.454	359646233
0.455	359646233
0.456	359646233
0.457	359646233
0.458	359646233
0.459	359646233
0.46	359646233
0.461	359646233
0.462	359646233
0.463	359646233
0.464	359646233
0.465	359646233
0.466	359646233
0.467	359646233
0.468	359646233
0.469	359646233
0.47	359646233
0.471	359646233
0.472	359646233
0.473	359646233
0.474	359646233
0.475	359646233
0.476	359646233
0.477	359646233
0.478	359646233
0.479	359646233
0.48	359646233
0.481	359646233
0.482	359646233
0.483	359646233
0.484	359646233
0.485	359646233
0.486	359646233
0.487	359646233
0.488	359646233
0.489	359646233
0.49	359646233
0.491	359646233
0.492	359646233
0.493	359646233
0.494	359646233
0.495	359646233
0.496	359646233
0.497	359646233
0.498	359646233
0.499	359646233
0.5	359646233
0.501	359646233
0.502	359646233
0.503	359646233
0.504	359646233
0.505	359646233
0.506	359646233
0.507	359646233
0.508	359646233
0.509	359646233
0.51	359646233
0.511	359646233
0.512	359646233
0.513	359646233
0.514	359646233
0.515	359646233
0.516	359646233
0.517	359646233
0.518	359646233
0.519	359646233
0.52	359646233
0.521	359646233
0.522	359646233
0.523	359646233
0.524	359646233
0.525	359646233
0.526	359646233
0.527	359646233
0.528	359646233
0.529	359646233
0.53	359646233
0.531	359646233
0.532	359646233
0.533	359646233
0.534	359646233
0.535	359646233
0.536	359646233
0.537	359646233
0.538	359646233
0.539	359646233
0.54	359646233
0.541	359646233
0.542	359646233
0.543	359646233
0.544	322367141
0.545	322367141
0.546	322367141
0.547	322367141
0.548	322367141
0.549	322367141
0.55	322367141
0.551	322367141
0.552	322367141
0.553	322367141
0.554	322367141
0.555	322367141
0.556	322367141
0.557	322367141
0.558	322367141
0.559	322367141
0.56	322367141
0.561	322367141
0.562	322367141
0.563	322367141
0.564	322367141
0.565	322367141
0.566	322367141
0.567	322367141
0.568	322367141
0.569	322367141
0.57	322367141
0.571	322367141
0.572	322367141
0.573	322367141
0.574	322367141
0.575	322367141
0.576	322367141
0.577	322367141
0.578	322367141
0.579	322367141
0.58	322367141
0.581	322367141
0.582	322367141
0.583	322367141
0.584	322367141
0.585	322367141
0.586	322367141
0.587	322367141
0.588	322367141
0.589	322367141
0.59	322367141
0.591	322367141
0.592	322367141
0.593	322367141
0.594	322367141
0.595	322367141
0.596	322367141
0.597	322367141
0.598	322367141
0.599	322367141
0.6	322367141
0.601	322367141
0.602	322367141
0.603	322367141
0.604	322367141
0.605	322367141
0.606	322367141
0.607	322367141
0.608	322367141
0.609	322367141
0.61	322367141
0.611	322367141
0.612	322367141
0.613	322367141
0.614	322367141
0.615	322367141
0.616	322367141
0.617	322367141
0.618	322367141
0.619	322367141
0.62	322367141
0.621	322367141
0.622	322367141
0.623	322367141
0.624	322367141
0.625	322367141
0.626	322367141
0.627	322367141
0.628	322367141
0.629	322367141
0.63	322367141
0.631	322367141
0.632	322367141
0.633	322367141
0.634	322367141
0.635	322367141
0.636	322367141
0.637	322367141
0.638	322367141
0.639	322367141
0.64	322367141
0.641	322367141
0.642	322367141
0.643	322367141
0.644	322367141
0.645	322367141
0.646	322367141
0.647	322367141
0.648	322367141
0.649	322367141
0.65	322367141
0.651	322367141
0.652	322367141
0.653	322367141
0.654	322367141
0.655	322367141
0.656	322367141
0.657	322367141
0.658	322367141
0.659	322367141
0.66	322367141
0.661	322367141
0.662	322367141
0.663	322367141
0.664	322367141
0.665	322367141
0.666	322367141
0.667	322367141
0.668	322367141
0.669	322367141
0.67	322367141
0.671	322367141
0.672	322367141
0.673	322367141
0.674	322367141
0.675	322367141
0.676	322367141
0.677	322367141
0.678	322367141
0.679	322367141
0.68	322367141
0.681	322367141
0.682	322367141
0.683	322367141
0.684	322367141
0.685	260285503
0.686	260285503
0.687	260285503
0.688	260285503
0.689	260285503
0.69	260285503
0.691	260285503
0.692	260285503
0.693	260285503
0.694	260285503
0.695	260285503
0.696	260285503
0.697	260285503
0.698	260285503
0.699	260285503
0.7	260285503
0.701	260285503
0.702	260285503
0.703	260285503
0.704	260285503
0.705	260285503
0.706	260285503
0.707	260285503
0.708	260285503
0.709	260285503
0.71	260285503
0.711	260285503
0.712	260285503
0.713	260285503
0.714	260285503
0.715	260285503
0.716	260285503
0.717	260285503
0.718	260285503
0.719	260285503
0.72	260285503
0.721	260285503
0.722	260285503
0.723	260285503
0.724	260285503
0.725	260285503
0.726	260285503
0.727	260285503
0.728	260285503
0.729	260285503
0.73	260285503
0.731	260285503
0.732	260285503
0.733	260285503
0.734	260285503
0.735	260285503
0.736	260285503
0.737	260285503
0.738	260285503
0.739	260285503
0.74	260285503
0.741	260285503
0.742	260285503
0.743	260285503
0.744	260285503
0.745	260285503
0.746	260285503
0.747	260285503
0.748	260285503
0.749	260285503
0.75	260285503
0.751	260285503
0.752	260285503
0.753	260285503
0.754	260285503
0.755	260285503
0.756	260285503
0.757	260285503
0.758	260285503
0.759	260285503
0.76	260285503
0.761	260285503
0.762	260285503
0.763	260285503
0.764	260285503
0.765	260285503
0.766	260285503
0.767	260285503
0.768	260285503
0.769	260285503
0.77	260285503
0.771	260285503
0.772	260285503
0.773	260285503
0.774	260285503
0.775	260285503
0.776	260285503
0.777	260285503
0.778	260285503
0.779	260285503
0.78	260285503
0.781	260285503
0.782	260285503
0.783	260285503
0.784	260285503
0.785	260285503
0.786	260285503
0.787	260285503
0.788	260285503
0.789	260285503
0.79	260285503
0.791	260285503
0.792	260285503
0.793	260285503
0.794	260285503
0.795	260285503
0.796	260285503
0.797	260285503
0.798	171665751
0.799	171665751
0.8	171665751
0.801	171665751
0.802	171665751
0.803	171665751
0.804	171665751
0.805	171665751
0.806	171665751
0.807	171665751
0.808	171665751
0.809	171665751
0.81	171665751
0.811	171665751
0.812	171665751
0.813	171665751
0.814	171665751
0.815	171665751
0.816	171665751
0.817	171665751
0.818	171665751
0.819	171665751
0.82	171665751
0.821	171665751
0.822	171665751
0.823	171665751
0.824	171665751
0.825	171665751
0.826	171665751
0.827	171665751
0.828	171665751
0.829	171665751
0.83	171665751
0.831	171665751
0.832	171665751
0.833	171665751
0.834	171665751
0.835	171665751
0.836	171665751
0.837	171665751
0.838	171665751
0.839	171665751
0.84	171665751
0.841	171665751
0.842	171665751
0.843	171665751
0.844	171665751
0.845	171665751
0.846	171665751
0.847	171665751
0.848	171665751
0.849	171665751
0.85	171665751
0.851	171665751
0.852	171665751
0.853	171665751
0.854	171665751
0.855	171665751
0.856	171665751
0.857	171665751
0.858	171665751
0.859	171665751
0.86	171665751
0.861	171665751
0.862	171665751
0.863	171665751
0.864	171665751
0.865	171665751
0.866	171665751
0.867	171665751
0.868	171665751
0.869	171665751
0.87	171665751
0.871	171665751
0.872	171665751
0.873	38650604
0.874	38650604
0.875	38650604
0.876	38650604
0.877	38650604
0.878	38650604
0.879	38650604
0.88	38650604
0.881	38650604
0.882	38650604
0.883	38650604
0.884	38650604
0.885	38650604
0.886	38650604
0.887	38650604
0.888	38650604
0.889	38650604
0.89	33073465
0.891	33073465
0.892	33073465
0.893	33073465
0.894	33073465
0.895	33073465
0.896	33073465
0.897	33073465
0.898	33073465
0.899	33073465
0.9	33073465
0.901	33073465
0.902	33073465
0.903	33073465
0.904	32584128
0.905	32584128
0.906	32584128
0.907	32584128
0.908	32584128
0.909	32584128
0.91	32584128
0.911	32584128
0.912	32584128
0.913	32584128
0.914	32584128
0.915	32584128
0.916	32584128
0.917	32584128
0.918	32584128
0.919	30405871
0.92	30405871
0.921	30405871
0.922	30405871
0.923	30405871
0.924	30405871
0.925	30405871
0.926	30405871
0.927	30405871
0.928	30405871
0.929	30405871
0.93	30405871
0.931	30405871
0.932	29363974
0.933	29363974
0.934	29363974
0.935	29363974
0.936	29363974
0.937	29363974
0.938	29363974
0.939	29363974
0.94	29363974
0.941	29363974
0.942	29363974
0.943	29363974
0.944	29363974
0.945	24441388
0.946	24441388
0.947	24441388
0.948	24441388
0.949	24441388
0.95	24441388
0.951	24441388
0.952	24441388
0.953	24441388
0.954	24441388
0.955	24048327
0.956	24048327
0.957	24048327
0.958	24048327
0.959	24048327
0.96	24048327
0.961	24048327
0.962	24048327
0.963	24048327
0.964	24048327
0.965	24048327
0.966	23465029
0.967	23465029
0.968	23465029
0.969	23465029
0.97	23465029
0.971	23465029
0.972	23465029
0.973	23465029
0.974	23465029
0.975	23465029
0.976	20671332
0.977	20671332
0.978	20671332
0.979	20671332
0.98	20671332
0.981	20671332
0.982	20671332
0.983	20671332
0.984	20671332
0.985	17390101
0.986	17390101
0.987	17390101
0.988	17390101
0.989	17390101
0.99	17390101
0.991	17390101
0.992	17390101
0.993	16604388
0.994	16604388
0.995	16604388
0.996	16604388
0.997	16604388
0.998	16604388
0.999	16604388
1.0	10730
