fraction	Nx_length
0.001	329916
0.002	288870
0.003	262430
0.004	253768
0.005	244599
0.006	232764
0.007	224342
0.008	221476
0.009	212125
0.01	207419
0.011	204982
0.012	202393
0.013	199845
0.014	196156
0.015	193826
0.016	191959
0.017	189395
0.018	183688
0.019	181838
0.02	179369
0.021	177922
0.022	175137
0.023	173138
0.024	170676
0.025	169346
0.026	167593
0.027	166056
0.028	164875
0.029	162705
0.03	161378
0.031	159744
0.032	158138
0.033	157024
0.034	155509
0.035	154341
0.036	152922
0.037	151690
0.038	150743
0.039	149662
0.04	148377
0.041	147635
0.042	146359
0.043	145735
0.044	145005
0.045	144122
0.046	142826
0.047	141907
0.048	140659
0.049	139434
0.05	138459
0.051	137200
0.052	135997
0.053	135410
0.054	134730
0.055	133951
0.056	133346
0.057	132600
0.058	132042
0.059	131522
0.06	130853
0.061	130023
0.062	129344
0.063	128564
0.064	128039
0.065	126928
0.066	126313
0.067	125208
0.068	124554
0.069	123738
0.07	122943
0.071	122580
0.072	121914
0.073	121337
0.074	120896
0.075	120263
0.076	119137
0.077	118608
0.078	117925
0.079	117583
0.08	117236
0.081	116758
0.082	116370
0.083	115928
0.084	115116
0.085	114684
0.086	113803
0.087	113430
0.088	112807
0.089	112249
0.09	111856
0.091	111493
0.092	111016
0.093	110385
0.094	109879
0.095	109436
0.096	109048
0.097	108589
0.098	108093
0.099	107800
0.1	107260
0.101	106740
0.102	106324
0.103	105975
0.104	105727
0.105	105327
0.106	104852
0.107	104286
0.108	103640
0.109	103228
0.11	102720
0.111	102379
0.112	101974
0.113	101592
0.114	101351
0.115	100811
0.116	100519
0.117	100052
0.118	99757
0.119	99254
0.12	98900
0.121	98468
0.122	98132
0.123	97916
0.124	97490
0.125	97117
0.126	96855
0.127	96286
0.128	95944
0.129	95587
0.13	95217
0.131	94832
0.132	94423
0.133	94094
0.134	93639
0.135	93300
0.136	92890
0.137	92534
0.138	92071
0.139	91646
0.14	91391
0.141	91106
0.142	90700
0.143	90479
0.144	90175
0.145	89715
0.146	89466
0.147	89132
0.148	88873
0.149	88480
0.15	88237
0.151	87796
0.152	87555
0.153	87374
0.154	87039
0.155	86698
0.156	86409
0.157	86171
0.158	85821
0.159	85499
0.16	85283
0.161	85034
0.162	84660
0.163	84409
0.164	84105
0.165	83841
0.166	83573
0.167	83281
0.168	82888
0.169	82678
0.17	82448
0.171	82118
0.172	81807
0.173	81560
0.174	81337
0.175	81091
0.176	80839
0.177	80552
0.178	80349
0.179	80124
0.18	79896
0.181	79621
0.182	79317
0.183	79134
0.184	78937
0.185	78670
0.186	78466
0.187	78238
0.188	77990
0.189	77748
0.19	77537
0.191	77308
0.192	77099
0.193	76836
0.194	76648
0.195	76336
0.196	76060
0.197	75862
0.198	75697
0.199	75415
0.2	75208
0.201	74998
0.202	74801
0.203	74592
0.204	74369
0.205	74205
0.206	73976
0.207	73833
0.208	73638
0.209	73413
0.21	73127
0.211	72800
0.212	72579
0.213	72369
0.214	72187
0.215	71999
0.216	71772
0.217	71602
0.218	71453
0.219	71271
0.22	71099
0.221	70799
0.222	70566
0.223	70386
0.224	70156
0.225	69958
0.226	69782
0.227	69549
0.228	69374
0.229	69154
0.23	68932
0.231	68743
0.232	68538
0.233	68349
0.234	68195
0.235	68003
0.236	67842
0.237	67644
0.238	67455
0.239	67309
0.24	67056
0.241	66900
0.242	66760
0.243	66572
0.244	66358
0.245	66154
0.246	65921
0.247	65814
0.248	65579
0.249	65380
0.25	65224
0.251	65052
0.252	64914
0.253	64766
0.254	64523
0.255	64371
0.256	64189
0.257	63999
0.258	63850
0.259	63669
0.26	63549
0.261	63373
0.262	63183
0.263	63003
0.264	62866
0.265	62686
0.266	62538
0.267	62399
0.268	62229
0.269	62021
0.27	61815
0.271	61691
0.272	61581
0.273	61410
0.274	61287
0.275	61147
0.276	61012
0.277	60798
0.278	60647
0.279	60531
0.28	60386
0.281	60220
0.282	60084
0.283	59970
0.284	59809
0.285	59671
0.286	59489
0.287	59321
0.288	59175
0.289	59009
0.29	58839
0.291	58666
0.292	58541
0.293	58351
0.294	58223
0.295	58066
0.296	57941
0.297	57774
0.298	57637
0.299	57383
0.3	57223
0.301	57103
0.302	57004
0.303	56843
0.304	56717
0.305	56574
0.306	56438
0.307	56282
0.308	56135
0.309	56040
0.31	55904
0.311	55755
0.312	55597
0.313	55464
0.314	55301
0.315	55197
0.316	55067
0.317	54938
0.318	54823
0.319	54698
0.32	54551
0.321	54411
0.322	54239
0.323	54117
0.324	54023
0.325	53876
0.326	53758
0.327	53659
0.328	53496
0.329	53361
0.33	53236
0.331	53100
0.332	52973
0.333	52785
0.334	52646
0.335	52502
0.336	52374
0.337	52251
0.338	52110
0.339	51974
0.34	51818
0.341	51706
0.342	51520
0.343	51383
0.344	51233
0.345	51097
0.346	50978
0.347	50858
0.348	50708
0.349	50564
0.35	50445
0.351	50304
0.352	50194
0.353	50083
0.354	49971
0.355	49874
0.356	49758
0.357	49643
0.358	49538
0.359	49417
0.36	49259
0.361	49133
0.362	48989
0.363	48854
0.364	48729
0.365	48570
0.366	48458
0.367	48362
0.368	48275
0.369	48158
0.37	48049
0.371	47922
0.372	47805
0.373	47725
0.374	47610
0.375	47471
0.376	47367
0.377	47259
0.378	47119
0.379	47029
0.38	46896
0.381	46776
0.382	46684
0.383	46571
0.384	46480
0.385	46340
0.386	46235
0.387	46143
0.388	46024
0.389	45933
0.39	45821
0.391	45707
0.392	45593
0.393	45458
0.394	45340
0.395	45266
0.396	45129
0.397	45047
0.398	44942
0.399	44813
0.4	44700
0.401	44608
0.402	44495
0.403	44397
0.404	44285
0.405	44177
0.406	44089
0.407	43993
0.408	43918
0.409	43830
0.41	43720
0.411	43606
0.412	43520
0.413	43408
0.414	43282
0.415	43182
0.416	43058
0.417	42948
0.418	42846
0.419	42749
0.42	42652
0.421	42580
0.422	42438
0.423	42348
0.424	42223
0.425	42107
0.426	41996
0.427	41900
0.428	41767
0.429	41655
0.43	41571
0.431	41479
0.432	41360
0.433	41245
0.434	41140
0.435	41024
0.436	40909
0.437	40795
0.438	40669
0.439	40588
0.44	40481
0.441	40379
0.442	40283
0.443	40177
0.444	40069
0.445	39986
0.446	39894
0.447	39804
0.448	39702
0.449	39620
0.45	39540
0.451	39443
0.452	39364
0.453	39268
0.454	39169
0.455	39086
0.456	39000
0.457	38904
0.458	38798
0.459	38692
0.46	38607
0.461	38504
0.462	38419
0.463	38325
0.464	38233
0.465	38129
0.466	38036
0.467	37934
0.468	37853
0.469	37756
0.47	37654
0.471	37560
0.472	37458
0.473	37390
0.474	37271
0.475	37173
0.476	37078
0.477	36993
0.478	36911
0.479	36853
0.48	36776
0.481	36686
0.482	36599
0.483	36526
0.484	36433
0.485	36343
0.486	36214
0.487	36115
0.488	36009
0.489	35919
0.49	35834
0.491	35756
0.492	35683
0.493	35608
0.494	35516
0.495	35437
0.496	35355
0.497	35274
0.498	35183
0.499	35088
0.5	35012
0.501	34940
0.502	34875
0.503	34796
0.504	34718
0.505	34625
0.506	34547
0.507	34456
0.508	34394
0.509	34324
0.51	34224
0.511	34138
0.512	34054
0.513	33960
0.514	33868
0.515	33794
0.516	33720
0.517	33650
0.518	33558
0.519	33462
0.52	33378
0.521	33304
0.522	33215
0.523	33140
0.524	33066
0.525	32981
0.526	32933
0.527	32864
0.528	32787
0.529	32712
0.53	32636
0.531	32554
0.532	32487
0.533	32407
0.534	32334
0.535	32242
0.536	32162
0.537	32080
0.538	31995
0.539	31919
0.54	31856
0.541	31764
0.542	31663
0.543	31578
0.544	31510
0.545	31429
0.546	31364
0.547	31270
0.548	31180
0.549	31093
0.55	31035
0.551	30947
0.552	30869
0.553	30791
0.554	30699
0.555	30611
0.556	30526
0.557	30457
0.558	30381
0.559	30298
0.56	30244
0.561	30182
0.562	30111
0.563	30025
0.564	29940
0.565	29860
0.566	29787
0.567	29715
0.568	29634
0.569	29530
0.57	29464
0.571	29369
0.572	29303
0.573	29221
0.574	29125
0.575	29071
0.576	29002
0.577	28923
0.578	28836
0.579	28742
0.58	28682
0.581	28628
0.582	28548
0.583	28470
0.584	28408
0.585	28327
0.586	28253
0.587	28175
0.588	28103
0.589	28054
0.59	27998
0.591	27914
0.592	27841
0.593	27777
0.594	27701
0.595	27616
0.596	27547
0.597	27462
0.598	27373
0.599	27293
0.6	27223
0.601	27148
0.602	27068
0.603	26978
0.604	26899
0.605	26835
0.606	26775
0.607	26694
0.608	26612
0.609	26533
0.61	26445
0.611	26357
0.612	26284
0.613	26208
0.614	26146
0.615	26061
0.616	25995
0.617	25918
0.618	25853
0.619	25787
0.62	25713
0.621	25640
0.622	25568
0.623	25510
0.624	25428
0.625	25360
0.626	25311
0.627	25246
0.628	25157
0.629	25082
0.63	25017
0.631	24955
0.632	24891
0.633	24804
0.634	24752
0.635	24678
0.636	24606
0.637	24548
0.638	24456
0.639	24376
0.64	24302
0.641	24245
0.642	24188
0.643	24107
0.644	24051
0.645	23980
0.646	23919
0.647	23865
0.648	23800
0.649	23742
0.65	23671
0.651	23613
0.652	23531
0.653	23452
0.654	23379
0.655	23305
0.656	23240
0.657	23174
0.658	23112
0.659	23053
0.66	22983
0.661	22913
0.662	22851
0.663	22782
0.664	22712
0.665	22629
0.666	22542
0.667	22474
0.668	22412
0.669	22353
0.67	22287
0.671	22215
0.672	22149
0.673	22066
0.674	22000
0.675	21921
0.676	21862
0.677	21801
0.678	21729
0.679	21664
0.68	21595
0.681	21529
0.682	21474
0.683	21407
0.684	21346
0.685	21283
0.686	21222
0.687	21150
0.688	21088
0.689	21033
0.69	20976
0.691	20889
0.692	20827
0.693	20756
0.694	20676
0.695	20617
0.696	20559
0.697	20502
0.698	20431
0.699	20358
0.7	20297
0.701	20230
0.702	20179
0.703	20109
0.704	20051
0.705	19994
0.706	19940
0.707	19890
0.708	19830
0.709	19766
0.71	19719
0.711	19643
0.712	19583
0.713	19523
0.714	19444
0.715	19370
0.716	19309
0.717	19247
0.718	19184
0.719	19109
0.72	19043
0.721	18993
0.722	18933
0.723	18872
0.724	18802
0.725	18735
0.726	18670
0.727	18613
0.728	18555
0.729	18477
0.73	18415
0.731	18348
0.732	18293
0.733	18230
0.734	18155
0.735	18091
0.736	18031
0.737	17975
0.738	17907
0.739	17832
0.74	17771
0.741	17713
0.742	17652
0.743	17597
0.744	17516
0.745	17454
0.746	17398
0.747	17334
0.748	17286
0.749	17220
0.75	17151
0.751	17078
0.752	17003
0.753	16928
0.754	16870
0.755	16810
0.756	16748
0.757	16670
0.758	16611
0.759	16547
0.76	16463
0.761	16401
0.762	16342
0.763	16278
0.764	16213
0.765	16152
0.766	16096
0.767	16030
0.768	15964
0.769	15909
0.77	15850
0.771	15785
0.772	15725
0.773	15651
0.774	15585
0.775	15519
0.776	15455
0.777	15385
0.778	15324
0.779	15267
0.78	15200
0.781	15133
0.782	15062
0.783	15004
0.784	14926
0.785	14871
0.786	14813
0.787	14738
0.788	14678
0.789	14621
0.79	14561
0.791	14496
0.792	14423
0.793	14366
0.794	14301
0.795	14234
0.796	14177
0.797	14103
0.798	14028
0.799	13964
0.8	13899
0.801	13837
0.802	13774
0.803	13708
0.804	13638
0.805	13563
0.806	13513
0.807	13444
0.808	13378
0.809	13307
0.81	13249
0.811	13190
0.812	13127
0.813	13057
0.814	12982
0.815	12923
0.816	12862
0.817	12799
0.818	12738
0.819	12675
0.82	12609
0.821	12538
0.822	12470
0.823	12406
0.824	12341
0.825	12280
0.826	12220
0.827	12147
0.828	12086
0.829	12011
0.83	11937
0.831	11869
0.832	11806
0.833	11742
0.834	11686
0.835	11619
0.836	11564
0.837	11506
0.838	11437
0.839	11368
0.84	11298
0.841	11229
0.842	11172
0.843	11127
0.844	11064
0.845	11003
0.846	10934
0.847	10876
0.848	10803
0.849	10738
0.85	10675
0.851	10606
0.852	10538
0.853	10472
0.854	10414
0.855	10347
0.856	10281
0.857	10210
0.858	10150
0.859	10077
0.86	10015
0.861	9947
0.862	9885
0.863	9823
0.864	9755
0.865	9687
0.866	9629
0.867	9551
0.868	9497
0.869	9430
0.87	9362
0.871	9297
0.872	9234
0.873	9162
0.874	9098
0.875	9028
0.876	8966
0.877	8903
0.878	8840
0.879	8775
0.88	8717
0.881	8651
0.882	8589
0.883	8520
0.884	8450
0.885	8386
0.886	8320
0.887	8248
0.888	8185
0.889	8124
0.89	8052
0.891	7976
0.892	7907
0.893	7838
0.894	7783
0.895	7719
0.896	7654
0.897	7587
0.898	7517
0.899	7449
0.9	7383
0.901	7312
0.902	7243
0.903	7174
0.904	7120
0.905	7080
0.906	7017
0.907	6955
0.908	6878
0.909	6805
0.91	6739
0.911	6677
0.912	6610
0.913	6547
0.914	6481
0.915	6407
0.916	6344
0.917	6283
0.918	6206
0.919	6131
0.92	6062
0.921	5992
0.922	5921
0.923	5848
0.924	5777
0.925	5704
0.926	5640
0.927	5571
0.928	5500
0.929	5431
0.93	5356
0.931	5280
0.932	5207
0.933	5137
0.934	5084
0.935	5067
0.936	5052
0.937	5022
0.938	4990
0.939	4955
0.94	4911
0.941	4863
0.942	4816
0.943	4769
0.944	4720
0.945	4667
0.946	4614
0.947	4570
0.948	4547
0.949	4542
0.95	4536
0.951	4525
0.952	4509
0.953	4494
0.954	4464
0.955	4433
0.956	4399
0.957	4338
0.958	4281
0.959	4221
0.96	4159
0.961	4088
0.962	4026
0.963	3966
0.964	3904
0.965	3839
0.966	3776
0.967	3705
0.968	3638
0.969	3563
0.97	3485
0.971	3415
0.972	3344
0.973	3270
0.974	3203
0.975	3135
0.976	3073
0.977	2994
0.978	2913
0.979	2831
0.98	2749
0.981	2666
0.982	2580
0.983	2483
0.984	2392
0.985	2299
0.986	2205
0.987	2104
0.988	2007
0.989	1916
0.99	1818
0.991	1720
0.992	1616
0.993	1519
0.994	1426
0.995	1332
0.996	1233
0.997	1135
0.998	1041
0.999	783
1.0	48
