fraction	Nx_length
0.001	64359128
0.002	64359128
0.003	64359128
0.004	64359128
0.005	64359128
0.006	64359128
0.007	64359128
0.008	64359128
0.009	64359128
0.01	64359128
0.011	64359128
0.012	64359128
0.013	64359128
0.014	64359128
0.015	64359128
0.016	64359128
0.017	64359128
0.018	64359128
0.019	64359128
0.02	64359128
0.021	64359128
0.022	64359128
0.023	64359128
0.024	64359128
0.025	64359128
0.026	64359128
0.027	64359128
0.028	64359128
0.029	64359128
0.03	64359128
0.031	64359128
0.032	64359128
0.033	64359128
0.034	64359128
0.035	64359128
0.036	64359128
0.037	52505179
0.038	52505179
0.039	52505179
0.04	52505179
0.041	52505179
0.042	52505179
0.043	52505179
0.044	52505179
0.045	52505179
0.046	52505179
0.047	52505179
0.048	52505179
0.049	52505179
0.05	52505179
0.051	52505179
0.052	52505179
0.053	52505179
0.054	52505179
0.055	52505179
0.056	52505179
0.057	52505179
0.058	52505179
0.059	52505179
0.06	52505179
0.061	52505179
0.062	52505179
0.063	52505179
0.064	52505179
0.065	52505179
0.066	52505179
0.067	52505179
0.068	50086098
0.069	50086098
0.07	50086098
0.071	50086098
0.072	50086098
0.073	50086098
0.074	50086098
0.075	50086098
0.076	50086098
0.077	50086098
0.078	50086098
0.079	50086098
0.08	50086098
0.081	50086098
0.082	50086098
0.083	50086098
0.084	50086098
0.085	50086098
0.086	50086098
0.087	50086098
0.088	50086098
0.089	50086098
0.09	50086098
0.091	50086098
0.092	50086098
0.093	50086098
0.094	50086098
0.095	50086098
0.096	39383298
0.097	39383298
0.098	39383298
0.099	39383298
0.1	39383298
0.101	39383298
0.102	39383298
0.103	39383298
0.104	39383298
0.105	39383298
0.106	39383298
0.107	39383298
0.108	39383298
0.109	39383298
0.11	39383298
0.111	39383298
0.112	39383298
0.113	39383298
0.114	39383298
0.115	39383298
0.116	39383298
0.117	39383298
0.118	39383298
0.119	37376693
0.12	37376693
0.121	37376693
0.122	37376693
0.123	37376693
0.124	37376693
0.125	37376693
0.126	37376693
0.127	37376693
0.128	37376693
0.129	37376693
0.13	37376693
0.131	37376693
0.132	37376693
0.133	37376693
0.134	37376693
0.135	37376693
0.136	37376693
0.137	37376693
0.138	37376693
0.139	37376693
0.14	33409394
0.141	33409394
0.142	33409394
0.143	33409394
0.144	33409394
0.145	33409394
0.146	33409394
0.147	33409394
0.148	33409394
0.149	33409394
0.15	33409394
0.151	33409394
0.152	33409394
0.153	33409394
0.154	33409394
0.155	33409394
0.156	33409394
0.157	33409394
0.158	33409394
0.159	33409394
0.16	32914086
0.161	32914086
0.162	32914086
0.163	32914086
0.164	32914086
0.165	32914086
0.166	32914086
0.167	32914086
0.168	32914086
0.169	32914086
0.17	32914086
0.171	32914086
0.172	32914086
0.173	32914086
0.174	32914086
0.175	32914086
0.176	32914086
0.177	32914086
0.178	32914086
0.179	31388588
0.18	31388588
0.181	31388588
0.182	31388588
0.183	31388588
0.184	31388588
0.185	31388588
0.186	31388588
0.187	31388588
0.188	31388588
0.189	31388588
0.19	31388588
0.191	31388588
0.192	31388588
0.193	31388588
0.194	31388588
0.195	31388588
0.196	31388588
0.197	29647161
0.198	29647161
0.199	29647161
0.2	29647161
0.201	29647161
0.202	29647161
0.203	29647161
0.204	29647161
0.205	29647161
0.206	29647161
0.207	29647161
0.208	29647161
0.209	29647161
0.21	29647161
0.211	29647161
0.212	29647161
0.213	29647161
0.214	23746379
0.215	23746379
0.216	23746379
0.217	23746379
0.218	23746379
0.219	23746379
0.22	23746379
0.221	23746379
0.222	23746379
0.223	23746379
0.224	23746379
0.225	23746379
0.226	23746379
0.227	22682623
0.228	22682623
0.229	22682623
0.23	22682623
0.231	22682623
0.232	22682623
0.233	22682623
0.234	22682623
0.235	22682623
0.236	22682623
0.237	22682623
0.238	22682623
0.239	22682623
0.24	22372495
0.241	22372495
0.242	22372495
0.243	22372495
0.244	22372495
0.245	22372495
0.246	22372495
0.247	22372495
0.248	22372495
0.249	22372495
0.25	22372495
0.251	22372495
0.252	22372495
0.253	21711814
0.254	21711814
0.255	21711814
0.256	21711814
0.257	21711814
0.258	21711814
0.259	21711814
0.26	21711814
0.261	21711814
0.262	21711814
0.263	21711814
0.264	21711814
0.265	21711814
0.266	21660894
0.267	21660894
0.268	21660894
0.269	21660894
0.27	21660894
0.271	21660894
0.272	21660894
0.273	21660894
0.274	21660894
0.275	21660894
0.276	21660894
0.277	21660894
0.278	21515644
0.279	21515644
0.28	21515644
0.281	21515644
0.282	21515644
0.283	21515644
0.284	21515644
0.285	21515644
0.286	21515644
0.287	21515644
0.288	21515644
0.289	21515644
0.29	19515492
0.291	19515492
0.292	19515492
0.293	19515492
0.294	19515492
0.295	19515492
0.296	19515492
0.297	19515492
0.298	19515492
0.299	19515492
0.3	19515492
0.301	19515492
0.302	19086890
0.303	19086890
0.304	19086890
0.305	19086890
0.306	19086890
0.307	19086890
0.308	19086890
0.309	19086890
0.31	19086890
0.311	19086890
0.312	19086890
0.313	18939138
0.314	18939138
0.315	18939138
0.316	18939138
0.317	18939138
0.318	18939138
0.319	18939138
0.32	18939138
0.321	18939138
0.322	18939138
0.323	18939138
0.324	16902250
0.325	16902250
0.326	16902250
0.327	16902250
0.328	16902250
0.329	16902250
0.33	16902250
0.331	16902250
0.332	16902250
0.333	15926217
0.334	15926217
0.335	15926217
0.336	15926217
0.337	15926217
0.338	15926217
0.339	15926217
0.34	15926217
0.341	15926217
0.342	15753508
0.343	15753508
0.344	15753508
0.345	15753508
0.346	15753508
0.347	15753508
0.348	15753508
0.349	15753508
0.35	15753508
0.351	15707031
0.352	15707031
0.353	15707031
0.354	15707031
0.355	15707031
0.356	15707031
0.357	15707031
0.358	15707031
0.359	15707031
0.36	15166028
0.361	15166028
0.362	15166028
0.363	15166028
0.364	15166028
0.365	15166028
0.366	15166028
0.367	15166028
0.368	15166028
0.369	15080962
0.37	15080962
0.371	15080962
0.372	15080962
0.373	15080962
0.374	15080962
0.375	15080962
0.376	15080962
0.377	15080962
0.378	14382054
0.379	14382054
0.38	14382054
0.381	14382054
0.382	14382054
0.383	14382054
0.384	14382054
0.385	14382054
0.386	14039895
0.387	14039895
0.388	14039895
0.389	14039895
0.39	14039895
0.391	14039895
0.392	14039895
0.393	14039895
0.394	13977601
0.395	13977601
0.396	13977601
0.397	13977601
0.398	13977601
0.399	13977601
0.4	13977601
0.401	13977601
0.402	13810107
0.403	13810107
0.404	13810107
0.405	13810107
0.406	13810107
0.407	13810107
0.408	13810107
0.409	13810107
0.41	13678723
0.411	13678723
0.412	13678723
0.413	13678723
0.414	13678723
0.415	13678723
0.416	13678723
0.417	13678723
